[00:00.000 --> 00:06.000]  He's the T-Rex of political talk. Alex Jones on the GCN Radio Network.
[00:09.000 --> 00:16.000]  Welcome back folks. 8 minutes and 10 seconds into the third and final hour. Don't forget the Shelby back to 9, 9 to midnight.
[00:16.000 --> 00:24.000]  Central Standard Time. We're about to go to George Humphrey, economist, former city councilman and expert on the new oral order again from here in Austin, Texas.
[00:24.000 --> 00:33.000]  And last night I aired about 45 minutes of one of his great audio books, Uncommon Sense, and I want to air about 3 or 4 minutes of that now.
[00:33.000 --> 00:41.000]  And then we'll go to our guest George Humphrey and his analysis of the new oral order and then of course your calls and a bunch of other vital news and information.
[00:41.000 --> 00:49.000]  So again, be sure and stay with us. George, you stay right there my friend. Good to have you on the show with us.
[00:49.000 --> 01:01.000]  Chapter 2. The Destruction of Our Republic. At the conclusion of the Constitutional Convention in September of 1787, Benjamin Franklin was asked,
[01:01.000 --> 01:07.000]  What have you wrought? He answered, A republic, if we can keep it.
[01:07.000 --> 01:15.000]  Most Americans, if they ever think of it, speak proudly about how America is home of the world's greatest democracy.
[01:15.000 --> 01:21.000]  This is what they were taught in school, further every day in the papers and on the nightly news.
[01:21.000 --> 01:25.000]  We see and hear our leaders speak of the need for more democracy.
[01:25.000 --> 01:33.000]  Yet do most people even know what a democracy is and do they really want to live in such a political system?
[01:33.000 --> 01:37.000]  Simply put, a democracy is ruled by the majority.
[01:37.000 --> 01:47.000]  People like Jesse Jackson and Hillary Clinton often talk glowingly about rule by the people and it sure sounds good on a 10 second news clip.
[01:47.000 --> 01:54.000]  Yet if people take more than 10 seconds to think about it, there is a major flaw with this concept.
[01:54.000 --> 02:03.000]  The momentary collective wisdom of the general public is not always best for the country or for people who tell the truth or for those who are productive.
[02:03.000 --> 02:11.000]  Many people are becoming aware that the major corporations who control the television networks, the major newspaper chains,
[02:11.000 --> 02:19.000]  and the movie studios are owned by a handful of families that are all connected with the CFR and Bilderberg.
[02:19.000 --> 02:24.000]  The de facto reality is that we do not have an open and free press.
[02:24.000 --> 02:32.000]  The people of this nation have to become aware of the deception that is being foisted upon us on a continuous and daily basis.
[02:32.000 --> 02:42.000]  With a controlled and biased press and with majority rule, those who are in the minority can lose their rights in the blink of an eye.
[02:42.000 --> 02:52.000]  Eventually, the majority figures out that they can vote themselves largesse out of the public treasury and silence those who stand in their way.
[02:52.000 --> 02:54.000]  Mobocracy.
[02:54.000 --> 03:00.000]  From what our founding fathers wrote, it is clear that they were aware of the danger of democracy.
[03:00.000 --> 03:03.000]  Samuel Adams had this to say.
[03:03.000 --> 03:10.000]  Democracy never lasts long. There was never a democracy that did not commit suicide.
[03:10.000 --> 03:17.000]  While Thomas Paine said, a democracy is the vilest form of government there is.
[03:17.000 --> 03:23.000]  The founders of our nation knew that the vote was not a financial alternative for work.
[03:23.000 --> 03:29.000]  The founders of our nation were also very aware of the spiritual laws of life
[03:29.000 --> 03:34.000]  and knew that for our nation to become the beacon of not only economic liberty
[03:34.000 --> 03:39.000]  but also a nation where all citizens could be secure to experience religious freedom
[03:39.000 --> 03:45.000]  that we needed to be a nation based firmly upon law, equal and just law.
[03:45.000 --> 03:47.000]  As Thomas Jefferson said,
[03:47.000 --> 03:57.000]  In matters of power, let no more be heard of confidence in men, but find him down from mischief by the chains of the Constitution.
[03:57.000 --> 04:06.000]  Our founders, in an effort to produce a nation of law, created a constitutional republic as our form of government.
[04:06.000 --> 04:12.000]  Check it out for yourself in the Constitution, Article IV, Section IV, or recite the Pledge of Allegiance.
[04:13.000 --> 04:18.000]  At the time, the creation of a true republic was a very radical concept
[04:18.000 --> 04:25.000]  in that it put the rights of the individual ahead of the collective power of government and the aristocracy.
[04:25.000 --> 04:31.000]  It is essential to remember that in our republic, all citizens are sovereign.
[04:31.000 --> 04:37.000]  We have an inalienable Bill of Rights, government decisions are decentralized,
[04:37.000 --> 04:41.000]  and we are supposed to be a nation of equal justice for all people.
[04:41.000 --> 04:46.000]  The Constitution and the Bill of Rights are each citizen's rulebook.
[04:46.000 --> 04:55.000]  So why is it that our elected leaders and the establishment media keep pounding away that we need more democracy?
[04:55.000 --> 04:56.000]  It's simple.
[04:56.000 --> 05:01.000]  If the elite can convince us that we live in a democracy, mobocracy,
[05:01.000 --> 05:07.000]  then they can destroy our Bill of Rights, raise our taxes, get more people addicted to welfare,
[05:07.000 --> 05:12.000]  centralize the power of government, and take total control.
[05:12.000 --> 05:15.000]  As Richard Mayberry said not long ago,
[05:15.000 --> 05:21.000]  Democracy is three wolves and a sheep deciding on what to have for dinner.
[05:21.000 --> 05:24.000]  In a republic, nothing comes for free.
[05:24.000 --> 05:32.000]  Because power is decentralized, the citizens are required to educate themselves and be active in the process.
[05:32.000 --> 05:39.000]  With the subtle but massive mind control that our would-be slave masters have foisted upon the population,
[05:39.000 --> 05:44.000]  most people think of themselves as consumers rather than as citizens,
[05:44.000 --> 05:47.000]  who are the foundation of a constitutional republic.
[05:47.000 --> 05:50.000]  All right, ladies and gentlemen, powerful stuff.
[05:50.000 --> 05:53.000]  And that's just about five minutes of uncommon sense,
[05:53.000 --> 05:59.000]  a three-and-a-half-plus-hour three-CD set that George numbers put out.
[05:59.000 --> 06:02.000]  We offer that at Infowars.com, or you can write to me for it.
[06:02.000 --> 06:06.000]  I'm not on the toll-free number yet, but it's important to air a little snippet of that.
[06:06.000 --> 06:09.000]  George, great to have you on the show, my friend. Welcome.
[06:09.000 --> 06:15.000]  Alex, it's good to hear your voice, and I'm so proud and happy to be on the show.
[06:15.000 --> 06:17.000]  Everything's accelerating.
[06:17.000 --> 06:20.000]  You've been fighting them. I've been fighting them.
[06:20.000 --> 06:23.000]  It's just amazing what's developing.
[06:23.000 --> 06:26.000]  We know the CIA is going to blow more stuff up or release smallpox.
[06:26.000 --> 06:28.000]  White went on Saddam's dead body.
[06:28.000 --> 06:30.000]  Colin Powell was before the U.N.
[06:30.000 --> 06:34.000]  If anybody's got connections to Al Qaeda and Saddam, it's the Bushes.
[06:34.000 --> 06:37.000]  Your response is just an overview of what's happening right now.
[06:37.000 --> 06:41.000]  Well, Alex, I think you've put it very well.
[06:41.000 --> 06:47.000]  Our nation is in a time of absolute crisis.
[06:47.000 --> 06:55.000]  Every single individual, whether you are white, black, Hispanic, Asian, rich, poor, male or female,
[06:55.000 --> 07:04.000]  if you have any belief in fair play, if you believe in the Constitution, if you believe in the process of law,
[07:04.000 --> 07:14.000]  if you believe in God, your friends, your family, yourself, we are in mortal danger right now.
[07:14.000 --> 07:23.000]  We are in a period of time that is very comparable to 1939 in Nazi Germany.
[07:23.000 --> 07:31.000]  And four or five years ago, the book 1984 seemed like science fiction to me.
[07:31.000 --> 07:35.000]  And even though I worked on this every day, it still seems very far out.
[07:35.000 --> 07:41.000]  Today, the book 1984 seems passé to me.
[07:41.000 --> 07:47.000]  We have cameras, digital cameras, throughout our nation.
[07:47.000 --> 07:52.000]  Every person in our community is being photographed and digitally scanned.
[07:53.000 --> 07:56.000]  Microphones hanging out of the trees in Austin.
[07:56.000 --> 07:58.000]  Giant prisons everywhere.
[07:58.000 --> 08:00.000]  Police in black ski masks running checkpoints.
[08:00.000 --> 08:03.000]  Mainstream news articles of ending foreign troops are being brought in.
[08:03.000 --> 08:05.000]  Pan-American unions.
[08:05.000 --> 08:07.000]  Amero notes coming out.
[08:07.000 --> 08:10.000]  FRID tracker chips going in all the clothes.
[08:10.000 --> 08:12.000]  It's getting scary.
[08:12.000 --> 08:16.000]  My friend, Alex is a little bit younger than I am.
[08:16.000 --> 08:23.000]  And I'm 52, and Alex is in his late 20s, and he speaks with a lot more passion than I do.
[08:23.000 --> 08:32.000]  But every day, the last year and a half, I've had more and more admiration for Alex and his urgency.
[08:32.000 --> 08:41.000]  And the people who listen to his message, listen to my message, and to the thousands of other patriots across this country
[08:41.000 --> 08:54.000]  who are doing everything within our power to get other good Americans to wake up to the reality of the clear and present danger that we are all facing.
[08:54.000 --> 09:01.000]  And friends, the friends who are listening to this, and I would assume that 99% of you are fairly aware of this,
[09:01.000 --> 09:06.000]  it is up to us. We are the modern-day freedom fighters.
[09:06.000 --> 09:14.000]  We are the founding fathers of the counter-revolution to restore our republic, to restore our constitution.
[09:14.000 --> 09:16.000]  That's right. We're not anti-government.
[09:16.000 --> 09:18.000]  To restore the process of law.
[09:18.000 --> 09:24.000]  And friends, every single one of you are a part of the process of healing.
[09:24.000 --> 09:29.000]  And Alex can't do it by himself. I can't do it by myself.
[09:29.000 --> 09:37.000]  Each and every one of us have to put our shoulder to the harness and do what we can do because it's going to take every single one of us.
[09:37.000 --> 09:42.000]  You're right. George Humphrey, the Space Shuttle disaster. I just had Tex Mars on.
[09:42.000 --> 09:46.000]  It's obvious. A lot of foul play going on here. Perfect timing.
[09:46.000 --> 09:50.000]  Dark occult symbolism all over the place.
[09:50.000 --> 09:54.000]  And then I got attacked on the San Antonio Express News yesterday.
[09:55.000 --> 09:59.000]  Conspiracy theorists come out of the woodwork after disaster at Infowars.com.
[09:59.000 --> 10:07.000]  There's speculation linking the disaster to an alleged 62-government death plot scenario revolving around astronaut John Glenn as a basis to attack Cuba.
[10:07.000 --> 10:10.000]  Well, wait, I just have the Northwoods document where they say that.
[10:10.000 --> 10:12.000]  The loss to Colombia also has been called a political distraction.
[10:12.000 --> 10:17.000]  It will serve as the dual purpose of unifying the country behind President Bush as he grandstands for war with Iraq.
[10:17.000 --> 10:21.000]  It is just one of the messages visitors can read and post at Infowars.com.
[10:21.000 --> 10:25.000]  They then go on for three pages to attack me with public officials and talk show hosts attacking me.
[10:25.000 --> 10:29.000]  The point here is I'm not saying the government did this. I'm saying it stinks to high heaven.
[10:29.000 --> 10:33.000]  I'm saying now the articles admit his approval ratings are exploding.
[10:33.000 --> 10:35.000]  We're unified around the president for this war now.
[10:35.000 --> 10:38.000]  Your response to the Colombia disaster?
[10:38.000 --> 10:46.000]  Well, I do my very best to collect as much information as I can before I make a decision.
[10:46.000 --> 10:52.000]  I did speak with a pilot of United Airlines. He flew with United Airlines for 20 years.
[10:52.000 --> 10:57.000]  He was a colonel in the Air Force, and he was very aware of NASA.
[10:57.000 --> 11:01.000]  And one of the things he was telling me is that when this took off,
[11:01.000 --> 11:09.000]  there was absolute proof that a piece of material came off of the fuel tank and hit the left wing.
[11:09.000 --> 11:17.000]  They were aware of this contact and of this damage as it was taking off.
[11:17.000 --> 11:23.000]  The question that I have is why was this not dealt with? Why did they not stop at the space station?
[11:23.000 --> 11:26.000]  Why did they not check this out?
[11:26.000 --> 11:31.000]  Yeah, they've got emergency reentry capsules there at the station for everybody on board.
[11:31.000 --> 11:37.000]  Absolutely. And this is not speculation. This is not theory.
[11:37.000 --> 11:40.000]  This is nothing but plain, cold facts.
[11:40.000 --> 11:42.000]  Well, here's the headline.
[11:42.000 --> 11:45.000]  Experts who warned of disaster claim NASA tried to gag them.
[11:45.000 --> 11:50.000]  Stay right there. George Humphrey will get into the New World Order, what its total goal is,
[11:50.000 --> 11:55.000]  and take your calls with George Humphrey, author and former city councilman economist.
[11:55.000 --> 12:00.000]  We'll talk about the economy and much more at Infowars.com.
[12:07.000 --> 12:13.000]  At Alex at Infowars.com.
[12:13.000 --> 12:20.000]  Defending the republic's enemies foreign and domestic Monday through Friday from 11 a.m. until 2 p.m.,
[12:20.000 --> 12:22.000]  back from 9 to midnight, central standard time,
[12:22.000 --> 12:25.000]  where they rebroadcast the daytime show from 1 a.m. to 4 a.m.,
[12:25.000 --> 12:28.000]  nine hours a day of the Alex Jones Show.
[12:28.000 --> 12:32.000]  We're joined by George Humphrey, a good friend of mine here in Austin, Texas.
[12:32.000 --> 12:35.000]  We just had Tex Mars on the last hour, another good friend of mine.
[12:35.000 --> 12:38.000]  A lot of great folks in Austin fighting the New World Order.
[12:38.000 --> 12:41.000]  Next segment, we'll open the phones up if you want to talk to George Humphrey or myself
[12:41.000 --> 12:43.000]  on any different issue or news item.
[12:43.000 --> 12:49.000]  1-800-259-9231, you heard the number.
[12:49.000 --> 12:52.000]  George, the economy, you're an economist by training.
[12:52.000 --> 12:56.000]  What is this economy and how do we protect ourselves?
[12:56.000 --> 13:00.000]  Well, Alex, that's a very fundamental question because, as you know,
[13:00.000 --> 13:04.000]  the first thing you learn in politics is follow the money.
[13:04.000 --> 13:10.000]  And in our nation, we are not moving toward bankruptcy.
[13:10.000 --> 13:16.000]  Our nation has gone far past bankruptcy years and years and years ago,
[13:16.000 --> 13:19.000]  and it started when we started with the Federal Reserve Board,
[13:19.000 --> 13:24.000]  which is a Ponzi scheme to create fractional reserve banking.
[13:24.000 --> 13:32.000]  The pundits or the CFR people say that the national debt is approximately $6 trillion.
[13:32.000 --> 13:35.000]  Well, that is absolute hogwash.
[13:35.000 --> 13:40.000]  The $6 trillion only represents the debt in the operating fund.
[13:40.000 --> 13:46.000]  If you take all the 19 general funds of the federal government,
[13:46.000 --> 13:54.000]  the total debt of the federal government is between $19.5 to $21 trillion.
[13:54.000 --> 14:01.000]  Then if you take the debt of the city, the state, the county debt,
[14:01.000 --> 14:06.000]  which are the local debt, that is about another $8 trillion.
[14:06.000 --> 14:15.000]  And then if you take personal debt, I think that my memory is flagging me here,
[14:15.000 --> 14:19.000]  but it is closing in, I think, on about $13 trillion.
[14:19.000 --> 14:21.000]  Then you have corporate debt.
[14:21.000 --> 14:23.000]  Yeah, and I didn't even put corporate debt in that.
[14:23.000 --> 14:29.000]  The corporate debt right now represents 49% of the gross national product.
[14:29.000 --> 14:37.000]  Total debt in the United States is 357% of the gross national product.
[14:37.000 --> 14:41.000]  So what they've done is they've created a debt black hole system
[14:41.000 --> 14:45.000]  where they issue this fiat currency out of nothing and then gain the whole world
[14:45.000 --> 14:48.000]  by physically shutting it up where no one can pay the debt off.
[14:48.000 --> 14:55.000]  Absolutely, and the real tyranny and the real traitorous nature of this is
[14:55.000 --> 15:01.000]  that this was all created by the masters of deception to put us into debt
[15:01.000 --> 15:06.000]  so that the power elite will control us as they do right now.
[15:06.000 --> 15:11.000]  Anybody who is productive or is creating value right now
[15:11.000 --> 15:17.000]  is unknowingly transferring money incrementally to the power elite.
[15:17.000 --> 15:25.000]  And less than one-half of one-half of the percent of the population of this country
[15:25.000 --> 15:30.000]  control over 60% of the assets of this nation.
[15:30.000 --> 15:32.000]  And that's growing.
[15:32.000 --> 15:35.000]  And that is growing. That is going the wrong way.
[15:35.000 --> 15:39.000]  Now, you probably have fairly affluent listeners on it.
[15:39.000 --> 15:42.000]  Let's say that somebody is making $100,000.
