[00:00:00.000 --> 00:00:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:00:30.000 --> 00:00:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:01:00.000 --> 00:01:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:01:30.000 --> 00:01:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:02:00.000 --> 00:02:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:02:30.000 --> 00:02:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:03:00.000 --> 00:03:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:03:30.000 --> 00:03:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:04:00.000 --> 00:04:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:04:30.000 --> 00:04:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:05:00.000 --> 00:05:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:05:30.000 --> 00:05:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:06:00.000 --> 00:06:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:06:30.000 --> 00:06:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:07:00.000 --> 00:07:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:07:30.000 --> 00:07:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:08:00.000 --> 00:08:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:08:30.000 --> 00:08:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:09:00.000 --> 00:09:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:09:30.000 --> 00:09:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:10:00.000 --> 00:10:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:10:30.000 --> 00:10:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:11:00.000 --> 00:11:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:11:02.000 --> 00:11:04.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:11:30.000 --> 00:11:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:12:00.000 --> 00:12:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:12:30.000 --> 00:12:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:13:00.000 --> 00:13:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:13:30.000 --> 00:13:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:14:00.000 --> 00:14:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:14:30.000 --> 00:14:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:15:00.000 --> 00:15:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:15:30.000 --> 00:15:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:16:00.000 --> 00:16:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:16:30.000 --> 00:16:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:17:00.000 --> 00:17:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:17:30.000 --> 00:17:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:18:00.000 --> 00:18:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:18:30.000 --> 00:18:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:19:00.000 --> 00:19:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:19:30.000 --> 00:19:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:19:32.000 --> 00:19:34.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:20:00.000 --> 00:20:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:20:30.000 --> 00:20:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:21:00.000 --> 00:21:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:21:30.000 --> 00:21:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:22:00.000 --> 00:22:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:22:30.000 --> 00:22:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:23:00.000 --> 00:23:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:23:30.000 --> 00:23:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:24:00.000 --> 00:24:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:24:30.000 --> 00:24:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:25:00.000 --> 00:25:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:25:30.000 --> 00:25:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:26:00.000 --> 00:26:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:26:30.000 --> 00:26:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:27:00.000 --> 00:27:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:27:30.000 --> 00:27:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:28:00.000 --> 00:28:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:28:30.000 --> 00:28:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:29:00.000 --> 00:29:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:29:30.000 --> 00:29:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:30:00.000 --> 00:30:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:30:30.000 --> 00:30:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:31:00.000 --> 00:31:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:31:30.000 --> 00:31:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:32:00.000 --> 00:32:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:32:30.000 --> 00:32:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:33:00.000 --> 00:33:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:33:30.000 --> 00:33:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:34:00.000 --> 00:34:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:34:30.000 --> 00:34:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:35:00.000 --> 00:35:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:35:30.000 --> 00:35:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:36:00.000 --> 00:36:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:36:30.000 --> 00:36:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:37:00.000 --> 00:37:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:37:02.000 --> 00:37:04.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:37:30.000 --> 00:37:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:38:00.000 --> 00:38:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:38:30.000 --> 00:38:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:39:00.000 --> 00:39:02.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
[00:39:30.000 --> 00:39:32.000]  Welcome to the Alex Jones Show, live now on InfoWars.com!
