[00:00:00.149 --> 00:00:02.110]  ...of this Republic.
[00:00:02.110 --> 00:00:03.911]  Okay, let's go to Aaron Zellman.
[00:00:03.911 --> 00:00:07.354]  Aaron, great to have you on the show today.
[00:00:07.354 --> 00:00:10.155]  I really appreciate it, and I know you've got a lot to talk about.
[00:00:10.155 --> 00:00:16.539]  First off, tell us about your organization, JPFO, and CCOPS as well.
[00:00:16.539 --> 00:00:17.940]  Thank you, Alex.
[00:00:17.940 --> 00:00:24.144]  JPFO, with the name of it, Jews for the Preservation of Firearms Ownership, was founded over 14 years ago.
[00:00:25.976 --> 00:00:26.796]  We've tried Alex to
[00:00:51.015 --> 00:00:55.940]  Get these people to open their eyes, but we've decided that it's going to be an uphill battle doing that.
[00:00:55.940 --> 00:01:08.911]  So we thought we'd try to circle the wagons around them, them being the leadership of the Jewish community, and reach out to many other people and help them understand what the leadership of the Jewish community fails to grasp.
[00:01:08.911 --> 00:01:11.393]  And we've been having a lot of success at doing that.
[00:01:11.393 --> 00:01:17.138]  So we have done it through publications of our books, our little pamphlets, our freedom pamphlets.
[00:01:18.255 --> 00:01:23.196]  We're working on our own documentaries, you may have heard by now.
[00:01:23.196 --> 00:01:33.818]  And we have a website, JPFO.org, where people can go get alerts and find all the information that we've published and downloaded.
[00:01:33.818 --> 00:01:37.399]  And that's pretty much what we do.
[00:01:37.399 --> 00:01:44.100]  CCOPS is undergoing a... CCOPS being concerned citizens opposed to police states is going to be revamped.
[00:01:44.100 --> 00:01:46.501]  We've got an exciting strategy to replace that.
[00:01:47.259 --> 00:02:02.833]  It'll still deal with police state policies, but we think we have found a better way to get people to, people who don't understand what's going on, to come on board and to become aware and hopefully frightened as to what is happening in America.
[00:02:02.833 --> 00:02:05.375]  You know, I have a saying, Alex.
[00:02:05.375 --> 00:02:10.739]  I say that when governments get scared, that they do scary things.
[00:02:10.739 --> 00:02:14.743]  And that's what's going on in America today, as you have certainly documented.
[00:02:16.061 --> 00:02:25.344]  Well, let's go over the police state first, then we'll get into the Second Amendment and Bush's traitorous anti-American activities with Hare Clinton and others.
[00:02:25.344 --> 00:02:39.307]  But, and his whole neocon agenda with the Trotskyite crowd, which has now admitted even the National Post of Canada has reported the ghost of Trotsky walks the White House because they are running things and they know what they're doing.
[00:02:39.307 --> 00:02:40.968]  This is the takeover we're seeing right now.
[00:02:43.633 --> 00:02:46.878]  Ashcroft said last year, there is no Patriot Act.
[00:02:46.878 --> 00:02:56.973]  If you say there's a Patriot Act II, or he said if you say that Patriot Act I takes your liberties, phantoms of lost liberties, you're aiding the terrorists and you will lose your liberties.
[00:02:57.609 --> 00:03:01.590]  Then he said, two and a half months ago, there is no Patriot Act, too.
[00:03:01.590 --> 00:03:04.311]  And then last Thursday, he said, okay, there is.
[00:03:04.311 --> 00:03:07.611]  We want to be able to arrest you for any terrorist reason and execute you.
[00:03:07.611 --> 00:03:14.533]  Well, Section 802 of the first Patriot Act says any action that endangers human life is a violation of any federal or state law.
[00:03:14.533 --> 00:03:16.154]  So, that's so broad.
[00:03:16.154 --> 00:03:17.834]  It's anybody and everybody, and we've seen
[00:03:18.274 --> 00:03:19.156]  We're good to go.
[00:03:34.237 --> 00:03:38.681]  The Senator menaces out of Oregon.
[00:03:38.681 --> 00:03:47.127]  The Mike Van Winkle's Attorney General of California is saying protesting a war might be helping terrorists, that might be terrorism.
[00:03:47.127 --> 00:03:50.269]  We're hearing now the First Amendment might be terror.
[00:03:50.269 --> 00:04:00.236]  Your analysis of Patriot 1 and 2, and we're now hearing about death camps at Guantanamo Bay, and it could be for Americans too, no judge, no jury.
[00:04:00.236 --> 00:04:02.158]  Your analysis of that, Aaron Zellman.
[00:04:04.628 --> 00:04:08.691]  Well, you know, it's almost unbelievable.
[00:04:08.691 --> 00:04:12.073]  I mean, I think most people have just simply tuned out.
[00:04:12.073 --> 00:04:17.916]  They can't come to grips with the reality of what's happening here in America.
[00:04:17.916 --> 00:04:21.939]  And that's the Reuters headline in BBC, as well as the Associated Press.
[00:04:21.939 --> 00:04:22.479]  The U.S.
[00:04:22.479 --> 00:04:23.780]  announces death camps.
[00:04:23.780 --> 00:04:25.001]  They said it.
[00:04:25.001 --> 00:04:27.382]  A mass assembly line execution chamber.
[00:04:27.382 --> 00:04:29.704]  Does that sound fun?
[00:04:29.704 --> 00:04:32.445]  Well, let's put it this way.
[00:04:32.445 --> 00:04:33.546]  It's all been done before.
[00:04:34.808 --> 00:04:49.720]  Uh, the United States is, you know, the people who run this country have all gone to the same dictator school as the people who have run the former Soviet Union or Nazi Germany or Cuba or Cambodia or, you know, wherever you want to go.
[00:04:49.720 --> 00:04:51.241]  You should just pick the dictatorship.
[00:04:51.241 --> 00:04:55.704]  Well, it's even the same name, Reich Security, Homeland Security.
[00:04:55.704 --> 00:05:00.608]  Well, that should frighten people on its own, but most people don't understand the history behind that.
[00:05:00.608 --> 00:05:04.391]  But as I said before, you know, when governments get scared, they do scary things.
[00:05:05.120 --> 00:05:06.680]  I think the government is scared.
[00:05:06.680 --> 00:05:11.242]  The United States government is scared, but for more reasons than just terrorism.
[00:05:11.242 --> 00:05:21.684]  I think you're seeing an awakening amongst a growing number of people that the government itself, I mean, the system of government in America is shaky.
[00:05:21.684 --> 00:05:29.626]  The people see that this is falling apart and that the government is concerned about losing power.
[00:05:29.626 --> 00:05:30.746]  Well, I totally agree.
[00:05:30.746 --> 00:05:32.807]  That's probably why we have the Patriot Act 1, 2, and
[00:05:33.737 --> 00:05:36.259]  I'm sure there'll be three, four, five, and six.
[00:05:36.259 --> 00:05:42.142]  But we are looking at a situation where those who are in power don't want to lose power.
[00:05:42.142 --> 00:05:45.944]  Those who are in power are willing to do anything to keep power.
[00:05:45.944 --> 00:05:47.925]  And there's no difference.
[00:05:47.925 --> 00:05:57.851]  We're rapidly reaching the point where there's no difference between the socialist concept and the National Socialist Workers, the Nazi Party, and what's going on in America.
[00:05:57.851 --> 00:05:59.152]  It's the same old, same old.
[00:06:00.669 --> 00:06:13.799]  This is not something, I'm not trying to be facetious about this, but what I've talked to some Holocaust survivors, or people who escaped from the Soviet Union, that they're in shock as to what they see happening in America.
[00:06:13.799 --> 00:06:14.499]  They've lived through it before.
[00:06:14.499 --> 00:06:15.460]  That happens all the time.
[00:06:15.460 --> 00:06:26.928]  Aaron, on this radio show, I have old German women, old German men, old Czechoslovakian men, they call in every week and they say, you know, with their accents,
[00:06:28.081 --> 00:06:31.763]  He saw the same thing in Russia, the same thing in Poland.
[00:06:31.763 --> 00:06:34.105]  I saw the same thing as a little girl in Germany.
[00:06:34.105 --> 00:06:41.189]  The same slogans, the same uniforms, the same, we're going to protect you from these terrorists.
[00:06:41.189 --> 00:06:45.692]  And so we are seeing a repeat, Aaron.
[00:06:45.692 --> 00:06:46.732]  There's no doubt about it.
[00:06:46.732 --> 00:06:54.617]  You know, on our website there's a quote from Goering when he was a prisoner during the Nuremberg Trials.
[00:06:54.617 --> 00:06:55.738]  Yeah, why don't you read that quote?
[00:06:56.397 --> 00:06:57.358]  I don't have in front of me.
[00:06:57.358 --> 00:06:57.959]  I forget.
[00:06:57.959 --> 00:07:02.023]  We just talked about how you use a war to get people unified and take their rights away.
[00:07:02.023 --> 00:07:02.603]  That's right.
[00:07:02.603 --> 00:07:08.689]  And then people who complain about that, you just point to them as being traitors.
[00:07:08.689 --> 00:07:12.953]  And it's the same old, same old.
[00:07:12.953 --> 00:07:13.614]  Absolutely.
[00:07:14.444 --> 00:07:24.830]  And, you know, Bush has taken on the so-called conservative mantle, wherein substance, he's a gun grabber, open borders, supercomputers to China, blocks an Amberton's Committee on Pardongate.
[00:07:24.830 --> 00:07:39.838]  We know the truth, but think of the liberal backlash when they get in and have all these Patriot Act powers, and then they're going to be all vitriolic, thinking they're on some holy crusade against the right-wingers, and it's going to be you and I that are in trouble.
[00:07:39.838 --> 00:07:41.539]  It's going to be anybody, Alex, who
[00:07:42.600 --> 00:07:48.606]  Even utter something called a name like the Bill of Rights or the Constitution.
[00:07:48.606 --> 00:07:51.909]  By the way, you bring that up and I keep jumping in there because it's so interesting, Aaron.
[00:07:51.909 --> 00:07:54.111]  Have you seen my film, The Road to Tyranny?
[00:07:54.111 --> 00:07:55.953]  No, I haven't.
[00:07:55.953 --> 00:08:02.019]  In Kansas City, I have the head FEMA guy there in a classroom of police and of course he tells them this is all off the record, don't you?
[00:08:02.863 --> 00:08:05.584]  Well, my advice to Americans, frankly, is that
[00:08:31.169 --> 00:08:33.371]  You're not going to be able to stop this.
[00:08:33.371 --> 00:08:35.632]  You're going to have to fight it.
[00:08:35.632 --> 00:08:40.996]  And my advice to Americans is to master long-range rifles.
[00:08:40.996 --> 00:08:43.998]  I hope I don't have to peel that onion anymore for people.
[00:08:43.998 --> 00:08:49.141]  But that's about the last hope they're going to have is mastering the use of a long-range rifle.
[00:08:49.141 --> 00:08:52.784]  I mean, you can take your AK-47 and throw it in the fireplace.
[00:08:52.784 --> 00:08:54.124]  It's going to be useless.
[00:08:54.124 --> 00:08:58.607]  You've got to learn how to master long-range rifles because you're going to have to deal with it on that level.
[00:08:59.938 --> 00:09:06.161]  This cancer spreads and becomes so severe that we have no choice.
[00:09:06.161 --> 00:09:11.823]  We will have a choice if the government doesn't push it, but the government may not give us a choice.
[00:09:11.823 --> 00:09:17.185]  Some people probably think I'm being an extremist, but I'm just dealing with the reality of the situation.
[00:09:17.185 --> 00:09:19.706]  The handwriting's on the wall.
[00:09:19.706 --> 00:09:22.347]  Well, I've had you on probably ten times over the last few years.
[00:09:22.347 --> 00:09:24.468]  I've never heard you talk like this.
[00:09:24.468 --> 00:09:27.729]  What are the indicators that are upsetting you so much?
[00:09:27.729 --> 00:09:28.790]  Well, you know, it's interesting.
[00:09:30.490 --> 00:09:35.372]  I guess it's a realization of just how much evil there is in the world.
[00:09:35.372 --> 00:09:45.675]  After working on this documentary that we've been putting together, and you look at that type of evil that's around the world, you see that's also here in America.
[00:09:45.675 --> 00:09:51.177]  And that there are people who become, who are just taken over by this evil.
[00:09:51.177 --> 00:09:58.259]  And there are people in government, and they can't, it just becomes their mantra, it becomes their religion.
[00:09:59.133 --> 00:10:00.213]  They have power.
[00:10:00.213 --> 00:10:02.294]  They worship power and nothing else.
[00:10:02.294 --> 00:10:06.636]  Now that's what O'Brien... That's what's not scary, you know.
[00:10:06.636 --> 00:10:16.219]  That's what, Aaron, that's what O'Brien, who was torturing Winston in the Ministry of Love, tells him in 1984.
[00:10:16.219 --> 00:10:24.162]  He says, we are the priest of power, always pressing on the nerve of power, power for power's sake.
[00:10:24.162 --> 00:10:24.942]  Yep, there you go.
[00:10:25.987 --> 00:10:40.316]  But that's what we have in America today, and anybody who wants to bury their head in the sand and doesn't want to deal with these realities, well, maybe they'll be the first to go, because they're totally useless anyway.
[00:10:40.316 --> 00:10:41.276]  They're only in the way.
[00:10:41.276 --> 00:10:45.799]  Well, I've pointed that out, that tyrants seem to feed on their minions first.
[00:10:45.799 --> 00:10:49.121]  Why is that?
[00:10:49.121 --> 00:10:51.303]  Well, you know, I think part of it is that
[00:10:52.443 --> 00:11:11.273]  The tyrant looks at the people who have put him in power as very weak people because if they're willing to turn on their own American, their own citizens, and they're willing to give up freedom so easily to put an evil person in power, that evil person no longer has any faith in these people.
