[00:00:00.730 --> 00:00:02.031]  Big Brother.
[00:00:02.031 --> 00:00:03.812]  Mainstream media.
[00:00:03.812 --> 00:00:05.574]  Government cover-ups.
[00:00:05.574 --> 00:00:07.135]  You want answers?
[00:00:07.135 --> 00:00:08.717]  Well, so does he.
[00:00:08.717 --> 00:00:12.881]  He's Alex Jones on the GCN Radio Network.
[00:00:12.881 --> 00:00:16.964]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.694 --> 00:00:31.459]  For the next 20 minutes, we're honored to have Congressman Ron Paul along with us.
[00:00:31.459 --> 00:00:41.413]  I've got my questions for him about the Iraq War, when are we getting out of there, all this new torture information coming out, Rumsfeld saying he didn't advocate for the war.
[00:00:42.233 --> 00:00:52.499]  I also want to get into the Patriot Act and just the unfolding problems of the economy we're seeing with Dr. Ron Paul, the Congressman from right here in Texas.
[00:00:52.499 --> 00:00:53.579]  We're honored to have him.
[00:00:53.579 --> 00:01:00.383]  And then I've got three or four questions that listeners called in last hour that they wanted to address to the Congressman, so we'll ask him those questions as well.
[00:01:00.383 --> 00:01:01.824]  Congressman, thank you for joining us.
[00:01:01.824 --> 00:01:02.224]  Thank you.
[00:01:02.224 --> 00:01:03.265]  Good to be with you.
[00:01:03.265 --> 00:01:04.966]  What do you think is most important right now?
[00:01:04.966 --> 00:01:06.967]  I mean, what do you want to talk about, sir?
[00:01:08.368 --> 00:01:22.172]  You know, in the scheme of things, I would say the ongoing war is probably the most important because it has concerns about our finances as well as the excuse for an intrusion on our personal liberties here at home.
[00:01:22.748 --> 00:01:28.131]  Plus the fact that this war is different than any others because it was a preemptive strike.
[00:01:28.131 --> 00:01:29.532]  I mean, we have changed policy.
[00:01:29.532 --> 00:01:34.354]  I know we've been involved too much everywhere for a long time, but this was different.
[00:01:34.354 --> 00:01:44.400]  So I would think the war is symbolic of a foreign policy that has changed and poses a great deal of danger to all of us.
[00:01:44.400 --> 00:01:45.741]  Well, I agree with you.
[00:01:45.741 --> 00:01:47.922]  And let me just add that we've got a mic open up there at the network.
[00:01:47.922 --> 00:01:48.642]  We need to close that.
[00:01:52.043 --> 00:01:53.544]  I mean, how long is this going to go on?
[00:01:53.544 --> 00:02:05.355]  Now they're talking about how they want to go into Iran and Syria like it's a Ponzi scheme or something, where they're just going to endlessly expand it from one crisis to the next so we can never get our balance.
