[00:00:00.249 --> 00:00:02.011]  Government cover-ups.
[00:00:02.011 --> 00:00:03.592]  You want answers?
[00:00:03.592 --> 00:00:05.134]  Well, so does he.
[00:00:05.134 --> 00:00:09.337]  He's Alex Jones on the GCN Radio Network.
[00:00:09.337 --> 00:00:13.401]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.883 --> 00:00:24.903]  Welcome, my friends.
[00:00:24.903 --> 00:00:31.264]  The global financial meltdown is intensifying as we track it day by day here.
[00:00:31.264 --> 00:00:47.807]  The zombie population doesn't even have the slightest inkling what's happening, though we are able to unlock some of the zombies out of the false realities they're living in, the false constructs that they have been captured by.
[00:00:47.807 --> 00:00:53.008]  But still, the enemy operations expand against humanity worldwide.
[00:00:53.800 --> 00:00:57.543]  With devastating results on the population.
[00:00:57.543 --> 00:01:08.273]  Their black-op eugenics programs of extermination and planting the population with cancer viruses, blocking cancer treatment, carrying out aerial chemical biological radiological spraying continues.
[00:01:08.273 --> 00:01:12.917]  Their intensified attacks are mainly focused in the third world and against government forces.
[00:01:12.917 --> 00:01:15.980]  Their own forces upon discharge, of course, are implanted
[00:01:16.540 --> 00:01:18.681]  Uh, with the pathogens to kill them.
[00:01:18.681 --> 00:01:27.383]  Of course, we had another medical doctor, uh, Dr. Stan Monteith on yesterday, reading all the declassified public documents where your government is murdering you, police and military.
[00:01:27.383 --> 00:01:29.324]  Of course, you're still living in the false paradigm.
[00:01:29.324 --> 00:01:30.965]  Most of you have been so programmed.
[00:01:30.965 --> 00:01:32.205]  You're unable to break out.
[00:01:32.205 --> 00:01:35.066]  You have been systematically programmed to be laughing right now.
[00:01:35.066 --> 00:01:35.846]  It is not funny.
[00:01:35.846 --> 00:01:37.587]  That's part of your programming.
[00:01:37.587 --> 00:01:45.369]  Uh, we hope that, uh, just, uh, as a challenge, you would check out our claims and find out, uh, you and your family are being soft killed right now.
[00:01:47.043 --> 00:01:54.229]  Richard Cook, a former White House economic analyst, will be joining us coming up in 30 minutes.
[00:01:54.229 --> 00:02:03.877]  Then we have Bob Chapman joining us at 12.30 noon today, an hour and a half for his daily visit during the meltdown.
[00:02:03.877 --> 00:02:12.184]  And then I'm going to get some to the esoteric agenda of the New World Order and their language, their ancient esoteric language that is all around us.
[00:02:12.184 --> 00:02:13.646]  That's how they all communicate with each other.
[00:02:13.646 --> 00:02:15.027]  They're all taught the language.
[00:02:15.869 --> 00:02:24.157]  And it is a code broken centuries ago and available to all of us, but the average person is not even aware of it.
[00:02:24.157 --> 00:02:26.178]  The Global Crime Syndicate has its own language.
[00:02:26.178 --> 00:02:30.062]  We'll be breaking that down with Freeman.
[00:02:30.062 --> 00:02:35.807]  Coming up today on the radio show for an hour and a half, the last hour and a half of the show in studio.
[00:02:35.807 --> 00:02:41.552]  That will be live on PrisonPlanet.tv for all PrisonPlanet.tv members.
[00:02:42.068 --> 00:02:47.311]  And for the listeners on the InfoWars audio streams, we'll be skipping some of the breaks for you there.
[00:02:47.311 --> 00:02:50.953]  So, that is coming up today.
[00:02:50.953 --> 00:02:53.575]  In the news, Bank Run Continues has failed.
[00:02:53.575 --> 00:02:57.277]  IndyMac fails to deliver the money to their people.
[00:02:57.277 --> 00:03:01.059]  People show up and say, okay, the feds have backed this bank.
[00:03:01.059 --> 00:03:02.740]  I'm here to get my money.
[00:03:02.740 --> 00:03:07.182]  And the police say, if you complain and yell, we will arrest you.
[00:03:07.182 --> 00:03:08.463]  And they say, come back tomorrow.
[00:03:09.096 --> 00:03:13.540]  Then you come back tomorrow, we're now three days into this, and they say no money.
[00:03:13.540 --> 00:03:14.821]  And that's what you're going to look forward to.
[00:03:14.821 --> 00:03:18.123]  You're not even going to get your $100,000 back in many cases.
[00:03:18.123 --> 00:03:20.906]  And if you complain about it, you will be tasered.
[00:03:20.906 --> 00:03:23.228]  And if that isn't enough for you, we'll just shoot you.
[00:03:23.228 --> 00:03:25.670]  And when the cop's family's homeless too, they'll love it.
[00:03:25.670 --> 00:03:27.391]  You know, it's all part of it.
[00:03:27.391 --> 00:03:29.513]  It's all part of loving the private bankers.
[00:03:29.513 --> 00:03:30.654]  You know, I was thinking about it today.
[00:03:30.654 --> 00:03:32.175]  We've told you everything that was going to happen.
[00:03:32.175 --> 00:03:33.636]  I'm going to talk about that coming up.
[00:03:33.636 --> 00:03:36.058]  We just keep laying out everything that's going to happen.
[00:03:36.058 --> 00:03:36.979]  It just keeps happening.
[00:03:39.392 --> 00:03:45.036]  And I care about the police, but I'm just as disgusted with them as I am with the general public.
[00:03:45.036 --> 00:03:51.840]  It is just the mindlessness, the wanton ignorance.
[00:03:51.840 --> 00:03:53.721]  You're going to serve your masters, I know you are.
[00:03:53.721 --> 00:04:01.466]  And it isn't until you're old men, most of you, and old women, you'll cry your guts out seeing what fools you were.
[00:04:01.466 --> 00:04:06.349]  But at least then you'll realize that you were wrong, and that's what matters, isn't it?
[00:04:06.349 --> 00:04:07.630]  Repenting in the end.
[00:04:08.496 --> 00:04:10.317]  That is what matters.
[00:04:10.317 --> 00:04:15.520]  Changing your mind and your heart, even if it's at the very end.
[00:04:15.520 --> 00:04:26.266]  Even it's when you're dying of cancer at 35 and you finally go research and find out that we told you the truth and had all the government documents.
[00:04:26.266 --> 00:04:35.711]  At least before you die, you can tell your children, your wife, and some of your buddies on the force that when they die, it's their government.
[00:04:35.711 --> 00:04:37.012]  It's their criminal owners.
[00:04:38.106 --> 00:04:43.451]  We're going to come back and cover the intensifying criminal activity when we get back.
[00:04:43.451 --> 00:04:45.453]  I'm Alex Jones, 110% committed!
[00:04:53.078 --> 00:04:59.022]  Did you know that pH balance is one of the most important factors in maintaining high energy and vibrant health?
[00:04:59.022 --> 00:05:03.805]  Most experts agree that the water you drink should be at a pH level of 9 or higher.
[00:05:03.805 --> 00:05:09.228]  Plasma pH drops combine a unique formula of the most alkaline minerals and elements.
[00:05:09.228 --> 00:05:12.670]  This product is a one-of-a-kind in its strength and effectiveness.
[00:05:13.210 --> 00:05:13.611]  I'm good.
[00:05:27.947 --> 00:05:28.668]  It is a big idea.
