[00:00:05.410 --> 00:00:10.254]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:10.254 --> 00:00:11.835]  You want answers?
[00:00:11.835 --> 00:00:12.735]  Well, so does he.
[00:00:12.735 --> 00:00:17.579]  He's Alex Jones on the GCN Radio Network.
[00:00:17.579 --> 00:00:21.622]  And now, live from Austin, Texas, Alex Jones.
[00:00:24.605 --> 00:00:31.410]  You have found it, ladies and gentlemen, the front lines in the Info War, the very tip of the spear.
[00:00:31.410 --> 00:00:48.884]  I am Alex Jones, I'm your wartime broadcaster in the fight for our free republic against the forces of the Allied Crime Syndicate, the global crime syndicate known as the New World Order, carrying out their worldwide banking Ponzi scheme to bring down the free world and usher in a planetary world government.
[00:00:48.884 --> 00:00:50.185]  In the words of the
[00:00:50.865 --> 00:01:00.435]  Financial Times of London last week that is anti-democratic, ruled by the autocratic means of the private banking families.
[00:01:00.435 --> 00:01:06.481]  Congressman Ron Paul is scheduled to be joining us coming up in the next segment to the bottom of the hour.
[00:01:07.102 --> 00:01:22.717]  We then have Mike Rivera over as once a month visit joining us coming up in the second hour and then for two hours today we have Alan Watt of Cutting Through the Matrix joining us as well on this December 17, 2008 worldwide broadcast.
[00:01:28.010 --> 00:01:41.155]  In the news, the individual that threw his shoes at George Bush is facing attempted murder charges in Iraqi court and will serve at least 15 years in prison for hurling the shoes at Bush.
[00:01:41.155 --> 00:01:44.056]  The international press is reporting.
[00:01:44.056 --> 00:01:45.137]  So there you have it.
[00:01:45.137 --> 00:01:47.978]  Kill a million and a half Iraqis over five and a half years.
[00:01:47.978 --> 00:01:50.059]  You're called a neocon hero.
[00:01:50.059 --> 00:01:57.002]  Throw shoes at the front man for the mass murderers and you are charged with basically a law.
[00:01:58.101 --> 00:02:06.065]  In Iraq, dealing with the attempted murder of an Iraqi president or foreign president.
[00:02:06.065 --> 00:02:07.486]  We'll get more into that later.
[00:02:07.486 --> 00:02:11.608]  Canadian Prime Minister Stephen Harper believes a depression is coming.
[00:02:11.608 --> 00:02:13.329]  We'll be going over that report.
[00:02:13.329 --> 00:02:21.293]  Also, IMF chief issues start warning on economic crisis and says worldwide riots will soon take place if the economy is not jump-started.
[00:02:21.613 --> 00:02:33.542]  That's funny from the organization that put out internal memos about how to implode economies to cause riots so all confidence is lost and then everything can be bought up by these vultures for pennies on the dollar.
[00:02:33.542 --> 00:02:42.650]  Continuing with a powerful and very important report from PrisonPlanet.com by Steve Watson, Army Strategic Shock Report says troops may be needed to quell U.S.
[00:02:42.650 --> 00:02:43.430]  civil unrest.
[00:02:43.430 --> 00:02:50.175]  The Army's being specific about asking for rules of engagement against the American people and saying their need
[00:02:51.096 --> 00:02:55.597]  They're needing to basically prepare to attack the American people.
[00:02:55.597 --> 00:02:59.658]  We'll go over this from the Army War College itself later in the broadcast.
[00:02:59.658 --> 00:03:05.000]  Also, top executives, quote, would roll up their sleeves to fight cyber war, according to Think Tank study.
[00:03:05.000 --> 00:03:11.301]  Barack Obama has sworn to kill the old internet and bring us on the internet, too, that's highly regulated and controlled.
[00:03:11.301 --> 00:03:16.083]  And they are now creating a cyberspace committee made up of top IT CEOs.
[00:03:17.293 --> 00:03:22.456]  So that they can coordinate the destruction of the free internet.
[00:03:22.456 --> 00:03:31.320]  Also, all over the nation, counties, cities, states are raising different types of fines and fees and taxes and in New York, they're announcing 88 new fees and taxes.
[00:03:31.320 --> 00:03:32.781]  88 new fees and taxes.
[00:03:35.882 --> 00:03:49.972]  18% tax on soda, iPod tax, movie theater tax, sporting event tax, taxi tax, bus tax, limo tax, cable TV tax, radio tax, clothing tax, on and on and on.
[00:03:49.972 --> 00:03:54.495]  Total feudalism, total serfdom, squeezing the people into abject
[00:03:55.496 --> 00:03:56.436]  Poverty.
[00:03:56.436 --> 00:03:59.197]  And that is the governor wanting that statewide.
[00:03:59.197 --> 00:04:03.998]  They've got more than 50 new taxes they're proposing in New York City as well.
[00:04:03.998 --> 00:04:11.859]  Back into the financial front, Citibank's computers down, blocking account info.
[00:04:11.859 --> 00:04:18.421]  Customers of New York-based Citibank laid off 30-plus thousand employees and in deep financial trouble.
[00:04:18.421 --> 00:04:20.561]  Lost access to much of their account information.
[00:04:21.497 --> 00:04:26.580]  Because of a computer outage, they're claiming, though we've seen this with other banks before they go under.
[00:04:26.580 --> 00:04:27.980]  So we'll continue to follow that.
[00:04:27.980 --> 00:04:32.463]  And Madoff tries to stay out of jail as probe widens.
[00:04:32.463 --> 00:04:38.846]  It's well above $50 billion he stole, predominantly from pension funds and Jewish groups.
[00:04:38.846 --> 00:04:40.467]  That's the former head of the Nasdaq.
[00:04:40.467 --> 00:04:44.869]  That's these criminals running our society.
[00:04:44.869 --> 00:04:45.969]  It's all coming up today.
[00:04:45.969 --> 00:04:46.690]  Mike Rivero.
[00:04:47.530 --> 00:04:52.934]  And of course, Congressman Ron Paul as well as Alan Watt.
[00:04:52.934 --> 00:04:55.155]  Important broadcast on the 17th of December 2008.
[00:04:55.155 --> 00:05:00.279]  Our flagship websites are PrisonPlanet.com and InfoWars.com
[00:05:01.206 --> 00:05:02.888]  Hello friends, this is Alex Jones.
[00:05:02.888 --> 00:05:07.633]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:05:07.633 --> 00:05:10.597]  We need to be independent, and food and water is the key.
[00:05:10.597 --> 00:05:13.660]  You'll never have to stand in a bread line if you have your own bread.
[00:05:13.660 --> 00:05:19.507]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[00:05:19.767 --> 00:05:25.572]  Our elected representatives wanted a good ol' boy bailout for the special interest, so they ignored your screams not to do it.
[00:05:25.572 --> 00:05:27.413]  They turned off the telephones and email.
[00:05:27.413 --> 00:05:31.376]  They voted to print $850 billion at least out of thin air.
[00:05:31.376 --> 00:05:34.198]  This money now owns the American and European banks.
[00:05:34.198 --> 00:05:43.345]  The exploding inflation that is now guaranteed will slash your life savings to nothing and blast the cost of necessities, particularly food, beyond many Americans' reach.
[00:05:43.345 --> 00:05:47.809]  In pre-Nazi Germany's superinflation, the cost of a loaf of bread doubled every two days.
[00:05:48.069 --> 00:05:50.411]  Until it reached over 4 billion marks.
[00:05:50.411 --> 00:05:54.874]  Food prices are skyrocketing so fast, there seems as if there may be no end in sight.
[00:05:54.874 --> 00:06:00.558]  The private banks merging with our government are refusing to loan grocery stores enough money to restock their shelves.
[00:06:00.558 --> 00:06:03.800]  The stores have less food, but jack up prices to stay in business.
[00:06:03.800 --> 00:06:06.942]  Whatever happens in America, we need to be prepared and be ready.
[00:06:07.142 --> 00:06:08.963]  Everything is zeroing in on food.
[00:06:08.963 --> 00:06:13.044]  One-third of Americans have to choose between buying food and paying for other necessities.
[00:06:13.044 --> 00:06:17.165]  My friends, whatever it takes, get prepared, get self-sufficient, get food.
[00:06:17.165 --> 00:06:24.707]  For everybody out there listening, it's very important for you to understand that by having a supply of storable food, the government, the new old order, has a lot less control over you.
[00:06:24.707 --> 00:06:28.648]  And so it's a mindset, a mindset of self-sufficiency and preparedness.
[00:06:28.648 --> 00:06:31.509]  No one is going to take care of your family in the final equation but you.
[00:06:31.869 --> 00:06:38.851]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:06:38.851 --> 00:06:42.132]  And they do it at almost half the cost of last year's grocery prices.
[00:06:42.132 --> 00:06:43.052]  Call 1-800-409-5633.
[00:06:43.052 --> 00:06:47.293]  Or on the web, go to eFoodsDirect.com.
[00:06:47.293 --> 00:06:53.555]  Visit eFoodsDirect.com and look over the fine list of high quality, freeze-dried, and dehydrated foods they have to offer.
[00:06:53.555 --> 00:06:54.635]  Watch the free videos.
[00:06:54.875 --> 00:06:57.358]  Look at their online catalog or give them a call at 1-800-409-5633.
[00:06:57.358 --> 00:06:58.640]  Again, 800-409-5633 or on the web at efoodsdirect.com.
[00:06:58.640 --> 00:06:59.181]  Take action today.
[00:06:59.181 --> 00:07:00.482]  The first step is getting storable food.
[00:07:09.710 --> 00:07:12.494]  He's the T-Rex of political talk.
[00:07:12.494 --> 00:07:16.720]  Alex Jones on the GCN Radio Network.
[00:07:16.720 --> 00:07:17.521]  We are live.
[00:07:17.521 --> 00:07:19.264]  Thank you so much for joining us.
[00:07:19.264 --> 00:07:20.105]  It is December 17, 2008.
[00:07:20.105 --> 00:07:25.132]  We'll be live here for the next two hours and 52 minutes.
[00:07:26.735 --> 00:07:30.560]  Congressman Ron Paul is our guest until the bottom of the hour.
[00:07:30.560 --> 00:07:43.037]  He said time and time again, going back many years ago, it's in my film Matrix of Evil, when he gave a speech here in Austin, saying that when the Federal Reserve System collapses the economy, when they go into hyperinflation,
[00:07:44.434 --> 00:08:00.121]  They will either succeed in setting up their world government out of that crisis, or we will succeed in laying the groundwork to educate the public about the fact that these supposed saviors are really the author of our financial doom, the doom of our prosperity.
[00:08:00.121 --> 00:08:01.841]  We are now at that crossroads.
[00:08:01.841 --> 00:08:05.143]  This is the critical time for all those that love liberty.
[00:08:05.843 --> 00:08:09.768]  to educate their friends, family, neighbors, the media about what we truly face.
[00:08:09.768 --> 00:08:24.307]  That's why the Federal Reserve has dispatched their bank governors and thousands of their employees to public schools, to corporate conferences, to universities to brainwash the public that they're actually our saviors.
[00:08:24.867 --> 00:08:29.291]  And so we are joined now to the bottom of the hour by Congressman Ron Paul.
[00:08:29.291 --> 00:08:37.537]  Sir, you've said this is a key time for us and on the House Banking Committee, you're one of the lone voices really exposing what's happening.
[00:08:37.537 --> 00:08:40.900]  What is this opportunity and how do we do away with the Federal Reserve?
[00:08:42.028 --> 00:08:52.680]  I think everybody knows we're in a crisis right now, and they have now gotten to the point where they don't trust the government, which is healthy.
[00:08:52.680 --> 00:08:55.624]  A lot of people are begging and pleading and they're lining up.
[00:08:55.624 --> 00:09:02.632]  You know, the average guy outside of Washington, especially so many of the young people, are realizing that it's all been a hoax.
[00:09:03.412 --> 00:09:24.785]  And this is the time to really expose the hoax, so although I've been trying to do that for 30 years to prevent the problems, I think we have a real opportunity now to direct our attention to the real culprit, and that is those who control the monetary system, those who counterfeit our money and cause these financial bubbles, and then the recessions, and now they're working real hard on a depression.
[00:09:27.107 --> 00:09:31.090]  It's easy to become despondent and I know a lot of people say, why waste your time?
[00:09:31.090 --> 00:09:36.074]  You can't do this and we should just escape and buy guns and all this kind of thing.
[00:09:36.074 --> 00:09:41.418]  But you know, I think we should see this as an opportunity because we have made inroads.
[00:09:41.418 --> 00:09:48.965]  I think computers and websites and talk radio and the internet has given us a real opportunity to spread our message.
[00:09:48.965 --> 00:09:53.969]  So hopefully I'm not being overly optimistic, but I see it as a chance for us to get our message out.
[00:09:55.069 --> 00:10:10.770]  Congressman, specifically, eight weeks ago, Congressman Sherman, Senator Inhofe is now on record, that in closed joint committee meeting, that Secretary of the Treasury Paulson and Bernanke threatened them with physical martial law.
[00:10:10.990 --> 00:10:25.773]  Not House Rules Martial Law, but Physical Martial Law, and said there will be a depression next Monday, a total stock market collapse if you don't do this, and they promised the public total transparency in the Banker Bill, but I read it, it was clearly a takeover.
[00:10:26.694 --> 00:10:32.138]  Now, Bloomberg reports, as of a week and a half ago, $8.5 trillion stolen.
[00:10:32.138 --> 00:10:47.308]  The Bloomberg original lawsuit, going back six weeks ago when $2 trillion had gone up missing, the Federal Reserve is telling Congress, telling the people, refusing Foyer request, saying it's secret where the trillions went.
[00:10:47.308 --> 00:10:55.874]  Can you speak to, A, the fact that they literally terrorize the public and the Congress to go along with the banker takeover bill?
[00:10:56.494 --> 00:11:08.793]  And then now, in the aftermath, we see a financial dictatorship forming with the Financial Times of London last week calling for world government and saying the bankers shall be the rulers of the world government.
