[00:00:04.813 --> 00:00:06.134]  Big Brother.
[00:00:06.134 --> 00:00:07.896]  Mainstream media.
[00:00:07.896 --> 00:00:09.657]  Government cover-ups.
[00:00:09.657 --> 00:00:11.239]  You want answers?
[00:00:11.239 --> 00:00:12.780]  Well, so does he.
[00:00:12.780 --> 00:00:16.984]  He's Alex Jones on the GCN Radio Network.
[00:00:16.984 --> 00:00:21.048]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.505 --> 00:00:32.767]  Welcome, ladies and gentlemen.
[00:00:32.767 --> 00:00:34.309]  Welcome and thank you for joining us.
[00:00:34.309 --> 00:00:36.552]  It is the 30th day of June on this Tuesday edition.
[00:00:36.552 --> 00:00:37.293]  Tuesday, June 30th, 2009.
[00:00:37.293 --> 00:00:40.298]  We're going to be live here for the next four hours.
[00:00:47.861 --> 00:00:57.305]  Coming up in the next hour, we have climatologist Dr. Tim Ball coming on to break down what's really happening with supposed climate change.
[00:00:57.305 --> 00:01:14.832]  They're basically teaching children now that the seasons are abnormal, and that we've got to have basically 76 degrees year-round, or we've got to have population reduction to stop it, and polar bears can't swim, and so we've got to give up all of our rights and liberties as well.
[00:01:15.532 --> 00:01:19.093]  So Dr. Tim Ball joining us.
[00:01:19.093 --> 00:01:28.477]  We are also going to get an individual called Spencer Pratt on.
[00:01:28.477 --> 00:01:34.739]  And the reason I'm having this individual on is I don't read the tabloids.
[00:01:34.739 --> 00:01:37.820]  I don't watch TMZ on TV.
[00:01:37.820 --> 00:01:39.901]  I really don't know who any of these people are.
[00:01:39.901 --> 00:01:44.643]  I hardly know who Paris Hilton is, but these are
[00:01:46.778 --> 00:01:51.861]  These are, I guess, another echelon, a lower echelon of people like that.
[00:01:51.861 --> 00:02:14.234]  What's interesting is, though, that they, I guess, have been twittering back and forth with the Cyrus girl that plays Hannah Montana, and so we had hundreds and hundreds of emails an hour yesterday coming in and thousands of twitters coming in asking us about us, and hey,
[00:02:15.171 --> 00:02:23.676]  If I can use the system's own ridiculous hype machine to reach young people about real issues and not Michael Jackson and Paris Hilton, I'll do it.
[00:02:23.676 --> 00:02:36.943]  So we'll talk to this individual about the Twitter phenomenon, his MTV TV show, and supposedly he's waking up, he and his girlfriend are waking up to the New World Order and figuring out that
[00:02:38.450 --> 00:02:48.475]  Running around, I guess, basking in the media glow for absolutely no reason is not as important as the whole world government coming down on top of us.
[00:02:48.475 --> 00:02:50.655]  But that's coming up in the last hour of the show.
[00:02:50.655 --> 00:02:52.336]  We'll have them on 20 minutes or so.
[00:02:52.336 --> 00:03:02.461]  That should be always informative to try to find out from this sector of society that is, I don't know what you call it,
[00:03:03.479 --> 00:03:06.640]  Kinda like the heart of the hype machine.
[00:03:06.640 --> 00:03:07.821]  What is Paris Hilton?
[00:03:07.821 --> 00:03:13.163]  What is all of that?
[00:03:13.163 --> 00:03:15.905]  Just tabloid for tabloid's sake.
[00:03:15.905 --> 00:03:22.768]  It's tabloid fame, not even stemming from any type of media fame.
[00:03:22.768 --> 00:03:28.410]  Basically everybody in the office knows who these people are and I have no idea who they are.
[00:03:28.410 --> 00:03:29.511]  Really doesn't even register.
[00:03:30.680 --> 00:03:42.046]  But we'll delve into that area and see how many people that this gentleman knows who are kind of in this strata of media that are waking up to the New World Order.
[00:03:42.046 --> 00:03:49.669]  Because when I talk to some music legend icon who's waking up but doesn't want to come on the air, I can't ever get into it.
[00:03:49.669 --> 00:03:55.252]  Or when I talk to some famous director who's awake to the New World Order but doesn't want to come on air, I don't talk about it.
[00:03:56.485 --> 00:04:01.335]  When I talk to some high-level politician who's a fan of the show but doesn't want to come on there, I can't get him on.
[00:04:01.335 --> 00:04:06.966]  I can get a Jesse Ventura, a Willie Nelson, a Charlie Sheen, a Rick Linklater.
[00:04:08.885 --> 00:04:13.408]  You know, we told you three or four months before it was in the news that we'd woken up Bruce Willis.
[00:04:13.408 --> 00:04:18.371]  I mean, we have those type of successes, but most of the successes we can't ever tell you about.
[00:04:18.371 --> 00:04:31.380]  And look, if we can get the Hollywood people, instead of them being controlled leftist or controlled right-wing Republicans, that is a major wound to the New World Order and their entire system.
[00:04:31.380 --> 00:04:37.484]  So, we'll delve into that some in the last hour today, as we reach out to the tweenies and the teens and
[00:04:39.091 --> 00:04:54.783]  All of the little Demi celebrities and that whole system of principalities on the whole MTV circuit.
[00:04:54.783 --> 00:04:57.125]  All right, we'll be right back, ladies and gentlemen.
[00:04:57.125 --> 00:04:58.326]  Key News straight ahead.
[00:05:00.595 --> 00:05:06.440]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:05:06.440 --> 00:05:15.027]  Check out SupernaturalSilver.com today, or visit the link on Infowars.com to find out more about this incredible new silver compound.
[00:05:15.027 --> 00:05:21.813]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:05:22.133 --> 00:05:27.896]  This new technology has proven itself to be a formidable weapon against bio threats of today and tomorrow.
[00:05:27.896 --> 00:05:34.199]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to four hours.
[00:05:34.199 --> 00:05:40.862]  The new silver solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:05:40.862 --> 00:05:45.504]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:05:45.504 --> 00:05:48.486]  Check out the patented new silver solution today.
[00:05:48.886 --> 00:05:52.567]  Click on the link and check out the uses for New Silver Solution.
[00:05:52.567 --> 00:05:57.389]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:05:57.389 --> 00:06:01.030]  That's SupernaturalSilver.com today.
[00:06:01.030 --> 00:06:06.852]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[00:06:06.852 --> 00:06:13.855]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[00:06:14.432 --> 00:06:21.018]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:06:21.018 --> 00:06:23.000]  Well, Obama's already fudging.
[00:06:23.000 --> 00:06:25.502]  He's fudged since day one of this election.
[00:06:25.502 --> 00:06:37.073]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[00:06:37.073 --> 00:06:38.755]  It's not about left or right.
[00:06:38.755 --> 00:06:40.096]  It's about a one-world government.
[00:06:40.589 --> 00:06:47.492]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:06:47.492 --> 00:06:55.755]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:06:55.755 --> 00:06:57.335]  The Obama Deception.
[00:06:57.335 --> 00:06:58.536]  The people strike back.
[00:07:00.658 --> 00:07:05.180]  Are you fed up with all the side effects of chemicals in your shampoos and detergents?
[00:07:05.180 --> 00:07:10.282]  Even fragrances can signal some 4,000 separate ingredients, most of which are synthetic.
[00:07:10.282 --> 00:07:11.783]  Hi folks, Alex Jones here.
[00:07:11.783 --> 00:07:15.405]  Why not go back to basics and be safe with Calbin Pure Soaps?
[00:07:15.405 --> 00:07:20.807]  They're all natural and you'll save some 85% the money you're spending for your cleaning products now.
[00:07:20.807 --> 00:07:26.590]  Marty Schachter founded Calbin Soap Company in 1947 and provided products for health institutions.
[00:07:26.910 --> 00:07:29.431]  Now, Calvin Soaps are available to you and me.
[00:07:29.431 --> 00:07:31.952]  Triple concentrated for all your cleaning needs.
[00:07:31.952 --> 00:07:34.373]  From bathing and laundry to dishes, hair and more.
[00:07:34.373 --> 00:07:35.573]  No harsh chemicals.
[00:07:35.573 --> 00:07:36.773]  No animal testing.
[00:07:36.773 --> 00:07:38.094]  I use them and love them.
[00:07:38.094 --> 00:07:39.995]  Knowing they're all natural and safe.
[00:07:39.995 --> 00:07:41.415]  And I say big time.
[00:07:41.415 --> 00:07:42.656]  Call Calvin Pure Soap at 1-800-340-7091.
[00:07:42.656 --> 00:07:42.896]  That's 1-800-340-7091.
[00:07:42.896 --> 00:07:44.576]  Or log on to 5starsoap.com now for a free catalog.
[00:07:52.899 --> 00:08:01.386]  Again, that number, 1-800-340-7091 or 5starsoap.com for all your cleaning needs.
[00:08:01.386 --> 00:08:07.070]  He's the T-Rex of political talk, Alex Jones on the GCN Radio Network.
[00:08:36.293 --> 00:08:41.844]  Okay, ladies and gentlemen, here is the rundown of what we're going to cover today in the four-hour transmission.
[00:08:44.198 --> 00:08:44.878]  Red alert!
[00:08:44.878 --> 00:08:48.819]  The total takeover of America enters its final phase.
[00:08:48.819 --> 00:08:55.380]  I want to thank listeners yesterday when this story went up on PrisonPlanet.com for making it go mega viral.
[00:08:55.380 --> 00:08:56.140]  Supernova!
[00:08:56.140 --> 00:08:57.401]  It is all over the web.
[00:08:57.401 --> 00:09:12.744]  Let's continue to push it out there because everybody's looking at the federal takeover of health care, the federal looting of the Second Amendment, the federal takeover of all carbon activity, all industry, everyone's homes, with the greenhouse gas tax
[00:09:13.604 --> 00:09:16.145]  Passing the House, racing through the Senate.
[00:09:16.145 --> 00:09:26.008]  They see the Clean Water Restoration Act, total federalization of all land in the United States because of water above ground or below ground, total jurisdiction, total criminality.
[00:09:26.008 --> 00:09:32.591]  They see the absolute amnesty bill for complete legalization of all illegal aliens, racing through the House.
[00:09:32.591 --> 00:09:36.032]  But they see it all individually as separate pieces.
[00:09:36.032 --> 00:09:40.874]  At the bottom of the hour, I'm going to read all of Paul Joseph Watson's article
[00:09:42.384 --> 00:09:49.486]  On air, titled, Red Alert, the total takeover of America enters its final phase.
[00:09:49.486 --> 00:09:58.268]  And he's got six red alert points in here, and there's many others, but these are the six big ones.
[00:10:01.621 --> 00:10:03.461]  It is now final.
[00:10:03.461 --> 00:10:06.822]  House procedural rules are very confusing, depending on how a final vote was called.
[00:10:06.822 --> 00:10:08.762]  We talked to Ron Paul's office yesterday.
[00:10:08.762 --> 00:10:11.783]  That original story we got off the Daily Paul was incorrect, but nobody's perfect.
[00:10:11.783 --> 00:10:14.243]  We all make mistakes.
[00:10:14.243 --> 00:10:19.004]  There was not a chance to call and get them to do a motion to reconsider the way the vote was originally called.
[00:10:19.004 --> 00:10:20.405]  So that's a done deal in the House.
[00:10:20.405 --> 00:10:27.046]  I guess we were kind of doing a ghost dance or something, wishing that we could reverse what happened in the House.
[00:10:29.335 --> 00:10:31.276]  And now it's in the Senate.
[00:10:31.276 --> 00:10:46.565]  And Ron Paul's on record, we're going to play that clip later, saying he talked to a bunch of Democrats, they know it's criminal, they know it's going to kill the economy, they know it's going to shut everything down, but they will be destroyed by lobbyists, and the lobbyists will fund their opposition.
[00:10:46.565 --> 00:10:56.151]  And the American people are drugged out of their minds watching TV all day and obsessed with celebrities and Michael Jackson, so they won't go out and support these Congress people, so they just sell out to the foreign banks.
[00:10:57.793 --> 00:11:04.158]  And that's what's happening right now, it's just an absolute corporate takeover of the country, so I'm going to cover that story.
[00:11:04.158 --> 00:11:09.282]  Iraqis cheer and fear, CNN reports, U.S.
[00:11:09.282 --> 00:11:12.244]  pullout from cities.
[00:11:12.244 --> 00:11:13.605]  And this was the plan all along.
[00:11:13.605 --> 00:11:21.652]  After six years and three and a half months of occupation, and eleven years of siege before that,
[00:11:24.085 --> 00:11:33.893]  Let me see, 1991 to 2003, that's almost 12 years of siege and then six years plus of occupation.
[00:11:33.893 --> 00:11:36.675]  They've built giant permanent bases.
[00:11:36.675 --> 00:11:38.337]  One of them holds 6,000 people.
[00:11:38.337 --> 00:11:39.658]  They call it an embassy.
[00:11:39.658 --> 00:11:52.608]  That's a shadow government parasite operation that has giant, you know, armed paramilitary intelligence forces inside who then run all the secret police and the torture gangs and the hit squads.
[00:11:52.608 --> 00:11:53.349]  That's all on record.
[00:11:54.915 --> 00:11:59.117]  And so they're going to keep 50,000 to 80,000 troops.
[00:11:59.117 --> 00:12:02.879]  They still got 160,000 over there right now.
[00:12:02.879 --> 00:12:07.881]  But the plan has always been under Bush and under Obama to keep 50,000 to 80,000.
[00:12:07.881 --> 00:12:09.502]  They debate the different numbers.
[00:12:09.502 --> 00:12:10.263]  50,000 to 80,000.
[00:12:15.629 --> 00:12:26.254]  Fifty to eighty thousand troops there permanently, and then rotate the other troops over into Pakistan and Afghanistan, and into Georgia and circling Russia.
[00:12:26.254 --> 00:12:28.275]  So that's what's happening with the troops.
[00:12:28.275 --> 00:12:41.882]  They've already conquered one zone, and part of the force, the Army of the New World Order is what it is, is moving on like locusts to the next field.
[00:12:41.882 --> 00:12:43.743]  So we'll go over some of that today.
[00:12:46.764 --> 00:13:07.545]  challenged to read a health care bill before voting on it and Republican leadership is now coming out and saying we are challenging the Democrats to allow us to read this because what they do is they bring out some of the proposals they bring out normally about thirty percent of the bill
[00:13:08.513 --> 00:13:10.716]  Like this last one was $1,300 finally.
[00:13:10.716 --> 00:13:12.498]  They were adding pages, pulling pages.
[00:13:12.498 --> 00:13:14.320]  It was over $1,500 at one point.
[00:13:14.320 --> 00:13:16.022]  They now admit it went back down to $1,250 or so.
[00:13:18.320 --> 00:13:26.346]  So, it's being expanded, it's having parts removed, the lobbyists are all in there, swarming over it, the foreign lobbyists predominantly.
[00:13:26.346 --> 00:13:28.488]  The Congress isn't even allowed to see it.
[00:13:28.488 --> 00:13:34.032]  Only a key few committee chairmen and their staff, which are bought and paid for by the lobbyists, by their handlers.
[00:13:34.032 --> 00:13:35.973]  And this is all on record, this is admitted.
[00:13:35.973 --> 00:13:46.261]  They've had the Republican and Democratic leaders of the House and Senate admit, quote, banks control Congress.
[00:13:46.261 --> 00:13:47.462]  It's completely dominated.
[00:13:50.623 --> 00:13:57.348]  And so they're not letting the rank-and-file Democrats or any of the Republicans see the health care bill.
[00:13:57.348 --> 00:14:03.673]  And what they'll do is, now, this week, into next week, they're blitzing us.
[00:14:03.673 --> 00:14:04.634]  They're blitzkrieging us.
[00:14:04.634 --> 00:14:06.716]  They're just racing past us.
[00:14:06.716 --> 00:14:18.705]  They're going to try to pass this thing lock, stock, and barrel, hook, line, and sinker, bum-rushing us, just like a linebacker
[00:14:20.762 --> 00:14:24.943]  You know, taking down one of the wide receivers and breaking his ribs, he hits him so hard.
[00:14:24.943 --> 00:14:31.326]  That's what they're doing to the American people right now.
[00:14:31.326 --> 00:14:34.167]  And they're saying, can we please just see it?
[00:14:34.167 --> 00:14:39.008]  And they're saying, no, sit down, shut up, this is the pimp game.
[00:14:39.008 --> 00:14:49.652]  And it's the same thing on total amnesty for the illegal aliens, same thing on the new federalization, Federal Reserve bill.
[00:14:50.649 --> 00:15:00.098]  That will not just give them unlimited money and power and no oversight, they already have that, but allow them to seize any and all businesses, lands, just total dictatorship.
[00:15:00.098 --> 00:15:06.404]  The Supreme Court is in line with that with the new London Kelo decision on seizing private property for private interest.
[00:15:06.404 --> 00:15:08.445]  I mean, it's here.
[00:15:08.445 --> 00:15:14.171]  This is the third world receivership, just like the IMF and World Bank take third world countries into receivership.
[00:15:15.580 --> 00:15:18.802]  So lawmakers challenged to read a health care bill before voting.
[00:15:18.802 --> 00:15:21.443]  That's out of Politico, we'll go over some of that.
[00:15:21.443 --> 00:15:27.166]  Ireland Commissioner says most EU countries would reject Libsyn Treaty, London Telegraph.
[00:15:27.166 --> 00:15:29.547]  Well, no kidding.
[00:15:29.547 --> 00:15:43.093]  They've only allowed three continental European countries, what, France, the Netherlands, and one other, to vote in the last five years on Libsyn Treaty expansion.
[00:15:43.093 --> 00:15:44.214]  Lisbon, I always call it
[00:15:46.884 --> 00:15:50.466]  Lisbon Treaty.
[00:15:50.466 --> 00:15:57.131]  Ireland commissioners say most EU countries would reject Lisbon Treaty.
[00:15:57.131 --> 00:16:00.734]  And Ireland voted last year and said no.
[00:16:00.734 --> 00:16:02.936]  The media kept saying it's going to be a landslide.
[00:16:02.936 --> 00:16:05.998]  Everybody's voting for it.
[00:16:05.998 --> 00:16:12.162]  Foreigners are trying to influence Irish to vote against it, which was actually the opposite.
[00:16:12.162 --> 00:16:13.744]  It was foreigners trying to push the
[00:16:14.944 --> 00:16:23.391]  Irish into going into the European Empire and waiving all their hard-won liberties and freedoms, the few they've got, after British domination.
[00:16:23.391 --> 00:16:27.835]  And that's all this EU is, is an amalgamation of the British and European and American Empire.
[00:16:30.171 --> 00:16:37.454]  And so the Irish saw through it, beat it by a huge margin, and so now they're back saying, it's gonna pass, everybody's for it!
[00:16:37.454 --> 00:16:47.139]  And they're targeting kind of the fad-driven, housewife or teenager type, or kind of Joe Six-Pack who just barely listens to the radio or reads the newspaper.
[00:16:47.139 --> 00:16:49.560]  Oh, all my fellow Irish are for it, I'm gonna vote for it.
[00:16:49.560 --> 00:16:51.181]  You know, just a mass hoax.
[00:16:51.181 --> 00:16:53.582]  Everybody's gonna vote for it, everybody wants it!
[00:16:55.762 --> 00:16:57.764]  That's the same stuff in the headlines.
[00:16:57.764 --> 00:17:00.806]  Foreigners are trying to pressure the Irish not to join.
[00:17:00.806 --> 00:17:03.689]  Well, the Irish aren't going to put up with foreign domination.
[00:17:03.689 --> 00:17:06.611]  They're going to waive all their rights and go under EU control.
[00:17:06.611 --> 00:17:10.435]  They play little mind games with you, but the Irish aren't buying.
[00:17:11.516 --> 00:17:25.880]  Now, see, the elite know the American people are so dumbed down, so ignorant of geography and world facts, that here they just tell us there is no American Union, and we're actually under it since 2005, under treaty, March 24th, 2005.
[00:17:25.880 --> 00:17:28.320]  It was signed.
[00:17:28.320 --> 00:17:30.321]  It's openly announced all over the world.
[00:17:30.321 --> 00:17:32.661]  They openly have North American Union summits.
[00:17:32.661 --> 00:17:38.203]  Bush even gave press conferences about merging the American Union with the European Union and the transatlantic agreement.
[00:17:39.116 --> 00:17:41.457]  With Merkel and Barroso, it's an endgame.
[00:17:41.457 --> 00:17:45.178]  And the public doesn't even know what continents are.
[00:17:45.178 --> 00:17:46.558]  Literally.
[00:17:46.558 --> 00:17:53.560]  The average American is like Miss South Carolina who can't even talk.
[00:17:53.560 --> 00:17:58.862]  Such as Americans, tax bugs, helping, freedom with them, good.
[00:17:58.862 --> 00:18:00.162]  In fact, let's cue her up.
[00:18:00.162 --> 00:18:03.243]  I want folks to hear that coming back if they need to be reminded.
[00:18:04.266 --> 00:18:15.555]  Now, sure, 30% of us or so know about geography, know about the world, basic facts, understand the Bill of Rights and the Constitution, but the elite are betting on the other 70% folks who don't even know if it's day or night sometimes.
[00:18:15.555 --> 00:18:27.745]  I mean, they're just in a mind-numb daze, going from one bestial, low-level instinct, satiating their basic programming to the next.
[00:18:27.745 --> 00:18:31.387]  But Ireland Commissioner says most EU countries would reject Lisbon Treaty.
[00:18:32.475 --> 00:18:41.545]  Ireland's EU Commissioner Charlie McGreevy has concluded that voters in most EU countries would reject the stalled Lisbon Treaty.
