[00:00:04.557 --> 00:00:05.858]  Big Brother.
[00:00:05.858 --> 00:00:07.639]  Mainstream media.
[00:00:07.639 --> 00:00:09.400]  Government cover-ups.
[00:00:09.400 --> 00:00:10.981]  You want answers?
[00:00:10.981 --> 00:00:12.542]  Well, so does he.
[00:00:12.542 --> 00:00:16.724]  He's Alex Jones on the GCN Radio Network.
[00:00:16.724 --> 00:00:25.129]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.129 --> 00:00:31.733]  After ClimateGate, PachariGate, GlacierGate, AmazonGate, and you've got
[00:00:33.012 --> 00:00:41.598]  Racketeering Globally, that document came out two months ago with the UN going and organizing key universities to engage in fraud.
[00:00:41.598 --> 00:00:46.582]  We go look at each university, Canada, Australia, the US, New Zealand, England.
[00:00:46.582 --> 00:00:55.188]  They are all cooking the books, cutting out temperature data that shows that we're cooling in the last 10 years at least.
[00:00:55.188 --> 00:00:58.991]  The heating ended 15 years ago.
[00:00:58.991 --> 00:01:00.872]  You've got Pachari making all this money.
[00:01:01.826 --> 00:01:17.144]  This is unprecedented because the entire globalist agenda for the UN-IMF World Bank to set up world taxation and to be able to shut down or curtail any industry that isn't part of their inside coterie, it's all imploding.
[00:01:17.144 --> 00:01:19.207]  But the battle isn't over.
[00:01:19.207 --> 00:01:20.428]  We've won a lot of big battles.
[00:01:20.428 --> 00:01:21.710]  We've now got the initiative.
[00:01:22.711 --> 00:01:25.552]  We can beat them, but they're in sconce, they're dug in.
[00:01:25.552 --> 00:01:29.373]  We're going to have to go house to house with these people in our towns, our cities.
[00:01:29.373 --> 00:01:33.634]  Schwarzenegger's organizing governors and mayors to take over locally.
[00:01:33.634 --> 00:01:36.854]  Absolute treason, and he needs to go back to his own country.
[00:01:36.854 --> 00:01:38.535]  They'll sure kick him out in Austria.
[00:01:38.535 --> 00:01:43.656]  James Dillingpole writes regularly for the Times of London, the Sunday Times, the Daily Telegraph.
[00:01:43.656 --> 00:01:45.016]  He's also a TV critic.
[00:01:45.016 --> 00:01:47.657]  The Spectator, he is the author of various novels, including
[00:01:48.937 --> 00:01:50.118]  And we'll tell you about some of those.
[00:01:50.118 --> 00:01:55.541]  Also, he's a best-selling author and one of the great analysts.
[00:01:55.541 --> 00:01:58.783]  Breaking down what these people are up to.
[00:01:58.783 --> 00:02:00.384]  We'll also give you his website.
[00:02:00.384 --> 00:02:12.732]  This is a short segment, but James, is it safe to say, or let me ask you this question, is this exploding in their face in an even bigger fashion than you thought ClimateGate would originally?
[00:02:13.370 --> 00:02:14.110]  Definitely.
[00:02:14.110 --> 00:02:17.171]  You know, I thought Christmas had come early with climate change.
[00:02:17.171 --> 00:02:21.073]  It seems that next Christmas has come early as well because this has been fantastic.
[00:02:21.073 --> 00:02:26.095]  We are having so many scandals, I almost can't keep up with it.
[00:02:26.095 --> 00:02:27.075]  But that's the good news.
[00:02:27.075 --> 00:02:31.237]  The bad news is, as Shakespeare said, we have scotched the snake.
[00:02:34.255 --> 00:02:41.421]  I think the great AGW, anthropogenic global warming snake, is much more dangerous now it's wounded.
[00:02:41.421 --> 00:02:53.952]  I think you're going to see all sorts of devious attempts by the IPCC, by the various green movements, to try and trick their way out of the situation and we've got to be on our guard.
[00:02:55.305 --> 00:03:06.068]  They've gone from stonewalling to now the BBC, The Age and others going, oh, there were a few bad scientists that meant well because they know how real the problem is.
[00:03:06.068 --> 00:03:13.649]  And we now see the IPCC head and others saying, well, we did want to make it look worse because it is a real problem.
[00:03:13.649 --> 00:03:16.330]  So now they're saying we lied to save you.
[00:03:16.917 --> 00:03:18.318]  Well, it's interesting, Alex.
[00:03:18.318 --> 00:03:24.060]  Are you familiar with Dr. Rajendra Pachauri, the guy in charge, the beardy guy?
[00:03:24.060 --> 00:03:27.142]  He looks a bit like... I call him the troll impersonator.
[00:03:27.142 --> 00:03:29.963]  He looks a bit like Saruman from Lord of the Rings.
[00:03:29.963 --> 00:03:34.605]  Well, he looks like Osama Bin Laden's older brother.
[00:03:34.605 --> 00:03:35.625]  He does, he does!
[00:03:35.625 --> 00:03:36.606]  His ugly older brother.
[00:03:39.192 --> 00:03:55.363]  Dr Pachauri is in charge of the IPCC, the Intergovernmental Panel on Climate Change, and as you know, he's been exposed for having all sorts of extraordinarily diverse business connections.
[00:03:55.363 --> 00:03:58.265]  He's heavily involved in carbon trading.
[00:03:58.265 --> 00:04:03.509]  He's even got an involvement in an oil company, which is kind of weird, given that he's supposed to be saving the planet.
[00:04:08.382 --> 00:04:08.902]  We're good to go.
[00:04:25.669 --> 00:04:35.154]  Stay there, James.
[00:04:35.154 --> 00:04:41.558]  James Dillingpole, top writer over in England, author, researcher, somebody who's really been tracking this fraud.
[00:04:41.558 --> 00:04:42.938]  Long segment coming up.
[00:04:42.938 --> 00:04:47.521]  I want to just go through all the new scandals one by one, each one
[00:04:48.141 --> 00:04:49.742]  Dwarfing Climategate.
[00:04:49.742 --> 00:04:51.043]  Each one more wild.
[00:04:51.043 --> 00:04:51.964]  And you said it.
[00:04:51.964 --> 00:04:54.146]  It's five or six new scandals a day.
[00:04:54.146 --> 00:04:57.008]  I can't even keep track of it, but we're gonna try here today.
[00:04:57.008 --> 00:04:59.550]  Stay with us.
[00:04:59.550 --> 00:05:03.673]  This is Alex Jones, and I want to tell you about the Ecola Blue Atmospheric Water Generator.
[00:05:03.673 --> 00:05:06.555]  It produces pure drinking water right from the humidity in the air.
[00:05:06.555 --> 00:05:07.816]  No, this isn't science fiction.
[00:05:07.816 --> 00:05:08.637]  It's very real.
[00:05:08.637 --> 00:05:10.858]  I know because I use one every day in my own home.
[00:05:10.858 --> 00:05:12.520]  And it's available right now to you.
[00:05:12.520 --> 00:05:16.843]  Because you know exactly where your water comes from with Ecola Blue, you'll know what's in your cup.
[00:05:16.983 --> 00:05:19.544]  Clean, great tasting water without all the pollutants.
[00:05:19.544 --> 00:05:25.566]  Get your family off the grid today by ordering your own Ecolablue Atmospheric Water Generator for your home or business.
[00:05:25.566 --> 00:05:30.347]  Their best seller, the Ecolablue 28, produces up to 7 gallons of water every day.
[00:05:30.347 --> 00:05:33.168]  The Ecolablue 28 is easy to use and economical.
[00:05:33.168 --> 00:05:35.909]  Generate your own pure water from the humidity in the air.
[00:05:35.909 --> 00:05:43.051]  This system is free of chemicals and uses a multi-stage filtration system, including reverse osmosis, carbon filters, and ultraviolet lights.
[00:05:43.351 --> 00:05:47.092]  Order now and claim your water independence today by calling a Coloblue at 1-800-691-6043.
[00:05:47.092 --> 00:05:47.352]  That's 1-800-691-6043.
[00:05:47.352 --> 00:05:49.013]  Or visit a Coloblue on the web at www.ecoloble.com today.
[00:06:00.678 --> 00:06:02.900]  He's the T-Rex of political talk.
[00:06:02.900 --> 00:06:08.704]  Alex Jones on the GCN Radio Network.
[00:06:08.704 --> 00:06:12.066]  We have the best-selling author of Obama Land.
[00:06:12.066 --> 00:06:15.148]  I've seen the future and it doesn't work.
[00:06:15.148 --> 00:06:18.050]  Journalist Mr. Dillingpole with us.
[00:06:18.050 --> 00:06:20.652]  His website is jamesdillingpole.com.
[00:06:20.652 --> 00:06:23.054]  And he's with us for the rest of the hour.
[00:06:23.054 --> 00:06:28.238]  Now, if you just joined us, we're going to chronicle the aftermath of Climategate.
[00:06:29.557 --> 00:06:39.545]  And it's kind of like a battle at sea where you torpedo a big ship and it starts exploding and burning but then the magazine
[00:06:40.578 --> 00:06:48.505]  We're all of its explosives and artillery shells are stored ignites and the whole ship just blows up.
[00:06:48.505 --> 00:06:50.447]  Now they're still in our local towns and cities.
[00:06:50.447 --> 00:06:52.128]  They've invested hundreds of billions.
[00:06:52.128 --> 00:06:58.694]  They're not going to stop, but their capital ship, their main flagship has completely exploded.
[00:06:58.694 --> 00:07:01.096]  They are now known as frauds, but they don't care.
[00:07:01.096 --> 00:07:02.658]  They're going to continue on.
[00:07:02.658 --> 00:07:05.500]  So we're going through the UN climate chief.
[00:07:06.441 --> 00:07:15.965]  Uh, who is admitting all these errors in their reports, but it's coming out that they, quote, did want to make it look worse so that we would accept them saving us.
[00:07:15.965 --> 00:07:26.029]  And, of course, he makes money off shutting down ancient, and when I say ancient, some of the oldest and best steel mills, uh, forges in England.
[00:07:26.029 --> 00:07:29.571]  And the government pays him to then set one up in India.
[00:07:30.291 --> 00:07:32.874]  So this is also a hijacking of industry.
[00:07:32.874 --> 00:07:39.321]  We're covering that scandal first, then we're going to get into all the other scandals with Mr. Dillingpole.
[00:07:39.321 --> 00:07:40.102]  Please continue, sir.
[00:07:57.824 --> 00:07:58.524]  We're good to go.
[00:08:17.918 --> 00:08:26.560]  This guy has got connections with the Chicago Carbon Exchange, which, of course, his shareholders include Goldman Sachs and Al Gore.
[00:08:26.560 --> 00:08:28.181]  So, you know, the net broadens.
[00:08:28.181 --> 00:08:34.923]  There are a lot of very rich people and organizations who are involved in this massive scam.
[00:08:34.923 --> 00:08:42.905]  And so Pachauri Gage, as we call it, is this guy being exposed as being compromised, let us say.
[00:08:43.605 --> 00:08:48.954]  Then after Pachauri Gate we get this thing called Glacier Gate.
[00:08:48.954 --> 00:08:56.566]  It turns out that the United Nations, the IPCC's fourth assessment report, you know,
[00:08:58.565 --> 00:09:13.961]  The most accurate, up-to-date, most scientifically reliable report on the state of the planet, climate-wise, tells us that the world's glaciers could be gone by 2035.
[00:09:13.961 --> 00:09:18.805]  Now, 2035 is not very far away, is it?
[00:09:18.805 --> 00:09:21.348]  And so that's kind of quite a scary prospect.
[00:09:21.348 --> 00:09:22.029]  Could it be that
[00:09:27.771 --> 00:09:28.932]  I don't know.
[00:09:52.257 --> 00:09:58.180]  2,000 expert scientists in their field, 2,500 peer-reviewed scientists, we're told.
[00:09:58.180 --> 00:10:02.964]  How come this mistake got slipped into this reliable report?
[00:10:02.964 --> 00:10:10.589]  Well, it turns out that the IPCC plays pretty fast and loose with its scientific facts.
[00:10:10.589 --> 00:10:15.312]  It got this from a magazine article in New Scientist.
[00:10:16.039 --> 00:10:20.786]  Where did New Scientist get this information from about the glaciers melting by 2035?
[00:10:20.786 --> 00:10:27.415]  It got this information from a conversation on a mobile phone with an Indian.
[00:10:30.401 --> 00:10:37.465]  Now James Dillingpole investigating this for major publications in England and the United States
[00:10:57.967 --> 00:11:02.408]  We know that when they have this mantra of, but it's peer-reviewed.
[00:11:02.408 --> 00:11:04.509]  It's peer-reviewed.
[00:11:04.509 --> 00:11:12.811]  Ignore ClimateGate and one of the main climate facilities used by the UN at East Anglia, England.
[00:11:12.811 --> 00:11:15.852]  Ignore the fact that they are trying to hide decline.
[00:11:15.852 --> 00:11:22.254]  We have all these other scientists all peer-reviewed, but when you look at it, they are all using the data collated
[00:11:22.774 --> 00:11:22.934]  Yep.
[00:11:53.294 --> 00:11:54.135]  That's absolutely right.
[00:11:54.135 --> 00:11:59.477]  I think whenever you hear somebody use the phrase peer-reviewed, you should reach for your Browning.
[00:11:59.477 --> 00:12:07.379]  Because peer-reviewed, I'm sorry to say, is a bankrupt notion since Climategate.
[00:12:07.379 --> 00:12:07.980]  Because what the
[00:12:08.920 --> 00:12:09.640]  I don't think so.
[00:12:27.268 --> 00:12:29.049]  But in the new science, you're not allowed to question Al Gore.
[00:12:29.049 --> 00:12:29.509]  He says it's settled.
[00:12:29.509 --> 00:12:30.089]  That's the end of it.
[00:12:47.737 --> 00:12:59.183]  But isn't it worse, sir, because they're not just only allowing a small inner group to produce these fake studies that have been proven to all be absolute fraud.
[00:12:59.183 --> 00:13:01.984]  They will never release the data.
[00:13:01.984 --> 00:13:06.607]  And now, because the data is being forced to be released, we find out when you actually go to Russia.
[00:13:07.307 --> 00:13:07.607]  Well, I know.
[00:13:07.607 --> 00:13:13.371]  I mean, have you seen the fantastic report released today by Joseph DiLeo, who's a meteorologist, and Anthony Watts of the famous What's Up With That?
[00:13:37.447 --> 00:13:39.307]  It's fantastic.
[00:13:39.307 --> 00:13:44.708]  It says, Surface Temperature Records, Policy-Driven Deception.
[00:13:44.708 --> 00:14:03.912]  And what it argues, this very thorough report, is that the surface data records from the last century or so are so corrupt and unreliable that we cannot even be sure that any global warming whatsoever has taken place in the last century or so.
[00:14:04.397 --> 00:14:06.559]  And they've got a lot of tricks too.
[00:14:06.559 --> 00:14:29.777]  All over the world, this is on record now, we posted the mainstream articles where they admit it, in the last 20 years these funded groups have set up their own reading systems or they have contracted with airports or they've contracted with weather centers on top of buildings where they know the temperature is going to be many degrees hotter and that's another way.
[00:14:31.084 --> 00:14:34.165]  Well, the urban heat island effect.
[00:14:34.165 --> 00:14:57.654]  What this means is that the weather sites, you know, where temperatures have been measured around the world, originally they were built maybe on the edge of town, and as civilization, as cities have grown in size, so the area surrounding the weather gauge has become, you know, more and more built up.
[00:14:57.654 --> 00:14:59.495]  Some of these things are sited near airports.
[00:14:59.855 --> 00:15:13.792]  So what this means is that, inevitably, the temperature records they're keeping have been distorted by the urban heat island effect of the cities, because cities are warmer than the country outside.
[00:15:13.792 --> 00:15:15.434]  That's how it works.
[00:15:15.434 --> 00:15:16.755]  So how are we to trust
[00:15:18.277 --> 00:15:26.963]  These records which show that the Earth is getting warmer when it may simply be the result of the urban heat island effect.
[00:15:26.963 --> 00:15:29.806]  But that's not all.
[00:15:29.806 --> 00:15:45.918]  What happened sometime between the 1970s and the 1990s is that they vastly reduced the number of weather stations used to compile the world temperature data record.
[00:15:59.517 --> 00:16:04.060]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:16:04.060 --> 00:16:04.981]  Number one.
[00:16:04.981 --> 00:16:08.403]  New climate legislation could easily double or triple your electric bill.
[00:16:08.403 --> 00:16:09.264]  Number two.
[00:16:09.264 --> 00:16:14.168]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:16:14.168 --> 00:16:14.908]  It's true.
[00:16:14.908 --> 00:16:19.772]  Total government control of electricity in the name of smart grid technology is coming.
[00:16:19.772 --> 00:16:20.232]  Number three.
[00:16:20.592 --> 00:16:24.174]  In some areas of the country, the power grid is dangerously overloaded.
[00:16:24.174 --> 00:16:28.897]  And now, new socialist legislation is only compounding the problem.
[00:16:28.897 --> 00:16:31.659]  Dangerous weather is always a threat to local grids.
[00:16:31.659 --> 00:16:36.121]  Every year, thousands of families lose their power from weather-related outages.
[00:16:36.121 --> 00:16:40.264]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:16:40.264 --> 00:16:45.027]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:16:45.307 --> 00:16:49.491]  You can get more information at www.mysolarbackup.com.
[00:16:49.491 --> 00:16:51.273]  That's mysolarbackup.com.
[00:16:51.273 --> 00:16:53.535]  Remember, the government doesn't own the sun.
[00:16:53.535 --> 00:16:55.878]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:17:01.294 --> 00:17:05.255]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:17:05.255 --> 00:17:14.117]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:17:14.117 --> 00:17:18.738]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:17:18.738 --> 00:17:29.560]  The Silver Lungs Generator infuses the respiratory system with your self-produced nanosilver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:17:30.180 --> 00:17:39.702]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:17:39.702 --> 00:17:45.124]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:17:45.124 --> 00:17:52.625]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:17:52.625 --> 00:17:55.366]  That's www.SilverLungs.com.
[00:18:00.501 --> 00:18:04.524]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:18:04.524 --> 00:18:07.766]  This is our last chance to not relive history.
[00:18:07.766 --> 00:18:12.570]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:18:12.570 --> 00:18:18.954]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:18:18.954 --> 00:18:21.196]  I think it's incumbent upon all of us
[00:18:21.716 --> 00:18:22.036]  Tim Geithner?
[00:18:22.036 --> 00:18:22.537]  Bernanke?
[00:18:22.537 --> 00:18:23.218]  They're arsonists!
[00:18:23.218 --> 00:18:24.499]  They're asking for more matches!
[00:18:24.499 --> 00:18:26.741]  And the Congress is saying, who do we make the check out to?
[00:18:40.635 --> 00:18:47.924]  Today seems like nobody does care and right now in Washington DC we have seen a fall of the Republic.
[00:18:47.924 --> 00:18:57.034]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:18:59.267 --> 00:19:04.594]  One major world crisis away from having a totalitarian type of system.
[00:19:04.594 --> 00:19:07.358]  The main event is the wholesale destruction of the world economy.
[00:19:07.358 --> 00:19:13.006]  The push for every nation on the globe to identify and number all of its citizens.
[00:19:14.087 --> 00:19:17.148]  Order Shadow Government from Infowars.com.
[00:19:17.148 --> 00:19:22.148]  We also have some specials where you can get some of our other films half price when you order Shadow Government.
