[00:00:06.084 --> 00:00:08.286]  Societies don't change.
[00:00:08.286 --> 00:00:17.014]  Whether it was the Roman Empire or Nazi Germany, the population is obsessed with sports and petty celebrities.
[00:00:17.014 --> 00:00:19.236]  And the United States is no different.
[00:00:19.236 --> 00:00:25.081]  MSNBC, the New York Times, they're all reporting that we are going into a depression.
[00:00:25.081 --> 00:00:27.263]  One of the greatest depressions in world history.
[00:00:28.024 --> 00:00:34.790]  And our decadent, slob-like public, and that's not everyone, but large percentages of the public, could care less.
[00:00:34.790 --> 00:00:37.152]  They're not involved in their communities.
[00:00:37.152 --> 00:00:40.795]  We've got 46 states on the verge of bankruptcy.
[00:00:40.795 --> 00:00:43.378]  The government's raising taxes on every level.
[00:00:43.378 --> 00:00:45.820]  The border with Mexico is collapsing.
[00:00:45.820 --> 00:00:47.601]  Mexico has collapsed.
[00:00:47.601 --> 00:00:51.144]  And the public doesn't care, because the media has set the agenda.
[00:00:51.144 --> 00:00:54.928]  And they tell you to care about LeBron James and his decision.
[00:00:55.228 --> 00:00:58.551]  And he's playing into it and is going to announce his stupid decision.
[00:00:58.551 --> 00:01:01.913]  It doesn't matter what basketball team he goes to.
[00:01:01.913 --> 00:01:04.716]  This is a distraction by design.
[00:01:04.716 --> 00:01:14.984]  We have the governor of the state he's currently living in, in a bizarre, we are LeBron, we are the world, literal worship fest with hundreds of celebrities.
[00:01:14.984 --> 00:01:15.865]  This is sickening.
[00:01:21.992 --> 00:01:38.485]  Imagine the Ohio government begging and pleading on television and serenading LeBron James with hundreds of other celebrities when Ohio is one of the states slated to go completely bankrupt.
[00:01:38.485 --> 00:01:39.826]  We're going into a depression.
[00:01:39.826 --> 00:01:43.910]  They're about to launch World War III with Iran openly.
[00:01:43.910 --> 00:01:46.132]  Fox News is reporting as if it's a good thing.
[00:01:46.932 --> 00:01:56.039]  In New York State and Illinois that troops have helped arrest thousands of citizens and are doing gun sweeps in people's homes and searching people's cars.
[00:01:56.039 --> 00:01:59.081]  We're going in to marshal law.
[00:01:59.081 --> 00:02:01.543]  Offshore banks have overthrown the US.
[00:02:01.543 --> 00:02:05.866]  They've stolen tens of trillions of dollars like we're some third world country they're looting.
[00:02:05.866 --> 00:02:07.527]  Everything's going to hell in a handbasket.
