[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08.000 --> 00:12.000]  It's Alex Jones and the GCN Radio Network.
[00:12.000 --> 00:17.000]  All right, let me at him. Let me at him, let me at him.
[00:17.000 --> 00:22.000]  I am fired up today. I'm going to try to control myself throughout the next two hours.
[00:22.000 --> 00:30.000]  It is Sunday, the 18th day of July, 2010.
[00:30.000 --> 00:36.000]  We're here six days a week, Monday through Friday, 11 a.m. to 2 p.m. Central, back Sundays, 4 to 6 p.m.
[00:36.000 --> 00:42.000]  We have a lot of news. There's been a big truck bombing in Mexico, part of the drug war down there.
[00:42.000 --> 00:47.000]  They claim now that they're four days into a successful cap. I pray this is the truth.
[00:47.000 --> 00:53.000]  BP has lied in the past, but let's cross our fingers and say a prayer.
[00:53.000 --> 01:01.000]  We've got a lot of big developments on the economic front and with the war drums being beaten for an attack on Iran.
[01:01.000 --> 01:09.000]  And there's also a lot of news about the federal government just shutting down whole websites without a court hearing, without an indictment.
[01:09.000 --> 01:18.000]  No judge, no jury. They shut down a blog with 70 plus thousand users on it because they didn't like the speech on the site.
[01:18.000 --> 01:22.000]  That's in the mainstream news, but they report it like it's a good thing.
[01:22.000 --> 01:29.000]  We discovered last Wednesday, but weren't sure until Friday that our official Facebook account was deleted,
[01:29.000 --> 01:33.000]  reportedly for a Gadsden flag that the Founding Fathers use.
[01:33.000 --> 01:39.000]  They're not allowed to show the don't tread on me snake, I guess, on there.
[01:39.000 --> 01:44.000]  The founder of it calls his users a bunch of dumb effers.
[01:44.000 --> 01:49.000]  They think I care about their privacy. They trust me. What a bunch of dumb effs.
[01:49.000 --> 01:54.000]  We know Facebook and Google and YouTube are bad news, but those are the dominant sites.
[01:54.000 --> 01:58.000]  That's where the people are, so we're there.
[01:58.000 --> 02:04.000]  I want to cover all the news today, but the attack on the First Amendment and free speech globally is numero uno.
[02:04.000 --> 02:10.000]  And this cybersecurity takeover, the open announcements that they do want to censor the web.
[02:10.000 --> 02:17.000]  Friday, a listener pointed out that the top searches were Lindsay Lohan and Mel Gibson and not even the BP oil spill.
[02:17.000 --> 02:23.000]  And I pointed out that in the past, my films like Endgame Terror, Storm, The Obama Deception have been the number one search on the web.
[02:23.000 --> 02:29.000]  That made a lot more sense than it being Lindsay Lohan, or the top search should be depression because we're going into one.
[02:29.000 --> 02:34.000]  So I said, why don't our users go out and Google the term The Obama Deception to make it number one?
[02:34.000 --> 02:41.000]  And Friday and Saturday was number one. More than 20 newspapers and blogs wrote big reviews of The Obama Deception,
[02:41.000 --> 02:43.000]  even though it's been out for a year and a half.
[02:43.000 --> 02:51.000]  There are hundreds of versions of it up on YouTube and Google and other video sites, but there was one version on a director's channel.
[02:51.000 --> 02:57.000]  We don't have a director's channel. That was only allowed at the beginning of YouTube and six years ago and people that have them still have them.
[02:57.000 --> 03:03.000]  And so there are several director channels that have posted it all in one part, not broken up at 10 parts.
[03:03.000 --> 03:11.000]  And the video had gotten 6.5 million views, or it had 6,400,000 in change.
[03:11.000 --> 03:21.000]  Friday, by Saturday, it had gotten 100,000 additional well above 6.5 million, about to be 6.6 million.
[03:21.000 --> 03:26.000]  And so it had another big push. And at that trend, I've learned to be able to gauge YouTube.
[03:26.000 --> 03:31.000]  It probably would have had another million views in a week or so because it was the number one search term.
[03:31.000 --> 03:33.000]  People did a great job getting that out there.
[03:33.000 --> 03:40.000]  But more importantly, in the last few months, if you search the term Barack Obama or Obama or President Obama,
[03:40.000 --> 03:47.000]  not the number three link had been like that for a year, the number one link on the worldwide web on Google and Yahoo was the Obama deception
[03:47.000 --> 03:52.000]  and a link to that mega viral video with 6.5 million views and growing.
[03:52.000 --> 03:59.000]  So when school kids type it in for a school report, college professors, politicians, news people, whatever,
[03:59.000 --> 04:04.000]  you type Obama or President Obama or Barack Obama and it was number one link.
[04:04.000 --> 04:11.000]  It was hacked and it was taken down off the director channel and it shows done by user.
[04:11.000 --> 04:16.000]  That's what a hack is. They go in and once it's deleted, it's gone. The 6.5 million views is gone.
[04:16.000 --> 04:21.000]  All the tens of thousands of websites that are linked to that video, it's a dead link now.
[04:21.000 --> 04:27.000]  And so of course, now when you type in Obama, it's the Obama girl or the White House. It's not our video.
[04:27.000 --> 04:29.000]  So that's why the establishment did this.
[04:29.000 --> 04:34.000]  I have no doubt that's an inside job from YouTube or Google, one of their employees.
[04:34.000 --> 04:37.000]  I mean, this thing was number one. They were panicking.
[04:37.000 --> 04:42.000]  And remember, this was the YouTube presidency. I mean, you go to the White House YouTube site.
[04:42.000 --> 04:46.000]  Their videos get like a thousand viewers. My average video gets about a half mil.
[04:46.000 --> 04:50.000]  And so they're concerned about this and this is sabotage. This is criminal.
[04:50.000 --> 04:56.000]  But we're not going to just lay here and take it. We come back. I've got a battle plan, a mission for you.
