[00:00.000 --> 00:08.000]  From his Central Texas Command Center deep behind enemy lines, the Information War continues.
[00:08.000 --> 00:14.000]  It's Alex Jones and the GCN Radio Network.
[00:14.000 --> 00:17.000]  We're live my friends, thank you so much for joining us.
[00:17.000 --> 00:23.000]  It is Sunday, the 12th day of September 2010.
[00:23.000 --> 00:27.000]  We're going to be live here for the next two hours.
[00:27.000 --> 00:32.000]  Infowars.com has been down since this morning with the internet routing issue, not on our end.
[00:32.000 --> 00:41.000]  PrisonPlanet.com, Infowars.net, PrisonPlanet.tv, JonesReport.com and other auxiliary sites are up.
[00:41.000 --> 00:47.000]  Infowars should be back up by this evening. If not, we're going to have to move it to new servers.
[00:47.000 --> 00:55.000]  So that is going on on that information warfare front and update for all of you emailing and writing us and calling us.
[00:55.000 --> 00:59.000]  We are aware of that fact from your Twitter's and the rest of it.
[00:59.000 --> 01:07.000]  We've been aware of it since about 6.30 a.m. this morning when I got up to check the site and start doing research for today's transmission.
[01:07.000 --> 01:12.000]  Okay, here are the different stacks of news that I have in front of me.
[01:12.000 --> 01:26.000]  China re-thinks its controversial one-child policy because their population is actually dropping and it's making their society unravel for all of you out there that support one-child policies in the West.
[01:26.000 --> 01:30.000]  Don't worry, the West is dead. 1.3 replacement rate.
[01:30.000 --> 01:35.000]  China's about to get rid of their one-child policy because it's gone below 1.7.
[01:35.000 --> 01:38.000]  So we're going to be breaking that down today.
[01:38.000 --> 01:42.000]  There's also another fact check here from the Associated Press.
[01:42.000 --> 01:44.000]  Obama's tone shifts on health care.
[01:44.000 --> 01:47.000]  He admits it doesn't cover pre-existing conditions.
[01:47.000 --> 01:51.000]  It does increase overall health care prices by at least 25%.
[01:51.000 --> 01:55.000]  And it was written by the insurance companies to gang rape you financially.
[01:55.000 --> 01:56.000]  Hope you enjoy it.
[01:56.000 --> 01:58.000]  Who owns the insurance companies?
[01:58.000 --> 02:01.000]  The big megabanks, the same folks that run everything else.
[02:01.000 --> 02:06.000]  Also, nine years after 9-11, FUSI terrorism as top U.S. problem.
[02:06.000 --> 02:11.000]  Only 1% see it as the top problem in the country.
[02:11.000 --> 02:21.000]  1% people really understand that, but 9-11 has been used to kill this country's liberties and freedoms that make the United States so special.
[02:21.000 --> 02:28.000]  So we're going to be breaking that down, the latest ground zero mosque distractions, the Koran burning distractions.
[02:28.000 --> 02:30.000]  We're going to be discussing it all today.
[02:30.000 --> 02:44.000]  And the New York Observer has now reported what Paul Watson and Kurt Nemo and myself wrote about and spoke about in the last month that the ground zero mosque is a trilateral commission CFR CIA front.
[02:44.000 --> 02:54.000]  And here it is, New York Observer today, today with the headline that it's a CIA operation.
[02:54.000 --> 03:00.000]  Bin Laden, Saddam Hussein, Fidel Castro.
[03:00.000 --> 03:04.000]  How many of these people, how many of these groups are manufactured?
[03:04.000 --> 03:06.000]  We'll be discussing that today.
[03:06.000 --> 03:08.000]  We've got massive economic news.
[03:08.000 --> 03:15.000]  We've got the election news, now numbers showing that the Republicans will win the House conservatively and may even win the Senate.
