[00:00:05.031 --> 00:00:06.352]  Big Brother.
[00:00:06.352 --> 00:00:08.113]  Mainstream media.
[00:00:08.113 --> 00:00:09.874]  Government cover-ups.
[00:00:09.874 --> 00:00:11.475]  You want answers?
[00:00:11.475 --> 00:00:13.015]  Well, so does he.
[00:00:13.015 --> 00:00:17.197]  He's Alex Jones on the GCN Radio Network.
[00:00:17.197 --> 00:00:21.319]  And now, live from Austin, Texas, Alex Jones.
[00:00:40.024 --> 00:00:42.768]  We are live, ladies and gentlemen.
[00:00:42.768 --> 00:00:47.394]  It is Wednesday, the 10th day of August, 2011.
[00:00:47.394 --> 00:00:54.763]  And we have laid out for the last decade that when the financial collapse began, by design due to derivatives,
[00:00:55.808 --> 00:01:15.397]  That the welfare class would begin to riot, even if they needed to be basically directed to riot, as a pretext to menace what's left for the middle class to accept a high-tech police state, a rollout of TSA-style domestic checkpoints.
[00:01:15.397 --> 00:01:22.001]  And that then the so-called left would call for even more goodies to the quote, disadvantaged underclass.
[00:01:23.228 --> 00:01:25.309]  And hold the public hostage.
[00:01:25.309 --> 00:01:51.278]  Now what's really happening is the mega-rich that get most of their wealth through government welfare, corporate welfare in one way or another, they smokescreen all of their activities by always focusing on the poor that are getting welfare, while at the same time they push to give the poor more welfare, creating these spoiled, rotten, dependency-laden, dysfunctional, crime-ridden cultures.
[00:01:53.069 --> 00:01:55.292]  And it's the same all over the world.
[00:01:55.292 --> 00:02:09.970]  And it is predominantly the welfare class that then is able to get the cheap seats at soccer, football, basketball games, and who go and riot and burn down parts of cities and beat people to death whenever their team wins or loses.
[00:02:11.912 --> 00:02:17.994]  This is the culture of gangster hooliganism, and that's what you're seeing in England.
[00:02:17.994 --> 00:02:23.135]  Some people are lauding this as wondrous, beautiful revolution.
[00:02:23.135 --> 00:02:27.977]  Revolution would be against Goldman Sachs, JP Morgan, Bank of America.
[00:02:27.977 --> 00:02:36.219]  The revolution would be against the Queen of England, it would be against David Cameron, it would be against the Parliament.
[00:02:38.171 --> 00:02:40.954]  And then you have to judge, is it a good revolution or a bad revolution?
[00:02:40.954 --> 00:02:44.417]  And that comes from your perspective and what you stand for.
[00:02:44.417 --> 00:03:04.235]  But carjacking people, burning down family businesses, burning down homes, and running over people that try to protect their businesses, and killing them, as happened this last night, running over and killing South Asian immigrants to England, trying to guard their businesses,
[00:03:05.407 --> 00:03:07.708]  That is not revolution.
[00:03:07.708 --> 00:03:18.634]  Now, the George Soros-Al Gore types, who've been calling for Arab Springs, Al Gore, here in the United States and Europe, they will praise it.
[00:03:18.634 --> 00:03:21.436]  And they will call it a revolution.
[00:03:21.436 --> 00:03:23.337]  Because it's exactly what they want.
[00:03:24.457 --> 00:03:29.761]  So that the apparatus of the state can come in as the arbiter and as the referee.
[00:03:29.761 --> 00:03:32.864]  And that is what is really going on here.
[00:03:32.864 --> 00:03:35.786]  At the end of the day we're going to be breaking it all down.
[00:03:35.786 --> 00:03:42.111]  We have Patrick Henningsen who was a witness and had to barricade himself in for his safety in South London.
[00:03:42.111 --> 00:03:46.155]  He'll be joining us again coming up for about 15 minutes at the start of the next hour.
[00:03:46.155 --> 00:03:47.115]  And then Max Keiser.
[00:03:47.896 --> 00:03:49.237]  Max Keiser contacted us.
[00:03:49.237 --> 00:03:56.462]  He said we're all wrong about this not being a revolution against tyranny.
[00:03:56.462 --> 00:04:02.906]  And so we'll be enlightened by Max coming up at the bottom of the next hour.
[00:04:05.819 --> 00:04:11.962]  Now, um, when we come back I'm going to discuss the fact that I guess this is Revolution 2.
[00:04:11.962 --> 00:04:18.124]  San Francisco Giants fans on Craigslist declared today Beat a Dodger Day.
[00:04:18.124 --> 00:04:19.945]  Encourage murder of a Dodgers fan.
[00:04:22.076 --> 00:04:26.700]  Twitter's refusing to take down people's accounts that call for violence and torching.
[00:04:26.700 --> 00:04:36.029]  Well, Twitter was admittedly set up by the CIA, and through the State Department has been running destabilization campaigns, and so of course they would do such a thing.
[00:04:36.029 --> 00:04:40.392]  Now, if we called for murder on our platform, we'd be shut down in hours.
[00:04:40.392 --> 00:04:41.974]  You better believe it.
[00:04:41.974 --> 00:04:43.796]  But when they do, it's A-OK.
[00:04:43.796 --> 00:04:47.519]  Boston Bruins win Stanley Cup, Vancouver fans riot.
[00:04:47.519 --> 00:04:48.480]  Yes, that's revolution.
[00:04:50.524 --> 00:04:51.827]  Here's another one.
[00:04:51.827 --> 00:04:52.027]  L.A.
[00:04:52.027 --> 00:04:54.812]  struck by basketball riots.
[00:04:54.812 --> 00:04:57.758]  Guess that's revolution.
[00:04:57.758 --> 00:04:59.200]  NYPD.
[00:04:59.200 --> 00:04:59.922]  We'll tell you more.
[00:05:02.066 --> 00:05:04.547]  And you're subject to other police action.
[00:05:04.547 --> 00:05:05.808]  Tyranny is here.
[00:05:05.808 --> 00:05:09.689]  The grim future foretold in 1984 has become reality.
[00:05:09.689 --> 00:05:11.970]  It really says that the state is God.
[00:05:11.970 --> 00:05:17.832]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[00:05:17.832 --> 00:05:24.075]  This film conclusively proves the existence of a secret network of FEMA camps, now being expanded nationwide.
[00:05:24.515 --> 00:05:30.459]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[00:05:30.459 --> 00:05:34.662]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[00:05:34.662 --> 00:05:38.945]  Prepare to enter the secretive world of emergency dictatorship.
[00:05:38.945 --> 00:05:44.910]  Body scanners, sound cannons, citizen spies, stage terror, and cameras on every street corner.
[00:05:44.910 --> 00:05:48.452]  It's only the beginning of the New World Order's hellish plan.
[00:05:48.452 --> 00:05:50.433]  The police state isn't coming.
[00:05:50.433 --> 00:05:50.874]  It's here.
[00:05:51.535 --> 00:05:58.367]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv
[00:06:00.580 --> 00:06:03.923]  Congratulations to our friends at eFoodsDirect.com.
[00:06:03.923 --> 00:06:08.526]  In August, they celebrate 30 years in the long-term storable food business.
[00:06:08.526 --> 00:06:17.233]  To celebrate, eFoodsDirect.com is offering the lowest price ever on their one-year Freedom Food Supply, even less than the price in 1981.
[00:06:17.233 --> 00:06:25.039]  For a limited time, you get 30% off a one-year Freedom Supply, which provides three hearty meals per day for one adult.
[00:06:25.039 --> 00:06:26.880]  The Freedom Supply includes a large variety
[00:06:26.920 --> 00:06:27.620]  We're good to go!
[00:06:50.714 --> 00:06:51.855]  Now is the time.
[00:06:51.855 --> 00:06:54.056]  Call 800-409-5633.
[00:06:54.056 --> 00:07:00.639]  That's 800-409-5633 or efoodsdirect.com forward slash Alex.
[00:07:00.639 --> 00:07:07.302]  When you're out on the road, the last place you want to be is on the road.
[00:07:07.302 --> 00:07:12.445]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
