[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:17.000]  He's Alex Jones on the GCN Radio Network.
[00:17.000 --> 00:22.000]  And now, live from Austin, Texas, Alex Jones.
[00:22.000 --> 00:24.000]  Welcome, everybody.
[00:24.000 --> 00:27.000]  It is Friday, January 20th, 2012.
[00:27.000 --> 00:31.000]  I'm Mike Adams, filling in for Alex Jones, who is off today.
[00:31.000 --> 00:32.000]  Thank you for joining us.
[00:32.000 --> 00:36.000]  We have a huge lineup of incredible news for you today
[00:36.000 --> 00:39.000]  and several guests, including a couple of guests in studio,
[00:39.000 --> 00:42.000]  including Dr. Edward Groop, who's here to talk to us
[00:42.000 --> 00:45.000]  about the detoxification of aluminum.
[00:45.000 --> 00:48.000]  So, if you are concerned about chemtrails
[00:48.000 --> 00:51.000]  or the aluminum in foods and medicines and vaccines,
[00:51.000 --> 00:56.000]  and you want to learn how to stay clean and clear of aluminum,
[00:56.000 --> 00:57.000]  stay tuned.
[00:57.000 --> 00:58.000]  We're going to have him joining us.
[00:58.000 --> 01:02.000]  Also, Dr. Peter DeVette, author of Heal Thyself,
[01:02.000 --> 01:04.000]  talking to us about quantum medicine.
[01:04.000 --> 01:07.000]  We've got another guest as well coming up, a surprise guest.
[01:07.000 --> 01:10.000]  And then, of course, Bob Chapman in the third hour.
[01:10.000 --> 01:13.000]  And in terms of the news that we have today,
[01:13.000 --> 01:15.000]  hold on to your hat, folks.
[01:15.000 --> 01:18.000]  We have news about the carpet bombing of Texas
[01:18.000 --> 01:22.000]  with rabies vaccines that are being air-dropped from planes
[01:22.000 --> 01:26.000]  to carpet bomb over 7,000 square miles of rural south
[01:26.000 --> 01:28.000]  and west Texas.
[01:28.000 --> 01:31.000]  Yep, they're dropping rabies vaccines
[01:31.000 --> 01:34.000]  as if they were weapons of war.
[01:34.000 --> 01:35.000]  That's coming up.
[01:35.000 --> 01:36.000]  Oh, man, I don't know why I'm laughing.
[01:36.000 --> 01:39.000]  It's kind of sad, but it's so crazy sometimes
[01:39.000 --> 01:40.000]  what's out there with the vaccines.
[01:40.000 --> 01:43.000]  We've also got stories about, sadly, another child
[01:43.000 --> 01:47.000]  has died after being given nine vaccines all at the same time,
[01:47.000 --> 01:51.000]  an infant that didn't even have the honor of experiencing
[01:51.000 --> 01:52.000]  much life at all.
[01:52.000 --> 01:54.000]  Sadly, we will go into that issue.
[01:54.000 --> 01:55.000]  We've got a bunch of news on vaccines.
[01:55.000 --> 02:00.000]  We've got news about the SOPA situation and Anonymous
[02:00.000 --> 02:03.000]  having a massive counterattack against the federal government.
[02:03.000 --> 02:06.000]  They took down the Justice Department website.
[02:06.000 --> 02:08.000]  They took down the FBI.
[02:08.000 --> 02:13.000]  They took down the RIAA and the MPAA in their backlash
[02:13.000 --> 02:16.000]  against mega upload being raided by the feds.
[02:16.000 --> 02:19.000]  That was sort of the fed's way of giving their finger
[02:19.000 --> 02:24.000]  to the SOPA protest that took place two days ago, Wednesday.
[02:24.000 --> 02:27.000]  Massive protests, massive blackouts all across the internet.
[02:27.000 --> 02:30.000]  The feds didn't like that, so they immediately moved
[02:30.000 --> 02:34.000]  to exercise their tyrannical power to try to take down
[02:34.000 --> 02:37.000]  a website that they claim is violating copyrights.
[02:37.000 --> 02:38.000]  We'll get into that today.
[02:38.000 --> 02:40.000]  We've got news about Google.
[02:40.000 --> 02:43.000]  We've got news about gold.
[02:43.000 --> 02:45.000]  We've got news about Ron Paul.
[02:45.000 --> 02:48.000]  All of that coming up right here on the Alex Jones show.
[02:48.000 --> 02:52.000]  Actually, it's four guests today, including Bob Chapman.
[02:52.000 --> 02:54.000]  So in terms of the surprise guests,
[02:54.000 --> 02:57.000]  I might as well just leak the surprise right now for you.
[02:57.000 --> 02:59.000]  Her name is Tisha Casita.
[02:59.000 --> 03:02.000]  She is running for Congress in Colorado.
[03:02.000 --> 03:07.000]  And in fact, she has a position very publicly speaking out
[03:07.000 --> 03:08.000]  against NDAA.
[03:08.000 --> 03:10.000]  And she's in favor of food freedom.
[03:10.000 --> 03:14.000]  She's in favor of basic fundamental human freedoms
[03:14.000 --> 03:15.000]  and rights for all of us.
[03:15.000 --> 03:18.000]  She's going to be joining us and we'll hear from her
[03:18.000 --> 03:19.000]  for the first time.
[03:19.000 --> 03:22.000]  That's her first time to join the Alex Jones show.
[03:22.000 --> 03:24.000]  All that and more coming up.
[03:24.000 --> 03:28.000]  Now, I got to say, thank you for having me here.
[03:28.000 --> 03:30.000]  It's an honor to be here today.
[03:30.000 --> 03:35.000]  And some of this news just drives me crazy about the vaccines.
[03:35.000 --> 03:36.000]  Now, on the other side of the break,
[03:36.000 --> 03:37.000]  we're going to get into that.
[03:37.000 --> 03:40.000]  But let me give you a preview of the carpet bombing story.
[03:40.000 --> 03:41.000]  Here we go.
[03:41.000 --> 03:45.000]  The Texas Department of Agriculture has dropped 1.8 million
[03:45.000 --> 03:46.000]  edible vaccines.
[03:46.000 --> 03:50.000]  This happened just two weeks ago to try to vaccinate the coyotes
[03:50.000 --> 03:53.000]  and the wolves who are running rampant, they say,
[03:53.000 --> 03:56.000]  across Texas with rabies.
[03:56.000 --> 03:59.000]  But as they're doing this, they don't realize that they're
[03:59.000 --> 04:04.000]  actually dropping genetic material for rabies right into
[04:04.000 --> 04:05.000]  the environment.
[04:05.000 --> 04:07.000]  Now, do you think that might have a problem?
[04:07.000 --> 04:11.000]  Do you think that might recombine with some of the other viruses
[04:11.000 --> 04:12.000]  that are out there in the wild?
[04:12.000 --> 04:17.000]  Maybe create a worse version of rabies that then needs more
[04:17.000 --> 04:18.000]  vaccinations.
[04:18.000 --> 04:21.000]  And what's this deal about now vaccinating all the animals in
[04:21.000 --> 04:22.000]  the world?
[04:22.000 --> 04:25.000]  I mean, isn't it bad enough and profitable enough that they're
[04:25.000 --> 04:28.000]  vaccinating children and adults and senior citizens?
[04:28.000 --> 04:32.000]  Now, they got to start targeting all the animals out there?
[04:32.000 --> 04:33.000]  Really?
[04:33.000 --> 04:35.000]  There's a lot of animals to vaccinate.
[04:35.000 --> 04:38.000]  That's a lot of money for the vaccine makers.
[04:38.000 --> 04:39.000]  No wonder.
