[00:00.000 --> 00:02.000]  We've got it.
[00:07.380 --> 00:09.380]  Waging war on corruption
[00:11.420 --> 00:17.460]  It's Alex Jones coming to you live from the front lines of the info war
[00:23.820 --> 00:26.580]  Welcome my friends welcome and thank you for joining us
[00:26.580 --> 00:31.360]  It's a big day for the world not just America the hog wallops
[00:32.000 --> 00:38.620]  Are playing the Kebler elves in the greatest game on earth what they call?
[00:39.840 --> 00:43.760]  Acorn skipping right now and the entire planet's future
[00:44.960 --> 00:47.320]  Basically depends on this football game
[00:49.160 --> 00:51.720]  Of course, I'm being sarcastic I
[00:51.720 --> 00:55.800]  Don't write this stuff. It just comes up off the top of my head
[00:56.640 --> 01:00.600]  It is Super Bowl Sunday the big game
[01:01.360 --> 01:03.360]  endless hype
[01:03.920 --> 01:08.000]  Children are taught this is Americana. This is what you value
[01:08.640 --> 01:13.480]  Not your health not your family not your culture because you don't have a culture
[01:14.080 --> 01:16.080]  It's a plastic
[01:16.080 --> 01:20.880]  Global corporate culture that's force fed to you that promotes torture
[01:21.400 --> 01:23.640]  Secret war record cancer rates
[01:24.240 --> 01:25.840]  Families broken up
[01:25.840 --> 01:31.120]  Giant prisons biggest in the world and a government that's publicly shipping the narcotics into the nation
[01:31.880 --> 01:33.880]  all of it wrapped in a
[01:34.720 --> 01:36.720]  American flag but
[01:39.000 --> 01:43.760]  I'm gonna have to do a special newscast on this in the future a little review
[01:43.760 --> 01:50.200]  every action-adventure movie I watched is supposedly set in our contemporary world as
[01:52.360 --> 01:55.840]  Pro checkpoint police state New World Order
[01:57.360 --> 02:02.120]  Images throughout it and you see the shows like Breaking Bad on TV where
[02:02.720 --> 02:09.700]  Ron Paul, you know the methhead is a fan of Ron Paul all of that is propaganda, but the fact that it's so
[02:09.700 --> 02:15.780]  Complete and so across the board is really just more evidence of
[02:17.260 --> 02:22.180]  Just how criminal this system is I watched law-abiding citizen earlier in the week
[02:23.140 --> 02:24.340]  reviewed it
[02:24.340 --> 02:30.540]  Well on the treadmill and the whole thing is get rid of the Bill of Rights Constitution have checkpoints torture people
[02:30.540 --> 02:36.380]  It's what the good guys do and the prosecutor at the end agrees. It's good to torture and have no liberties or freedom
[02:36.380 --> 02:42.940]  This movie source code the guy that's gonna detonate a homemade atomic bomb in Chicago
[02:43.620 --> 02:46.500]  Which I've says me the next globalist target. It's one of the big ones
[02:47.140 --> 02:49.780]  I've seen their preconditioning propaganda for it
[02:50.220 --> 02:57.780]  The bad guy builds the bomb with an American flag on it. So see it's the image of people that are in the American flag
[02:57.780 --> 03:05.660]  Separately from when it's government approved you're terrorist and he's he's a right-wing scum anti-government
[03:06.220 --> 03:09.260]  And he wants to nuke everything
[03:10.220 --> 03:13.500]  But don't worry that the helicopter pilot
[03:14.220 --> 03:20.900]  Who's really dead in a vegetative state, but that they've revived his brain to send him into the hyperdimensional
[03:20.900 --> 03:28.420]  Vortex to go back and save everyone and oh, it's just so magical. Oh, it's so wonderful
[03:29.140 --> 03:32.660]  So they just make fake military heroes that you know
[03:32.660 --> 03:37.900]  They've learned not to use a pat Tillman because he could get out of hand or a private lynch and then they have to kill people
[03:38.660 --> 03:43.060]  No, they just always have the hero the torturer who's military
[03:43.940 --> 03:48.300]  The good guy that knows the Bill of Rights is bad and the cops all agree and
[03:48.300 --> 03:53.980]  You know learn that and of course this guy he stops the ever-present bombers
[03:55.060 --> 03:59.420]  You know, we've gone over the statistics, but I thought I'd go back into some of those later in the transmission
[03:59.980 --> 04:01.980]  you got a better chance of
[04:04.020 --> 04:06.020]  Dying in the water drowned
[04:07.580 --> 04:13.940]  You've got a better chance dying from honeybee stings or a deer jumping out in front of your car or
[04:13.940 --> 04:18.660]  From champagne corks, and I have the CDC's on numbers here
[04:19.260 --> 04:21.260]  then you do of
[04:22.220 --> 04:25.740]  Dying from terrorists, but every TV show movie
[04:26.540 --> 04:29.200]  Everything is about terrorists are under every
[04:31.220 --> 04:36.880]  Table and you're just supposed to shake and fear and trust no one but the government
[04:37.380 --> 04:41.820]  And that brings me to the big top story that ended up being all over national news
[04:41.820 --> 04:44.580]  The Paul Watson put out Friday
[04:45.580 --> 04:53.500]  TSA trained Super Bowl hot dog sellers spot terrorist Fox News picked it up TSA deploys wiener watchers at the Super Bowl
[04:53.500 --> 04:56.660]  We're gonna break it all down straight ahead and I ran. We'll be back
[04:59.700 --> 05:01.500]  Hi folks, this is Alex Jones
[05:01.500 --> 05:04.620]  I'm looking for people that have the wisdom to spot savings
[05:04.620 --> 05:11.940]  Opportunity and recognized risk saving means to make money the cow been pure soap company can save you thousands of dollars and
[05:11.940 --> 05:17.460]  Give you good old-fashioned real soaps that are triple concentrated and twice as good as what you're using now
[05:17.940 --> 05:22.560]  Soaps made from vegetable and coconut oils that contain no useless dyes
[05:23.100 --> 05:29.900]  perfumes deodorants or antibacterials your risk is the hundreds of hazardous toxic detergents that give you rashes
[05:29.900 --> 05:36.920]  itching sores and deteriorating clothing called lint if you want something better if you want something you've never had before you
[05:36.920 --> 05:42.380]  Had to do something you've never done before getting a free catalog is easy by calling 800-340-7091
[05:43.460 --> 05:50.620]  Or see Calvin on the web at five star soap comm take charge of your health now by calling 800-340-7091
[05:50.620 --> 06:07.300]  Or see Calvin on the web at five star soap comm You are listening to an info wars comm frontline report
[06:07.300 --> 06:25.740]  If you are receiving this transmission, you are the resistance from deep in the heart of FEMA region six Austin, Texas
[06:26.460 --> 06:29.620]  Transmitting worldwide it's Alex Jones
[06:29.620 --> 06:37.180]  It is Super Bowl Sunday
[06:39.220 --> 06:42.900]  Let's get ready to rumble
[06:44.180 --> 06:46.740]  All of America is watching
[06:47.620 --> 06:51.700]  Feeling manly they don't have a bill of rights or constitution
[06:51.780 --> 06:57.540]  The first amendment is openly being shredded in front of everyone's eyes the federal government has announced
