[00:00:00.347 --> 00:00:01.988]  We've got it.
[00:00:01.988 --> 00:00:07.472]  This transmission is coming to you.
[00:00:07.472 --> 00:00:09.733]  Waging war on corruption.
[00:00:09.733 --> 00:00:11.875]  Alright, here I go.
[00:00:11.875 --> 00:00:20.260]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:33.248 --> 00:00:44.891]  Well, my friends, we're live and I'm glad we are here on this Sunday, the 29th day of April 2012.
[00:00:44.891 --> 00:00:50.573]  I'm very glad that we're here because wow is the news off the charts.
[00:00:50.573 --> 00:00:56.335]  Here is just some of what's coming up today and your phone calls, I should add, from 4 to 6 p.m.
[00:00:56.335 --> 00:00:59.076]  Central Standard Time, 5 to 7 Eastern.
[00:00:59.076 --> 00:00:59.456]  That's 2 to 4.
[00:01:00.899 --> 00:01:03.080]  Pacific, three to five mountain.
[00:01:03.080 --> 00:01:09.423]  Republicans prepare contempt citation against Eric Holder over Fast and Furious.
[00:01:09.423 --> 00:01:11.765]  And I was pinching myself.
[00:01:11.765 --> 00:01:20.029]  You mean actually going after real justice, just not putting on some show hearings and then doing nothing?
[00:01:20.029 --> 00:01:22.230]  Wow.
[00:01:22.230 --> 00:01:25.232]  And as if that wasn't good enough,
[00:01:27.179 --> 00:01:32.742]  This is part of the twilight zoning of America, but not just on the bad side, on the good side.
[00:01:32.742 --> 00:01:34.102]  Stuff's getting crazy.
[00:01:34.102 --> 00:01:38.324]  See, when things start getting really bad, you see the best in people and the worst.
[00:01:38.324 --> 00:01:39.905]  Separation of the wheat from the chaff.
[00:01:39.905 --> 00:01:43.827]  This is the New York Times yesterday.
[00:01:43.827 --> 00:01:45.127]  Big story.
[00:01:45.127 --> 00:01:48.149]  Terrorist plots hatched by the FBI.
[00:01:49.372 --> 00:01:58.756]  And it goes on to say the FBI has manufactured almost every terror threat and has led them and it's fake and it's doing it to get power and take people's liberties.
[00:01:58.756 --> 00:02:00.497]  The New York Times.
[00:02:00.497 --> 00:02:02.258]  Sounds like Alex Jones.
[00:02:02.258 --> 00:02:12.502]  So let me see, CBS News is reporting on contempt charges on the Attorney General caught shipping guns into Mexico, guns back in the United States.
[00:02:16.570 --> 00:02:18.010]  Or did I say guns into Mexico?
[00:02:18.010 --> 00:02:20.711]  Drugs into the United States.
[00:02:20.711 --> 00:02:28.332]  And then we've got the New York Times terrorist plots hatched by the FBI.
[00:02:28.332 --> 00:02:30.493]  But it only gets crazier from there.
[00:02:30.493 --> 00:02:31.733]  Here's WorldNetDaily.
[00:02:31.733 --> 00:02:32.733]  I just shot a video.
[00:02:32.733 --> 00:02:34.893]  It just went up at InfoWars.com.
[00:02:34.893 --> 00:02:40.574]  Breitbart's coroner poisoned to death.
[00:02:40.574 --> 00:02:42.275]  The police are investigating.
[00:02:42.275 --> 00:02:43.415]  They say he was poisoned.
[00:02:47.469 --> 00:02:49.791]  Wow!
[00:02:49.791 --> 00:02:55.195]  But wait, it only gets crazier from there on out.
