[00:00.000 --> 00:18.000]  Waging war on corruption. It's Alex Jones, coming to you live from the front lines of the Info War.
[00:31.000 --> 00:39.000]  Now we see the earth. You got it. Now we see the earth now.
[00:50.000 --> 00:57.000]  Ladies and gentlemen, we are live here on this Sunday, the 8th day of July 2012.
[00:57.000 --> 01:02.000]  I am your host, Alex Jones. This is a very special transmission today.
[01:02.000 --> 01:07.000]  We have Dan Fite, a journalist who's broken a lot of big stories, joining us from Minnesota.
[01:07.000 --> 01:13.000]  He's the guy that ferreted out a public army field manual. Much of them are classified.
[01:13.000 --> 01:20.000]  Dealing with gun confiscation, they call it gun evacuation when they take it out of your house or your gun store.
[01:20.000 --> 01:29.000]  And pulling triggers on demonstrators, rioters, anybody out. Not just microwave guns, not just sound cannons like we saw in Pittsburgh.
[01:29.000 --> 01:39.000]  My own reporter arrested for being on a hilltop at a park videotaping police beating women and men in the heads of billy clubs who weren't even protesting.
[01:39.000 --> 01:46.000]  So we're going to be going over all of that with him coming up for about 30 minutes in the second hour.
[01:46.000 --> 01:56.000]  In the meantime, there are news reports like this one that is public documents put out by major universities,
[01:56.000 --> 02:01.000]  where Bill and Melinda Gates pays for experiments to genetically modify humans in gut flora.
[02:01.000 --> 02:07.000]  We've talked a lot about this in the past, but this is why through the GMO we're being weakened,
[02:07.000 --> 02:11.000]  where we can't eat regular wheat and corn and things because it's been GMO'd.
[02:11.000 --> 02:19.000]  And then we've got to go to them to be altered and are now dependent on them.
[02:19.000 --> 02:32.000]  In fact, here's the link right here if you're watching on prismplanet.tv to the actual university reports where they get into all of the funding of this that is happening.
[02:32.000 --> 02:37.000]  So that's the type of information that we are dealing with.
[02:37.000 --> 02:41.000]  And this is just the tip of the iceberg.
[02:41.000 --> 02:52.000]  We are being implanted the vaccines and the GMO food with systems that are going to make it impossible for us to live without the quote cures,
[02:52.000 --> 02:57.000]  which won't be cures, the treatments that big pharma and big agri delivered us.
[02:57.000 --> 02:59.000]  This is the model.
[02:59.000 --> 03:00.000]  They make you sick.
[03:00.000 --> 03:04.000]  They soft kill you and then give you the quote solution.
[03:04.000 --> 03:08.000]  They bankrupt the social welfare safety net.
[03:08.000 --> 03:17.000]  They socialize in the name of saving it to actually further bankrupt it and then dictate what you eat, what you drink, what you do,
[03:17.000 --> 03:25.000]  and then block alternative treatments, vitamins and minerals so that you can't rehabilitate yourself or fight back without their systems.
[03:25.000 --> 03:27.000]  This is the takeover plan.
[03:27.000 --> 03:29.000]  Mike Adams is going to be sitting in tomorrow.
[03:29.000 --> 03:31.000]  I know we'll be talking about it.
[03:31.000 --> 03:38.000]  And that's from Salem dash news.com. If you go down to the link, it has the university link right there. Do you see it?
[03:38.000 --> 03:40.000]  And you can read over it right there.
[03:40.000 --> 03:41.000]  This is a fact.
[03:41.000 --> 03:49.000]  In fact, Aaron Dyches has pointed this out for a long time that it's the it's the vaccines and see the link right up there.
[03:49.000 --> 03:50.000]  Second line.
[03:50.000 --> 03:51.000]  That's what you go to right there.
[03:51.000 --> 03:52.000]  Second line down.
[03:52.000 --> 03:53.000]  That's it right there.
[03:53.000 --> 03:56.000]  That's the link.
[03:56.000 --> 04:03.000]  And they're going to engineer food, they're going to put vaccines, quote, in the store milk.
[04:03.000 --> 04:07.000]  That Oh, make it where the children's gut flora works better.
[04:07.000 --> 04:16.000]  Oh, and Bill Gates is going to release mosquitoes onto us that forcibly inoculate us and have all sorts of Trojan horses built into them,
[04:16.000 --> 04:23.000]  just like all of the electronics we're buying, they admit has government Trojan horses and backdoors in it.
[04:23.000 --> 04:27.000]  These are psychopaths running things. You have to understand things from their perspective.
[04:27.000 --> 04:34.000]  Okay, we've got even Forbes admitting that the Obama UN Gun Treaty will register and then ban most guns.
[04:34.000 --> 04:39.000]  Even Forbes has analyzed it and said, yeah, this is this is an absolute gun grab.
[04:39.000 --> 04:44.000]  It's happening just like the healthcare thing written by the insurance companies.
[04:44.000 --> 04:47.000]  We've got a big surprise for you coming up today.
[04:47.000 --> 04:52.000]  I'm going to be breaking down the ultimate secret what the globalists don't want you to know.
[04:52.000 --> 04:58.000]  We're also going to look back at the Obama deception and see how it predicted what was going to happen and what is going to happen in the future as well.
[04:58.000 --> 05:27.000]  Stay with us.
[05:29.000 --> 05:37.000]  And here's the best part. These seeds have not been genetically modified in any way and you actually get enough seeds to plant a full acre crisis garden.
[05:37.000 --> 05:40.000]  So visit them today at survivalseedbank.com.
[05:40.000 --> 05:47.000]  That's survivalseedbank.com or give them a call at 877-327-0365.
[05:47.000 --> 05:51.000]  That's 877-327-0365.
[05:51.000 --> 05:56.000]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[05:56.000 --> 06:03.000]  This is Alex Jones for survivalseedbank.com.
[06:03.000 --> 06:09.000]  You are listening to an Infowars.com frontline report.
[06:09.000 --> 06:21.000]  If you are receiving this transmission, you are the resistance.
[06:21.000 --> 06:38.000]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[06:38.000 --> 06:46.000]  Ladies and gentlemen, listening all over the United States and across the world, thank you so much for tuning into this worldwide transmission.
[06:46.000 --> 06:51.000]  This is our live. It is the 8th day of July, 2012.
[06:51.000 --> 06:55.000]  I am your host, Alex Jones. We're going to be here for the next two hours.
[06:55.000 --> 07:05.000]  Coming up at the start of the next hour, we have a Minnesota journalist who reports there at the Capitol joining us to break down an Army manual that he's written a report about.
[07:05.000 --> 07:07.000]  It's up at Infowars.com.
[07:07.000 --> 07:13.000]  Army manual outlines plan to kill protesters in the United States.
[07:13.000 --> 07:18.000]  The morning shots will be fired and they train for gun confiscation nationwide.
[07:18.000 --> 07:35.000]  And, of course, the Secretary of the Army came out a few months ago in the Council on Foreign Relations by monthly magazine and said they will deploy 4,000 troops for combat and call in airstrikes against the American people in every city.
[07:35.000 --> 07:38.000]  Now, why is this happening?
[07:38.000 --> 07:42.000]  And why are they trying to get the military and police train to have war with the American people?
[07:42.000 --> 07:44.000]  It's very elementary.
[07:44.000 --> 07:49.000]  Foreign banks got a beachhead in 1913 with the Private Federal Reserve Act.
[07:49.000 --> 07:57.000]  They didn't get the income tax going, though, even though they passed it that same year, until the 1940s, claiming it was a war tax.
[07:57.000 --> 08:01.000]  Now we're totally taken over, but it's fraudulent, is the good news.
[08:01.000 --> 08:10.000]  And now, in hundreds of publications a month, Financial Times of London Wall Street Journal, they say foreign banks have captured America, but it's a good thing.
[08:10.000 --> 08:18.000]  Now, three and a half years ago, when Obama had been in office just about a month, I made a film called The Obama Deception, predicting everything he would do.
[08:18.000 --> 08:21.000]  And he's gotten most of this done.
[08:21.000 --> 08:23.000]  Most of this done.
[08:23.000 --> 08:25.000]  It's a two-hour film. It's free online.
[08:25.000 --> 08:31.000]  Type in The Obama Deception, seen over 40 million times on YouTube, Google, and other platforms.
[08:31.000 --> 08:33.000]  One version's got 11 million views on YouTube.
[08:33.000 --> 08:42.000]  Okay, the point is that you need to go see this film right now, after the show today, and you need to send it to your entire email list, Twitter, and Facebook.
[08:42.000 --> 08:45.000]  Because it lays out exactly what would happen.
[08:45.000 --> 08:54.000]  I'm going to play a little bit of it now, a part of it in the next segment that I'm going to get to a new report that we're going to premiere here on The Sunday Radio Show,
[08:54.000 --> 08:59.000]  dealing with the globalist and what they have in store for us and how we can defeat them.
[08:59.000 --> 09:03.000]  It's titled, Humanity's Greatest Secret, Dreams of the Universe.
[09:03.000 --> 09:09.000]  The video is posted red linked at the top of infowars.com right now, so bookmark it.
[09:09.000 --> 09:13.000]  We're going to premiere the audio of that three weeks in the making here.
[09:13.000 --> 09:16.000]  Very important report here on the radio coming up at the bottom of the hour.
[09:16.000 --> 09:22.000]  Now, this is from the last 20 minutes or so of The Obama Deception that is voiceover heavy.
[09:22.000 --> 09:26.000]  We've got the interviews and the on the street stuff in the first two thirds.
[09:26.000 --> 09:34.000]  This is the last 20 minutes or so where I go through the goals and how it was a banking coup d'etat over the US and Europe,
[09:34.000 --> 09:37.000]  how they would then invade Africa under AFRICOM.
[09:37.000 --> 09:41.000]  And again, we're captured. Are the Russians good? The government? No.
[09:41.000 --> 09:45.000]  Are the Chinese government good? No. Is North Korea good? No, they're horrible.
[09:45.000 --> 09:49.000]  The point is, the globalists get us to go by rights saying, oh, we're fighting these foreign enemies.
[09:49.000 --> 09:57.000]  We've been captured by a banking cartel that is announcing armed drones against us, checkpoints, TSA on the streets,
[09:57.000 --> 10:03.000]  and the military to be used against us. After all these years I warned you from my military sources and drills we went into
[10:03.000 --> 10:11.000]  and things I snuck into and got arrested covering and beat up covering and almost went to prison over covering.
[10:11.000 --> 10:17.000]  Had them try to set me up one time, had troops jump out and start lighting fires and saying I'd done it in Florida.
[10:17.000 --> 10:23.000]  After all of this to bring you that this was being set up in secret. Long term program, bigger than Obama.
[10:23.000 --> 10:29.000]  Now you notice Mitt Romney is saying, oh, the healthcare thing's okay. It's not a tax.
[10:29.000 --> 10:35.000]  And siding with Obama. This is really starting to wake people up because it's a globalist agenda bigger than Obama.
[10:35.000 --> 10:41.000]  And that's what the Obama deception breaks down. It's all in high gear.
[10:41.000 --> 10:48.000]  So here is part of the Obama deception. We'll go to break, come back, play some more. Remember, this is three and a half years.
[10:48.000 --> 10:52.000]  In fact, it's over four years old, actually, or right at four.
[10:52.000 --> 10:57.000]  Before he was even president-elect, I knew he was going to be elected because I could see how the media was pushing it.
[10:57.000 --> 11:04.000]  So I started making the Obama deception. Then I started accelerating it after he was president-elect and released it one month after he was in office.
[11:04.000 --> 11:12.000]  So close to four years old. Again, though, I'm not psychic. This is all public what they were planning.
[11:12.000 --> 11:16.000]  So listen to it. This is only part of it. And then go watch it.
[11:16.000 --> 11:20.000]  Sure, I sell the DVD at infowars.com, infowarshop.com.
[11:20.000 --> 11:23.000]  Sure, you can support us if you want it in high res and to make copies and give it to people.
[11:23.000 --> 11:27.000]  That doesn't matter, though. This is about saving the country and the world from tyranny.
[11:27.000 --> 11:31.000]  Look at all the other countries that have fallen to tyranny. That's happening here now.
[11:31.000 --> 11:37.000]  So here is the Obama deception. When I get out of the banking collapse and how it was only phase one to continue,
[11:37.000 --> 11:41.000]  the organized collapse of the world holding us hostage to derivatives.
[11:41.000 --> 11:46.000]  And then I get into the goals of the globalists through their puppet Obama. Here it is.
[11:46.000 --> 11:55.000]  As the world slid deeper into depression, the bankers celebrated the fire sale that they had created.
[11:55.000 --> 12:01.000]  I believe the phrase burdens of the office is overstated.
[12:01.000 --> 12:09.000]  Why me? Other burdens. Why did the financial collapse have to happen on my watch?
[12:09.000 --> 12:17.000]  It's just pathetic, isn't it? Self-pity. And I don't believe President-elect Obama will be full of self-pity.
[12:17.000 --> 12:27.000]  With their access to unlimited fiat capital, they could now buy up sectors of the world economy, not already controlled by them.
[12:27.000 --> 12:34.000]  For over a century, the Anglo-American establishment had worked to bring the world's system to this point.
[12:34.000 --> 12:38.000]  Artificially engineered global bankruptcy.
[12:38.000 --> 12:47.000]  In an address before the Trilateral Commission in June of 1991, David Rockefeller laid out the elite's ultimate goal.
[12:47.000 --> 12:58.000]  The supranational sovereignty of an intellectual elite and world bankers is surely preferable to the national auto-determination practice in the last centuries.
[12:58.000 --> 13:03.000]  Now that the bankers were holding the world hostage, they issued their ultimatum.
[13:03.000 --> 13:12.000]  The only solution to restart the global economy would be to set up a planetary government ruled by a new bank of the world,
[13:12.000 --> 13:16.000]  a bank of the world owned and controlled by them.
[13:16.000 --> 13:23.000]  Suddenly, hundreds of prominent publications announced the solution, the people's only salvation.
[13:23.000 --> 13:39.000]  Time magazine in an article titled The New World Order said that the new super bank would control the world's currencies and set interest rates and that the new bank would, quote, knock the heads of bad countries, like the United States.
[13:39.000 --> 13:50.000]  At a meeting of central bank heads and finance ministers dubbed Bretton Woods II, the plan for world government was unveiled by the very bankers that had engineered the collapse.
[13:50.000 --> 13:56.000]  Formerly sovereign countries would now pay their taxes directly to the banking cartel.
[13:56.000 --> 14:06.000]  Hundreds of new carbon taxes controlling every facet of human activity would only be the beginning.
