[00:00:05.111 --> 00:00:06.632]  Ladies and gentlemen,
[00:00:27.646 --> 00:00:29.929]  It is Monday, the 23rd day of July 2012.
[00:00:29.929 --> 00:00:37.720]  We're going to be live here for the next three hours, breaking down all of the amazing developments unfolding worldwide.
[00:00:39.693 --> 00:00:56.507]  Yesterday we posted a Lou Rockwell article that's now in the featured archive of InfoWars.com, or just click on the top stories link at the top of InfoWars.com, dealing with the other post-Colorado shooting rampage.
[00:00:56.507 --> 00:00:59.650]  And the police had shot a citizen, the neighborhood came out.
[00:01:00.350 --> 00:01:02.872]  And was saying, you know, angrily, why'd you do this?
[00:01:02.872 --> 00:01:08.035]  So the police opened fire on him with rubber bullets that can kill you at close range.
[00:01:08.035 --> 00:01:23.304]  And the footage, because I hadn't watched it until this morning, I just saw the article and read it, has police releasing police dogs on women with babies in their arms and baby strollers and walking up and shotgunning.
[00:01:23.304 --> 00:01:25.465]  And I've seen this in Portland, Oregon.
[00:01:27.072 --> 00:01:37.775]  They had an anti-war demonstration, the police kettled it, it was peaceful and attacked it, and they come over to the baby in a baby carriage, that's like the favorite thing to target, and spray the babies in the face, and the mother's like, why are you doing that?
[00:01:37.775 --> 00:01:40.796]  And says, well, you shouldn't bring a baby to a protest.
[00:01:40.796 --> 00:01:51.739]  So, this is the type of just insanity that we see going on in some areas of this country.
[00:01:51.739 --> 00:01:54.220]  Now, in the aftermath of the shooting,
[00:01:57.967 --> 00:02:05.492]  There in Colorado, we've seen all the surrogates of Obama come out and call for restrictions of the Second Amendment.
[00:02:05.492 --> 00:02:09.455]  But now Obama himself is suggesting he's not going to go after your guns.
[00:02:09.455 --> 00:02:15.880]  And the Council on Foreign Relations came out with a report yesterday, Kurt Nimmo wrote about it, saying, look, this treaty won't restrict your guns, go back to sleep.
[00:02:15.880 --> 00:02:22.084]  Kind of like, Obama won't sign the NDAA, he won't hire any lobbyists, you know, he won't do this and that, but then he did.
[00:02:22.084 --> 00:02:25.726]  That's their standard tactic, is to get people into
[00:02:26.727 --> 00:02:29.671]  A false sense of security and then come after your rights.
[00:02:29.671 --> 00:02:35.860]  They want to get this treaty through because it does shine us under UN law, but they want to just later implement it.
[00:02:35.860 --> 00:02:40.566]  It's kind of like Obama said, yeah, I signed the NDAA, but I won't implement it.
[00:02:40.566 --> 00:02:40.867]  Maybe.
[00:02:42.864 --> 00:02:45.024]  So we've got all that happening.
[00:02:45.024 --> 00:03:00.588]  Also, we've got another article posted up at InfoWars.com of that video that happened early last week, or the video got released early last week, it happened a few weeks ago, with the people in the internet cafe and the two guys coming with masks and guns to rob them.
[00:03:00.588 --> 00:03:06.529]  And an old man gets up with a .25 Cal and starts, with precision, knowing what he's doing, shooting them.
[00:03:06.529 --> 00:03:09.290]  They turn tail and run, and he chases them out the door.
[00:03:10.513 --> 00:03:20.657]  And of course, that article that you need to circulate to everybody is up at InfoWars.com.
[00:03:20.657 --> 00:03:24.378]  So please, please get it out to everybody.
[00:03:24.378 --> 00:03:27.039]  I'm looking for the exact headline.
[00:03:27.039 --> 00:03:29.280]  Yeah, it's in Featured News down towards the bottom.
[00:03:29.280 --> 00:03:31.081]  How to Stop a Massacre.
[00:03:31.081 --> 00:03:36.563]  Surveillance video reveals simple, low-cost solution that works everywhere.
[00:03:38.516 --> 00:03:46.823]  And you know, we don't, I don't sit there and make everybody that writes for our websites, Infowars.com, PrisonPlanet.com, or even who we post, totally agree with us.
[00:03:46.823 --> 00:03:51.446]  There's also articles going on the perspective that he was on a bunch of psychotropic drugs.
[00:03:51.446 --> 00:03:59.193]  There's also a bunch of articles about 20 more examples of sickos that are overrunning America, because there are a lot of people in denialism and death and murder.
[00:03:59.193 --> 00:04:03.336]  Even the London Telegraph has written about that, that it's the video games, the movies.
[00:04:03.336 --> 00:04:05.378]  A normal person doesn't make them go crazy.
[00:04:05.378 --> 00:04:07.860]  But sickos, this is how they become a man.
[00:04:09.039 --> 00:04:18.453]  Just like in all ancient cultures, young men at around 12, 13 wanted to go join and go on raiding parties or go, you know, to war because that's how you became a man.
