[00:00:00.285 --> 00:00:02.668]  Waging war on corruption.
[00:00:02.668 --> 00:00:10.316]  Alex Jones on the GCM Radio Network.
[00:00:10.316 --> 00:00:17.083]  My friends, do you know one of the key hallmarks of a hardcore police state, whether it was Soviet Russia or Nazi Germany?
[00:00:18.942 --> 00:00:23.966]  Governments would take political dissidents' passports away.
[00:00:23.966 --> 00:00:30.030]  In the United States, that's only done if you've been charged with espionage, or if you're out on bail for a serious crime.
[00:00:30.030 --> 00:00:39.357]  The IRS has written a law that's passed the Senate and is now in the House, and Forbes and other publications are reporting on it like it's no big deal.
[00:00:39.357 --> 00:00:45.742]  Hey, if the IRS says you owe back taxes, you're not going to be allowed to travel outside the country.
[00:00:45.742 --> 00:00:46.683]  They're going to take your passport.
[00:00:48.376 --> 00:00:51.076]  How many times have I told you this was coming?
[00:00:51.076 --> 00:00:59.858]  This is exactly what the IMF and World Bank, the consortium for the international arm of the private Federal Reserve, have called for for more than 15 years.
[00:00:59.858 --> 00:01:02.118]  A global cashless society.
[00:01:02.118 --> 00:01:06.319]  Already many jobs, you've got to get TSA approval and authorization to have them.
[00:01:06.319 --> 00:01:15.641]  I saw Homeland Security nine years ago on C-SPAN say, you're not going to get on a plane if you haven't paid your taxes, you're not going to get a driver's license, you're not going to be allowed to work.
[00:01:17.233 --> 00:01:19.975]  This is total enslavement.
[00:01:19.975 --> 00:01:23.517]  This is beyond anything we've seen in history.
[00:01:23.517 --> 00:01:26.158]  It is incredibly illegal.
[00:01:26.158 --> 00:01:28.740]  Travel is a right, not a privilege.
[00:01:28.740 --> 00:01:31.522]  A passport is a right as a citizen.
[00:01:32.446 --> 00:01:36.671]  This represents withdrawing and revoking your citizenship.
[00:01:36.671 --> 00:01:38.093]  That's what it is under another name.
[00:01:38.093 --> 00:01:48.326]  They tried to pass a bill last year for any reason the president wishes outside of a court to take your citizenship away and then they say they can secretly arrest you or kill you.
[00:01:49.096 --> 00:01:54.120]  When he couldn't get that passed, he just signed the NDAA and said he can secretly arrest you or kill you.
[00:01:54.120 --> 00:01:58.424]  Well, a law that some constitutionals null and void, Marbury versus Madison.
[00:01:58.424 --> 00:02:00.926]  What this represents is capital controls.
[00:02:00.926 --> 00:02:07.131]  When governments start to collapse throughout history, they always try to clamp down on people leaving the country with money.
[00:02:08.103 --> 00:02:14.286]  Bottom line, the IRS is the collection agency for the private Federal Reserve.
[00:02:14.286 --> 00:02:23.050]  Pre-1913, dollars that were fiat were backed partially by silver and gold and said United States note on them.
[00:02:24.574 --> 00:02:28.776]  After 1913, they said Federal Reserve note.
[00:02:28.776 --> 00:02:35.779]  In 1963, Kennedy reissued $5 bills that said United States note on them.
[00:02:35.779 --> 00:02:45.002]  And he signed an executive order to begin the abolishment of the private Federal Reserve and its collection agency of the IRS.
[00:02:45.002 --> 00:02:46.383]  That's why the banksters killed him.
[00:02:47.645 --> 00:02:52.610]  My point is, yes, a country has to have taxes, but these aren't taxes.
[00:02:52.610 --> 00:02:56.634]  These are levies to private international banks.
[00:02:56.634 --> 00:03:00.718]  Just as Europe admits they're now under Goldman Sachs dictatorship.
[00:03:00.718 --> 00:03:07.744]  Not through money they owe, Goldman Sachs got their governments to sign on to the derivative fraud they created.
[00:03:07.744 --> 00:03:08.866]  This is so incredible.
[00:03:09.526 --> 00:03:22.755]  And now the banksters are saying, if you don't pay all the taxes we want directly into our private coffers at the Federal Reserve, outside of a court, outside of a conviction, outside of law, we're gonna put you on a no-fly list.
[00:03:22.755 --> 00:03:27.058]  Just like Rahm Emanuel, former chief of staff at the White House said at a gun grabber meeting.
[00:03:27.058 --> 00:03:33.302]  He said, look, if you're on a no-fly list, over 2 million Americans are on that, by the way, you're not gonna be able to buy a gun.
[00:03:33.302 --> 00:03:35.284]  That is, if you are on the no-fly list,
[00:03:36.104 --> 00:03:39.126]  Because you are known as maybe a possible terrorist.
[00:03:39.126 --> 00:03:43.828]  You cannot buy a handgun in America.
[00:03:43.828 --> 00:03:51.553]  One of the things you don't know about is the number of people that we have turned away because their name has been on the watch list or on the no-fly list.
[00:03:52.518 --> 00:03:58.400]  Only my mom could, but not me and my dad, cuz both me and my dad are on the watch list.
[00:03:58.400 --> 00:04:02.541]  Now they say they want to expand that to where if you haven't paid your taxes, you can't buy a gun.
[00:04:02.541 --> 00:04:06.863]  Of course, these are taxes to the IRS, and they just say you haven't paid.
[00:04:07.623 --> 00:04:10.266]  The bankers are taking control of our lives.
[00:04:10.266 --> 00:04:13.368]  They are squeezing Europeans with the exact same system.
[00:04:13.368 --> 00:04:15.270]  This is hardcore fascism.
[00:04:15.270 --> 00:04:21.195]  This is incredible tyranny and we've got to defeat this legislation that is now in the House.
[00:04:21.195 --> 00:04:26.801]  Get these articles and get them out to everybody and demand that the corporate whore dinosaur media cover this.
[00:04:27.341 --> 00:04:34.368]  Because these are internal checkpoints, internal passports, and they're saying they're going to revoke your citizenship.
[00:04:34.368 --> 00:04:37.651]  That's what this does, extra-judicially.
[00:04:37.651 --> 00:04:42.816]  This is off the Richter scale when it comes to despotic, oppressive tyranny.
[00:04:43.817 --> 00:04:55.951]  The Federal Reserve is engaged in a total coup d'etat over due process and threatening to revoke our citizenship and pull our passports if we don't fully submit to the bankers.
[00:04:55.951 --> 00:05:05.381]  The bankers are pressuring local governments to raise the local property tax that we didn't have until 60 years ago in this country that turns your property into basically a government rental.
[00:05:05.621 --> 00:05:11.785]  The worst drought in 50 years continues, and the first six months of 2012 marks the hottest half year on record.
[00:05:11.785 --> 00:05:14.748]  78% of the Midwest corn belt is in drought conditions.
[00:05:14.748 --> 00:05:20.131]  Not only corn, but soy, alfalfa, fruits, vegetables, and wheat are all impacted, raising prices.
[00:05:20.131 --> 00:05:25.095]  The cost to feed livestock is forcing farmers and ranchers out of business, blowing up your food prices.
[00:05:25.095 --> 00:05:32.420]  The only strategy to counter this is to freeze your food costs to today's prices by getting your own supply of foods or meat foods direct now.
[00:05:32.720 --> 00:05:36.603]  As the price of raw ingredients increases, eFoods will have to raise prices, too.
[00:05:36.603 --> 00:05:38.385]  Now is the time to get your supply.
[00:05:38.385 --> 00:05:42.408]  I recently increased my supply from eFoods Direct because we've all known this was coming.
[00:05:42.408 --> 00:05:45.330]  You know about their delicious, long-term, storable foods.
[00:05:45.330 --> 00:05:48.092]  The fact is, you can eat it any time to save money today.
[00:05:48.092 --> 00:05:52.656]  And because it's stored for 25 years, you're locking in today's prices and avoiding the rising food costs.
[00:05:52.656 --> 00:05:53.316]  Don't wait!
[00:05:53.316 --> 00:05:53.777]  Call 800-409-5633.
[00:05:53.777 --> 00:05:58.580]  Or go to eFoodsDirect.com forward slash Alex.
[00:05:58.580 --> 00:05:58.800]  Call 800-409-5633.
