[00:00.000 --> 00:01.400]  We've got it, Douga.
[00:01.400 --> 00:03.600]  Think there's been a coming to you.
[00:07.200 --> 00:09.800]  Waging war on corruption.
[00:09.800 --> 00:11.600]  I like you, I'm golden.
[00:11.600 --> 00:17.800]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:19.800 --> 00:21.600]  Now we see the iron.
[00:22.400 --> 00:23.200]  We've got it.
[00:23.200 --> 00:25.000]  Hey, Barack Obama!
[00:25.000 --> 00:30.400]  He's been elected again as the 44th President of the United States.
[00:30.400 --> 00:35.000]  It, of course, is Sunday, November 4th, 2012.
[00:35.000 --> 00:38.600]  He hasn't been elected to his second term yet.
[00:38.600 --> 00:42.400]  But if you looked at the bookies in Vegas, Ireland and England,
[00:42.400 --> 00:46.200]  they're already paying out on it.
[00:46.200 --> 00:49.600]  And that's a real attempt, from my view and my research,
[00:49.600 --> 00:53.000]  to influence things and to make it look like a foregone conclusion
[00:53.000 --> 00:56.800]  from a historically very, very seedy industry.
[00:56.800 --> 01:00.400]  If you can call it that, we're going to be going over that report.
[01:00.400 --> 01:04.400]  The New York Times says 85% chance that he's going to win
[01:04.400 --> 01:07.000]  and use one of their pet pollsters to say that.
[01:07.000 --> 01:08.800]  Look, I know Mitt Romney's a globalist.
[01:08.800 --> 01:11.800]  I know he's New World Order all the way.
[01:11.800 --> 01:18.000]  The issue is Barack Obama won't be facing re-election.
[01:18.000 --> 01:21.400]  He'll have the power of the pardon and the power of the executive order.
[01:21.400 --> 01:24.400]  And he's got a total criminal crew up there under him
[01:24.400 --> 01:26.000]  that is going to go for broke.
[01:26.000 --> 01:28.800]  They've said they've only shut down 200 coal power plants roughly.
[01:28.800 --> 01:30.400]  They're going to shut down over 1,000.
[01:30.400 --> 01:33.000]  They've publicly said this as soon as he's re-elected.
[01:33.000 --> 01:36.000]  And he's now said he will move the ban extrajudicially,
[01:36.000 --> 01:39.800]  your handguns and rifles, not for manufacturer's sale.
[01:39.800 --> 01:41.400]  They're going to order them turned in.
[01:41.400 --> 01:43.000]  They want to start a civil war.
[01:43.000 --> 01:44.800]  This is a criminal group.
[01:44.800 --> 01:47.800]  Now, he's a puppet of the globalist.
[01:47.800 --> 01:51.800]  And that's why the system really wants to get Obama back in
[01:51.800 --> 01:54.800]  because they believe he'll just do whatever he's told and move forward.
[01:54.800 --> 01:57.800]  Romney will have more trouble with his constituency doing it
[01:57.800 --> 02:00.800]  and will be facing re-election.
[02:00.800 --> 02:02.800]  I always say throw the bums out.
[02:02.800 --> 02:05.800]  You know, I sat on the benches with McCain and Obama
[02:05.800 --> 02:08.800]  because it was not an incumbent and said either way, it's going to be horrible.
[02:08.800 --> 02:15.800]  But clearly, clearly the power structure wanted Obama four years ago.
[02:15.800 --> 02:18.800]  And that's why I made the Obama deception and, of course, he won.
[02:18.800 --> 02:21.800]  This time there is some splits in the power structure,
[02:21.800 --> 02:25.800]  but still the main power structure wants Obama.
[02:25.800 --> 02:27.800]  And we're going to be breaking all this down today.
[02:27.800 --> 02:30.800]  Also, you know, I monitor mainstream media.
[02:30.800 --> 02:33.800]  It's a tough job, but somebody's got to do it.
[02:33.800 --> 02:39.800]  And Bill Maher has more race baiting, more calls for race war in this country.
[02:39.800 --> 02:41.800]  And it dovetails with Michael Moore.
[02:41.800 --> 02:47.800]  It dovetails with what we see from MSNBC and the fact that more threats
[02:47.800 --> 02:54.800]  to attack white people, more threats to attack and burn things down
[02:54.800 --> 02:57.800]  are being allowed by the Secret Service.
[02:57.800 --> 02:59.800]  And really nothing's being done about that.
[02:59.800 --> 03:04.800]  There's a new weekly standard out report dealing with that from a weekly standard.
[03:04.800 --> 03:08.800]  Now, but coming up, we've got some clips here.
