[00:00.000 --> 00:08.000]  We now take you live to the Central Texas Command Center and the heart of the resistance.
[00:08.000 --> 00:35.000]  You're listening to the Alex Jones show.
[00:35.000 --> 00:44.000]  Welcome to the Alex Jones show.
[00:44.000 --> 00:47.000]  It's Sunday, November 11th, 2012.
[00:47.000 --> 00:49.000]  I'm David Knight filling in for Alex Jones.
[00:49.000 --> 00:54.000]  But actually we have a breaking report from Alex and Melissa Melton on the dangers of aspartame.
[00:54.000 --> 01:01.000]  And we have interviews that Alex did this past week with Ron Paul, Gerald Salenty and Jesse Ventura.
[01:01.000 --> 01:05.000]  And not the kind of horse race analysis you typically hear on mainstream media.
[01:05.000 --> 01:13.000]  No, this is Ron Paul, Gerald Salenty and Jesse Ventura talking about what's going to happen next when we've got four more years of Obama.
[01:13.000 --> 01:15.000]  You know, it's been a real busy week this week.
[01:15.000 --> 01:21.000]  We did seven hours of live election coverage Tuesday night and we streamed it for free on Prison Planet TV.
[01:21.000 --> 01:28.000]  And then the next night we followed up with another two hours of post-election coverage, also free and streamed on Prison Planet.
[01:28.000 --> 01:32.000]  You know, we covered a little bit of the horse race aspects so people wanted to know who was winning.
[01:32.000 --> 01:34.000]  But we did something the other media didn't do.
[01:34.000 --> 01:39.000]  We pulled back the curtain and we looked at rampant corruption in the election process.
[01:39.000 --> 01:41.000]  And you know, it is corrupt to the core.
[01:41.000 --> 01:46.000]  Alex has had several interviews this week with Bev Harris with blackboxvoting.org.
[01:46.000 --> 01:54.000]  And we needed to stop putting so much hope in the federal elections and also so much hope in just one single office, the presidency.
[01:54.000 --> 01:56.000]  You know, we do that.
[01:56.000 --> 01:58.000]  It makes them a lot more powerful.
[01:58.000 --> 02:02.000]  You know, as part of the live coverage we had, we also did a lot of polls on infowars.com.
[02:02.000 --> 02:07.000]  And one of those polls, we asked people which of these is the most effective for legal and peaceful change.
[02:07.000 --> 02:09.000]  And we offered several alternatives.
[02:09.000 --> 02:16.000]  And interestingly enough, 51% of the people picked educating the public using alternative media.
[02:16.000 --> 02:20.000]  We think the soapbox is a real powerful way to get change.
[02:20.000 --> 02:25.000]  You know, one of the ways that you can do that is with a membership at Prison Planet TV.
[02:25.000 --> 02:28.000]  We provided this coverage this week for free.
[02:28.000 --> 02:31.000]  You know, we're streaming out that kind of massive quantity.
[02:31.000 --> 02:33.000]  That's a lot of bandwidth charges.
[02:33.000 --> 02:40.000]  But you know, if you get a membership at Prison Planet TV, you can always give that to, I think they've changed it now from six people at a time.
[02:40.000 --> 02:45.000]  I think it's now 10 people at a time that can listen to the streams.
[02:45.000 --> 02:51.000]  And that's a really good way to pass a word on to your friends and family, help them to understand what's going on.
[02:51.000 --> 02:56.000]  You know, some of the other things that people thought might be effective, but they were way down.
[02:56.000 --> 03:05.000]  Like I said, 51% of the people picked alternative media as the best way to educate people and the best way to affect peaceful legal change.
[03:05.000 --> 03:07.000]  A lot of people picked state nullification.
[03:07.000 --> 03:13.000]  And we had a lot of ballot amendments this week, one that we're very disappointed in, Prop 37 in California.
[03:13.000 --> 03:17.000]  We were simply looking to see what's in our food.
[03:17.000 --> 03:20.000]  Wouldn't you like to know what's in the food that you're eating?
[03:20.000 --> 03:23.000]  Haven't we done that for decades with labeling?
[03:23.000 --> 03:25.000]  Haven't we talked about everything that's in the food?
[03:25.000 --> 03:28.000]  I mean, we talk about in the most minute detail.
[03:28.000 --> 03:35.000]  And you know, one of the things that's going to be in this report, many people, you know, we have so much detail on the label right now.
[03:35.000 --> 03:39.000]  A lot of times people don't really understand what these particular ingredients are.
[03:39.000 --> 03:45.000]  And so one of the things we've got in this report that's going to be breaking later tonight is talking about some of these ingredients.
[03:45.000 --> 03:50.000]  And talking about what we've seen in studies, you know, you can go through and you can look at these ingredients.
[03:50.000 --> 03:56.000]  A lot of these things are very long chemical names and you may not really know what those things really do to you.
[03:56.000 --> 04:00.000]  Or, you know, when you consume them in mass quantities, consume them over a very long period of time.
[04:00.000 --> 04:08.000]  We do know that recent studies in France this last summer showed massive tumors and wraps that were exposed to GMO.
[04:08.000 --> 04:18.000]  So a lot of people were hoping that California would set a trend and that they would require identification if GMO was actually in your food.
[04:18.000 --> 04:20.000]  Unfortunately, that didn't happen.
[04:20.000 --> 04:22.000]  Maybe it was legitimate.
[04:22.000 --> 04:24.000]  Maybe there was something funny going on.
[04:24.000 --> 04:35.000]  You know, the big agribusiness spent many times more money on defeating GMO truth and labeling laws in California than they spent combined on Obama and Romney.
[04:35.000 --> 04:39.000]  So you kind of have to wonder if that was a straight up vote there.
[04:39.000 --> 04:42.000]  But, you know, it's been said that our power comes from several boxes.
[04:42.000 --> 04:46.000]  You know, the ballot box is just one of the places that our power comes from.
[04:46.000 --> 04:50.000]  It also comes from a jury box, a soap box, and a cartridge box.
[04:50.000 --> 05:06.000]  And we're going to talk about that in just a little bit.
[05:21.000 --> 05:25.000]  It's like having an electric power plant running quietly in your own home.
[05:25.000 --> 05:29.000]  Run some pumps, shortwave radios, computers, and even keep your food from spoiling.
[05:29.000 --> 05:34.000]  Whether it's hurricanes, ice storms, brownouts, or blackouts, you'll never suffer through painful power outages again.
[05:34.000 --> 05:43.000]  And here's the best news, a remarkable fall truckload sale going on right now that gets you $1,700 in bonuses when you buy a solar generator.
[05:43.000 --> 05:50.000]  To find out why solar generators are the best generators and get $1,700 for doing so, go to falltruckloadsale.com.
