[00:00.000 --> 00:02.000]  We've got it
[00:07.440 --> 00:09.440]  Waging war on corruption
[00:11.480 --> 00:17.480]  It's Alex Jones coming to you live from the front lines of the info war
[00:24.560 --> 00:27.680]  It's the day of the big game
[00:27.680 --> 00:33.800]  And during the big game Super Bowl 2013
[00:35.800 --> 00:42.200]  From the season of 2012 technically Super Bowl 2012 we are going to be
[00:42.880 --> 00:46.060]  brainwashed by ads against the Second Amendment
[00:47.240 --> 00:51.280]  financed by the globalists and other collaborators against our liberty and the
[00:52.440 --> 00:53.680]  exploited
[00:53.680 --> 00:56.240]  children of Sandy Hook survivors
[00:56.240 --> 00:58.240]  with their choir
[00:58.560 --> 01:02.600]  to tear jerk and demonize the second amendment on
[01:03.880 --> 01:06.880]  believably opportunistic and disgusting but
[01:07.520 --> 01:12.840]  Don't ever expect the criminals that run this system to not be opportunistic and over the top
[01:12.920 --> 01:18.640]  They think you are stupid. They think you are utterly and totally mindless
[01:18.840 --> 01:21.560]  They think there's nothing you won't buy
[01:21.560 --> 01:25.600]  We're going to be going over the latest on the second amendment today
[01:26.480 --> 01:34.280]  But there is an article out of Forbes. It's excellent that we have linked up at info wars calm and prison planet calm
[01:34.280 --> 01:42.720]  It's also I found it at drudge report calm on the left hand side in all array winning the influence battle over gun control
[01:42.720 --> 01:49.160]  And I don't just believe polls when I hear them or see them. I've studied polls. I've studied statistics
[01:49.160 --> 01:57.960]  I've studied how they work and I'm able to gauge polls over a long period of time from what I read in quasi internal government white papers
[01:58.880 --> 02:03.120]  Plus what I see on the streets and this told me what I already knew
[02:03.120 --> 02:06.600]  They went to one of the biggest and most respected data mining companies
[02:06.600 --> 02:10.960]  and that's really the polling agency of the future and found that it is a
[02:11.520 --> 02:13.520]  total route of
[02:13.520 --> 02:19.480]  The anti gunners the victim disarmament a kleptocratic crowd that wants to disarm their quarry
[02:20.440 --> 02:26.400]  In fact, they find with military precision organically individual gun owners
[02:27.520 --> 02:29.520]  supported through the
[02:29.960 --> 02:34.080]  NRA that we've taken control of it. It was under globalist control about 20 years ago
[02:34.080 --> 02:40.960]  There's there's no doubt Larry Pratt agrees with me that that with laser military laser like focus is the quote
[02:40.960 --> 02:46.360]  That we are annihilating the enemy now that that that's a big plus
[02:46.360 --> 02:52.720]  And it's because we realize they're an enemy a deceptive group who don't want to take guns to keep kids safe
[02:52.920 --> 02:58.720]  Don't want to register guns to actually stop criminals. They want to target the American people
[02:58.920 --> 03:04.640]  We've seen them take the guns in any city the globalist during control of we've seen them disarm people in more than
[03:04.880 --> 03:10.040]  30 something nations the last 50 years or so. We know their game plan. We know their program
[03:10.040 --> 03:12.040]  We know how it works
[03:12.560 --> 03:15.760]  And because one of the last countries to hold out like Switzerland
[03:15.800 --> 03:20.640]  We've we've gotten to have front row seats to all the tricks and the globalist are global
[03:20.640 --> 03:23.640]  They run the same program the same plays
[03:24.160 --> 03:28.360]  They switch them up a little bit, but it's basically the same playbook in country after country
[03:28.360 --> 03:32.200]  They try to take over and not just on guns when they go for the guns
[03:32.600 --> 03:38.440]  It means they're insecure and they're afraid of politically that they're not going to get away with what they've done
[03:38.440 --> 03:44.320]  And and it means they want to use authoritarianism on the public now that said we're gonna be getting into that
[03:44.520 --> 03:46.520]  we're gonna be getting into an
[03:47.080 --> 03:54.160]  Amazing report up at info wars calm that ties into like seven other links just in the article that Kurt Nemo did and
[03:54.360 --> 03:57.600]  I was even able to find some more. We're gonna play some of these clips coming up
[03:58.400 --> 04:00.400]  Reverend Jesse Jackson
[04:00.880 --> 04:02.720]  To rip off Rush Limbaugh's
