[00:00:04.573 --> 00:00:05.874]  Big Brother.
[00:00:05.874 --> 00:00:07.656]  Mainstream media.
[00:00:07.656 --> 00:00:09.418]  Government cover-ups.
[00:00:09.418 --> 00:00:10.999]  You want answers?
[00:00:10.999 --> 00:00:12.541]  Well, so does he.
[00:00:12.541 --> 00:00:16.744]  He's Alex Jones on the GCN Radio Network.
[00:00:16.744 --> 00:00:20.828]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.455 --> 00:00:27.396]  Welcome to the Alex Jones Radio Show.
[00:00:27.396 --> 00:00:28.317]  I'm David Knight.
[00:00:28.317 --> 00:00:33.100]  It is Friday, June 7, 2013, the second day of Bilderberg.
[00:00:33.100 --> 00:00:35.942]  Alex is going to be joining us in a little while live from London.
[00:00:35.942 --> 00:00:36.863]  He's been there all week.
[00:00:36.863 --> 00:00:38.144]  It's not just the second day for him.
[00:00:40.424 --> 00:00:42.306]  We've got videos.
[00:00:42.306 --> 00:00:46.009]  Alex has actually barged in to Bilderberg.
[00:00:46.009 --> 00:00:50.032]  He's actually out on a barge bullhorning Bilderberg.
[00:00:50.032 --> 00:00:53.175]  And we've got some live video that's going up on Ustream of that.
[00:00:53.175 --> 00:00:59.621]  You can follow everything as it's breaking at Infowars.com forward slash B as in Bilderberg.
[00:00:59.621 --> 00:01:00.702]  And we've got some video of that.
[00:01:00.702 --> 00:01:04.825]  We're also going to be playing some audio from that video coming up in the next segment.
[00:01:05.646 --> 00:01:11.129]  A lot of things are breaking in the last couple of days about the government spying on people.
[00:01:11.129 --> 00:01:13.670]  Now, of course, we've been talking about this for years.
[00:01:13.670 --> 00:01:17.952]  Alex has been talking about it for years, just as he's been talking about Bilderberg.
[00:01:17.952 --> 00:01:25.836]  And it's kind of interesting to see these things now being talked about by the mainstream media, now coming out into the open.
[00:01:25.836 --> 00:01:27.837]  And it's interesting to see how they're spinning this.
[00:01:27.837 --> 00:01:29.057]  And we're going to be talking about this.
[00:01:29.057 --> 00:01:32.059]  There's a couple of links from InfoWars up on the Drudge Report.
[00:01:33.340 --> 00:01:42.302]  A key one, a very key link that we've got up there is David Petraeus at Bilderberg to craft a quote big data spy grid.
[00:01:42.302 --> 00:01:44.462]  That's an article from InfoWars.
[00:01:44.462 --> 00:01:51.804]  Paul Joseph Watson says former CIA director is helping to bolster the same surveillance system that brought him down.
[00:01:51.804 --> 00:02:00.786]  Bilderberg's official agenda for 2013 lists one of the areas of discussion as quote how big data is changing almost everything unquote.
[00:02:01.326 --> 00:02:11.690]  It's a reference to the Internet of Things, as they put it, along with the ubiquitous growth of social media and how it's transforming the world of surveillance, the ability to foresee and manipulate future events.
[00:02:11.690 --> 00:02:17.653]  And at exactly the same time, Watson points out, a Homeland Security subcommittee in the U.S.
[00:02:17.653 --> 00:02:22.675]  will also be discussing big data and its implications in the context of social media.
