[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:32.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:32.000 --> 00:34.000]  Ladies and gentlemen, thank you for joining us.
[00:34.000 --> 00:48.000]  It is 8-8 Thursday, the 8th day of August 2013. I am your host, Alex Jones, and we are going to be live here for the next three hours.
[00:48.000 --> 00:54.000]  We've got Cynthia McKinney, the former congresswoman, joining us. She's been to Libya. She's been to Syria.
[00:54.000 --> 00:56.000]  She's witnessed what's going on over there.
[00:56.000 --> 01:07.000]  You often hear her demonized by liberal and mainline conservative radio and TV because, well, in the final equation, she is a real person.
[01:07.000 --> 01:14.000]  And to many respects, it's transcended the false left-right paradigm. That's why they ran her out of Congress.
[01:14.000 --> 01:20.000]  We're going to be talking to her about a host of issues in the third hour today, popping in for 10-15 minutes in the second hour.
[01:20.000 --> 01:27.000]  There will be James Nabors and Dallas Thurman. They've helped kick off what was very successful a few days ago, and they have more events coming.
[01:27.000 --> 01:35.000]  Just the spontaneous call they put out on the Internet to have people go out and call for Obama's impeachment in overpass takeovers.
[01:35.000 --> 01:39.000]  And, you know, all over the country, the police really haven't been able to stop anybody.
[01:39.000 --> 01:42.000]  They've tried to claim there's free speech zones. They lose lawsuits when that happens.
[01:42.000 --> 01:46.000]  Most of the police I've found want to defend the First Amendment.
[01:46.000 --> 01:53.000]  I saw a video this morning, we're going to play later in Wisconsin, the police saying you can't, you know, gather and talk or gather and sing in the capitals.
[01:53.000 --> 02:01.000]  Well, these are our capitals. And, you know, when I go out and have a demonstration, I don't get a permit unless it's to shut down a road.
[02:01.000 --> 02:03.000]  That's when you get a permit because you're blocking other people.
[02:03.000 --> 02:10.000]  But when you're just out demonstrating on the side of the road, there is no permit, folks. It's like there's no permit for a gun.
[02:10.000 --> 02:15.000]  They just create those outside of law to condition you that it's a privilege.
[02:15.000 --> 02:21.000]  And then they can revoke the privilege like New York, D.C. and Chicago have done.
[02:21.000 --> 02:26.000]  They want to license having kids now, which you go, well, they're a bunch of dumb people. Yeah, but they're going to use it on you.
[02:26.000 --> 02:32.000]  They want your healthy, adjusted kid. They want you because you're hardworking and adjusted. You'll comply.
[02:32.000 --> 02:41.000]  They fill their ranks of bureaucrats and with all these knuckle-dragging morons out there that couldn't tie their shoelaces.
[02:41.000 --> 02:45.000]  And we're going to be discussing that today as well.
[02:45.000 --> 02:54.000]  Obama is to mark the 50th anniversary of MLK's dream speech to imply that he's like Martin Luther King when he's the opposite.
[02:54.000 --> 02:59.000]  All about race, not about the character of your deeds and what you stand for.
[02:59.000 --> 03:07.000]  All about tyranny. All about, you know, saying that Obamacare would cover pre-existing conditions.
[03:07.000 --> 03:12.000]  Of course, it didn't. I mean, everything he says turns out to be a lie.
[03:12.000 --> 03:18.000]  Even if you agree with his socialism, which I don't, it's not even that. It's just a total sucker job.
[03:18.000 --> 03:22.000]  Also, ex-border patrol agents warn politicians helping cartels in U.S.
[03:22.000 --> 03:25.000]  That's Breitbart. They put out a public letter.
[03:25.000 --> 03:30.000]  Of course, the reporting Mexican drug cartels increasingly hire U.S. military servicemen for assassination.
[03:30.000 --> 03:36.000]  I told you that 16 years ago and I told you that about eight years ago with Selle Castile, the former DEA agent.
[03:36.000 --> 03:40.000]  That came and set up and sent to prison for talking about that. We got to get him back on sometime.
[03:40.000 --> 03:46.000]  He's out of prison now. He owned a couple shotguns, sold them to his neighbor and they said that was gun-running.
[03:46.000 --> 03:52.000]  A schoolteacher needed to make some money. That's the type of thing they do in this country.
[03:52.000 --> 03:58.000]  Vietnam veteran on top of it and people go, why do they target good people? Because they're a mafia.
[03:58.000 --> 04:03.000]  And the more you realize that and stop being so naive, I don't mean our general listeners,
[04:03.000 --> 04:09.000]  but people tuning in for the first time, the better chance we have at a future here.
[04:09.000 --> 04:16.000]  You see, I'm the opposite of NPR and all the NLP control freaks and all the programmers out there
[04:16.000 --> 04:19.000]  who learn about all this knowledge and then use it to control you.
[04:19.000 --> 04:25.000]  I'm here for a global jailbreak. I want to maximize your intelligence, maximize your horizons.
[04:25.000 --> 04:32.000]  I want to see a brain boost out there because I want my children and their great-grandchildren to grow up in a free universe.
[04:32.000 --> 04:38.000]  That's what I'm looking for. And I declare war on all the manipulators, all the control freaks,
[04:38.000 --> 04:43.000]  all the people that learn the knowledge about the world works and use it against humanity.
[04:43.000 --> 04:49.000]  I'm here to try to unlock as many minds as I can to bring down the tyrants.
[04:49.000 --> 04:56.000]  What are you here for? Which side are you on? Big news straight ahead on combat ground robots.
[04:56.000 --> 05:03.000]  Stay with us, we'll be right back.
[05:26.000 --> 05:31.000]  To celebrate our 32-year anniversary, get the best insurance possible with a special one-time offer,
[05:31.000 --> 05:35.000]  a two-month food supply for only $320 and free shipping.
[05:35.000 --> 05:42.000]  That's 352 servings of our newest and most popular award-winning recipes at less than $1 per serving.
[05:42.000 --> 05:46.000]  The 25-year shelf life allows you to lock your food cost against inflation.
[05:46.000 --> 05:51.000]  Call 800-409-5633 or go to eFoodsDirect.com slash Alex.
[05:51.000 --> 06:00.000]  The two-month supply is only available for a limited time. Call 800-409-5633 or go to eFoodsDirect.com slash Alex.
[06:00.000 --> 06:04.000]  Protecting your home with a security system is a must.
[06:04.000 --> 06:10.000]  But when it comes to protecting your family, your home and belongings, there's no need to sign a long-term contract.
[06:10.000 --> 06:17.000]  Listen, there is some real scum in the alarm business, caching in by locking you into long punishing contracts,
[06:17.000 --> 06:20.000]  not with simply safe home security. They're the good guys.
[06:20.000 --> 06:23.000]  You can trust SimplySafe to protect your family.
[06:23.000 --> 06:28.000]  SimplySafe was created by a Harvard Business School engineer and it's revolutionary.
[06:28.000 --> 06:31.000]  You'll get 24-hour protection for just $14.99 a month.
[06:31.000 --> 06:34.000]  There are no hidden fees and no contracts.
[06:34.000 --> 06:39.000]  You'll save thousands, plus you're protected by their 100% money-back guarantee.
[06:39.000 --> 06:42.000]  Protect yourself against home invasions and break-ins.
[06:42.000 --> 06:49.000]  Order your SimplySafe system now and receive a wireless keychain remote, a $25 gift, free.
[06:49.000 --> 06:52.000]  So don't waste your time dealing with scum.
[06:52.000 --> 06:55.000]  Visit GetSimplySafe.com.
