[00:00.000 --> 00:06.000]  In this present crisis, government is not the solution to our problem.
[00:06.000 --> 00:08.000]  Government is the problem.
[00:11.000 --> 00:18.000]  From time to time, we've been tempted to believe that society has become too complex to be managed by self-rule.
[00:18.000 --> 00:26.000]  That government by an elite group is superior to government for, by and of the people.
[00:26.000 --> 00:32.000]  The Alex Jones show, because there is a war on for your mind.
[00:32.000 --> 00:38.000]  Hello me, meet the real me, in my misfits way of life.
[00:38.000 --> 00:44.000]  A dark black past is my most valued possession.
[00:44.000 --> 00:50.000]  Paincite is always 2020, but looking back it's still a bit fuzzy.
[00:50.000 --> 00:53.000]  Speak of mutually assured destruction.
[00:53.000 --> 00:56.000]  Nice story, talk, friends, talk, yes.
[00:56.000 --> 01:01.000]  Feeling paranoid to win me or cost friend.
[01:01.000 --> 01:07.000]  Anxiety's decked in me, my hair is getting thin.
[01:07.000 --> 01:18.000]  Alright folks, thank you so much for joining us on this live, worldwide Sunday edition of the 23rd day of March 2014.
[01:18.000 --> 01:25.000]  We're going to be here as we are every Sunday from 4 to 6 p.m. Central Standard Time and back tomorrow 11 a.m. to 2 p.m. Central.
[01:25.000 --> 01:31.000]  I am doing this Sunday edition from my home in Austin, Texas.
[01:31.000 --> 01:38.000]  And we are going to have riding shotgun back at the studio with a bunch of investigative reports and breaking news.
[01:38.000 --> 01:43.000]  David Knight running shotgun with us, riding shotgun with us.
[01:43.000 --> 01:52.000]  Mark Dice recently censored for his pro-gun, pro-Christian activities on YouTube, clearly censored.
[01:52.000 --> 02:04.000]  He's going to be joining us coming up at the bottom of the hour to talk about all the different ways they attack free speech in this country and try to blackball anyone who's not a communist serving the offshore megabanks that are fascist.
[02:04.000 --> 02:12.000]  And so we're going to be looking at the fairness doctrine, we're going to be looking at Facebook censoring, cispus, sopa, drudge being demonized.
[02:12.000 --> 02:20.000]  For saying as a small business owner, I'm going to go ahead this year and opt to pay the $5,000 fine on the income tax forms.
[02:20.000 --> 02:28.000]  And they had Yahoo News, just everybody, all the Democratic Party operatives come out yesterday and today.
[02:28.000 --> 02:33.000]  We're covering it at infoworks.com, we have a Breitbart story, and say he's a complete liar.
[02:33.000 --> 02:37.000]  Basically there is no $5,000 fee or fine.
[02:37.000 --> 02:44.000]  They either say that lie, which is a 100% lie, or they say, oh, the mandate doesn't start till next year.
[02:44.000 --> 02:49.000]  Well, for individuals, not for businesses. My accountants are telling me the same thing.
[02:49.000 --> 02:59.000]  And I've got enough crew members to pass a threshold to where if everybody doesn't get it, or if I don't make them get it, or if I don't somehow force them to have it,
[02:59.000 --> 03:08.000]  I get fined as a small business owner as they were listening. Really just a political activist that uses business to fund my operation.
[03:08.000 --> 03:14.000]  Most revolutionaries rob banks. I sell t-shirts and water filters and high quality products.
[03:14.000 --> 03:22.000]  But the whole point here is this is getting really serious because they call you racist, they call you a fascist,
[03:22.000 --> 03:32.000]  they call you a hater when you promote the Second Amendment or national sovereignty, or they go out and pray on their dumb readers and viewers on MSNBC
[03:32.000 --> 03:39.000]  as they're doing today and say that Matt Rudd is lying. There is no tax. There are no death panels. It doesn't increase your premiums.
[03:39.000 --> 03:45.000]  You can keep your doctor. The moon is made of cheese. Bill Clinton didn't have sex with that woman.
[03:45.000 --> 03:54.000]  It's just a new level of lying and I don't mean to perseverate and obsess on drudge. It's just extremely, extremely frustrating.
[03:54.000 --> 04:01.000]  Because I mean, I go through this all the time as well. We go, here are the federal documents that they've got drones watching farmers.
[04:01.000 --> 04:10.000]  And AP and a bunch of others come out a couple years ago and in every newspaper in the country basically smear me and say, I'm a liar.
[04:10.000 --> 04:17.000]  There are no drones, even though our articles and info wars.com had all the proof and they play these games with people.
[04:17.000 --> 04:28.000]  The level of lying is simply ultra massive. Now the system has become so discredited that they are moving towards trying to just shut us down and shut us up.
[04:28.000 --> 04:33.000]  So I want to give you the different attacks they're involved in today on the other side.
[04:33.000 --> 04:40.000]  Then we're going to look at the huge developments in Ukraine. Russians took over a Crimean military base that was supposed to be handed over to an agreement a week ago.
[04:40.000 --> 04:50.000]  The media is calling it war. Ukraine fears Putin ready to attack the quote. Soldiers seeing a strip storm, Crimea base, Obama aid, possible Russia could enter Ukraine.
[04:50.000 --> 04:58.000]  Romney slams president for faulty judgment and big breaking news on international pedophile rings from the UK to Mexico.
[04:58.000 --> 05:07.000]  SAC, this is Crystal Palace. Sink No Radders declare DEF CON 3. Scramble all alert aircraft. I repeat, scramble all alert aircraft.
[05:07.000 --> 05:16.000]  The Whopper spends all its time thinking about World War 3. Target selection complete. Time on target sequence complete.
[05:16.000 --> 05:24.000]  22 Typhoon class submarines departing Petropavlovsk, turning south out of Nordkapp, bearing 095 degrees.
[05:24.000 --> 05:29.000]  Radar reports two unknown tracks are penetrating the Alaskan air defense zone.
[05:29.000 --> 05:33.000]  From the front lines of the information war.
[05:33.000 --> 05:39.000]  Flush the bombers, get the subs in launch mode. We are at DEF CON 1.
[05:39.000 --> 05:43.000]  Are you prepared to destroy the enemy? You bet!
[05:43.000 --> 05:47.000]  Defending the Republic from enemies, foreign and domestic.
[05:47.000 --> 05:50.000]  We'll keep control, but we'll keep it here at the top where it belongs.
[05:50.000 --> 05:57.000]  3, 2, 1, impact. Shall we play a game?
[05:57.000 --> 06:03.000]  How about global thermal nuclear war?
