[00:00.000 --> 00:14.680]  Big Brother mainstream media government cover-ups you want answers well so does he he's Alex Jones
[00:14.680 --> 00:42.120]  on the GCN radio network and now live from Austin, Texas, Alex Jones well we are certainly
[00:42.120 --> 00:46.520]  engaging the globalist in the infowar right now ladies and gentlemen thank you for joining
[00:46.520 --> 00:57.120]  me on this Tuesday June 10th 2014 worldwide broadcast and we are going to obviously be
[00:57.120 --> 01:03.120]  taking your phone calls and covering all of the incredibly important news that's transpiring
[01:03.120 --> 01:11.720]  I've got to say that the immigration news is so huge and it's not even getting a lot
[01:11.720 --> 01:17.400]  of what you call dinosaur media attention or they blindly report oh yeah third US military
[01:17.400 --> 01:25.720]  base is filling up with the hundreds of thousands of illegal children who just get off airplanes
[01:25.720 --> 01:31.000]  or who are brought across the border and dumped by their parents Obama opens third military
[01:31.000 --> 01:35.480]  base to deal with flood of illegal children immigrants as officials insist they are being
[01:35.480 --> 01:40.720]  cared for despite abuse allegations see even the Daily Mail it's about abuse allegations
[01:40.720 --> 01:49.000]  which is important but but the it comes after the crisis itself the United States is being
[01:49.000 --> 01:59.240]  advertised that if you can get here with leprosy or double amputee or blind child whatever the
[01:59.240 --> 02:08.000]  case is we're going to pay for you as the country goes bankrupt I mean 30 40,000 Cubans
[02:08.000 --> 02:13.680]  in the 80s coming over in a couple of boat flotillas was a big issue because a bunch
[02:13.680 --> 02:19.160]  of them were criminals they call it the Cuban crime wave because Castro was you know dumping
[02:19.160 --> 02:25.080]  a lot of his prisons on to the United States so some of them are good people they were
[02:25.080 --> 02:29.340]  political prisoners and people that was a minority of course they made the fictional
[02:29.340 --> 02:35.200]  scarface written by the great Oliver Stone based on a five-year investigation of real
[02:35.200 --> 02:39.240]  characters he just changed the name of it's basically a true story and I've seen an interview
[02:39.240 --> 02:42.840]  he gave where he broke that down he would spend years with the cartels in Latin America
[02:42.840 --> 02:48.160]  to write that that script also wrote Conan a barbarian interesting enough side issue
[02:48.160 --> 02:53.720]  was his first big break the point is is that this is hundreds of thousands it's estimated
[02:53.720 --> 03:00.360]  over 200,000 already another 260,000 the federal government came out yesterday in a memo and
[03:00.360 --> 03:06.640]  said they think are going to be coming in I mean ladies and gentlemen this has never
[03:06.640 --> 03:14.160]  been done by anybody Obama is literally taking a giant dump on the country and I don't usually
[03:14.160 --> 03:20.960]  use scatological verbiage I don't usually need to you but I mean when it when a shoe
[03:20.960 --> 03:27.880]  fits wear it I mean there's there's no other way to describe the way this country is being
[03:27.880 --> 03:34.480]  gutted our power plants turned off Obamacare meant to stall our country meanwhile you know
[03:34.480 --> 03:40.840]  the other shoes about to drop when they start arresting governors and filmmakers and pro
[03:40.840 --> 03:47.160]  lifers all over the country for their speech persecuting people and then coming out and
[03:47.160 --> 03:53.120]  saying I mean he had Ronald Reagan on his Facebook he had Rand Paul on his Facebook and they've
[03:53.120 --> 04:00.280]  attacked Rand Paul they've attacked Breitbart but but no no Alex Jones we are swamp with
[04:00.280 --> 04:05.840]  the CNN MSNBC clips I mean there's got to be six or seven of them we've already been
[04:05.840 --> 04:10.760]  sent by listeners and there's no way to air all of this or even digest it all we're going
[04:10.760 --> 04:16.560]  to try to play some of it where they are basically saying he did it because of me when everyone
[04:16.560 --> 04:24.200]  knows that I say do not offensively attack anybody and it's the worst thing we could
[04:24.200 --> 04:30.000]  do and it's cold-blooded murder just like killing the kids at Waco because they wanted
[04:30.000 --> 04:36.960]  to kill the parents teach them a lesson it's a horrible crime just because the police represent
[04:36.960 --> 04:42.240]  a corrupt system doesn't mean they're corrupt I mean by that extension if you pay income
[04:42.240 --> 04:45.440]  taxes are you going to get shot in the back of the head in the restaurant because you're
[04:45.440 --> 04:50.400]  funding this I mean I pay him that's a fraudulent tax to a private bank but they'll break your
[04:50.400 --> 04:55.240]  legs if you don't do it see what I'm saying I mean it's like shooting a bank teller because
[04:55.240 --> 05:00.920]  you're mad at JPMorgan Chase or something be right back this is Scottish John for info
[05:00.920 --> 05:04.520]  wars dot com I know that most of you here in this commercial already know about the
[05:04.520 --> 05:09.160]  new world order eugenics and all the other issues covered here at info wars the question
[05:09.160 --> 05:14.080]  is do your friends and family know if not then I want to know why oh I know it's tough to
[05:14.080 --> 05:18.240]  talk about this with some people they might call you names or they just want to talk about
[05:18.240 --> 05:23.680]  sports are so poppers I say so what there's a battle going on out there right now the
[05:23.680 --> 05:28.800]  ammunition is information and the soldiers are you it's time to transform your game from
[05:28.800 --> 05:33.320]  passive listener to active participant we from Scotland have had our skin in this game
[05:33.320 --> 05:37.560]  for the greater part of the last thousand years and I'm still fighting if we don't all
[05:37.560 --> 05:42.800]  stand up right now we're going to lose everything the info war is worldwide tell your friends
[05:42.800 --> 05:47.640]  about info wars and let them know that info wars doesn't print bull it's real journalism
[05:47.640 --> 05:52.520]  and news backed up by documented fact step up and take your friends and family to info
[05:52.520 --> 05:58.520]  wars dot com prison planet dot tv and planet info wars dot com the truth will set them
[05:58.520 --> 06:03.080]  free I don't know what it is Ralph just won't pay any attention to me when he comes home
[06:03.080 --> 06:08.080]  from work all he ever does is play video games and go to sleep just like I don't even exist
[06:08.080 --> 06:12.840]  oh Betty that's just awful does this seem familiar if the answer to this question is
[06:12.840 --> 06:18.720]  yes then listen carefully toxic pesticides GMO foods and additives BPA plastics contaminate
[06:18.720 --> 06:23.520]  or water supplies many of these toxic additives are deliberately engineered to attack and weaken
[06:23.520 --> 06:28.240]  human masculinity it's part of the eugenics population control movement look it up if
[06:28.240 --> 06:33.200]  men are more interested in online gaming than they are in their wives a serious population
[06:33.200 --> 06:38.400]  crisis is soon to follow energize the man in your life with super male vitality from
[06:38.400 --> 06:43.120]  info wars life dot com it's designed to aid the body in ways that help invigorate your
[06:43.120 --> 06:48.540]  natural systems without artificial testosterone completely free of GMO's harmful additives
[06:48.540 --> 06:54.000]  gluten and is made right here in the USA get your super male vitality right now at info
[06:54.000 --> 07:01.280]  wars life dot com or call 1-888-2533139 the globalists have controlled the mainstream
[07:01.280 --> 07:06.680]  media for a long time but now they're expanding making the weaponization even more vicious
[07:06.680 --> 07:12.600]  and deceptive all the major networks are state run we are partnering this year with the NFL
[07:12.600 --> 07:17.720]  the NFL has become a political weapon against the second amendment pushes Obamacare MSNBC
[07:17.720 --> 07:21.800]  tells us that our children belong to the state we have to break through our kind of private
[07:21.800 --> 07:25.960]  idea that kids belong to their parents or kids belong to their families and recognize
[07:25.960 --> 07:30.240]  that kids belong to whole communities it is more important than ever to realize that we
[07:30.240 --> 07:35.800]  are not the alternative media we are the true media the establishment dinosaur press is
[07:35.800 --> 07:42.040]  dying we are in an information war and we are losing that war join us at info wars news
[07:42.040 --> 07:47.480]  dot com and prison planet dot tv members can share their memberships with up to 11 people
[07:47.480 --> 07:53.760]  by subscribing you will literally be buying war bonds in the info war to expand our operation
[07:53.760 --> 08:00.760]  in the face of the tyrants join us at prison planet dot tv
[08:23.760 --> 08:30.760]  we now take you live to the central texas command center and the heart of the resistance
