[00:00.000 --> 00:11.000]  We are on the March. The Empire is on the run. Alex Jones and the GCN Radio Network.
[00:30.000 --> 00:42.000]  It doesn't matter how much time, because at five o'clock, they take me to the gallows
[00:42.000 --> 01:06.000]  The sands of time for me. The sands of time for me are running low. And the sands of time for the beginning of World War 3 are running low, running low.
[01:06.000 --> 01:14.000]  You study global conflicts throughout history, regional conflicts, World War 1, World War 2. This is exactly how they start.
[01:14.000 --> 01:27.000]  An economist, researchers, historians across the board in the last year have said the world is cruising towards nuclear war.
[01:27.000 --> 01:43.000]  For me, it isn't about the US or Russia or Palestinian versus Israeli. It isn't about black versus white. It isn't about Christian versus Muslim or Jew versus Muslim or black versus Hispanic.
[01:43.000 --> 02:04.000]  It's about global destabilization being carried out by corporate interest operating at different levels for the same goals and interests, sometimes not for the same goals and interests, creating this out of control headlong rush into what I'm calling the age of crisis.
[02:04.000 --> 02:17.000]  Humans have always had wars, always had giant disasters, but this one's different because of all the weapons and the communications.
[02:17.000 --> 02:27.000]  There's a reason elites are all moving to armored redoubts in the Caribbean and the Cook Islands and New Zealand right now.
[02:27.000 --> 02:38.000]  The top billionaires of Israel, it was reported a year ago, have basically all left Israel to go to Luxembourg, Switzerland or London.
[02:38.000 --> 02:49.000]  Elites are buying huge yachts, openly saying that they're not so much to party on but to survive on. This is serious, ladies and gentlemen.
[02:49.000 --> 03:03.000]  The British Ministry of Defense says global total meltdown is going to happen in their 2007 report. Our Pentagon came out last year in a report saying we're preparing for collapse, but then only they are allowed to say it.
[03:03.000 --> 03:08.000]  If citizens pointed out, it's like, oh, that's not happening. Don't be a fear monger.
[03:08.000 --> 03:23.000]  I want to have a debate about all of this so that we can avert the disasters that are coming. Those that don't know history are doomed to repeat it.
[03:23.000 --> 03:34.000]  We don't know history on average. We have the most historically ignorant population in the West we've probably had since the Renaissance began.
[03:34.000 --> 03:39.000]  And the general public is watching their ball games and drinking beer. I get it.
[03:39.000 --> 03:44.000]  But this is undoubtedly the most unstable time in human history.
[03:44.000 --> 03:53.000]  And Obama came out last week, remember, and said the world owes his administration for the unprecedented global stability.
[03:53.000 --> 04:05.000]  And you didn't build your business and Obamacare is cutting your prices and he's not coming after your guns and raising the debt limit doesn't raise the debt limit and he wouldn't hire one lobbyist.
[04:05.000 --> 04:09.000]  And again, it's beyond Obama. It's the age of total bull.
[04:09.000 --> 04:27.000]  Carney, the carnival Barker from the White House Press Secretary is going to work at Apple. I mean, how fitting. Oh, they're so liberal. They're so sweet. They run the most vicious slave camps in China with suicide nets, forced drugging, forced abortion on record.
[04:27.000 --> 04:33.000]  But they talk with Lisb and wave rainbow flags so they're not threatening.
[04:33.000 --> 04:39.000]  You see, Darth Vader looks scary. Hitler looks scary. So we know they're bad.
[04:39.000 --> 04:50.000]  Modern evil is in a suit acting very friendly, speaking with an NPR list when it's actually a military globalist corporate operation.
[04:50.000 --> 04:57.000]  So we either grow up right now or we lose everything because the globalists plan to fully conquer America while they conquer the world.
[04:57.000 --> 04:59.000]  It's total full spectrum dominance.
[04:59.000 --> 05:07.000]  I've always believed in nutrition and herbs. Super male vitality was developed to activate your body's own natural processes.
[05:07.000 --> 05:17.000]  Instead of using synthetic chemicals sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[05:17.000 --> 05:21.000]  I just received my male vitality about three days ago and I must say that good stuff.
