[00:00.000 --> 00:26.000]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:26.000 --> 00:34.000]  Ladies and gentlemen, thank you so much for joining us on this third day of August 2014.
[00:34.000 --> 00:37.000]  I am your host, Alex Jones.
[00:37.000 --> 00:44.000]  And the latest news up on infowars.com on this Sunday Worldwide Transmission is amazing.
[00:44.000 --> 01:02.000]  We have new announcements today, fresh off the first Ebola victim from Africa, a U.S. doctor being brought in to an Atlanta hospital by Homeland Security that authorized it.
[01:02.000 --> 01:10.000]  That's an unprecedented move to bring someone infected with something this deadly in that kills over 90% of those that get infected with it.
[01:10.000 --> 01:21.000]  It's unprecedented to bring it into a country, especially when they can't contain it and they're saying there could be as many as 30 plus thousand people, 30,000 on Friday.
[01:21.000 --> 01:28.000]  I'm sure it's more now, that could have been infected and over a thousand dead.
[01:28.000 --> 01:45.000]  So they're hyping how deadly it is on one side of their mouth and on the other side saying it's no big deal. We're going to put these people inside a standard hospital in Atlanta, but they'll be on their own wing so it's safe.
[01:45.000 --> 01:54.000]  In fact, guys, I had all that here in my stack. We print me the latest on Atlanta and specifically the article that we wrote last night dealing with that with all the details.
[01:54.000 --> 01:59.000]  Thank you so much. Again, worldwide transmission on this Sunday edition.
[01:59.000 --> 02:06.000]  Now a second American with Ebola expected to arrive in the U.S. on Tuesday.
[02:06.000 --> 02:20.000]  That's ABC News, the plane carrying the second American patient who contracted Ebola while working in Liberia, Africa will leave the U.S. for the West Africa country later today and is expected to return Tuesday.
[02:20.000 --> 02:27.000]  A U.S. official told ABC News, the private air ambulance is scheduled to take off today and arrive in Liberia.
[02:27.000 --> 02:41.000]  After one stopover, the official said the plane will then bring the worker Nancy Wright Bowl to Dobson's Air Base in Marietta, Georgia and is expected to land midday Tuesday.
[02:41.000 --> 02:52.000]  So this is Sunday. We're two days out from another arrival here in the United States. And again, I've been on the radio for close to 20 years.
[02:52.000 --> 02:56.000]  I've talked to a lot of medical experts, medical doctors over the weekend.
[02:56.000 --> 03:11.000]  Even mainstream media admits it is unprecedented to bring someone with a super deadly disease like Ebola in the United States.
[03:11.000 --> 03:26.000]  Ebola infected USAID worker to arrive at Emory University Hospital in Atlanta. That was from a few days ago. That person did arrive on Saturday. That doctor.
[03:26.000 --> 03:29.000]  And remember what we wrote about earlier in the week on August 1st?
[03:29.000 --> 03:37.000]  Obama signs executive order to allow detention of Americans with respiratory illnesses, period.
[03:37.000 --> 03:46.000]  No proof you're sick. No fever. You got a cough. You got sniffles. You got a problem. You're going to get locked up in a medical brig, basically.
[03:46.000 --> 03:54.000]  I'm going to decipher the different angles of this when we come back and try to give you my take on what we know is happening and what may be developing.
[03:54.000 --> 04:03.000]  But I've told you this is the age of crises. And the last month I kept saying, you've all heard it every show, what's the next big shoe to drop?
[04:03.000 --> 04:10.000]  We've got al-Qaeda being turned loose under the name IS ISIS. We've got the globalist overthrow in Ukraine on a sort of war with Russia.
[04:10.000 --> 04:16.000]  Doesn't mean Russia's perfect, but the West is detonating the crisis, is starting it.
[04:16.000 --> 04:19.000]  Under common law folks, who starts it, is the bad guy.
[04:19.000 --> 04:24.000]  We've got Ebola, the biggest outbreak ever spreading around. We've got the dollar being devalued.
[04:24.000 --> 04:40.000]  We've got Obama lowering the borders under just executive fiat and saying he'll sign executive orders on anything else he wants, and then he'll lock up Americans anytime he wants, for basically no reason, under medical emergency, right before all this kicks off.
[04:40.000 --> 04:45.000]  You don't even need to put two and two together and say it equals four to understand what's happening.
