[00:00:05.598 --> 00:00:06.899]  Big Brother.
[00:00:06.899 --> 00:00:08.660]  Mainstream media.
[00:00:08.660 --> 00:00:10.421]  Government cover-ups.
[00:00:10.421 --> 00:00:12.002]  You want answers?
[00:00:12.002 --> 00:00:13.563]  Well, so does he.
[00:00:13.563 --> 00:00:17.746]  He's Alex Jones on the GCN Radio Network.
[00:00:17.746 --> 00:00:21.809]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.058 --> 00:00:30.220]  Welcome to the Alex Jones Show on this Monday, November 24th, 2014.
[00:00:30.220 --> 00:00:32.221]  I'm David Knight, I'll be your host today.
[00:00:32.221 --> 00:00:39.644]  We're going to be joined in the second hour with Paul Joseph Watson, and in the third hour, we're going to go to our reporters in Ferguson, Missouri, Ja'Kari Jackson and Joe Biggs.
[00:00:39.644 --> 00:00:46.246]  Now, they've been there all last week, waiting for the grand jury verdict to see what's going to happen.
[00:00:46.246 --> 00:00:54.970]  It's been taking quite a while, and of course, tension is building more every day as people are getting angrier and angrier, as one person put it.
[00:00:55.430 --> 00:00:58.052]  Getting angrier about the delay in this.
[00:00:58.052 --> 00:01:03.035]  We're going to talk about why it's taking so long and what is a grand jury?
[00:01:03.035 --> 00:01:04.456]  What is their responsibility?
[00:01:04.456 --> 00:01:07.037]  How are they different from a regular jury?
[00:01:07.037 --> 00:01:12.301]  We've seen some people say that they didn't even believe that a grand jury was the appropriate response to this.
[00:01:12.301 --> 00:01:14.342]  There are other ways to do this.
[00:01:14.983 --> 00:01:18.687]  In many states, there aren't even grand juries in the United States.
[00:01:18.687 --> 00:01:21.150]  So, there's a lot of different ways that you can get an indictment.
[00:01:21.150 --> 00:01:23.774]  Of course, the prosecutor himself can do it.
[00:01:23.774 --> 00:01:30.002]  There's not really, even though this is a grand jury, the grand just really reflects the number of people on the jury.
[00:01:30.973 --> 00:01:37.080]  There's typically not a judge in control of the process, there's a prosecutor in control of the process.
[00:01:37.080 --> 00:01:43.987]  And so he's going to kind of present evidence to try to get what he wants to do, whether that is a prosecution or letting the person off.
[00:01:43.987 --> 00:01:49.453]  There are a lot of people who wish that this would go to a trial, so everything could be examined there.
[00:01:50.413 --> 00:01:53.674]  But we're also going to be talking about what's breaking in the news.
[00:01:53.674 --> 00:01:57.796]  Let me give you some of the stories on Infowars.com, the breaking news there.
[00:01:57.796 --> 00:02:02.597]  We have a court ruling that a violent raid against homeschoolers was unconstitutional.
[00:02:02.597 --> 00:02:07.179]  We're going to talk about this in a lot of detail because this is really an egregious situation.
[00:02:08.126 --> 00:02:20.538]  The Child Protective Services and the police, essentially after harassing this family for quite some time, basically were told you're not going to come in the house again unless you've got a court order.
[00:02:20.538 --> 00:02:23.400]  They were coming after them for quote a messy house.
[00:02:23.400 --> 00:02:26.924]  That was the issue that they had with these homeschoolers according to them.
[00:02:27.524 --> 00:02:28.825]  They did not have a search warrant.
[00:02:28.825 --> 00:02:30.725]  They came in and got very violent.
[00:02:30.725 --> 00:02:33.086]  We're going to read you exactly what they did.
[00:02:33.086 --> 00:02:34.446]  They've been slapped down.
[00:02:34.446 --> 00:02:36.267]  This is Kurt Nemo's article.
[00:02:36.267 --> 00:02:41.149]  They've been slapped down by the court and that state says that what they did was unconstitutional.
[00:02:41.149 --> 00:02:43.530]  They are also fighting back with a civil suit.
[00:02:43.530 --> 00:02:44.850]  So we're going to tell you about that.
[00:02:44.850 --> 00:02:52.993]  It's interesting to compare that and contrast that with what's going on, for example, in the UK with members of Parliament in Westminster.
[00:02:53.633 --> 00:03:00.915]  In a pedophile ring, 30 years ago, of course, Scotland Yard and the press were told to cover up any mention of that.
[00:03:00.915 --> 00:03:05.556]  We've seen that happen with Seville, the entertainer that was there as well.
[00:03:05.556 --> 00:03:06.797]  But it's not just there, of course.
[00:03:06.797 --> 00:03:10.798]  We've had our own Franklin cover-up, our own Franklin scandal in this country.
[00:03:10.798 --> 00:03:15.579]  This is something that happens at the highest echelons of every government.
[00:03:15.579 --> 00:03:21.721]  And as the article we have up on InfoWars last week pointed out, the higher up you go,
[00:03:23.102 --> 00:03:35.136]  The more you see this kind of sexual perversion, the pedophilia, this is why it's very concerning to see them trying to intrude themselves into the lives of families using CPS.
[00:03:35.136 --> 00:03:37.418]  We've also seen how that plays out.
[00:03:37.418 --> 00:03:39.180]  There's also a report that broke today.
[00:03:40.468 --> 00:03:50.113]  Actually, on November 21st, the state of Connecticut issued a 114-page report on the shooting at Sandy Hook.
[00:03:50.113 --> 00:03:54.074]  Now, they're taking this in a different direction from gun control.
[00:03:54.074 --> 00:04:01.998]  Now they're trying to use this as a pretense to essentially enact the same kind of controls that we've seen enacted in Scotland.
[00:04:02.518 --> 00:04:20.787]  Where you are assigned a government minder from birth until the age of 21 where government psychologists are going to come and intrude themselves into your homes because, as they pointed out, they're concerned about siloed systems of education, physical health, mental care for children.
[00:04:20.787 --> 00:04:23.429]  You understand what they're saying when they say siloed?
[00:04:23.429 --> 00:04:23.829]  They're saying
[00:04:24.249 --> 00:04:25.130]  You're isolated.
[00:04:25.130 --> 00:04:25.911]  You're too isolated.
[00:04:25.911 --> 00:04:29.854]  We need to be able to come into your home at any time we wish.
[00:04:29.854 --> 00:04:34.398]  We need to be able to evaluate you, and of course, there's a lot involved in that.
[00:04:34.398 --> 00:04:40.303]  We're going to continue with the news, and we're also going to have, as I said, Jakari Jackson and Joe Biggs are in Ferguson.
[00:04:40.303 --> 00:04:45.468]  If we have an early verdict, we will let you know immediately what's going on there and what the verdict is.
[00:04:45.468 --> 00:04:45.888]  Stay with us.
