[00:00.000 --> 00:10.000]  Big Brother, mainstream media, government cover-ups.
[00:10.000 --> 00:11.000]  You want answers?
[00:11.000 --> 00:13.000]  Well, so does he.
[00:13.000 --> 00:29.000]  He's Alex Jones on the GCN Radio Network, and now, live from Austin, Texas, Alex Jones.
[00:29.000 --> 00:42.000]  People do not seem to understand that so many people come to government knowing that they're not going to make the kind of money that they would make in the private sector.
[00:42.000 --> 00:51.000]  But they come to government to feed their souls, to help other people, to lift them up, to make their lives better.
[00:51.000 --> 00:54.000]  And that's you, and you, and you, and you.
[00:54.000 --> 00:59.000]  And so, the state is God under the New World Order.
[00:59.000 --> 01:04.000]  You joined the priesthood and gave up everything because you wanted to feed your soul.
[01:04.000 --> 01:07.000]  You wanted to join with God.
[01:07.000 --> 01:10.000]  The New World Order is the state is God.
[01:10.000 --> 01:15.000]  There are some people that do join government because they want to make a difference and help people.
[01:15.000 --> 01:16.000]  That is certainly true.
[01:16.000 --> 01:34.000]  But overall, the claim that the majority of people are doing it to, quote, feed their soul shows the sickening disconnect from an incredibly corrupt congressman who's been defending the IRS, persecuting the Tea Party, Christians, and libertarian and conservative groups.
[01:34.000 --> 01:38.000]  He is a perennial abomination.
[01:38.000 --> 01:40.000]  And I've seen the different metrics.
[01:40.000 --> 01:53.000]  In fact, we should do a story countering this, because I know the numbers are out there, I've seen it many times, that government workers, for the degrees they have, make more money than people in the private sector and have better benefits.
[01:53.000 --> 02:02.000]  So that's another lie that people in government make less than their counterparts in the private sector.
[02:02.000 --> 02:12.000]  Yes, on the high end, CEO type things, of course, the CEO makes more than say the head of the Justice Department, which is a major position over hundreds of thousands of people.
[02:12.000 --> 02:23.000]  But when you become the head of the Justice Department, when you leave it in four day years, you then get millions a year for another decade or longer on different boards.
[02:23.000 --> 02:37.000]  Or you get put on the board or made part owner of the naked body scanner company that makes four billion dollars in one year, and you personally get 20 something million dollars, like Chertoff, the head of Homeland Security, got.
[02:37.000 --> 02:41.000]  It was 23 million smackers he got.
[02:41.000 --> 02:50.000]  He made the order for the naked body scanners while the head of Homeland Security left and a year later got a nice payday.
[02:50.000 --> 03:00.000]  If that isn't a conflict of interest, if that isn't a revolving door, if that isn't a payoff, giving yourself the contract, I don't know what is.
[03:00.000 --> 03:14.000]  But now in government, that is basically ubiquitous stuff that people would get in trouble for a long time ago, they don't.
[03:14.000 --> 03:27.000]  So back 50 years ago, the media would not report on and people would not get in trouble if they were saying Congress for cheating on their wife or visiting a hooker, not saying that's good.
[03:27.000 --> 03:31.000]  But that was an issue that affected the general population.
[03:31.000 --> 03:38.000]  If you got caught stealing, or you got caught giving yourself contracts, you would go to jail.
[03:38.000 --> 03:40.000]  Not anymore.
[03:40.000 --> 03:49.000]  But they will prosecute you if you're the governor in New York visiting a hooker.
[03:49.000 --> 03:55.000]  See, that's like they went after Clinton for sex in the White House, and it's fine to cover that.
[03:55.000 --> 03:56.000]  I mean, Clinton's a terrible guy.
[03:56.000 --> 03:57.000]  He lied about it.
[03:57.000 --> 03:59.000]  I don't have sex with that woman.
[03:59.000 --> 04:01.000]  Drudge broke all that.
[04:01.000 --> 04:20.000]  But the only reason the media picked up on it is because they could burn him for that, but not get into Iridium satellite, and Laurel and Hughes, missile technology, and the Chinese, and cattle futures, and dead members of the cabinet like Vince Foster, on and on and on.
[04:20.000 --> 04:23.000]  Because the Republicans were knee-deep in that as well.
[04:23.000 --> 04:29.000]  Ken Starr, the special prosecutor's law firm, was the big law firm for the Communist Chinese and the missile deals.
[04:29.000 --> 04:31.000]  You can believe that never got touched.
[04:31.000 --> 04:37.000]  So this is the philosophy, the system they're using of control.
[04:37.000 --> 04:39.000]  CNBC anchors stunned.
[04:39.000 --> 04:40.000]  There is no economic recovery.
[04:40.000 --> 04:44.000]  That clip's coming up.
[04:44.000 --> 04:51.000]  We've got some new breaking news that we're codifying right now on the nuke, perhaps going off in Ukraine.
[04:51.000 --> 04:59.000]  Now there's film footage of folks filming it, and then their camera cuts out, which would be an EMP, and more.
[05:21.000 --> 05:33.000]  The government's Department of Homeland Security is buying up loads of ammo.
[05:33.000 --> 05:37.000]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[05:37.000 --> 05:39.000]  Can you put two and two together?
[05:39.000 --> 05:47.000]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds, is reasonably priced and fully legal.
[05:47.000 --> 05:54.000]  For how long, go to infidelbodyarmor.com, spelled I-N-F-I-D-E-L body armor dot com.
[05:54.000 --> 06:20.000]  Infidel Body Armor just won't quit.
[06:24.000 --> 06:34.000]  InfoWarsLife.com is very excited to announce our biggest run yet of Silver Bullet Colloidal Silver, exclusively available at InfoWarsLife.com.
[06:34.000 --> 06:41.000]  Now InfoWarsLife.com has taken Colloidal Silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[06:41.000 --> 06:46.000]  Now more than ever, it's important to stock up on high-quality Silver Bullet from InfoWarsLife.com.
[06:46.000 --> 06:49.000]  No survival chest is complete without Silver Bullet.
[06:49.000 --> 06:58.000]  Secure your Silver Bullet today at InfoWarsLife.com or by calling toll-free 888-253-3139 Silver Bullet.
[07:20.000 --> 07:26.000]  InfoWars is striking back in the month of February with Human Empowerment Month.
[07:26.000 --> 07:31.000]  How we can come together and win the human race and celebrate the kickoff of Human Empowerment Month.
[07:31.000 --> 07:37.000]  We're slashing prices on InfoWarsLife.com products like Super Male and Super Female Vitality.
[07:37.000 --> 07:44.000]  The sale is only running for the month, 20% off, and there's a lot of other powerful specials at InfoWarsLife.com.
[07:44.000 --> 07:52.000]  Celebrating human potential in the month of February, visit InfoWarsLife.com to find this special and many others in the month of February.
[07:52.000 --> 08:19.000]  Again, InfoWarsLife.com or by calling toll-free 888-253-3139.
[08:22.000 --> 08:42.000]  What you wish you just might get. You just might get a planetary world government run by psychopathic tyrants who believe they're going to merge with machines and become God.
[08:42.000 --> 08:48.000]  But only after they have exterminated the scourge from the face of the earth they call homo sapien sapien.
[08:48.000 --> 08:55.000]  Yes, that sounds like the byline for a science fiction movie, but it's not. It's reality.
[08:55.000 --> 09:04.000]  Welcome, ladies and gentlemen, to this Wednesday, the 11th day of February 2015 worldwide transmission.
[09:04.000 --> 09:15.000]  I am now 41 years old. And the only thing I ask on my birthday is that no one wish me happy birthday and that we just move on from it.
