[00:00:02.876 --> 00:00:04.837]  This is the InfoWar.
[00:00:04.837 --> 00:00:06.137]  Big Brother.
[00:00:06.137 --> 00:00:06.997]  Mainstream media.
[00:00:06.997 --> 00:00:08.118]  And we're under attack right now.
[00:00:08.118 --> 00:00:09.658]  Government cover-ups.
[00:00:09.658 --> 00:00:11.238]  You want answers?
[00:00:11.238 --> 00:00:12.579]  Well, so does he.
[00:00:12.579 --> 00:00:16.980]  He's Alex Jones on the GCN Radio Network.
[00:00:16.980 --> 00:00:23.582]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.582 --> 00:00:29.644]  I have a guest who's one of the top people tracking ISIS in Turkey joining us.
[00:00:29.644 --> 00:00:30.584]  We have been hit
[00:00:31.548 --> 00:00:36.971]  With a wide-scale, across-the-board attempt to take over InfoWars and different accounts today.
[00:00:36.971 --> 00:00:41.193]  We'll tell you about the hack attack when we come back after this special report.
[00:00:41.193 --> 00:00:43.474]  It's ongoing right now.
[00:00:43.474 --> 00:00:44.374]  The ghetto.
[00:00:44.374 --> 00:00:48.776]  Not the place you would imagine methods of global dominance to spring from.
[00:00:48.776 --> 00:01:00.702]  But it was in the ghettos across the United States that Saul Alinsky would fine-tune tactics of civil disobedience that would one day be employed by New World Order puppet Barack Hussein Obama.
[00:01:00.982 --> 00:01:06.126]  Resolutions of ideal problems always carry with them in their wake another problem.
[00:01:06.126 --> 00:01:09.989]  Alinsky's Rules for Radicals is the left's playbook.
[00:01:09.989 --> 00:01:19.357]  Chock full of creeping tactics used by scheming politicians and Soros-fueled millennial generation groups like Black Lives Matter.
[00:01:19.357 --> 00:01:22.679]  All lives matter.
[00:01:22.679 --> 00:01:23.400]  All lives matter.
[00:01:24.574 --> 00:01:25.515]  I'm a black guy.
[00:01:25.515 --> 00:01:29.319]  Hell-bent on tearing the fabric of American society apart.
[00:01:29.319 --> 00:01:41.633]  Anti-cop rhetoric that is sweeping the United States of America, fueled by this group, some of the vulgar, vile, vicious rhetoric that's coming out, talking about killing cops.
[00:01:41.633 --> 00:01:43.596]  Going to the beach is the biggest hit!
[00:01:45.725 --> 00:02:06.672]  Alinsky's albeit deceptively noble attempt to create a system to reward the have-nots with the power and surplus of the haves would prove to be just as useful for the New World Order sycophants to achieve an uprooting of American values and an overpass of the United States Constitutional Foundation to be replaced by totalitarianism and
[00:02:06.832 --> 00:02:14.580]  Disguised as compassionate socialism, these tactics simply needed the perfect charismatic turncoat to steer them.
[00:02:14.580 --> 00:02:16.522]  Enter Barack Obama.
[00:02:16.522 --> 00:02:20.386]  All of us want to give our president every tool necessary to do this.
[00:02:20.386 --> 00:02:22.428]  And all of us were willing to do that in this bill.
[00:02:23.345 --> 00:02:26.407]  And anyone who says otherwise is lying to the American people.
[00:02:26.407 --> 00:02:36.534]  Saul Alinsky died decades before a young pre-Senate Barack Obama would spend three years following in Alinsky's footsteps as a community organizer.
[00:02:36.534 --> 00:02:50.124]  In 2009, the National Review stated, Obama's mentors from his Chicago days studied at a school Alinsky founded, and they taught their students the philosophy and methods of one of the first community organizers.
[00:02:50.584 --> 00:02:52.905]  Saul Alinsky wrote in Rules for Radicals,
[00:03:09.295 --> 00:03:12.718]  If we're going to change it to what we think it should be.
[00:03:12.718 --> 00:03:15.821]  That means working in the system.
[00:03:15.821 --> 00:03:24.049]  So what are some of the tactics being utilized in that system at accelerating degrees in the shaping of modern American society?
[00:03:24.049 --> 00:03:24.910]  Rule number one.
[00:03:25.470 --> 00:03:30.753]  Power is not only what you have, but what the enemy thinks you have.
[00:03:30.753 --> 00:03:46.000]  Obama and the nutjobs in the nation's capital would have us all believe that they have overwhelming support from the have-nots, while destroying the middle class, increasing the debt and welfare class to unsustainable levels, and projecting it all from their mainstream media bubble.
[00:03:46.300 --> 00:03:47.581]  Less than loving expressions by Christians?
[00:04:06.875 --> 00:04:07.956]  I get concerned.
[00:04:07.956 --> 00:04:08.536]  That's right.
[00:04:08.536 --> 00:04:10.817]  Let's criticize Christianity on Easter, you piece of crap.
[00:04:10.817 --> 00:04:12.158]  Best topic for another day.
[00:04:12.158 --> 00:04:13.659]  Skipping to rule number eight.
[00:04:13.659 --> 00:04:15.439]  Keep the pressure on.
[00:04:15.439 --> 00:04:16.740]  Never let up.
[00:04:16.740 --> 00:04:19.642]  Obama must say this rule to himself every morning.
[00:04:19.642 --> 00:04:22.303]  As one shoe drops, another one is ready to fall.
[00:04:22.563 --> 00:04:37.188]  Not in the manner of a leader responding to a country's pleas in the midst of a crisis, but more in the vein of a tyrant quietly and charismatically creating them, while offering shallow direction as stale as his predecessor's rhetoric.
[00:04:37.188 --> 00:04:46.851]  And if just that sample of Saul Alinsky's rules for radicals wasn't enough, Alinsky even dedicated the left's playbook to Lucifer himself.
[00:04:46.851 --> 00:04:50.272]  I suppose given a choice, I think I would pick hell.
[00:04:51.175 --> 00:04:54.665]  The reason I picked Hell is because that's where all the handouts are.
[00:04:54.665 --> 00:04:57.433]  John Bowne for InfoWars.com We'll be back!
[00:04:59.301 --> 00:05:04.545]  The Affluenza teen and his mother have been taken into custody, reports Reuters.
[00:05:04.545 --> 00:05:15.194]  A wealthy Texas teen, who had been a fugitive after breaking his probation sentence for killing four people while driving drunk, will be returned to the United States after being caught in Mexico.
[00:05:15.194 --> 00:05:21.839]  Ethan Couch, age 18, and his mother, Tanya, were taken into custody Monday evening in a resort in Mexico.
[00:05:22.259 --> 00:05:36.084]  Couch became known in the United States as the Affluenzatine during his trial in juvenile court over the 2013 deaths, when a psychologist said he was so wealthy and spoiled that he could not tell the difference between right and wrong.
[00:05:36.084 --> 00:05:42.787]  He has been serving 10 years probation for intoxication manslaughter, a sentence critics saw as far too light.
[00:05:42.787 --> 00:05:50.090]  Couch and his mother disappeared earlier this month, prompting officials in Tarrant County, Texas to issue a warrant for his apprehension.
[00:05:50.511 --> 00:05:54.466]  You can find more reports on InfoWars.com
[00:06:01.742 --> 00:06:11.489]  And it's that type of behavior that spurred me to do the research to develop a true nutraceutical formula that was designed to smooth out and help children focus.
[00:06:11.489 --> 00:06:14.191]  All of our children are hit with modern mind control.
[00:06:14.191 --> 00:06:17.734]  Television, music, fast food, GMOs, sugars, you name it.
[00:06:17.734 --> 00:06:24.079]  Young humans have not yet developed their nervous system and are being hammered daily by globalist concoctions.
[00:06:24.079 --> 00:06:27.261]  It's no wonder they can't focus and calm down and then are put
[00:06:27.261 --> 00:06:27.821]  We're good to go.
[00:06:58.277 --> 00:07:05.184]  In the 15-year history of PrisonPlanet.TV, we have never offered 6 months free at Christmas.
[00:07:05.184 --> 00:07:08.086]  We've always offered 5 months free.
[00:07:08.086 --> 00:07:14.012]  But since I announced 6 free months a few days ago, we have seen record numbers of sign-ups.
[00:07:14.012 --> 00:07:17.275]  PrisonPlanet.TV began 15 years ago.
[00:07:17.275 --> 00:07:20.398]  It's grown into InfoWars, Nightly News, and so much more.
[00:07:20.678 --> 00:07:29.666]  All of my documentary films, scores of e-books, and other exclusive documentaries are available for streaming or download in HD at PrisonPlanet.tv.
[00:07:29.666 --> 00:07:40.375]  You don't just get six months free when you sign up from Christmas through New Year's, you also get to share that membership with up to 20 people simultaneously using your username.
[00:07:40.655 --> 00:07:48.224]  You can also sign up for a trial month and only pay $5.95, and then 20 of you and your friends and family can watch PrisonPlanet.TV.
[00:07:48.224 --> 00:07:50.326]  Get 20 memberships at half price.
[00:07:50.326 --> 00:07:52.409]  Be the Paul Revere in your community.
[00:07:52.409 --> 00:07:55.953]  That's 6 months free when you sign up for a year at PrisonPlanet.TV.
[00:08:02.945 --> 00:08:05.008]  We are on the march.
