[00:00.000 --> 00:12.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[00:12.000 --> 00:19.000]  to happen at the end of this, but you want to fight, you better believe, you got one!
[00:19.000 --> 00:39.000]  On the front lines of the information war, it's Alex Jones.
[00:39.000 --> 00:46.000]  I tell you ladies and gentlemen, this is an incredible time to be alive.
[00:46.000 --> 01:03.000]  I just screeched in to my studio desk like a runner coming into home plate sliding in
[01:03.000 --> 01:08.000]  because it is so incredible what we're witnessing.
[01:08.000 --> 01:14.000]  I talked about this yesterday being completely over the top and one of the biggest illustrations of arrogance.
[01:14.000 --> 01:25.000]  The most hubris filled, disconnected corruption I've ever seen out of some of the most hubris filled people in history.
[01:25.000 --> 01:43.000]  And that of course is the Clintons and their crime machine that has held this country under their iron fist and under their fog of false flags for 20 plus years.
[01:43.000 --> 01:49.000]  The Attorney General, who we have a whole stack of articles in the past who says she wants to restrict free speech.
[01:49.000 --> 01:51.000]  She wants to restrict the Second Amendment.
[01:51.000 --> 01:54.000]  She wants to have the UN run our local police departments.
[01:54.000 --> 01:56.000]  You can't make this stuff up.
[01:56.000 --> 02:06.000]  She stands by while Obama orders the border patrol to stand down, which is an act of sedition and treason against basic national security and the Constitution.
[02:06.000 --> 02:12.000]  She has continued to cover up Fast and Furious and Benghazi and everything else you can imagine.
[02:12.000 --> 02:17.000]  The IRS persecution of Christians and conservatives just continues on.
[02:17.000 --> 02:20.000]  It is truly insane.
[02:20.000 --> 02:27.000]  Richard Nixon would be about a one on a Richter scale corruption wise and one is too much.
[02:27.000 --> 02:30.000]  Rutter Lynch is about a 580.
[02:30.000 --> 02:33.000]  I'm not joking when I use numbers like that.
[02:33.000 --> 02:44.000]  The open naked magnitude of persecution that's been going on is so over the top it's intended to just set the precedent that we're going into a dictatorship.
[02:44.000 --> 02:57.000]  I had former senior Secret Service agent on Mr. Byrne yesterday who was with the Clintons for years and he said, look, she wants to create a socialist dictatorship.
[02:57.000 --> 03:03.000]  And that's exactly what these people are trying to establish, at least at the governmental level and the citizen level.
[03:03.000 --> 03:10.000]  Above that, the most nationals will control it from offshore.
[03:10.000 --> 03:12.000]  But we have them now.
[03:12.000 --> 03:18.000]  This can bring down the Clintons like nothing we've ever seen before.
[03:18.000 --> 03:27.000]  And I do want to get a few of our regular guests just to pop in for like five minutes today to give us a quick statement.
[03:27.000 --> 03:30.000]  I want five minutes with Larry Nichols.
[03:30.000 --> 03:32.000]  I want five minutes with Roger Stone.
[03:32.000 --> 03:35.000]  I want five minutes with Dr. Jerome Corsi.
[03:35.000 --> 03:42.000]  Just five minutes and others to talk about how big a deal this is and to get their perspectives.
[03:42.000 --> 03:48.000]  We have a transcript of it.
[03:48.000 --> 03:56.000]  We're getting it clipped out of the softball interview she just did for about 40 minutes with the Aspen Institute, a globalist organization.
[03:56.000 --> 03:59.000]  Loretta Lynch's non-recusal recusal.
[03:59.000 --> 04:01.000]  She said, well, I'm not been involved.
[04:01.000 --> 04:06.000]  We're going to be involved and I'll take, you know, probably the FBI director says she leaves a proviso in there.
[04:06.000 --> 04:11.000]  But she goes on to say, but I can't recuse myself because then I won't know what's going on and won't be involved.
[04:11.000 --> 04:20.000]  Total oxymoronic bizarroland two plus two equals 15 type statements.
[04:20.000 --> 04:23.000]  So we've got that we're going to be going over.
[04:23.000 --> 04:31.000]  And then here's the really big one up on info wars.com and prisonplanet.com and drudgerport.com is linked to a hot air story on it.
[04:31.000 --> 04:33.000]  We have an info wars.com story.
[04:33.000 --> 04:41.000]  FBI at Clinton Lynch meeting ordered press blackout, no photos, no video. So this was totally a powwow.
[04:41.000 --> 04:49.000]  And you notice when I was in there watching her backing it up on the DVR in this talk she just gave that is like 30 minutes ago.
[04:49.000 --> 04:58.000]  She says to the man quote interviewing her with softballs that, oh, well, she mainly talked about grandkids and, you know, golf and stuff like that.
[04:58.000 --> 05:01.000]  Mainly. You talk about guilty.
[05:01.000 --> 05:15.000]  Does 2016 feel more like 1980 40 year life is certainly imitating art with Uber's announcement that its fleet of more than one million drivers will now be tracked, traced and hand packed throughout every ride they provide.
[05:15.000 --> 05:22.000]  This is the next step toward totalitarian control of transportation and the end of individual autonomy on our roads.
