[00:00:07.870 --> 00:00:09.311]  We did it!
[00:00:09.311 --> 00:00:13.133]  It's Friday.
[00:00:13.133 --> 00:00:21.618]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing.
[00:00:21.618 --> 00:00:25.980]  If you are receiving this transmission, you are the resistance.
[00:00:25.980 --> 00:00:30.143]  We now take you live to the Central Texas Command Center.
[00:00:30.143 --> 00:00:32.444]  It's Alex Jones.
[00:00:32.444 --> 00:00:32.604]  It's 11-11.
[00:00:34.185 --> 00:00:42.210]  Friday, November 11, 2016, I am recharged, refocused, and I can see the enemy's battle plan.
[00:00:42.210 --> 00:00:52.977]  Prepare, because I will lay out the clearest, most accurate analysis of the globalist counter-strike and how we defeat them for good, straight ahead, but first...
[00:00:53.977 --> 00:01:05.001]  So when you stand and deliver that State of the Union address, in no part of your mind or brain can you imagine Donald Trump standing up one day and delivering a State of the Union address?
[00:01:05.001 --> 00:01:09.583]  Well, I can imagine it in a Saturday night skit.
[00:01:10.263 --> 00:01:12.824]  I continue to believe Mr. Trump will not be President.
[00:01:12.824 --> 00:01:15.945]  He will never be President of the United States.
[00:01:15.945 --> 00:01:19.347]  Donald Trump will never be elected President of the United States.
[00:01:19.347 --> 00:01:25.349]  Donald Trump is not going to become President of the United States.
[00:01:25.349 --> 00:01:28.611]  Donald Trump is not going to be President of the United States.
[00:01:28.611 --> 00:01:31.592]  I'm respectful of the fact that the people have not voted.
[00:01:33.467 --> 00:01:35.709]  He's not going to be President of the United States.
[00:01:35.709 --> 00:01:38.092]  Donald Trump is not going to be President of the United States.
[00:01:38.092 --> 00:01:39.133]  Let's be clear.
[00:01:39.133 --> 00:01:40.855]  Donald Trump will lose the election.
[00:01:40.855 --> 00:01:43.318]  I have one thing to say, one thing only.
[00:01:43.318 --> 00:01:46.201]  And that is that this race is over.
[00:01:46.201 --> 00:01:49.044]  I think Donald Trump will be the nominee and will lose badly.
[00:01:49.364 --> 00:01:53.366]  No one's gonna be happier than President Obama when Trump loses.
[00:01:53.366 --> 00:01:53.946]  No one.
[00:01:53.946 --> 00:01:55.127]  That's a myth.
[00:01:55.127 --> 00:01:57.127]  I think that Donald Trump's campaign is over.
[00:01:57.127 --> 00:01:58.248]  Like it's a zombie, right?
[00:01:58.248 --> 00:01:59.549]  Like it's a walking dead.
[00:01:59.549 --> 00:02:01.309]  It's not... There's nowhere for him to go.
[00:02:01.309 --> 00:02:06.292]  And the fact that most people think Donald Trump is going to lose probably means Donald Trump is going to lose.
[00:02:06.292 --> 00:02:11.614]  When the inevitable happens, which is a very substantial landslide victory on November 8th.
[00:02:11.994 --> 00:02:14.916]  And we need, when this race is over, to talk about why that was.
[00:02:14.916 --> 00:02:17.198]  I personally think this race is over.
[00:02:17.198 --> 00:02:18.499]  To me, this race is over.
[00:02:18.499 --> 00:02:24.104]  Politico's latest survey of political insiders agrees, quote, Clinton will crush Trump in November.
[00:02:24.104 --> 00:02:27.946]  Well, that's real Donald Trump.
[00:02:27.946 --> 00:02:32.250]  At least I will go down as a president.
[00:02:32.250 --> 00:02:34.091]  No.
[00:02:34.091 --> 00:02:35.552]  You were never a real president.
[00:02:35.552 --> 00:02:37.654]  You were a globalist operative installed.
[00:02:37.654 --> 00:02:39.916]  This is the return of the republic.
[00:02:41.018 --> 00:02:45.340]  We have a beachhead now in Washington that's been captured by the globalists.
[00:02:45.340 --> 00:02:51.243]  And if President-elect Trump acts like a true American, he will be able to drain that swamp.
[00:02:51.243 --> 00:02:53.504]  But understand something.
[00:02:53.504 --> 00:03:03.269]  The crocodiles, the sharks, the grendels that live in that swamp are not going to let him do it without trying to take him and us out with him.
[00:03:04.329 --> 00:03:07.312]  He cannot make deals with them.
[00:03:07.312 --> 00:03:10.615]  He must prosecute Hillary and the other top criminals.
[00:03:10.615 --> 00:03:13.877]  He must remove Paul Ryan, who's been caught in the WikiLeaks with Hillary.
[00:03:13.877 --> 00:03:16.580]  He's done if Trump moves against him.
[00:03:16.580 --> 00:03:22.705]  Trump, in his first six months to a year, has the Arthurian sword he's pulled from a stone.
[00:03:22.705 --> 00:03:24.347]  I'm going to say this again.
[00:03:24.347 --> 00:03:29.011]  To pull the sword is half the battle.
[00:03:29.011 --> 00:03:30.352]  The second half is using it.
[00:03:33.188 --> 00:03:34.029]  He's the president.
[00:03:34.029 --> 00:03:36.210]  We've been occupied by foreign outside powers.
[00:03:36.210 --> 00:03:40.733]  It is not authoritarianism to say that if he has to encamp the U.S.
[00:03:40.733 --> 00:03:47.437]  military in Washington to arrest these people and bring them before juries or kick the foreign operatives out, he has to do it.
[00:03:47.437 --> 00:03:49.659]  We are under espionage attack.
[00:03:49.659 --> 00:03:51.620]  Russia kicked the Soros group out.
[00:03:51.620 --> 00:03:54.702]  Soros must be arrested.
[00:03:54.702 --> 00:03:55.903]  And the people are behind Trump.
[00:03:56.943 --> 00:04:04.428]  Now Trump's playing nice with him right now because he's not in power yet and he's in the maximum danger of the next 70 days.
[00:04:04.428 --> 00:04:05.990]  Maximal danger.
[00:04:05.990 --> 00:04:10.673]  He is a major vector target right now.
[00:04:10.673 --> 00:04:12.915]  Attack vector.
[00:04:12.915 --> 00:04:15.316]  They are coming at him from every side.
[00:04:15.316 --> 00:04:23.843]  And I'm here to tell you, the best sign I saw was him not telling the mainstream media when he was leaving Washington.
[00:04:24.690 --> 00:04:28.834]  Or where he was going or when he was leaving New York and just totally ignoring them.
[00:04:28.834 --> 00:04:31.077]  That's a good sign because that's not media.
[00:04:31.077 --> 00:04:36.423]  That's globalist, occupied enemy forces of disinformation and America hate.
[00:04:37.657 --> 00:04:49.784]  That are absolutely discredited and hated, and he needs to support the new independent media, which is going to continue expanding regardless, and point out it's real, and totally ignore them, and draw a demarcation line.
[00:04:49.784 --> 00:04:56.007]  Because, we see the evidence, they're only intensifying their attacks right now.
[00:04:56.007 --> 00:04:57.388]  Thank God they're so arrogant.
[00:05:01.075 --> 00:05:06.218]  Three days after the election of Donald Trump and the reality of a Trump presidency is starting to hit home.
[00:05:06.218 --> 00:05:11.600]  For some people, this is such a devastating notion that they need to call an ambulance or even want to die.
[00:05:11.600 --> 00:05:15.522]  Well, we Trump voters care about our fellow Americans and we're paying by this.
[00:05:15.522 --> 00:05:17.423]  So let's help the Trump protesters.
[00:05:17.423 --> 00:05:20.024]  Let's try to help them recover from their devastation.
[00:05:20.024 --> 00:05:25.247]  If you see a Trump protester or a group of them, give them a diaper, hand them a binky, cover them in a blankie.
[00:05:25.247 --> 00:05:27.348]  After all, this is what you do for crying babies.
[00:05:27.668 --> 00:05:31.451]  Many of these people look like they need a hug, so give them a box of huggies!
[00:05:31.451 --> 00:05:39.056]  We Trump voters can't stand to see our fellow Americans so depleted, so we will make sure to get as many of them a warm bottle of milk as possible.
[00:05:39.056 --> 00:05:45.541]  To make America great again, we must make sure that these babies are taken care of with plenty of diapers, binkies, and rattles.
[00:05:45.541 --> 00:05:47.122]  Don't worry, Trump protesters.
[00:05:47.122 --> 00:05:50.724]  Remember, we're stronger together, even if you do have to wear a diaper.
[00:05:50.724 --> 00:05:54.007]  This is Owen Schroer from InfoWars.com.
[00:05:54.007 --> 00:05:55.468]  This message is paid for by the Russians.
[00:06:00.034 --> 00:06:03.256]  Do you ever wonder what happened to America?
[00:06:03.256 --> 00:06:07.358]  Because of what we did on this day, change has come to America.
[00:06:07.358 --> 00:06:10.019]  Something's wrong, and we all know it.
[00:06:10.019 --> 00:06:12.841]  I'm Charlie Daniels, and I'm here to tell you about it.
[00:06:12.841 --> 00:06:18.044]  The nation has been hijacked by international forces, bent on global governance.
[00:06:18.664 --> 00:06:24.793]  When I was a boy, it was okay to be proud of the flag, heritage, mom and apple pie.
[00:06:24.793 --> 00:06:31.061]  God was in school, morality had a future, and the beef was for supper.
[00:06:31.061 --> 00:06:33.645]  Revelation, dawn of global government.
[00:06:34.005 --> 00:06:35.186]  We're the solution!
[00:06:35.186 --> 00:06:36.106]  Americans!
[00:06:36.106 --> 00:06:37.667]  Ain't nothin' more to it than that!
[00:06:37.667 --> 00:06:43.071]  Starring Alex Jones, Charlie Daniels, and Special Ops General Jerry Boykin.
[00:06:43.071 --> 00:06:44.892]  Theatrical screenings on demand.
[00:06:44.892 --> 00:06:46.313]  DVDs now available.
[00:06:46.313 --> 00:06:50.235]  Wanna shed some tears over the red, white, and blue?
[00:06:50.235 --> 00:06:55.839]  RevelationTheMovie.info Americans need to see this film.
[00:06:55.839 --> 00:06:59.381]  RevelationTheMovie.info Let's fix it.
[00:06:59.821 --> 00:07:06.363]  We're selling a product, DNA Force, that is the very best nutraceutical that we can produce.
[00:07:06.363 --> 00:07:09.584]  Dr. Grip, it took years for you to develop DNA Force for us.
[00:07:09.584 --> 00:07:15.166]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[00:07:15.166 --> 00:07:21.288]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[00:07:21.288 --> 00:07:24.569]  Telomeres are the little cups on the end of our chromosomes.
[00:07:24.569 --> 00:07:26.009]  And when it runs out, you start dying.
[00:07:26.209 --> 00:07:30.531]  We chose the PQQ because it has over 175 different clinical trials.
[00:07:30.531 --> 00:07:33.472]  It's one of the most effective substances in the world.
[00:07:33.472 --> 00:07:35.133]  It works like an antioxidant.
[00:07:35.133 --> 00:07:38.574]  It works to repair nerve growth factor.
[00:07:38.574 --> 00:07:41.175]  So this is a formula to deliver the maximum amount.
[00:07:41.175 --> 00:07:42.236]  It's in powder form.
[00:07:42.236 --> 00:07:45.117]  We have so many five-star reviews.
[00:07:45.117 --> 00:07:46.137]  I take this.
[00:07:46.137 --> 00:07:47.638]  This is the product that I take.
[00:07:47.638 --> 00:07:49.599]  Infowarslife.com and the profit we make.
[00:07:50.439 --> 00:07:51.220]  We fight the Globals.
[00:07:51.220 --> 00:07:52.381]  We fight the New World Order.
[00:07:52.381 --> 00:07:56.765]  Secure your DNA force today at InfoWarsLive.com or call toll free 888-253-3139.
[00:07:56.765 --> 00:08:02.910]  Americanism, not globalism, will be our credo!
[00:08:02.910 --> 00:08:06.373]  Americanism, not globalism!
[00:08:06.373 --> 00:08:11.858]  Americanism, not globalism!
[00:08:15.249 --> 00:08:19.592]  The era of economic surrender will finally be over.
[00:08:19.592 --> 00:08:26.056]  We will no longer surrender this country or its people to the false song of globalism.
[00:08:26.056 --> 00:08:33.921]  They have gotten the political establishment and the media establishment to become pure, wanton henchmen of totalitarianism.
[00:08:33.921 --> 00:08:38.724]  If you were a foreign power looking to weaken America, you couldn't do better.
[00:08:39.264 --> 00:08:42.205]  I think what the Chinese have done is really smart.
[00:08:54.711 --> 00:08:56.993]  Right here in Detroit.
[00:08:56.993 --> 00:08:59.094]  It's all training us to accept less.
[00:08:59.094 --> 00:09:00.435]  Lowering expectations.
[00:09:00.435 --> 00:09:01.816]  A post-industrial world.
[00:09:01.816 --> 00:09:02.777]  A new dark age.
[00:09:02.777 --> 00:09:06.860]  That's what the UN Biological Diversity Assessment 1996 calls for.
[00:09:06.860 --> 00:09:15.527]  When we abandoned the policy of America first, we started rebuilding other countries instead of our own.
[00:09:15.527 --> 00:09:19.930]  Not a world, Winston, that gets more beautiful and more technological and stronger.
[00:09:19.930 --> 00:09:22.632]  A world that gets uglier and stupider and more stunted.
[00:09:24.453 --> 00:09:30.034]  The government should allow Hillary Clinton to become President of the United States.
[00:09:30.034 --> 00:09:32.075]  I voted for Hillary Clinton.
[00:09:32.075 --> 00:09:33.355]  Well, I voted for Hillary.
[00:09:33.355 --> 00:09:35.696]  I guess I have to since I'm working for her as well.
[00:09:35.696 --> 00:09:37.836]  You want an image of the future, Winston?
[00:09:37.836 --> 00:09:40.057]  It's a boot stomping on a human face forever.
[00:09:40.057 --> 00:09:46.458]  Muslims are peaceful and tolerant people and have nothing whatsoever to do with terrorism.
[00:09:46.718 --> 00:09:51.519]  Women are treated discriminated against in all these countries she took money against.
[00:09:51.519 --> 00:09:55.060]  Gays and lesbians are either executed or punished severely.
[00:09:55.060 --> 00:09:56.620]  They're mistreated.
[00:09:56.620 --> 00:09:58.381]  She claims to be their champion.
[00:09:58.381 --> 00:10:07.222]  Don't look at me, Winston, and see the black circles around my eyes, and see how ugly and weak I am, expressing myself and dying, and I torture people 18 hours a day, and I have a horrible life!
[00:10:07.222 --> 00:10:11.683]  That's the beauty of the satanic evil of the priest of power ripping apart humanity!
