[00:00:14.793 --> 00:00:17.415]  Waging war on corruption.
[00:00:17.415 --> 00:00:23.039]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:23.039 --> 00:00:28.222]  I was saying that the book was being overnighted.
[00:00:28.222 --> 00:00:30.224]  It just arrived in the mail.
[00:00:30.224 --> 00:00:31.965]  Just arrived via FedEx.
[00:00:31.965 --> 00:00:32.726]  Boom!
[00:00:32.726 --> 00:00:36.088]  They're in the break, and I just had two minutes to read.
[00:00:36.088 --> 00:00:36.668]  I love history.
[00:00:36.668 --> 00:00:41.111]  I can't wait to read this new book, Scorched Earth, Restoring the Country After Obama.
[00:00:41.111 --> 00:00:42.653]  I opened to a page about Edmund Burke.
[00:00:43.753 --> 00:00:50.197]  Supporting the British Empire, but not supporting the empire erasing countries' cultures, which globalism is doing.
[00:00:50.197 --> 00:00:51.918]  And he's so sophisticated.
[00:00:51.918 --> 00:00:57.601]  He's probably the smartest talk show host out there when it comes to wide-ranging knowledge.
[00:00:57.601 --> 00:00:58.761]  George Norrie is really smart as well.
[00:01:00.509 --> 00:01:07.973]  When it comes to passion and taking the globalist on, and being well read, I mean, I'm right up there with Savage, but Savage really is a smart guy.
[00:01:07.973 --> 00:01:12.035]  Put it to you this way, I don't learn a lot of stuff from other people on radio.
[00:01:12.035 --> 00:01:18.858]  They just take a couple topics, repeat it over and over again, take phone calls, they don't even want to be there, they don't even want to be on air, they don't care, they just want money.
[00:01:19.398 --> 00:01:20.659]  Savage doesn't even need to be on air.
[00:01:20.659 --> 00:01:22.221]  He's a very successful person.
[00:01:22.221 --> 00:01:25.043]  And that's why I admire what he's doing and his plan.
[00:01:25.043 --> 00:01:25.824]  I've been listening to the show.
[00:01:25.824 --> 00:01:26.865]  He's been talking about Scorched Earth.
[00:01:26.865 --> 00:01:27.806]  I haven't read it yet.
[00:01:27.806 --> 00:01:30.288]  He's an excellent one to take back this country and this world.
[00:01:30.288 --> 00:01:33.391]  So Michael Savage joining us at the start of the next segment.
