[00:00.000 --> 00:13.680]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:13.680 --> 00:29.200]  We're live on this Friday, January 6th edition of the Alex Jones show.
[00:29.200 --> 00:36.360]  Roger Stone will be joining us in the second hour and Alex Jones himself will be calling in in the third hour.
[00:36.360 --> 00:41.720]  But for the moment, Donald J. Trump, the president-elect, just came out with this tweet.
[00:41.720 --> 00:51.480]  Ten minutes ago, he said, I'm asking the chairs of the House and Senate committees to investigate top secret intelligence shared with NBC prior to me seeing it.
[00:51.480 --> 00:57.760]  That's right, they've released the blockbuster evidence that Russia hacked the US presidential election.
[00:57.760 --> 01:04.640]  Or have they? No, they haven't released any evidence yet at all to suggest to prove that that even happened.
[01:04.640 --> 01:16.760]  What they have released is a report based on another report based on a claim by the intelligence community that Russian officials celebrated Trump's election.
[01:16.760 --> 01:18.600]  Well, what a surprise.
[01:18.600 --> 01:30.320]  Russian officials were celebrating the fact that humanity wouldn't go into World War Three, that they would actually have somewhat positive relations with another world superpower.
[01:30.320 --> 01:32.440]  My God, the horror.
[01:32.440 --> 01:34.560]  This is out of BBC News.
[01:34.560 --> 01:38.680]  Trump election, US identifies agents behind Russian hack.
[01:38.680 --> 01:43.040]  The identities of Russian agents behind the hack are known to US authorities, but have not been released.
[01:43.040 --> 01:48.840]  Reports say sizing intelligence sources. So again, it's a giant echo chamber.
[01:48.840 --> 01:53.400]  It's the fake mainstream media proven wrong again and again.
[01:53.400 --> 02:01.080]  Remember, only last week, the Washington Post released a report claiming that Russia had hacked the US electric grid.
[02:01.080 --> 02:03.920]  Within hours had to withdraw that report.
[02:03.920 --> 02:06.880]  The next day they said it never happened.
[02:06.880 --> 02:10.200]  There was no evidence of it, but they just put the report out anyway.
[02:10.200 --> 02:20.480]  So again, this is a report based on a report based on a claim by the intelligence community that Russian officials were celebrating the election.
[02:20.480 --> 02:24.720]  But again, if that's true, fair enough, it wouldn't be a surprise.
[02:24.720 --> 02:31.720]  Is Russian officials celebrating the election proof that Russia hacked the US presidential election?
[02:31.720 --> 02:32.520]  Well, no, it's not.
[02:32.520 --> 02:34.520]  It's not proof of anything.
[02:34.520 --> 02:44.720]  And isn't it rich how the Obama administration, which has waged war on leakers and whistleblowers for its entire eight year term,
[02:44.720 --> 02:50.000]  has castigated denounced demonized Julian Assange for leaking information.
[02:50.000 --> 02:56.680]  Now they leak information, intelligence information to the media, and it's perfectly fine.
[02:56.680 --> 02:59.720]  Isn't that just deliciously ironic?
[02:59.720 --> 03:06.520]  So we have a new round of anti Russian hysteria, neo McCarthyism, red baiting.
[03:06.520 --> 03:10.280]  They're now literally saying that Trump just has to believe this evidence.
[03:10.280 --> 03:14.480]  Again, we haven't seen any non has been presented publicly.
[03:14.480 --> 03:20.360]  Trump is set to meet with intelligence officials today, where they present this evidence,
[03:20.360 --> 03:28.160]  which even CNN admits that there isn't a smoking gun on Russia's intention to benefit Trump's candidacy.
[03:28.160 --> 03:30.280]  Or claim credit for doing so.
[03:30.280 --> 03:32.880]  So even CNN admits that.
[03:32.880 --> 03:39.760]  But even still, with no evidence whatsoever that Russia directly interfered in the US presidential election,
[03:39.760 --> 03:47.920]  the commentators, the peanut gallery, they're out in force once again saying if Trump doesn't believe the intelligence community,
[03:47.920 --> 03:50.360]  he's not a patriot.
[03:50.360 --> 04:01.080]  They're literally saying that Trump is anti American, if he doesn't believe this evidence of which none whatsoever has been presented.
[04:01.080 --> 04:03.520]  Absolutely insane situation.
[04:03.520 --> 04:11.280]  You had Lindsey Graham at this hearing yesterday saying that Trump should throw rocks at Russia.
[04:11.280 --> 04:17.320]  Basically calling for a direct confrontation with a massively nuclear armed power.
[04:17.320 --> 04:23.880]  Absolutely insane rhetoric. He sounds like Kim Jong-il from 10 years ago.
[04:23.880 --> 04:25.360]  Completely insane.
[04:25.360 --> 04:29.440]  Throw rocks at a nuclear superpower based on what?
[04:29.440 --> 04:37.560]  At what point does Lindsey Graham, because of this very rhetoric, become a national security threat himself?
[04:37.560 --> 04:43.560]  So again, more complete flailing and flopping by the fake mainstream news media.
[04:43.560 --> 04:49.760]  They have presented zero evidence. They've leaked this report to the mainstream media again.
[04:49.760 --> 04:53.480]  It contains zero evidence that Russia hacked the election.
[04:53.480 --> 04:56.000]  We'll be back with more on the Alex Jones show live.
[04:56.000 --> 04:57.000]  Don't go away.
[05:00.520 --> 05:04.720]  To all the liberals who felt that Trump was like Hitler because he wants to build a wall,
[05:04.720 --> 05:06.760]  I wonder how they will feel about this.
[05:06.760 --> 05:09.280]  The Obama wall.
[05:09.280 --> 05:13.840]  That's right. Barack Obama is building a big, beautiful wall around his new D.C. mansion.
[05:13.840 --> 05:18.720]  This is believed to be the first Obama wall built around one of the many Obama mansions.
[05:18.720 --> 05:24.000]  Yes, the Obama who said he wanted to get money out of politics has multiple million dollar mansions.
[05:24.000 --> 05:28.400]  Yes, the Obama who ran the first billion dollar campaign to keep money out of politics.
[05:28.400 --> 05:31.480]  Yes, that Obama who said we don't build walls.
[05:31.480 --> 05:39.080]  That's how we've always made this country great. Not by building walls, but by tearing down.
[05:39.080 --> 05:43.440]  We don't give in to our fears. We don't build up walls to keep people out.
[05:43.440 --> 05:48.080]  Obama is actually just renting this mansion, but obviously had to beef up the security,
[05:48.080 --> 05:53.160]  so he's building a wall, a big, beautiful, powerful wall.
[05:53.160 --> 06:20.720]  This is Owen Troyer for Infowars.com.
[06:20.720 --> 06:25.280]  The reality is, it's hard to take in the proper amount of vitamins we need each day with our
[06:25.280 --> 06:26.680]  modern diets.
[06:26.680 --> 06:31.880]  Seeker 12 by Infowars Life is an easy way to naturally upgrade your vitamin B12 intake
[06:31.880 --> 06:34.320]  and support your body's natural systems.
[06:34.320 --> 06:39.280]  It pairs two forms of vitamin B12 into one explosive formula.
