[00:00:17.901 --> 00:00:23.167]  It's also what happens when you listen to the radio host Alex Jones.
[00:00:23.167 --> 00:00:24.228]  Move, bitch!
[00:00:24.228 --> 00:00:27.271]  Get out the way!
[00:00:27.271 --> 00:00:30.495]  We pledge allegiance to one flag, and that flag...
[00:00:31.736 --> 00:00:33.717]  Donald Trump is the American flag!
[00:00:33.717 --> 00:00:38.538]  Infowars helped fuel the rumor that President Obama is an ISIS supporter.
[00:00:38.538 --> 00:00:41.699]  It's been a cozy relationship from the beginning.
[00:00:41.699 --> 00:00:42.960]  I will not let you down.
[00:00:42.960 --> 00:00:45.941]  You'll be very, very impressed, I hope.
[00:00:45.941 --> 00:00:47.461]  And I think we'll be speaking a lot.
[00:00:47.461 --> 00:00:49.642]  Donald Trump and Alex Jones.
[00:00:49.642 --> 00:00:55.164]  This means that Donald Trump will be the 45th President of the United States.
[00:00:55.164 --> 00:00:57.884]  Waging war on corruption.
[00:00:57.884 --> 00:00:59.065]  It's Alex Jones!
[00:01:00.700 --> 00:01:02.221]  Welcome to the Alex Jones Radio Show.
[00:01:02.221 --> 00:01:07.667]  I'm David Nye and we're going to have Alex Jones joining us with a special report from the road in the next segment.
[00:01:07.667 --> 00:01:11.911]  Yes, we're going to have Trump be the 45th president whether or not people like it or not.
[00:01:11.911 --> 00:01:13.832]  And of course there's a lot that we're going to be talking about with that.
[00:01:13.832 --> 00:01:20.218]  We have death threats being given for entertainers just like they gave death threats to the Electoral College electors.
[00:01:20.218 --> 00:01:22.360]  I've never seen this kind of stuff before in my life.
[00:01:23.481 --> 00:01:27.322]  I don't think anybody alive has seen this type of thing done before.
[00:01:27.322 --> 00:01:35.445]  I don't know that people got death threats for being members of the Electoral College in the 18th century.
[00:01:35.445 --> 00:01:36.505]  This is really unprecedented.
[00:01:36.505 --> 00:01:40.547]  But we're going to be talking about John Lewis's most recent attack and of course the
[00:01:41.167 --> 00:01:49.215]  fact that we have now 19 Democrat legislators, or maybe I should just call them the Demagogic Party.
[00:01:49.215 --> 00:01:50.536]  Who cares whether they're there?
[00:01:50.536 --> 00:01:52.918]  Who cares whether or not Hollywood is there?
[00:01:52.918 --> 00:01:58.603]  Quite frankly, Hollywood and Broadway, these are some of the people who have dropped out now because they say that it's death threats.
[00:01:58.603 --> 00:01:58.944]  You know what?
[00:01:58.944 --> 00:01:59.684]  The real death threat
[00:02:00.481 --> 00:02:02.382]  is the death threat to their career.
[00:02:02.382 --> 00:02:07.286]  There are going to be repercussions for them if they do this.
[00:02:07.286 --> 00:02:10.108]  Repercussions from people who run those places, for the most part.
[00:02:10.108 --> 00:02:11.249]  You'll never work in this town again.
[00:02:11.249 --> 00:02:12.770]  Does that sound familiar?
[00:02:12.770 --> 00:02:15.292]  That's really what they're running from, and it's a shame to see that.
[00:02:15.292 --> 00:02:20.876]  But, you know, quite frankly, I think that Hollywood doesn't really fit in in this inauguration.
[00:02:20.876 --> 00:02:27.321]  We're quite happy to have Middle America represented with its fife and drum corps and its bagpipes and its majorettes.
[00:02:28.161 --> 00:02:39.844]  And the small middle America that is despised by Hollywood and the elite of the left and right coast as they then milk them for every cent for their entertainment.
[00:02:39.844 --> 00:02:40.384]  You know what?
[00:02:40.384 --> 00:02:42.905]  We're not really entertained by this anymore.
[00:02:42.905 --> 00:02:50.967]  It's getting quite old and it's getting to the point where we really can't look beyond your political activism to the entertainment that we pay you for.
[00:02:50.967 --> 00:02:55.888]  So there may be some actual repercussions for this, for these entertainers who are dropping out.
[00:02:56.468 --> 00:02:57.728]  We're getting partisan on this.
[00:02:57.728 --> 00:03:03.210]  We've got a singer who has a long career on Broadway.
[00:03:03.210 --> 00:03:06.111]  She performed for the Reagan inauguration.
[00:03:06.111 --> 00:03:07.331]  She performed for both Bushes.
[00:03:07.331 --> 00:03:08.832]  She performed for Clinton.
[00:03:08.832 --> 00:03:11.793]  She's performed for everybody, essentially, except for Obama.
[00:03:11.793 --> 00:03:13.233]  Interesting, because she's black.
[00:03:13.233 --> 00:03:14.693]  Black entertainer.
[00:03:14.693 --> 00:03:20.555]  And she was going to perform for Donald Trump's inauguration, until she got all of these threats against her.
[00:03:20.555 --> 00:03:22.036]  So she's dropped out.
[00:03:22.036 --> 00:03:22.796]  Also interesting,
[00:03:24.029 --> 00:03:27.312]  I just said we're going to take a look at the double standard for John Lewis.
[00:03:27.312 --> 00:03:40.826]  I understand that he was a civil rights leader, and we have now people like Ben Sasse, an ever-Trumper, people like Michael Steele, who was the former RNC head, and of course I saw him at the DNC when I was there.
[00:03:40.826 --> 00:03:42.988]  He was a rock star for the DNC.
[00:03:42.988 --> 00:03:45.951]  I don't remember seeing any other Republicans there, interestingly enough, but anyway.
[00:03:46.471 --> 00:03:53.620]  He's coming out saying, don't go there Donald Trump, don't you dare criticize John Lewis because he was involved 50 years ago in the Civil Rights Movement.
[00:03:53.620 --> 00:03:55.162]  Well, what has he done lately?
[00:03:55.162 --> 00:03:56.043]  That's the point.
[00:03:56.043 --> 00:04:03.952]  And if he is acting as a political figure, if he is advocating policies that we're against, remember he was the one who led the sit-in
[00:04:04.944 --> 00:04:12.754]  On the floor of the House after the shooting in Orlando, trying to get more gun control.
[00:04:12.754 --> 00:04:16.738]  If he's going to get involved in policies that we don't agree with, he's not immune from being criticized.
[00:04:17.697 --> 00:04:26.659]  And yet, and that's exactly what we have Rand Paul saying, and yet the press is using this to play the race card yet again on Donald Trump.
[00:04:26.659 --> 00:04:32.941]  We're also going to take a look at the little kerfuffle that's going on about what's going to happen to the establishment press.
[00:04:32.941 --> 00:04:34.341]  They're very upset.
[00:04:34.341 --> 00:04:37.882]  They said, you're moving us out of the White House, and the press...
[00:04:39.222 --> 00:04:42.763]  People have, for Trump, have said, look, you've only got 40 some odd seats there.
[00:04:42.763 --> 00:04:44.424]  We've had over 400 people apply.
[00:04:44.424 --> 00:04:49.026]  So as Drudge points out, has a headline, they're actually involving more people.
[00:04:49.026 --> 00:04:53.928]  That's a very interesting paradigm there, because it's the same thing that's happening on the trade side in globalism.
[00:04:53.928 --> 00:04:55.889]  And we'll discuss that a little bit more in the future.
[00:04:55.889 --> 00:04:56.309]  Stay with us.
[00:04:56.309 --> 00:04:58.770]  Right after the break, we're going to have Alex Jones joining us.
[00:05:01.522 --> 00:05:03.263]  Here's Donald Trump on Twitter today.
[00:05:03.263 --> 00:05:04.104]  He also tweeted, Amen.
[00:05:04.104 --> 00:05:05.505]  Now, here is Rosie O'Donnell on Twitter.
[00:05:26.980 --> 00:05:34.449]  I fully support imposing martial law, delaying the inauguration, until Trump is cleared of all charges.
[00:05:34.449 --> 00:05:37.173]  All her hearsay mafia minion followers agreed.
[00:05:37.173 --> 00:05:41.278]  The only problem with that is, there are no charges to be cleared!
[00:05:41.278 --> 00:05:43.321]  Just fake news allegations that you fall for.
[00:05:43.641 --> 00:05:45.604]  Remember her side of the fence before the election?
[00:05:45.604 --> 00:05:47.146]  When they go low, we go high.
[00:05:47.146 --> 00:05:49.349]  Trump and Republicans need to accept the results.
[00:05:49.349 --> 00:05:50.271]  So much for that.
[00:05:50.271 --> 00:05:51.613]  Two things were confirmed today.
[00:05:51.613 --> 00:05:52.974]  Trump on Twitter is awesome.
[00:05:52.974 --> 00:05:55.979]  And Rosie O'Donnell is a hypocritical wine bag moron.
[00:05:55.979 --> 00:05:57.321]  Jabba the Hutt in the flesh.
[00:05:57.321 --> 00:05:59.123]  This is Owen Troyer for InfoWars.com
[00:06:10.279 --> 00:06:18.923]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[00:06:18.923 --> 00:06:22.464]  It is Sunday, January 15th, 2017.
[00:06:22.464 --> 00:06:26.106]  Alex Jones here reporting from the road.
[00:06:26.106 --> 00:06:35.930]  I'll be co-hosting in the shower with David Knight, who's hosting from the Infowars News Center in Austin, Texas, where we're broadcasting worldwide on this Sunday transmission.
[00:06:37.890 --> 00:06:39.431]  These are historic times.
[00:06:39.431 --> 00:06:42.192]  I have to preface every segment with that.
[00:06:42.192 --> 00:06:47.634]  Incredible, incredible developments are happening on every front, good and bad.
[00:06:47.634 --> 00:07:02.300]  But first off today, I want to lay out the fact that Reuters, Associated Press, Yahoo News, AFP, The New York Times, The Washington Post, all this weekend have been linked up on DrudgeReport.com.
[00:07:02.300 --> 00:07:06.682]  I want to say he's done an amazing job of pointing this out just by linking to their articles.
[00:07:07.987 --> 00:07:12.890]  That open world government is now being just admitted.
[00:07:12.890 --> 00:07:19.614]  They've gone from just a month and a half ago in the New York Times with stories like, what is globalism?
[00:07:19.614 --> 00:07:21.376]  Does it exist?
[00:07:21.376 --> 00:07:34.244]  Making fun of yours truly in InfoWars, saying there's no such thing as global corporate government, to having to admit it's real, admit it's being rejected worldwide, and that it's in crisis, and guess who they say
[00:07:35.709 --> 00:07:39.903]  He is going to prop up world government and is the hope of their whole system.
[00:07:39.903 --> 00:07:41.789]  You've heard this here thousands of times.
[00:07:43.049 --> 00:07:44.030]  But guess what?
[00:07:44.030 --> 00:07:45.230]  They now admit it.
[00:07:45.230 --> 00:07:46.991]  Communist China.
[00:07:46.991 --> 00:08:03.582]  And the reason I keep saying, see, I told you so, is really only InfoWars geopolitically analyzed what the Communist Chinese were saying, what the Davos Group was saying, what Bilderberg Group was saying, what the Club of Rome was saying, what the Council on Foreign Relations was saying.
[00:08:03.582 --> 00:08:09.666]  Again, 200 people or so share all those major groups I just mentioned.
[00:08:09.666 --> 00:08:10.947]  And they are on record
[00:08:12.113 --> 00:08:15.737]  Pushing a planetary, unelected corporate government.
[00:08:15.737 --> 00:08:33.634]  And as I've said thousands of times, if we just expose there's a global corporate government that's anti-prosperity, that's crony capitalist, that picks winners and losers, that is completely authoritarian and oppressive by the very dictionary and encyclopedia definitions, it will fall of its own illegitimacy.
[00:08:33.634 --> 00:08:37.357]  And ladies and gentlemen, the reason I keep going over this is, this is the whole ballgame.
[00:08:38.158 --> 00:08:46.186]  And we are just suddenly seeing devastating defeats for the enemy, bigger than I even envisioned.
[00:08:46.186 --> 00:08:52.012]  I expect this to take a decade or more until more of their oppression took place before this awakening took place.
[00:08:52.012 --> 00:08:57.899]  So I've been right about everything except the fact that it's imploding faster than I previously thought it would.
[00:08:59.580 --> 00:09:01.821]  And there's some good sides of that, there's some bad sides.
[00:09:01.821 --> 00:09:04.642]  Because listen, there's still a lot of underlying corruption system-wide.
[00:09:04.642 --> 00:09:16.406]  If we don't replace it with real prosperity and justice-based economies, and don't really promote real independence and freedom system-wide, we're still in an explosive crisis.
[00:09:16.406 --> 00:09:19.167]  Because the public's been dumbed down as a tool of control.
