[00:00.000 --> 00:20.000]  Resistance to Tyrants is Obedience to God, it's Alex Jones.
[00:20.000 --> 00:31.000]  Back in the ATX, broadcasting worldwide, from deep in the heart of Texas, it's already Friday, February 3rd, 2017.
[00:31.000 --> 00:36.000]  The globalists have only begun to realize they're marching into their darkest hour.
[00:36.000 --> 00:50.000]  David Mustaine, from the past, with his poetry, sent a message to the globalists.
[00:50.000 --> 00:57.000]  Some of these news headlines.
[00:57.000 --> 01:03.000]  The fall of the globalist control.
[01:03.000 --> 01:06.000]  Starting to happen right now, you can feel it.
[01:06.000 --> 01:13.000]  The fear is rising, the panic intensifying.
[01:13.000 --> 01:21.000]  All their crimes, pedophile raids, no fires coming for them.
[01:21.000 --> 01:29.000]  All the children that cried out for help, to God, he hears their cries.
[01:29.000 --> 01:36.000]  He comes with a sickle.
[01:36.000 --> 01:46.000]  And though I reached out to you.
[01:46.000 --> 01:56.000]  The darkest hours, think with all the innocence of Indra.
[01:56.000 --> 02:00.000]  It's so cold, no one cares for me.
[02:00.000 --> 02:03.000]  Yes, we know who's behind it, don't we?
[02:03.000 --> 02:07.000]  We know who the enemy is, and nothing.
[02:07.000 --> 02:11.000]  Nothing they do will ever turn this around now.
[02:11.000 --> 02:14.000]  They are falling from the beginning.
[02:14.000 --> 02:18.000]  They tried to bring down humanity and they hurt us bad.
[02:18.000 --> 02:25.000]  But the gates of hell are open, like a big black mouth.
[02:25.000 --> 02:31.000]  All right, ladies and gentlemen, obviously we have more ala Akbar love.
[02:31.000 --> 02:33.000]  Just like we had the attack a few days ago.
[02:33.000 --> 02:37.000]  Killed a bunch of people at a mosque in Canada and they said there's an attack on Muslims.
[02:37.000 --> 02:40.000]  Yes, that was the big spin machine we got.
[02:40.000 --> 02:43.000]  They'll probably try to spin this too.
[02:43.000 --> 02:47.000]  They'll probably try to spin it.
[02:47.000 --> 02:54.000]  France has completely bent itself over like a mule begging to have the Islamists pour in and rule them.
[02:54.000 --> 02:59.000]  And impact them and boss them around.
[02:59.000 --> 03:09.000]  The French socialists, the Jacobins, so wanted to defile and sacrifice France in an orgy of evil to their God
[03:09.000 --> 03:20.000]  that they brought in hordes of the most miscreant West-hating armies that couldn't take Western Europe
[03:20.000 --> 03:24.000]  in the last thousand years but are now taking it because of treachery.
[03:24.000 --> 03:27.000]  Well, it's Cicero the Roman historian say,
[03:27.000 --> 03:34.000]  an enemy that comes openly with their banner to your gate is nothing as a threat to those that creep around behind the scenes
[03:34.000 --> 03:39.000]  and claim that they're on your side and care about you and want to help your nation.
[03:39.000 --> 03:43.000]  Yes, the traitor is the plague.
[03:43.000 --> 03:52.000]  Man, I tell you, I don't know what's worse, Austin and its allergies during Cedar season right now or LA.
[03:52.000 --> 03:54.000]  That place you're driving on a road just through the smog.
[03:54.000 --> 03:57.000]  Everybody was just hacking with sinus headaches.
[03:57.000 --> 03:59.000]  I just look at the poor folks in Los Angeles.
[03:59.000 --> 04:01.000]  I'm not even trying to bash LA.
[04:01.000 --> 04:03.000]  I don't know how you live there.
[04:03.000 --> 04:08.000]  You couldn't pay me all the money in the world to be there.
[04:08.000 --> 04:11.000]  It is just a toxic waste dump.
[04:11.000 --> 04:18.000]  I tweeted a joke photo because at the Hertz rental car bus taking us to the airport from the rental car place
[04:18.000 --> 04:22.000]  had a bunch of city maps and I said, look, I found a map of hell.
[04:22.000 --> 04:24.000]  People were like, well, LA is not that hot.
[04:24.000 --> 04:26.000]  You ought to see what Arizona is like.
[04:26.000 --> 04:29.000]  No, it's not about the heat.
[04:29.000 --> 04:31.000]  It's about the atmosphere.
[04:31.000 --> 04:36.000]  Southern Calhitt with worse smog in years is hot, stagnant.
[04:36.000 --> 04:40.000]  Weather intensifies the toxicity and there we are.
[04:40.000 --> 04:43.000]  It feels like Bugs Bunny there.
[04:43.000 --> 04:48.000]  Bugs Bunny and Yosemite Sam combined forces.
[04:48.000 --> 04:51.000]  And then of course you got the Stay Puff Marshmallow Man there.
[04:51.000 --> 04:53.000]  We'll be back with a big transmission.
[04:53.000 --> 04:54.000]  I'm Alex Jones.
[04:54.000 --> 05:21.000]  This is the info war.
[05:24.000 --> 05:28.000]  Another man was arrested at the scene, but it's not yet known if he is linked to the attack.
[05:28.000 --> 05:33.000]  A spokesman for the French Interior Ministry said the identity and nationality of the suspects are unknown.
[05:33.000 --> 05:36.000]  A building in Paris was raided by police in connection with the attack,
[05:36.000 --> 05:40.000]  which has been labeled terrorist in nature by the French prime minister.
[05:40.000 --> 05:43.000]  Donald Trump tweeted about the attack urging Americans to get smart.
[05:43.000 --> 05:44.000]  That's right.
[05:44.000 --> 05:47.000]  We don't want the terror that's descended upon Europe to make its way here.
[05:47.000 --> 05:52.000]  The president of France, Francois Hollande, pray security for the quick response.
[05:52.000 --> 05:53.000]  I bet you did.
