[00:01.000 --> 00:05.000]  You're listening to the Alex Jones show.
[00:05.000 --> 00:24.000]  Resistance to tyrants is obedience to God. It's Alex Jones.
[00:35.000 --> 00:55.000]  Well, I tell you, ladies and gentlemen, it's either America's brightest hour or we're going into this republic's darkest hour.
[00:55.000 --> 01:07.000]  Thank you so much for joining us on this worldwide global transmission already Wednesday, July 26, 2017.
[01:07.000 --> 01:14.000]  You know why they hate me? You know why they now have an entire new Comedy Central show?
[01:14.000 --> 01:26.000]  With Deadline Hollywood and Variety having the headline new Comedy Central show to air nightly to be based on Alex Jones with their comedian quote playing the part of Alex Jones.
[01:26.000 --> 01:37.000]  And they will say things and do things every night that I haven't said or I haven't done to create branding with the type of
[01:37.000 --> 01:43.000]  mentally retarded people that believe and watch their channel. Again, I'm making fun of real people that are really retarded.
[01:43.000 --> 01:48.000]  I'm talking about people that have been induced into these comas.
[01:48.000 --> 01:55.000]  They will then simultaneously have news headlines saying that I'm delusional when I criticize it and they'll say it's not based on me.
[01:55.000 --> 02:01.000]  Just like Homeland and all the other programs are Tuck Bugford.
[02:01.000 --> 02:07.000]  Now, why are they doing this? Because they are scared of the very specifics I'm breaking down.
[02:07.000 --> 02:24.000]  The reason I point that out is people need to understand we have their plan, we know their plan, and they just want you to never look at the plan so that they can basically have air superiority politically.
[02:24.000 --> 02:35.000]  And that's why you notice you see the former CIA director that told President Trump two days before he was inaugurated to watch his mouth.
[02:35.000 --> 02:43.000]  To watch his mouth. They're telling the American people and the voters to watch their mouths. This same globalist operative.
[02:43.000 --> 02:56.000]  You cannot make this up who lived for 12 years in Saudi Arabia and who worked with the former FBI director to take radical Islam off the FBI's training list where they couldn't even use the term radical Islam.
[02:56.000 --> 03:05.000]  This creature has come out and called for a coup. Now, that's him saying a coup.
[03:05.000 --> 03:15.000]  Let's say military overthrow because he knows that the American people are awake. He knows the Republicans are going to win the House next year.
[03:15.000 --> 03:23.000]  Again, all the demographics show it, all the numbers, all the actuaries, all the bots, all the AI. It shows a total realignment.
[03:23.000 --> 03:33.000]  A total realignment that people get that Trump's our figurehead. They get he's not perfect, but they get that they're targeting him to bring us all down.
[03:33.000 --> 03:39.000]  And people get he's a champion and he's gotten so much done, it brings tears to my eyes quite frankly. This is so epic, so real.
[03:39.000 --> 03:50.000]  We've gone from such betrayal, such fakeness, such garbage to him battling like a lion with hundreds of mangy hyenas biting him at every level.
[03:50.000 --> 03:55.000]  And we're sitting here like spectators bitching that, oh, where's my tax cut? Where's my Obamacare repeal?
[03:55.000 --> 04:03.000]  When he's already killed everything else he could with executive order and executive action and courage and has them openly saying kill him everywhere.
[04:03.000 --> 04:08.000]  Oh, and of course, get me. Destroy me. Kill me. Put me in prison.
[04:08.000 --> 04:15.000]  And after everybody else, he knows a lot of their folks are getting intimidated right now. They're kind of pulling back, not being as hardcore.
[04:15.000 --> 04:20.000]  People are hedging their bets. You don't hedge your bets with this. You hedge your bets. We lose everything.
[04:20.000 --> 04:25.000]  I've been hammering that they're planning a coup since the day he was elected.
[04:25.000 --> 04:29.000]  And I laid out exactly what they do because I know how the system works.
[04:29.000 --> 04:34.000]  I know how they would do it. I know how they've done it in other countries and what they've set up here.
[04:34.000 --> 04:43.000]  So it's not see I told you so it's we're the opposite of fake news. We're super hardcore on target.
[04:43.000 --> 04:48.000]  News and information. And that's why they're so scared.
[04:48.000 --> 04:55.000]  There's an old saying. He's got your number or they've got your number. We've got their number.
[04:55.000 --> 05:06.000]  That happens when his number means you got their address, you know, their shoe size, you know how tall they are, you know what they eat in their corn flakes, you know how big their ding ding is, you know who their mommy was with.
[05:06.000 --> 05:10.000]  We got their number.
[05:10.000 --> 05:19.000]  All the perplexities, the confusion and distress in America arise not from objects in their Constitution or Confederation, not from want of honor or virtue.
[05:19.000 --> 05:24.000]  So much is from the downright ignorance of the nature of coin, credit and circulation.
[05:24.000 --> 05:28.000]  Those are the words of John Adams, the second president of the United States.
[05:28.000 --> 05:33.000]  Are you ignorant of the private Federal Reserve? Do you understand the nature of our fiat currency?
[05:33.000 --> 05:40.000]  Do you understand how a private corporation has the ability to create boom and bust cycles and to profit from it?
[05:40.000 --> 05:44.000]  What kind of leverage do these people and the Federal Reserve have over the American people?
[05:44.000 --> 05:49.000]  Or for that matter, what kind of leverage do the Saudis have over our money?
[05:49.000 --> 05:51.000]  Will you be a slave or will you be free?
[05:51.000 --> 05:56.000]  Adams also said liberty cannot be preserved without general knowledge among the people.
[05:56.000 --> 06:01.000]  Join the info wars, spread the information, educate yourself and others.
[06:01.000 --> 06:03.000]  The truth shall set you free.
[06:03.000 --> 06:32.000]  For info wars.com, I'm David Knight.
[06:33.000 --> 06:39.000]  And so I set out to develop caveman, but to not just have concentrated bone broth from chicken,
[06:39.000 --> 06:46.000]  but seven other superfood ingredients known for cleansing and supercharging the body at the same time.
[06:46.000 --> 06:49.000]  Info wars isn't just fighting the globalist.
[06:49.000 --> 06:56.000]  We're getting results and we're expanding in the face of the complete media assault and winning because of your support.
[06:56.000 --> 06:59.000]  Caveman is finally back at the info war store.
[06:59.000 --> 07:08.000]  You can get 25% off the regular price for a limited time only at infowarslife.com or by calling toll free triple a 253 3139.
[07:08.000 --> 07:11.000]  They use their media to assassinate real news.
[07:11.000 --> 07:15.000]  They use their schools to teach children that their president is another Hitler.
[07:15.000 --> 07:23.000]  They use their movie stars and singers and comedy shows and award shows to repeat their narrative over and over again.
[07:23.000 --> 07:30.000]  And then they use their ex president to endorse the resistance all to make them march, make them protest,
[07:30.000 --> 07:39.000]  make them scream racism and sexism and xenophobia and homophobia to smash windows, burn cars, shut down interstates and airports,
[07:39.000 --> 07:47.000]  bully and terrorize the law abiding until the only option left is for the police to do their jobs and stop the madness.
[07:47.000 --> 07:51.000]  And when that happens, they'll use it as an excuse for their outrage.
[07:51.000 --> 08:02.000]  The only way we stop this, the only way we save our country and our freedom is to fight this violence of lies with the clenched fist of truth.
[08:02.000 --> 08:25.000]  I'm the National Rifle Association of America and I'm Freedom's Safest Place.
[08:25.000 --> 08:37.000]  We now take you live to the Central Texas Command Center in the heart of the resistance. It's Alex Jones.
[08:37.000 --> 08:48.000]  Our big victory is that we're willing to be criticized and being attacked for saying things first that are shocking and controversial.
[08:48.000 --> 08:57.000]  Like there are plans to use continuity of government systems that are in place in case the government's decapitated from a nuclear attack
[08:57.000 --> 09:01.000]  to basically overthrow Trump and the newly elected government.
[09:01.000 --> 09:08.000]  Now we knew that that would be their attack profile and then we began to see them start promoting it in the Financial Times of London,
[09:08.000 --> 09:14.000]  New Yorker Magazine, Foreign Affairs, Public Affairs and of course Atlantic Monthly in the last four months.
[09:14.000 --> 09:22.000]  Now we have Clapper coming out yesterday, the same guy that said Trump should watch his mouth and then was shocked when Trump fired him,
[09:22.000 --> 09:26.000]  saying that there should be a coup against Trump.
[09:26.000 --> 09:41.000]  But first, let's play a boil down of the last month of Sean Hannity and Lou Dobbs and others saying point blank, there is a clear and present danger and an ongoing plan to overthrow the president.
[09:41.000 --> 09:49.000]  And then of course the Washington Post came out and said, oh, Hannity is in, is in Alex Jones territory, he's a cook, he's a loon.
[09:49.000 --> 09:54.000]  Okay, you guys are in major newspapers and magazines, but they are elite publications.
[09:54.000 --> 10:00.000]  Point blank saying we've got our people in the deep state, it's time to overthrow Trump.
[10:00.000 --> 10:05.000]  Suddenly, physically, we're talking serious crime, they're talking about here.
[10:05.000 --> 10:19.000]  And then they plan to shut down the independent media, they plan to go and say all the Republicans that got elected in the last Congress are going to be removed or subject to a new election that federalized Democrat run Homeland Security overseas.
[10:19.000 --> 10:24.000]  We'll be like Venezuela, we'll never have a real election again. This is happening.
[10:24.000 --> 10:30.000]  I said it first because I knew we had to say it and now you notice they're in the news saying it.
[10:30.000 --> 10:36.000]  So I wasn't wrong. Sean Hannity wasn't wrong. Lou Dobbs wasn't wrong. Former Speaker of the House, Newt Genrich wasn't wrong.
[10:36.000 --> 10:46.000]  We're telling you word for word what they're doing. And again, I keep saying I told you first because they've got shows every day attacking me.
[10:46.000 --> 10:52.000]  They've got programs lying about us every day because they have to destroy us politically because we're on target.
[10:52.000 --> 11:05.000]  The good news is the more people realize I'm right and the more now Rush Limbaugh basically listens to the show or has his folks do it and goes and checks out what I say and then looks it up for himself and then goes on air and says the exact same thing.
