[00:00.000 --> 00:01.000]  We've got it.
[00:01.000 --> 00:02.000]  We've got it.
[00:02.000 --> 00:04.000]  The gasping is coming to you.
[00:07.000 --> 00:10.000]  Waging war on corruption.
[00:10.000 --> 00:12.000]  Alright, you are going.
[00:12.000 --> 00:18.000]  It's Alex Jones, coming to you live from the front lines of the Info War.
[00:20.000 --> 00:29.000]  Ladies and gentlemen, there are some people out there saying that hype about Hurricane Irma is just that hype.
[00:29.000 --> 00:35.000]  But I agree with the governor of Florida and others, as well as the mainline meteorologist.
[00:35.000 --> 00:45.000]  When I say mainline, I mean all of them, agree that this storm has the potential to be the most devastating storm in US history.
[00:45.000 --> 00:55.000]  It's only hit small islands in the Caribbean so far and has destroyed everything, rendering these islands uninhabitable.
[00:55.000 --> 00:59.000]  The storm is still at 180 miles an hour.
[00:59.000 --> 01:03.000]  It's gone as high as 185 miles an hour.
[01:03.000 --> 01:08.000]  Nothing will be left standing but concrete telephone poles.
[01:08.000 --> 01:13.000]  When something's at that speed, it'll even push over concrete buildings.
[01:13.000 --> 01:16.000]  All you'll have is steel girders left.
[01:16.000 --> 01:30.000]  If it hits Cuba, if it hits the Dominican Republic, if it directly hits these areas, which it's starting to graze right now, you're going to see incredible loss of life.
[01:30.000 --> 01:33.000]  And that's why they've said in Florida, get out.
[01:33.000 --> 01:37.000]  Get out of your house, get out of the state, get out.
[01:37.000 --> 01:45.000]  The problem is the gas is already sold out in most major cities in Florida, especially in southern Florida and on the east coast.
[01:45.000 --> 01:48.000]  Where many of the tracks show the storms headed.
[01:48.000 --> 02:02.000]  But NOAA has chosen, with its computers, a track that shows it going towards south Florida and the Keys and then turning a bit towards the west and going into the Gulf of Mexico.
[02:02.000 --> 02:11.000]  And so many times, where does it go once it jumps Florida, right into Louisiana, right into Mississippi, right into Texas?
[02:11.000 --> 02:15.000]  So you talk about nail biting.
[02:15.000 --> 02:24.000]  If this sucker hits major cities as a category three, it is going to create devastation, rarely seen.
