[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:26.000 --> 00:35.000]  Ladies and gentlemen, we're live.
[00:35.000 --> 00:37.000]  We're broadcasting worldwide.
[00:37.000 --> 00:39.000]  We're going to be here for the next four hours.
[00:39.000 --> 00:40.000]  I'm your host, Alex Jones.
[00:40.000 --> 00:45.000]  I intend to open the phones up again today on the 28th of September, 2017.
[00:45.000 --> 00:46.000]  Wow.
[00:46.000 --> 00:54.000]  Trump has really delivered in his proposed tax cut once in a lifetime plan as he dubbed it yesterday.
[00:54.000 --> 00:58.000]  He's airing his remarks coming up later in the hour.
[00:58.000 --> 01:00.000]  Getting rid of the estate tax.
[01:00.000 --> 01:01.000]  Beautiful.
[01:01.000 --> 01:03.000]  Absolutely amazing.
[01:03.000 --> 01:12.000]  That will energize so much more money, not going into the government coffers, but going back out into private hands.
[01:12.000 --> 01:15.000]  Going from seven tax rates down to three.
[01:15.000 --> 01:21.000]  Cutting taxes massively on the middle class and poor people.
[01:21.000 --> 01:26.000]  There's talk of tax increases on the wealthy.
[01:26.000 --> 01:32.000]  At the same time, cutting corporate tax from 35 to 20.
[01:32.000 --> 01:36.000]  And that will bring back in trillions of dollars outside of the country.
[01:36.000 --> 01:46.000]  The globalist set our taxes as the highest corporate tax in the world to make it prohibitive to do business in the United States as part of the globalist strategic plan.
[01:46.000 --> 01:48.000]  That's admitted, by the way.
[01:48.000 --> 01:51.000]  So you turn our call back on.
[01:51.000 --> 01:54.000]  You cut the corporate tax to be competitive.
[01:54.000 --> 01:55.000]  He wanted it lower than China.
[01:55.000 --> 01:58.000]  It's now basically right at the same rate as China.
[01:58.000 --> 02:01.000]  If we even get this cut.
[02:01.000 --> 02:08.000]  So yes, China, the communist, have a lower corporate tax rate than the so-called capitalist.
[02:08.000 --> 02:12.000]  You heard that right.
[02:12.000 --> 02:15.000]  So we're going to be walking through all of this today.
[02:15.000 --> 02:29.000]  Also, more and more Congress and the Attorney General are closing in on the Clinton crimes as they try to bring down Trump for made up garbage lawmakers set sites on Obama and the unmasking scandal.
