[00:00.000 --> 00:17.760]  From the front lines of the Information War, it's Alex Jones.
[00:17.760 --> 00:24.920]  Ladies and gentlemen, it's October 1st.
[00:24.920 --> 00:31.960]  I had Matt Bracken, former Navy SEAL and counterterrorism expert on yesterday, and we both predicted
[00:31.960 --> 00:38.300]  he would start seeing mass shootings at big public venues like rock concerts and football
[00:38.300 --> 00:44.720]  games, and that that would be used to trigger a civil war in America.
[00:44.720 --> 00:50.400]  On Friday, and we're going to play excerpts of it, we laid out the left's admissions
[00:50.400 --> 00:56.280]  all over the news and all over their own websites and in meetings they're having that we have
[00:56.280 --> 01:02.520]  videos of all over the country that they're preparing for mass terror attacks in America
[01:02.520 --> 01:05.920]  to mainly go out and kill white people.
[01:05.920 --> 01:11.800]  And it is white folks who are the ones saying they're going to go out and kill white people.
[01:11.800 --> 01:17.920]  In fact, the leader of Canada came out after another Somali refugee stabbed and ran over
[01:17.920 --> 01:23.920]  more people yesterday and called for an end to white supremacy.
[01:23.920 --> 01:27.920]  France also called for the same thing after two women were stabbed to death at a train
[01:27.920 --> 01:30.440]  station and then other people were run over.
[01:30.440 --> 01:31.440]  I'm not kidding.
[01:31.440 --> 01:32.960]  This is Stockholm syndrome.
[01:32.960 --> 01:34.320]  They're invoking it on you.
[01:34.320 --> 01:35.920]  They don't have it.
[01:35.920 --> 01:38.720]  They attack you, then they tell you to submit.
[01:38.720 --> 01:45.880]  Last week, a Sudanese immigrant, migrant, went to a Christian church.
[01:45.880 --> 01:51.640]  He said he wanted to kill white people and Christians, and he did just that.
[01:51.640 --> 01:54.480]  All yelling Allah Akbar.
[01:54.480 --> 01:56.920]  But you never hear about it a day after it happens.
[01:56.920 --> 02:05.040]  Daily attacks, multiple attacks per day all over the Western world, and nothing is being
[02:05.040 --> 02:06.040]  done.
[02:06.040 --> 02:12.720]  Meanwhile, the FBI is launching a civil rights investigation to make sure, and I guess he
[02:12.720 --> 02:14.880]  was treated lovingly and properly.
[02:14.880 --> 02:22.120]  So it's all coming up today, ladies and gentlemen, this is the biggest massacre in U.S. history
[02:22.120 --> 02:26.320]  using a firearm.
[02:26.320 --> 02:33.800]  There are 58 dead, 515 injured, just the latest numbers that came out just five minutes ago
[02:33.800 --> 02:36.160]  with the police having a press conference.
[02:36.160 --> 02:41.920]  Now, we've talked to our military experts, and they all agree that what you were hearing
[02:41.920 --> 02:48.360]  was a belt gun, that's why the speed goes up and goes down, and it could be somebody
[02:48.360 --> 02:54.400]  with a professional belt-fed gun or someone with some other systems that you can purchase
[02:54.400 --> 02:58.080]  and then adapt into an AR-15 or AK.
[02:58.080 --> 03:01.280]  Hillary is calling for taking the Second Amendment as usual.
[03:01.280 --> 03:04.160]  Now, here's the big news.
[03:04.160 --> 03:10.640]  Islamic State has taken responsibility, and the man known by the police for issues, I
[03:10.640 --> 03:15.840]  guess mental illness, had reportedly converted to Islam in the last two months.
[03:15.840 --> 03:19.520]  And even though that's being reported by Reuters and others, you're not seeing it on
[03:19.520 --> 03:22.480]  CNN or MSNBC, we've been tracking it.
[03:22.480 --> 03:23.560]  Maybe I missed it.
[03:23.560 --> 03:25.680]  But that's pretty big news, isn't it?
[03:25.680 --> 03:28.120]  Now, let's stop right there.
[03:28.120 --> 03:32.760]  Who was allied with ISIS and Al Qaeda during the entire last six years of the Arab Spring?
