[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[00:00:07.156 --> 00:00:10.298]  Waging war on corruption.
[00:00:10.298 --> 00:00:17.161]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:19.793 --> 00:00:34.122]  When you come face to face with the fact that we're dealing with organized evil, with these mega corporations, and that everything they preach about all day, being loving, being good, caring about humanity, is a cover for who they really are.
[00:00:34.122 --> 00:00:38.825]  Apple, Google, Amazon, Microsoft.
[00:00:38.825 --> 00:00:42.107]  Truly wicked, wicked organizations.
[00:00:42.107 --> 00:00:45.709]  It's all coming up.
[00:00:45.709 --> 00:00:46.670]  Top of drugs report.
[00:00:47.700 --> 00:00:55.066]  As it said best, Amazon warehouse of hell, robots replace exhausted humans.
[00:00:55.066 --> 00:00:58.949]  They make you one package per nine seconds or you're fired.
[00:00:58.949 --> 00:01:02.872]  Total enslavement like a Chinese slave factory.
[00:01:02.872 --> 00:01:04.433]  But it's okay because it's liberal.
[00:01:04.433 --> 00:01:09.657]  When Apple has suicide nets at its factory and forced drugging, it's liberal.
[00:01:09.657 --> 00:01:12.900]  But first let's go to John Bowne's report on the New World Order.
[00:01:13.908 --> 00:01:33.780]  Even though Nancy Pelosi is defending fallen representative John Conyers after his sexual misconduct came roaring out of the closet, and even though embarrassed Senator Al Franken refuses to resign, and even though the sexual misconduct in Congress is so massive it is under sealed confidentiality agreements,
[00:01:33.780 --> 00:01:35.540]  George Stephanopoulos starts right now!
[00:01:55.565 --> 00:02:07.556]  Representative Jackie Speier has said she knows of two other members of Congress who have engaged in sexual harassment, still unnamed, and as of now, facing no consequences.
[00:02:07.556 --> 00:02:14.141]  And then there's Alabama Senate candidate Roy Moore, accused of sexual misconduct against minors.
[00:02:14.141 --> 00:02:21.468]  President Donald Trump defending him this week, saying that Moore denies it, and implying that his denial is enough.
[00:02:22.088 --> 00:02:36.063]  But according to a report just out overnight in the New York Times, that defense of Moore infuriating Trump's Republican colleagues on Capitol Hill, who had been trying to distance the party from those misconduct allegations.
[00:02:37.728 --> 00:02:56.662]  Today on Face the Nation, there is maybe a split, maybe there's not a split, but there appears to be a split between the president, who doesn't believe Roy Moore's accusers, and Senate Republicans, including McConnell and Mike Lee, other senators who've looked at the evidence, looked at the responses from Roy Moore, and said, we believe the accusers.
[00:02:56.662 --> 00:02:58.083]  Do you think that split matters?
[00:02:59.344 --> 00:03:01.845]  Just back away a little bit.
[00:03:01.845 --> 00:03:09.527]  Having more win and then come to the Senate presents just a whole host of political problems that will not be easy to deal with.
[00:03:09.527 --> 00:03:10.667]  Central harassment.
[00:03:10.667 --> 00:03:12.427]  A national turning point?
[00:03:12.427 --> 00:03:13.348]  Or is it?
[00:03:13.348 --> 00:03:16.369]  After refusing to back Alabama's Roy Moore.
[00:03:16.369 --> 00:03:20.790]  The President said if the allegations are true then that Roy Moore should step aside.
[00:03:20.790 --> 00:03:23.530]  President Trump decides to stand by his man.
[00:03:23.530 --> 00:03:25.271]  I can tell you one thing for sure.
[00:03:26.173 --> 00:03:29.712]  We don't need a liberal person in there, a Democrat.
[00:03:35.384 --> 00:03:35.945]  We're good to go.
[00:03:57.084 --> 00:04:03.348]  Is it better to support an accused child molester of your own party than to have the other party win an election?
[00:04:03.348 --> 00:04:18.278]  The revolt against sexual harassment and assault may in part be a backlash after Donald Trump's 2016 victory when millions of voters overlooked more than a dozen allegations of sexual misconduct and put Mr. Trump in the White House.
[00:04:18.278 --> 00:04:26.304]  A result that triggered thousands of women nationwide to begin an anti-Trump movement that has flexed its muscles since the inauguration.
[00:04:31.397 --> 00:04:33.298]  With two weeks until the special U.S.
[00:04:33.298 --> 00:04:40.161]  Senate election in Alabama, President Trump is again aligning himself with embattled Republican candidate Roy Moore.
[00:04:40.161 --> 00:04:46.744]  Today on Twitter, the President called Moore's Democratic appointment... Are we not all under unyielding harassment by the corporate media?
[00:04:46.744 --> 00:04:50.626]  When do the American people get what their tax dollars paid for?
[00:04:50.626 --> 00:04:58.350]  The names behind the $17 million payout to the victims of perverse hubris lingering in the nation's capital.
[00:05:00.469 --> 00:05:11.964]  I'm driving home here about to take off a few days for Thanksgiving and I just want to impart my message to the listeners and viewers of how much I appreciate you and how thankful I am.
[00:05:13.672 --> 00:05:24.002]  And I also just want to re-emphasize the point that if you weren't there taking action, and if you weren't there spreading the word, globalism would have completely taken over not just this country but other nations.
[00:05:24.002 --> 00:05:33.451]  And globalism is a completely anti-individual, anti-God, anti-family, anti-Christian cancer that is just pure
[00:05:34.824 --> 00:05:39.366]  Power cult will to dominate and control society.
[00:05:39.366 --> 00:05:44.468]  And that we have come so far with God's help, and have turned the tide, but the enemy's tracking back.
[00:05:44.468 --> 00:05:50.311]  So just, please, we should all be so thankful to God, and thankful to each other for taking action.
[00:05:50.311 --> 00:05:55.473]  But also, girt ourselves and get ready for the next big fight ahead, because history is happening.
[00:05:55.473 --> 00:05:58.115]  So for myself, and my family, God bless you all.
[00:05:58.115 --> 00:05:58.915]  Have a great Thanksgiving.
[00:06:03.368 --> 00:06:06.231]  There's a need for a new world order.
[00:06:06.231 --> 00:06:13.758]  But it has different characteristics in different parts of the world.
[00:06:13.758 --> 00:06:20.024]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:44.764 --> 00:06:47.627]  There are, of course, those who do not want us to speak.
[00:06:47.627 --> 00:06:47.747]  Think.
[00:06:47.747 --> 00:06:48.468]  Just let me think.
[00:06:48.468 --> 00:06:54.273]  I suspect even now, orders are being shouted into telephones and men with guns will soon be on their way.
[00:06:54.273 --> 00:06:55.655]  It's Chancellor Sutler.
[00:06:55.655 --> 00:06:56.335]  Damn it!
[00:06:56.335 --> 00:06:57.416]  Why?
[00:06:57.416 --> 00:07:04.023]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[00:07:04.023 --> 00:07:07.166]  Words are for the means to meaning and for those who will listen.
[00:07:09.787 --> 00:07:14.770]  The truth is, there is something terribly wrong with this country, isn't there?
[00:07:14.770 --> 00:07:15.810]  You designed it, sir.
[00:07:15.810 --> 00:07:16.751]  You wanted it foolproof.
[00:07:16.751 --> 00:07:18.412]  You taught me every television in London!
[00:07:18.412 --> 00:07:20.513]  Cruelty and injustice.
[00:07:20.513 --> 00:07:22.314]  Intolerance and oppression.
[00:07:22.314 --> 00:07:31.999]  And where once you had the freedom to object, to think and speak as you saw fit, you now have censors and systems of surveillance coercing your conformity and surveilling your submission.
[00:07:31.999 --> 00:07:32.199]  Cameras.
[00:07:32.199 --> 00:07:33.159]  We need cameras.
[00:07:33.159 --> 00:07:34.600]  How did this happen?
