[00:00:00.817 --> 00:00:02.922]  We are drugged out!
[00:00:02.922 --> 00:00:05.187]  We are following other people's opinions!
[00:00:06.329 --> 00:00:09.131]  We are controlled by the media.
[00:00:09.131 --> 00:00:10.992]  Today, it all changes.
[00:00:10.992 --> 00:00:13.753]  This reality has been forced upon us.
[00:00:13.753 --> 00:00:16.835]  It is a choice, just like when I said slavery is a choice.
[00:00:16.835 --> 00:00:21.558]  Einstein said the death of insanity is doing the same thing, expecting a different result.
[00:00:21.558 --> 00:00:24.240]  So we keep on saying, I hate you, I hate you, f*** you, f*** you, f*** you.
[00:00:24.240 --> 00:00:27.061]  How are we going to get a different result out of hate?
[00:00:27.061 --> 00:00:29.503]  Why don't we just try love?
[00:00:29.503 --> 00:00:31.144]  Why don't we just try love?
[00:00:31.144 --> 00:00:33.065]  We have the resources for
[00:00:35.620 --> 00:00:39.243]  Sometimes you need some crazy motherf***** to change something.
[00:00:39.243 --> 00:00:42.305]  Steve Jobs is crazy, now we all on Steve Jobs phones.
[00:00:42.305 --> 00:00:46.848]  They say Trump's crazy, they say I'm crazy, but I'm here to show love.
[00:00:46.848 --> 00:00:52.012]  It's a bigger plan and I'm just doing what the universe told me.
[00:00:52.012 --> 00:00:56.134]  Resistance to tyrants is obedience to God.
[00:00:56.134 --> 00:00:57.896]  It's Alex Jones.
[00:01:03.906 --> 00:01:05.227]  This is the Fourth Amendment.
[00:01:05.227 --> 00:01:22.900]  It reads, "...the right of the people to be secure in their persons, houses, papers, and effects against unreasonable searches and seizures shall not be violated and no warrants shall issue but upon probable cause supported by oath or affirmation and particularly describing the place to be searched and the persons or things to be seized."
[00:01:22.900 --> 00:01:24.301]  Pretty straightforward.
[00:01:24.301 --> 00:01:26.543]  So why is it that we have to adopt laws
[00:01:26.863 --> 00:01:32.908]  To enforce this law of the land against the very organization sworn to uphold the Fourth Amendment.
[00:01:32.908 --> 00:01:35.531]  It's madness, but that's exactly what's happening.
[00:01:35.531 --> 00:01:38.653]  These Stingrays are not selective devices.
[00:01:38.653 --> 00:01:46.200]  If they are in your area, all cell phone calls will go through the Stingray because that is the most powerful signal in that area.
[00:01:46.815 --> 00:01:51.342]  So everyone within a quarter of a mile will be passing through the stingray.
[00:01:51.342 --> 00:02:03.079]  Now, if the police knew the phone number and knew the machine address of the device being used by the criminal they were attempting to listen to, that would be one thing.
[00:02:03.419 --> 00:02:05.639]  But in most cases, they do not.
[00:02:05.639 --> 00:02:11.581]  They just know that the criminal lives nearby, or is in an apartment here, or is in an automobile there.
[00:02:11.581 --> 00:02:18.522]  So they have to listen to everybody's conversation to filter out and find the actual person that they are interested in.
[00:02:18.522 --> 00:02:28.244]  Which means that every single conversation within a quarter of a mile is being listened to, and has to be listened to, to determine which conversation is the one that they're interested in.
[00:02:28.732 --> 00:02:42.355]  World Net Daily reports Shahid Buttar explained that the Electronic Frontier Foundation, a California bill SB 1186, would vastly strengthen oversight relative to the indefensible and completely opaque status quo.
[00:02:42.355 --> 00:02:49.357]  EFF supports the bill because it would expand transparency and community control over the acquisition of surveillance technology.
[00:02:49.357 --> 00:02:57.619]  For nearly a decade, the company Harris Corporation sold sophisticated military surveillance equipment to police departments across the United States.
[00:02:57.759 --> 00:03:02.741]  Without any elected policymakers knowing that their tools even existed.
