whisper_model_load: loading model from 'whisper.cpp/models/ggml-large.bin'
whisper_model_load: n_vocab       = 51865
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 1280
whisper_model_load: n_audio_head  = 20
whisper_model_load: n_audio_layer = 32
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 1280
whisper_model_load: n_text_head   = 20
whisper_model_load: n_text_layer  = 32
whisper_model_load: n_mels        = 80
whisper_model_load: f16           = 1
whisper_model_load: type          = 5
whisper_model_load: adding 1608 extra tokens
whisper_model_load: mem_required  = 4712.00 MB
whisper_model_load: ggml ctx size = 2950.97 MB
whisper_model_load: memory size   =  304.38 MB
whisper_model_load: model size    = 2950.66 MB

system_info: n_threads = 6 / 16 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | NEON = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | 

main: processing './wav/20190318_Mon_Alex.wav' (169538456 samples, 10596.2 sec), 6 threads, 1 processors, lang = en, task = transcribe, timestamps = 1 ...


[00:00:00.000 --> 00:00:10.000]   [MUSIC]
[00:00:10.000 --> 00:00:20.000]   [MUSIC]
[00:00:20.000 --> 00:00:36.000]   Defense Advanced Research Projects Agency, otherwise known as DARPA,
[00:00:36.000 --> 00:00:43.000]   has been named by several whistleblowers to be the leading innovator in trauma-based mind control.
[00:00:43.000 --> 00:00:49.000]   In 2002, DARPA announced their ambitious IAO program.
[00:00:49.000 --> 00:00:58.000]   The Information Awareness Office was set up to gather and store the personal information of everyone in the United States,
[00:00:58.000 --> 00:01:01.000]   including credit card and phone records.
[00:01:01.000 --> 00:01:07.000]   Following strong public criticism that the IAO was blatant mass surveillance,
[00:01:07.000 --> 00:01:11.000]   it was officially defunded by Congress in 2003.
[00:01:11.000 --> 00:01:15.000]   In the global surveillance disclosures of 2013,
[00:01:15.000 --> 00:01:22.000]   it was revealed that several IAO projects continue to be funded under different names.
[00:01:22.000 --> 00:01:24.000]   LifeLog
[00:01:24.000 --> 00:01:34.000]   In its white paper, DARPA's Dr. Doug Gage stated that the objective of LifeLog was to trace the threads of an individual's life.
[00:01:34.000 --> 00:01:41.000]   LifeLog was going to require each individual user to voluntarily record everything they do in life,
[00:01:41.000 --> 00:01:48.000]   producing a unique timeline that would constitute an episodic memory.
[00:01:48.000 --> 00:01:55.000]   Out of this endless ocean of information, DARPA scientists would plot distinctive patterns,
[00:01:55.000 --> 00:01:59.000]   mapping out personal relationships, scheduled events,
[00:01:59.000 --> 00:02:06.000]   and researchers from DARPA's artificial intelligence sector would feed the data to their machines
[00:02:06.000 --> 00:02:13.000]   so the AI computers could study everyone's daily habits and make sense of it.
[00:02:13.000 --> 00:02:18.000]   Civil libertarians attacked the project when it launched,
[00:02:18.000 --> 00:02:26.000]   arguing the obvious privacy issues involved with having DARPA keeping such close tabs on the entire population.
[00:02:26.000 --> 00:02:33.000]   On February 4, 2004, they announced the end of LifeLog.
[00:02:33.000 --> 00:02:39.000]   And on that very same day, Facebook was born.
[00:02:39.000 --> 00:02:44.000]   Within a few months, Sean Parker became the first president of Facebook.
