[00:00:17.014 --> 00:00:22.097]  May 31st, 2019.
[00:00:22.097 --> 00:00:24.238]  Already almost halfway into 2019.
[00:00:24.238 --> 00:00:27.880]  Incredible how time is accelerating.
[00:00:27.880 --> 00:00:29.081]  I'm your host, Alex Jones.
[00:00:29.081 --> 00:00:31.522]  We're going to be here for the next four hours.
[00:00:31.522 --> 00:00:38.666]  We have Robert Barnes, who's a great lawyer and really great talk show host, in studio with us for the second two hours.
[00:00:38.666 --> 00:00:43.909]  And I will open the phones up on a host of issues when he's in studio with us.
[00:00:43.909 --> 00:00:44.749]  I didn't do it yesterday.
[00:00:44.749 --> 00:00:45.530]  I will do it today.
[00:00:47.113 --> 00:00:51.215]  There is so much insane news that I've got to cover it all.
[00:00:51.215 --> 00:00:55.056]  And there's a bunch of news I didn't get to from yesterday that I want to try to cram in.
[00:00:55.056 --> 00:01:04.000]  So it's going to be a full broadcast here.
[00:01:04.000 --> 00:01:15.765]  Every blue city in the country is not just collapsing into typhoid and leprosy and drug-resistant TB and literally hundreds of other diseases.
[00:01:16.786 --> 00:01:28.153]  They're collapsing into homelessness, drug abuse, needles, with a cherry on top of men dressed as women running around at public events with small children.
[00:01:28.153 --> 00:01:32.275]  That's the cherry on top.
[00:01:32.275 --> 00:01:34.416]  Was Sodom and Gomorrah real in the Bible?
[00:01:34.416 --> 00:01:36.497]  Archeologists think so.
[00:01:36.497 --> 00:01:38.739]  The Old Testament.
[00:01:38.739 --> 00:01:42.641]  But Sodom and Gomorrah is real today.
[00:01:42.641 --> 00:01:44.082]  I've got articles about blue cities.
[00:01:45.168 --> 00:01:51.490]  Where they go into the abortion clinics and there's just rotting babies and body parts and blood and rats and cockroaches everywhere.
[00:01:51.490 --> 00:02:04.954]  I mean, you couldn't run a hot dog stand and have it one-tenth as dirty, but because they're killing babies and it's such a royal right, well then, you know, you can get the woman infected and kill her too!
[00:02:05.954 --> 00:02:07.995]  It's just insane asylum level.
[00:02:07.995 --> 00:02:19.561]  But I want to play this piece again that's so important and I'll have it reposted in fullwords.com, the front page, that the crew put together because it boils down to insanity and the foaming at the mouth of the left.
