[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[00:10.940 --> 00:21.600]  Those riders in the sky,
[00:21.600 --> 00:25.960]  And old Calpo quit riding out one dark and windy day,
[00:25.960 --> 00:37.400]  A born rich he rested as he went along his way When all it once a mighty bunch of red-eyed
[00:37.400 --> 00:48.840]  cows he saw, plowing through the ragged skies And up a cloudy draw
[00:48.840 --> 00:56.600]  Welcome, it is Mark's 30th, 2020 on this Monday edition. I am your host, Alex Jones. We're
[00:56.600 --> 01:01.480]  going to be here the next four hours live. And then the war room's coming up with our destroyer.
[01:02.600 --> 01:10.440]  We have Mike Adams next hour. We have John Mark in the third hour. Robert Barnes in studio.
[01:10.440 --> 01:13.640]  I'll be coasting with him in the fourth hour. We're going to make a big announcement
[01:13.640 --> 01:20.520]  during the fourth hour here today about a new show we're going to have live that'll be
[01:20.520 --> 01:24.760]  network commercial free. We're not going to have any of our ads. We'll have ads at the start and
[01:24.760 --> 01:30.600]  middle of the hour for TV and radio stations, their ads, about seven minutes or so. And we're
[01:30.600 --> 01:37.080]  launching that tonight live, teleprompter free, talking point free with Robert Barnes, who's
[01:37.080 --> 01:42.440]  going to be here for the next month hosting that show. I'll get into more of that coming up in
[01:42.440 --> 01:45.880]  the fourth hour when he's here with us. We're going to have a lot of other guests on the show
[01:45.880 --> 01:54.040]  and we're going to take a lot of calls on the show because you will have an hour and 45 minutes of
[01:54.040 --> 02:00.760]  air time in the two hours every night so that everybody gets a chance to call in. We could
[02:00.760 --> 02:05.960]  have a lot of guests play a lot of clips and get Barnes is really interesting taken perspective
[02:05.960 --> 02:10.440]  on all of that. But we're going to have other perspectives like Mike Adams. And I have to
[02:10.440 --> 02:16.360]  tell you looking at the numbers we have, if you have to go with those, Mike Adams has been dead
[02:16.360 --> 02:21.800]  on. And so some people have said that there's a rift there and there's not. We don't get talking
[02:21.800 --> 02:29.080]  points like CNN or Fox News or MSNBC and then kind of go with the party line. Fox has less
[02:29.080 --> 02:34.120]  talking points than say CNN or MSNBC. We really are trying to figure out what's going on here.
[02:34.120 --> 02:38.920]  And that's why we've been breaking most of the big news. That's why we've been weeks or months
[02:38.920 --> 02:44.200]  ahead of everybody else is because we're looking at every angle. We're actually calling the shots
[02:44.200 --> 02:49.640]  here. Myself, the other hosts, the researchers, the producers, the callers, the guests. We're not
[02:49.640 --> 02:53.800]  pre-screening people and saying what's your view? We want guests on that push of you that it's the
[02:53.800 --> 03:00.200]  end of the world or push of you that it's a total hoax. No, we're having a college debate here.
[03:00.200 --> 03:05.480]  That's really where the term college comes from is a large debate of the scholars and the experts
[03:05.480 --> 03:11.960]  and then others would come and hear what the philosophers and the scientists and the researchers
[03:11.960 --> 03:18.120]  and the architects and the occultists, we go back to ancient Greece or ancient Egypt,
[03:18.120 --> 03:25.080]  we're talking about in the town square. And so this is the town square. We talk about science
[03:25.080 --> 03:31.160]  and mathematics and farming and defense and nationalism and globalism and Satanism and
[03:31.160 --> 03:39.720]  Christianity and Islam. We just have a giant open debate here. Now, I have come to an understanding
[03:39.720 --> 03:45.880]  of exactly what's going on with the coronavirus. I know what's happening. I had a huge brainstorm
[03:45.880 --> 03:51.160]  Saturday and Sunday with thousands of data points coming together. And then I tried to
[03:52.360 --> 03:57.880]  condense it live on air as a gestalt instead of taking a year to write a book about it.
[03:57.880 --> 04:07.000]  And yesterday, I just couldn't do it. I'll be honest with you because there's so many subtleties,
[04:07.000 --> 04:13.560]  so many angles, so many points. I tried this morning. I got up at 4 a.m. I spent two hours
[04:13.560 --> 04:17.960]  trying to write notes to get through all the angles. And as soon as I went through one angle,
