[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[00:13.000 --> 00:33.000]  Coming to you live from deep in the heart of Texas broadcasting worldwide I am your host Alex Jones
[00:33.000 --> 00:40.000]  and it is Wednesday May 6th the year is 2020 I'm gonna be hosting the first hour here today
[00:40.000 --> 00:48.000]  and then Paul Watson is gonna host a couple hours and then we have hosting in the fourth hour
[00:48.000 --> 00:54.000]  John Rappaport always informative and I may pop back in some with him in the fourth hour
[00:54.000 --> 00:59.000]  I'm gonna be here working on some very big stories and some very big developments that are so important
[00:59.000 --> 01:05.000]  I have to go off air to deal with them we don't normally have things like that happen maybe a couple times a year
[01:05.000 --> 01:11.000]  but there's definitely some good things happening there's also a lot of bad things happening
[01:11.000 --> 01:15.000]  of course it was the best of times it was the worst of times
[01:15.000 --> 01:20.000]  but I'm gonna do my best in this hour just to lay out the big themes of where we are as a planet
[01:20.000 --> 01:28.000]  and you'll notice if you're a regular listener or a long-time listener particularly that you're turning on the news every day now
[01:28.000 --> 01:33.000]  and it's everything we told you 20 years ago 10 years ago 5 years ago a year ago
[01:33.000 --> 01:37.000]  the United States is at war with communist China
[01:37.000 --> 01:42.000]  now I told you two weeks ago Trump is moving everyone towards understanding that
[01:42.000 --> 01:48.000]  and now indeed you hear Trump talking about we're in a type of war with China
[01:48.000 --> 01:57.000]  that that undeclared war been going on for a long time with communist China and its fifth column inside the United States
[01:57.000 --> 02:03.000]  the globalists developed China to help bring down the United States and that's just the facts
[02:03.000 --> 02:09.000]  that's what the CFR and the club of Rome and Davos and all of them say they're arrogant
[02:09.000 --> 02:14.000]  the head of Goldman Sachs when Trump first got in and said we're gonna rebuild America he laughed and said
[02:14.000 --> 02:18.000]  no you'll never do that America's over
[02:18.000 --> 02:26.000]  those are public statements these are horrible, horrible, horrible people
[02:26.000 --> 02:32.000]  and that's why you have the Washington Post with headlines like G.G. Ping the dictator of China
[02:32.000 --> 02:38.000]  must destroy Trump to save America
[02:38.000 --> 02:44.000]  and the average leftist that I know my oldest producer been here 18 years
[02:44.000 --> 02:49.000]  his sister will not talk to him in Minnesota
[02:49.000 --> 02:53.000]  and says I love G.G. Ping cross Trump
[02:53.000 --> 02:59.000]  you understand this is mainline Democrat thought processes so I get for the average Christian
[02:59.000 --> 03:04.000]  conservative nationalist patriot common sense guy Gal just goes to work black white old young
[03:04.000 --> 03:10.000]  you're like oh yeah like the communist Chinese own Hollywood they're taking over with the elites and Harvard
[03:10.000 --> 03:18.000]  yeah Harvard is the nest of communist Chinese spies I mean if Harvard disappeared I'm not calling for that
[03:18.000 --> 03:24.000]  but but if the people that run Harvard were were dropped into a black hole
[03:24.000 --> 03:31.000]  our problems would be 80% fixed okay because they run China that's why G.G. Ping's daughter
[03:31.000 --> 03:36.000]  no one's supposed to know this but I've confirmed this with folks in let's just say certain areas
[03:36.000 --> 03:44.000]  goes to school and lives at Harvard under a pseudonym under an alias
[03:44.000 --> 03:54.000]  so it is a China that runs all this but China's the big demonic robot China's the big automaton
[03:54.000 --> 04:02.000]  and then you've got the little bubble on the top with the little Harvard mafia up there running the levers of this giant robot that's attacking us
[04:02.000 --> 04:10.000]  and they're up there laughing and squealing and setting up one sided trade deals where we've been totally screwed and the surrender's over
[04:10.000 --> 04:17.000]  by the way I got news for the leftist in the New World War you might be able to take me out you might be able to take Trump out with
[04:17.000 --> 04:25.000]  but it's the beginning of the ends here because people now know and there's been a huge awakening to what's happening
[04:25.000 --> 04:33.000]  and you'll never put the genie back in the bottle I'm gonna talk about cause and effect and why the globalists have really screwed the pooch
[04:33.000 --> 04:43.000]  they are blown their feet off stuck their ding dong in the light socket I mean you can cut their own nose off despite their face
[04:43.000 --> 04:49.000]  there's a lot of different sayings but there's nothing like actually watching the real thing happen so best of times worst of times
[04:49.000 --> 04:55.000]  the tale of two cities stay with us I'm your host Alex Jones and remember you are the resistance you are the Paul Revere's
[04:55.000 --> 04:59.000]  what does Paul Revere do?
[04:59.000 --> 05:08.000]  when one studies history and human nature you learn very quickly that rugged individualism and people to think for themselves
[05:08.000 --> 05:17.000]  build free societies innovate to amazing things but those that love to grovel those that love to be subservient
[05:17.000 --> 05:26.000]  those that love to comply and think that it's a virtue they create stagnation corruption tyranny and then finally collapse
[05:26.000 --> 05:36.000]  and the world is now being tested and we're seeing lots of dutiful individuals who've complied and submitted their whole lives believing
[05:36.000 --> 05:42.000]  if they just submit down a bigger way somehow they'll create a heavenly future
[05:42.000 --> 05:52.000]  but the technocrats running the global system are oppressive and anti-human and are psychotic and are building an anti-human future
[05:52.000 --> 06:00.000]  submission to them is like tying a big boulder on your neck and throwing it into the ocean
[06:00.000 --> 06:23.000]  it's Wednesday May 6th the year of 2020 we are now 180 days out for the most historic election in world history
[06:23.000 --> 06:30.000]  this is not a simulation this is real life on this planet in deep space in the third dimension
[06:30.000 --> 06:39.000]  God is real Satan is real and you and I are real this is what it is to be conscious sentient beings
[06:39.000 --> 06:49.000]  what a time to be here what a time to have millions of amazing humans through race color and creed who bleed red blood
[06:49.000 --> 06:55.000]  and have a connection to God standing and promoting a pro-human future against the technocracy
[06:55.000 --> 07:05.000]  the battle is joined the gloves are off the games are over and people now know info wars was dead on
[07:05.000 --> 07:23.000]  thanks to province thanks to the fact that our ancestors knew what was coming and what was going on
[07:23.000 --> 07:37.000]  and had so much foresight into the future that they could envision what was coming and warn us so that we would be in a position
[07:37.000 --> 07:44.000]  to stand against this dehumanizing force when the final battle came
[07:44.000 --> 07:53.000]  okay the United States is now officially war with communist China and the fifth column that commands it and runs it that is so critical
[07:53.000 --> 08:00.000]  it's very easy to defeat communist China because if you simply cut the head off the snake of their operatives here in the United States
[08:00.000 --> 08:07.000]  it's very few of them then the chai comms will not have command and control here in the United States
[08:07.000 --> 08:17.000]  and more than 50 major universities have already publicly cut off the communist Chinese government funding that's run officially by the Chinese army
[08:17.000 --> 08:22.000]  UT was getting hundreds of millions a year from the Chinese army
[08:22.000 --> 08:30.000]  the Chinese army was in control of who could be hired to work at UT and they would run the office of personnel hat that Obama gave the chai comms
[08:30.000 --> 08:38.000]  so anybody that was a conservative or a patriot or a military who wasn't a communist couldn't get a job I mean that's the level of the takeover
[08:38.000 --> 08:47.000]  and the chai comms have infiltrated every other facet of our nation but particularly universities and the media where money is king
[08:47.000 --> 08:53.000]  but that is all being cut off and they're arresting academics and you're about to see a giant wave of arrest
[08:53.000 --> 08:56.000]  but it's not moving quick enough with only 180 days left
[08:56.000 --> 09:04.000]  this country is fighting for its life and look our governments had problems and our militaries had problems and our intelligence agencies have had problems and
[09:04.000 --> 09:11.000]  you can look back at different political operations or political dynasties but America is fighting for its life that means your future
[09:11.000 --> 09:19.000]  that means our currency that means our way of life everything's on the line and people just better choose what side they're on
[09:19.000 --> 09:24.000]  and declare what side they're on America or the chai comms and the globalist
[09:24.000 --> 09:30.000]  the globalist and the chai comms are going to lose the question is how bad is this going to be
[09:30.000 --> 09:39.000]  I'd rather they pick up the crap and get out and stop it but they can't folks because they need to dominate the republic
[09:39.000 --> 09:46.000]  they need to to feel like they're better than us and to try to enslave this juggernaut so that they can control and enslave the planet
[09:46.000 --> 09:51.000]  we must not allow that to happen
[09:51.000 --> 09:54.000]  so that's coming up at the bottom of the hour
[09:54.000 --> 10:03.000]  US and UK intelligence warned China is trying to hack bio labs working on COVID research so they can put out false numbers to create a panic
[10:03.000 --> 10:10.000]  that's how US intel now controlled by patriots partially is telling you that China is behind the whole damn thing
[10:10.000 --> 10:14.000]  and behind the hysteria and the media and behind all the false diagnoses
[10:14.000 --> 10:23.000]  and all behind the actuaries set up in the coding at the hospitals by the NIH under WHO control was under Bill and Melinda Gates control
[10:23.000 --> 10:30.000]  and the world depopulation bureau world depopulation bureau Bill and Melinda Gates Foundation
[10:30.000 --> 10:43.000]  United Nations WHO NIH World Health Service and then also controls the National Health Service and other systems of major countries like the UK
[10:43.000 --> 10:50.000]  and so that's how they're hyping up the deaths that's how they're coding it where they pay you
[10:50.000 --> 10:53.000]  I'm sorry I was saying $39,000 that was just if they intubate you
[10:53.000 --> 10:59.000]  it's $13,000 just to say you're COVID and then millions of your hospital says you have so many COVID patients in it
[10:59.000 --> 11:06.000]  and it's all just incentivized for fraud and doctors and lawyers and nurses are going public and saying we're being ordered to engage in fraud
[11:06.000 --> 11:12.000]  and that's why the blue cities and blue states have all the cases because they are criminal institutions completely now
[11:12.000 --> 11:19.000]  U.S. universities now shutting down arms of China propaganda machine
[11:19.000 --> 11:25.000]  video Senator Cotton says China should provide evidence to disprove Corona lab league
[11:25.000 --> 11:33.000]  the government knows who did it because Obama has the receipts China slams evil liar Pompeo over Wuhan lab nonsense
[11:33.000 --> 11:35.000]  thank you it's nonsense alright
[11:35.000 --> 11:42.000]  researcher on cusp of COVID-19 breakthrough killed and bizarre murder suicide uh-huh University of Pittsburgh researcher
[11:42.000 --> 11:47.000]  a lot of loose ends getting covered up
[11:47.000 --> 11:58.000]  scientists whose doomsday medals and models sparked global lockdown resigns after breaking quarantine to bang married lover
[11:58.000 --> 12:03.000]  he's the guy that said half a million dead in the UK three million dead here
[12:03.000 --> 12:07.000]  those estimates were 20 30 40 50 times higher
[12:07.000 --> 12:15.000]  Hollywood is complicit in Chinese censorship introduces bill to restrict productions yes we shouldn't have foreign governments running Hollywood
[12:15.000 --> 12:17.000]  see it's all happening
[12:17.000 --> 12:28.000]  Gates honored Obama admin appointed doctor wants to quote get rid of all whites that video is coming up
[12:28.000 --> 12:36.000]  they want to make social distancing a permanent part of our lives we're gonna get to all of that and what that means
[12:36.000 --> 12:45.000]  also political founder I want a coronation of Joe Biden not a rape investigation he goes on to say he doesn't care if Joe Biden sexually assaults women
[12:45.000 --> 12:52.000]  they're really showing who they are right now Kavanaugh's innocent he's the devil
[12:52.000 --> 13:00.000]  Biden does it in public grubs little children he's wonderful well of course the Democrats they can't kill your child in the womb
[13:00.000 --> 13:12.000]  they want to have convicted pedophiles have them ride horsey in public by the way now they're having strippers go to schools I don't care if it's a 20 year old stripper or a fat dude keep your perverts away from the kids
[13:12.000 --> 13:20.000]  whether it's heterosexual or homosexual a woman spreading her legs and pumping at the kids and then pole dancing just get it off the screen
[13:20.000 --> 13:29.000]  these people make me sick
[13:29.000 --> 13:36.000]  we're gonna look at how the markets have been intentionally broken what's gonna happen with the economy
[13:36.000 --> 13:47.000]  and they've got major scientific groups with major insurance companies and actuaries working with the South African government
[13:47.000 --> 13:57.000]  and even the commies down there have come out and figured out what's happening they said currently this is out of the financial telegraph
[13:57.000 --> 14:11.000]  currently it's causing 20 times 29 times more death COVID-19 in Africa just in South Africa than it is by the virus
[14:11.000 --> 14:22.000]  but see while you start to death and put your baby into a six foot hole it's okay because you can wear your mask even though nobody's dying
[14:22.000 --> 14:30.000]  less people are dying in South Africa not now from COVID-19 and now from the flu but it doesn't matter the government says wear your mask and social distancing and everything's breaking down
[14:30.000 --> 14:41.000]  the human food chain the human infrastructure the human network the human grid is being destroyed for the computer grid to take over
[14:41.000 --> 14:53.000]  oh and they admit Bill Gates and all of them it's a post human world that means you and I are done in it
[14:53.000 --> 15:04.000]  you know a few months ago we had llamas in studio just to have some fun and who knew out of Europe one of the most promising treatments
[15:04.000 --> 15:13.000]  for COVID-19 is antibodies out of the blood of llamas and they're finding that it just completely knocks it out
[15:13.000 --> 15:25.000]  so there you go that was actually last year so tomorrow's news today ladies and gentlemen yet again we bring you the llama
[15:25.000 --> 15:37.000]  my daughter my youngest daughter and her birthday yesterday and I don't know why my wife had llama little napkins
[15:37.000 --> 15:43.000]  yellow napkins and pink llamas on them these llamas are everywhere it's one of the llamas
[15:43.000 --> 15:51.000]  this humanity and vision of the llamas will save us but well the truth is what's in natural world what's in plants what's in animals is what always saves us
[15:51.000 --> 15:57.000]  but the globalists don't want you to have that so they always go and patent it so they can overcharge you for it in it so it doesn't work as well
[15:57.000 --> 16:07.000]  this is a pandemic survival alert and the most time sensitive messages you will hear this year you still have time to plan a one acre crisis garden
[16:07.000 --> 16:13.000]  and secure a supply of your own nutrient dense food but time is running out and it's one deadline you don't want to miss
[16:13.000 --> 16:20.000]  who should plan a crisis garden individuals families churches communities anyone or any group that sees hard times ahead
[16:20.000 --> 16:27.000]  let's face it even the main line media is talking about food supply disruptions and the growing number of grocery store workers who are becoming sick
[16:27.000 --> 16:34.000]  but there's more meat packing plants are closing mile long lines at food pantries and more farmers now in financial trouble
[16:34.000 --> 16:42.000]  the truth is growing nutrient dense vegetables this summer may be the single most important thing you do go to survivalseedbank.com
[16:42.000 --> 16:51.000]  watch the new video to understand what we're really up against get free bonus seeds special quarantine reports to don't wait every minute counts
[16:51.000 --> 17:15.000]  go to survivalseedbank.com that's survivalseedbank.com attention gardeners if you need to grow nutritionally dense vegetables or medicinal herbs this year listen because a bioactive super food for plants is now available this all natural super food for plants is so effective at producing maximum plant growth in minimum time that it almost forces plants to grow even under the worst light and soil conditions
[17:15.000 --> 17:24.000]  it's called proto grow and it's truly remarkable vegetables grow faster and contain more bioavailable vitamins and trace minerals plants that rarely bloom will flower constantly
[17:24.000 --> 17:38.000]  sickly plants become vibrantly alive medicinal herbs become super potent flowers become more vivid right before your very eyes proto grow also improves the taste quality of all your garden vegetables that's because it's more than just at all natural super food for plants
[17:38.000 --> 17:48.000]  it's a proprietary blend of bioactive sea nutrients that contain the basic building blocks of life itself which is why proto grow even renews your guard by increasing the microorganisms in the soil
[17:48.000 --> 17:59.000]  learn more at growlikecrazy.com that's growlikecrazy.com get special pricing for network listeners right now at growlikecrazy.com
[17:59.000 --> 18:11.000]  the superpower that I have is that I tell you what I really think even if it ends up hurting me short term I believe in God and I believe in the long run it'll end up being better for myself and everybody else in this world we live together in
[18:11.000 --> 18:17.000]  I understand what comes around goes around you really put you so and I live that and I fundamentally at a cellular level understand it
[18:17.000 --> 18:33.000]  now if I would have hiked up the virus was gonna kill three four five million people like the UN did I was told five times more supplements but you know what I didn't do that but I said on a routine basis regardless people are vitamin D deficient people are deficient
[18:33.000 --> 18:52.000]  I and I have so many other issues you need those products regardless so we started selling out of vitamin mineral fusion all the other products I cut the prices from 30% off to 60% off because I knew it was the right thing to do during a crisis to make sure people were incentivized to up their body's
[18:52.000 --> 18:58.000]  defenses but now I'm telling you with the economic crisis going on get your storeable food now
[18:58.000 --> 19:13.000]  Hiding in plain view Politico the Associated Press you name it admit that a half a billion people extra 500 million are now at the subsistence starvation level on top of all the millions already starving because the global lockdown
[19:13.000 --> 19:28.000]  that is hundreds of times worse than all the deaths in the world caused by COVID-19 and the very people that cooked it up and gave it to the chai comms at the World Health Organization with Bill Gates involved are now the ones running the operation to shut down society
[19:28.000 --> 19:44.000]  created depression and forcibly inoculate everybody this is insane ladies and gentlemen they succeed it's over you need to get prepared now you need to get high quality storeable food now back in stock at infowarstore.com and you need to get politically active and challenge this verbally everywhere
[19:44.000 --> 19:59.000]  big tech is trying to censor everyone right now and bully people into saying you can't even challenge verbally social distancing this is beyond 1984 the tyranny of the dual orders here get prepared now and spread the word the info war you are the Paul Revere's
[20:15.000 --> 20:25.000]  crashing through the lies and disinformation it's Alex Jones coming to you live from the front lines of the info war
[20:25.000 --> 20:29.000]  the news
[20:29.000 --> 20:31.000]  the news
[20:31.000 --> 20:33.000]  the news
[20:33.000 --> 20:35.000]  the news
[20:35.000 --> 20:37.000]  the news
[20:37.000 --> 20:39.000]  the news
[20:39.000 --> 20:41.000]  the news
[20:41.000 --> 20:49.000]  ladies and gentlemen we are live we are broadcasting worldwide coming up next segment
[20:49.000 --> 21:02.000]  Bill Gates has come out and said that we need to have a global collapse and just get used to it to save us from not even a million people dead from coronavirus not even 500,000 dead from coronavirus not even 300,000 dead just doesn't matter
[21:02.000 --> 21:12.000]  because he's a vaccine maker and he says that vaccine sterilize you and he says that you need to take his vaccines and that's just the way it is he's also announced we need a global government
[21:12.000 --> 21:21.000]  these video clips are coming up to enforce the force inoculation of everyone on earth and that will also have a digital ID with it that you have to have to travel
[21:21.000 --> 21:27.000]  and it's being announced all over the world that that's the way it is starting at the end of the year
[21:27.000 --> 21:40.000]  oh yeah they said they wouldn't have the vaccine for a few years now magically they're gonna have it by the end of the year and he's got seven different manufacturers making it who died and made him God who gave them the keys of the world I've been telling you
[21:40.000 --> 21:50.000]  Bill Gates is the most powerful globalist we know of who's actually involved running things the Rothschilds are very powerful but they are back in the shadows the Rockefellers have pretty much died out
[21:50.000 --> 21:56.000]  but their powerful foundations are there but these are the folks that run the show
[21:56.000 --> 22:09.000]  now let's get into this right now look at this headline out says out of the Stanford advocate conspiracy theories run rampant when people feel helpless like now
[22:09.000 --> 22:20.000]  we'll know when you put out your bell curves that are all completely false and that are 20 30 times higher than what's actually died
[22:20.000 --> 22:30.000]  and then we learn that you're padding the numbers with people that come into the hospital they're 80 years old 90 years old that die of heart attacks or cancer or automobile accidents
[22:30.000 --> 22:41.000]  and that you admit that you're saying people had COVID without even giving a test most of the time we don't believe a damn word comes out of your criminal mouths
[22:41.000 --> 22:52.000]  meanwhile double black swan hitting Texas drags down the rest of the United States 18 signs that we're facing a record breaking economic implosion
[22:52.000 --> 23:03.000]  that stories up on info wars dot com you should go read this for yourself busy reports 58% drop in operating income from parts and cruises the worst hit segment
[23:03.000 --> 23:17.000]  Disney profit plunge 91% the layoffs at Airbnb cast a dark shadow over Silicon Valley Apple borrows 8.5 billion joins record corporate debt borrowing spree
[23:17.000 --> 23:32.000]  after all it's public money being put out US private payrolls drop 20.2 million in April the worst job loss in the history ADP reports layoff start turning from temporary to permanent across America
[23:32.000 --> 23:46.000]  Bloomberg announces with pleasure this is an economic attack on you punishment for you for trying to be free and it goes on from there
[23:46.000 --> 24:00.000]  but let's talk about what's really going to happen a global financial shutdown and they will call for a global Marshall plan to be run by the same corporate world government
[24:00.000 --> 24:17.000]  communist China is the model of the social credit score where communist China is the model of the surveillance grid where it's the model of the police state where it's the model of the economy where it's the model of the medical forced inoculation tyranny
[24:17.000 --> 24:35.000]  Bill Gates says China is perfect America is not next segment I'll show you this is what he's crawling out of his rat hole saying to everybody look at this article how governments broke the oil market
[24:35.000 --> 24:50.000]  and it lays out how the chain is going to be irrevocably damaged for decades oh and we're only two months in see once you spend something up this powerful once you turn it off it never really turns back on what the way it did
[24:50.000 --> 24:58.000]  violent criminals release while working moms try to feed their kids are jailed like the mom shut down for several months in Dallas
[24:58.000 --> 25:12.000]  oh Walmart and Costco are essential but people that own their own business and cut your hair they're not the power to tax the power to destroy the power to have house arrest is the power to kill
[25:12.000 --> 25:30.000]  and that's what this is California leftists using coronavirus to transform the state and make everyone dependent that's just some of the news but here's here's the really big one right here and then we'll go to break and come back and get into Bill and Melinda Gates
[25:30.000 --> 25:53.000]  this is out of the news in Australia the financial mail very respected paper and then the article lockdown disaster dwarfs COVID-19 says actuaries South African insurance companies they say it's irrevocable and will actually take years off people's lives
[25:53.000 --> 26:09.000]  just in general it's the end of civilization and that's just a few months of the shutdown going on and that's out of the very respected financial telegraph and French news agency so remember last week I was telling you
[26:09.000 --> 26:30.000]  when the UN said COVID-19 is causing 30 plus million to be starving now 135 million to starve in the next year I said it's not COVID-19 it's the COVID-19 lockdown well finally the South African insurance companies say lockdown disaster dwarfs COVID-19 exactly
[26:30.000 --> 26:49.000]  COVID-19 is not causing the stampede in the collapse the stampede is causing the collapse big article on info wars calm breaking it down by Paul Joseph Watson hope you'll share it because if you don't it's road warrior in about a year South African data analyst
[26:49.000 --> 27:04.000]  lockdown will lead to 29 times more deaths than coronavirus at a consortium of insurance companies scientists and doctors and the government say okay we might want to end this probably too late you were already on the verge of collapse
[27:04.000 --> 27:11.000]  millions will die there alone but it's okay because we were virtue signaling it's COVID
[27:11.000 --> 27:22.000]  meanwhile El Chapo son imposes coronavirus lockdown and porters violators this is no game oh the media is like even drug dealers or heroes yeah tyrants are using this for control
[27:22.000 --> 27:41.000]  Bahamas Haiti wanting negative COVID test for returning citizens and Tegua wants same for tourists that'll be the new global ID Yahoo news it's all coming up by the way if you don't have storeable food you are insane and all the other storeable food companies are either sold out or selling you
[27:41.000 --> 27:56.000]  an ancient dried out overpriced crap we have fresh quality being packaged right now the best storeable food you're going to find for the price out there takes a few weeks to get it to you they got to package it but when you order food from us they have it
[27:56.000 --> 28:08.000]  and everybody that's ordered so far has gotten it in the time they they said they would or earlier but it's coming up on a time because it sells went down we had to pause sells a few weeks while they got caught up now they're ramping back up
[28:08.000 --> 28:22.000]  we're easily by this weekend next week if sales continue like this they're going to have to pause sales again but if you get your order in now you will get the food last 25 years it's nutritious it's high quality hope for the best prepare for the worst get it
[28:22.000 --> 28:37.000]  have it away there and if you want to stock up on the products amazing products like our ultimate krill oil back in stock body selling out still 50% off krill all 50% off DNA for still 50% off so I want you to get all these things are so good for your body's
[28:37.000 --> 28:57.000]  defenses and are the highest quality PQQ CoQ tenant so much more in DNA force plus everybody should get that and we're already talking to our suppliers and some of us saying we not may not take orders in a few months so I may not ever be able to get products again things are collapsing so bad folks this is total depression the infrastructure is going down get the products while you still can
[28:57.000 --> 29:13.000]  hand sanitizer is not an option it's now a must have but where can you find it online at 2020 safe net the highest quality hand sanitizer that destroys microorganisms and prevents transmission of pathogens now available in a one liter bottle with a bonus at 2020 safe dot net
[29:13.000 --> 29:29.000]  when you order a one liter bottle of our high quality hand sanitizer you'll receive a 30 cup bottle of immune booster a 1495 value free by using code GCN at checkout 2020 safe dot net offers many natural products to help support health and help you live a more fulfilled life from germ zapping hand
[29:29.000 --> 29:47.000]  sanitizer to immune building nutraceuticals to natural stress anxiety and sleep aids 2020 safe dot net has what you need in stock today just click 2020 safe dot net that's to zero to zero s a f e dot net to get our one liter bottle of high quality hand sanitizer with your bonus free 30
[29:47.000 --> 30:06.000]  cup bottle of immune booster remember to enter GCN at checkout and the bonus is yours free go now to 2020 safe dot net bio pqq research that look into it for yourself big brother and the globalist don't want you to
