[00:00.000 --> 00:12.240]  It is Thursday, September 24th, the year is 2020, we are 39 days out, 118 days out from
[00:12.240 --> 00:13.240]  the inauguration.
[00:13.240 --> 00:19.040]  And we have seen the crisis that Soros has already helped engineer, develop the nation
[00:19.040 --> 00:25.560]  once again after the verdict in Louisville, Kentucky, we have a special report on that
[00:25.560 --> 00:29.520]  and then we're going to lay out everything that's coming in the timeline with a bunch
[00:29.520 --> 00:31.320]  of special guests today.
[00:31.320 --> 00:38.200]  I'm Alex Jones, this is not a spectator sport, please tell everyone you know, tune in now.
[00:38.200 --> 00:43.160]  An hour before Attorney General Daniel Cameron was expected to announce whether charges would
[00:43.160 --> 00:48.280]  be filed against the Louisville police officers responsible for the death of Breonna Taylor,
[00:48.280 --> 00:52.320]  Louisville, Kentucky Mayor issued a preemptive state of emergency.
[00:52.320 --> 00:53.320]  And why not?
[00:53.320 --> 00:58.680]  Democrats in Louisville are already using Selinskiite tactics to disrupt traffic.
[00:58.680 --> 01:03.920]  In fact, BLM Communist Robin Crandall, an organizer with the Kentucky Alliance Against
[01:03.920 --> 01:08.400]  Racist and Political Repression, pointed a gun at random drivers.
[01:08.400 --> 01:12.760]  Crandall, who had previously been convicted of burglary in the third degree in theft of
[01:12.760 --> 01:17.580]  less than $10,000, served two years in the Bullitt County Detention Center.
[01:17.580 --> 01:21.560]  But in November of 2015, she was pardoned by Governor Steve Beshear.
[01:21.560 --> 01:26.640]  The pardon restored Crandall's right to vote and hold public office and point a gun at
[01:26.640 --> 01:28.120]  random citizens.
[01:28.120 --> 01:31.400]  Within Attorney General Daniel Cameron spoke.
[01:31.400 --> 01:37.200]  My job as the special prosecutor in this case was to put emotions aside and investigate
[01:37.200 --> 01:44.680]  the facts to determine if criminal violations of state law resulted in the loss of Ms. Taylor's
[01:44.680 --> 01:45.680]  life.
[01:45.680 --> 01:51.800]  Detective Cosgrove and Sergeant Mattingly were justified in returning fire because they
[01:51.800 --> 01:52.800]  were fired upon.
[01:52.800 --> 01:56.440]  I'll leave it to others to make determinations.
[01:56.440 --> 02:00.760]  We have vigorous self-defense laws in this state.
[02:00.760 --> 02:05.960]  All the evidence was given to the grand jury and they made the decision that one endangerment
[02:05.960 --> 02:10.520]  was the charge to file or to indict against Mr. Hankinson.
[02:10.520 --> 02:15.760]  Clearly, the funds had poured into Louisville as the next flashpoint on the Marxist Soros
[02:15.760 --> 02:17.400]  Death to America tour.
[02:17.400 --> 02:23.640]  Twitter's Jack Dorsey helped donate $11 million to organizations that included the Bail Project.
[02:23.640 --> 02:28.760]  National File reported that an employee of the Bail Project, Holly Zoller, was caught
[02:28.760 --> 02:34.400]  handing out shields and other equipment to potential riders from a U-Haul truck in Louisville,
[02:34.400 --> 02:35.400]  Kentucky.
[02:35.400 --> 02:36.760]  How's that forced addition?
[02:36.760 --> 02:43.080]  And then all hell broke loose in at least 30 cities across the Democrats' intentionally
[02:43.080 --> 02:45.520]  divided states of America.
[02:45.520 --> 03:15.160]  Public reporters were savagely attacked, a mega Molotov cocktail was thrown at police,
[03:15.160 --> 03:24.520]  and two Louisville police officers were shot.
[03:24.520 --> 03:29.640]  Police naming the suspect in the Louisville officer shooting overnight.
[03:29.640 --> 03:32.400]  Lorenzo Johnson is behind bars.
[03:32.400 --> 03:34.400]  His charges have not been announced.
[03:34.400 --> 03:36.680]  How's that for peaceful protest?
[03:36.680 --> 03:38.680]  He's going!
[03:38.680 --> 03:40.680]  He's going!
[03:40.680 --> 03:42.560]  He's going!
[03:42.560 --> 03:47.120]  Of course, these fools are completely unaware that Breonna's boyfriend, Kenneth Walker,
[03:47.120 --> 03:51.560]  shot first, and that Breonna's drug-dealing ex-boyfriend, who she had bailed out of jail
[03:51.560 --> 03:56.880]  on a regular basis, led the police to her apartment based on suspicious packages he
[03:56.880 --> 03:58.520]  had been receiving there.
[03:58.520 --> 04:00.560]  And of course, this little-known fact.
[04:00.560 --> 04:10.360]  The statements that were made by officers there the night or the morning of March 13
[04:10.360 --> 04:13.280]  show that they did knock and announce.
[04:13.280 --> 04:18.160]  The important point here is that information was corroborated by another witness who was
[04:18.160 --> 04:24.760]  in close proximity to apartment 4 who corroborated that information and said that there was
[04:24.760 --> 04:29.960]  a knocking and announcing by the officers.
[04:29.960 --> 04:32.600]  The witness was a civilian.
[04:32.600 --> 04:36.520]  Going forward, it doesn't matter whether or not justice is served.
[04:36.520 --> 04:41.280]  The Marxists will use anything to burn this country to cinders.
[04:41.280 --> 04:44.200]  John Bown reporting.
[04:44.200 --> 04:58.440]  We're witnessing terrorism, period.
[04:58.440 --> 05:03.120]  In the area, during the pandemic, we looked to local health authorities.
[05:03.120 --> 05:09.400]  So, for example, in the U.S., it would be CDC for guidelines around medical misinformation
[05:09.400 --> 05:12.920]  in a narrow way which could cause harm in the real world.
[05:12.920 --> 05:18.160]  That was a few months ago, and the CEO of Google Sundar Pachai made a very important statement.
[05:18.160 --> 05:22.320]  All the other big tech heads made the exact same statement, as it comes out of the U.N.,
[05:22.320 --> 05:27.000]  that they follow the guidance of the WHO and or local government.
[05:27.000 --> 05:31.440]  What they mean is, in the United States, whether it's the world, cities that have been unionized
[05:31.440 --> 05:34.160]  or that have actually signed on to U.N. memorandums and agreements.
[05:34.160 --> 05:38.120]  So, what he's saying is, oh, we follow the United Nations and the global government,
[05:38.120 --> 05:42.520]  and then we've got little stakeholder parents, that's how the U.N. works, that then give
[05:42.520 --> 05:44.560]  the illusion of it being local.
[05:44.560 --> 05:49.240]  But then when your doctors or your scientists, your virologists, come out and say that COVID-19
[05:49.240 --> 05:52.960]  has massively exaggerated the power grab, they get silenced.
