[00:00:10.659 --> 00:00:12.208]  Hi, Steve Adler.
[00:00:12.208 --> 00:00:12.671]  Stay home.
[00:00:16.075 --> 00:00:26.563]  Plato wrote that one of the penalties for refusing to participate in politics is that you end up being governed by your inferiors.
[00:00:26.563 --> 00:00:39.853]  Subversive legislation, illegal votes, destroyed ballots, machine glitches, poll watchers denied entry while windows are blocked with cardboard, and thousands of sworn affidavits.
[00:00:41.074 --> 00:00:44.798]  While covering up the biggest flood of election fraud evidence in U.S.
[00:00:44.798 --> 00:00:50.683]  history, CNN admits to taking orders from the Democrat Party.
[00:00:50.683 --> 00:01:06.037]  The two-party system was a product of the Civil War and devolved into a rigged two-party system set upon destroying our American birthright from within, using election fraud as its primary method of infiltration.
[00:01:07.552 --> 00:01:13.117]  Strong evidence of voter fraud in favor of George W. Bush occurred in 2000.
[00:01:13.117 --> 00:01:22.865]  And after Al Gore got the Florida courts to order a recount, the Supreme Court put a stop to it after determining the recount to be unconstitutional.
[00:01:23.866 --> 00:01:28.710]  What makes you think the Supreme Court will rule in favor of Trump?
[00:01:28.710 --> 00:01:33.253]  Attorney General William Barr seems to be defending the corrupt establishment.
[00:01:33.253 --> 00:01:37.296]  How many actual patriots are there in the Trump administration?
[00:01:37.296 --> 00:01:42.800]  And if Biden is inaugurated as president in January, we already know what to expect.
[00:01:43.721 --> 00:01:48.822]  While vacationing in Cabo, Austin Mayor Adler told residents to stay home.
[00:01:48.822 --> 00:01:55.283]  Trying to do contact tracing to see if we may have to close things down if we're not careful.
[00:01:55.283 --> 00:01:59.544]  If we're going to be closing things down, it would be great to be able to do it in a really surgical way.
[00:01:59.544 --> 00:02:13.227]  Pfizer today said that they think they have a vaccine, but know that even when those vaccines are available, the CEO of Pfizer was reminding us that we're going to be wearing masking and social distancing and being disciplined well into
[00:02:14.127 --> 00:02:18.731]  2021, so everybody just needs to get mentally mentally prepared for that.
[00:02:18.731 --> 00:02:23.154]  LA residents have been ordered to stay in their homes.
[00:02:23.154 --> 00:02:27.237]  Michigan Governor Whitmer tells her constituents not to travel for Christmas.
[00:02:28.792 --> 00:02:38.640]  An American couple was charged with second-degree reckless endangerment for attempting to fly home after testing positive for COVID-19.
[00:02:38.640 --> 00:02:44.805]  And a bar owner was arrested in Staten Island for simply trying to run his own business.
[00:02:44.805 --> 00:02:53.052]  We have been told by several doctors that the testing being used for COVID doesn't work, including the inventor of the test himself.
[00:02:54.321 --> 00:02:59.509]  And when the Pfizer vaccine comes, we can expect the real horror.
[00:02:59.509 --> 00:03:07.881]  A top EU scientist has found that the new experimental mRNA vaccine will likely cause sterilization in women.
[00:03:09.139 --> 00:03:19.169]  The globalist depopulation agenda is now in full view, and the actual end of America is now seen on the horizon.
[00:03:19.169 --> 00:03:27.538]  If you care about the future of the republic, if you care about preserving your children's birthright, then get yourself to Washington, D.C.
[00:03:27.538 --> 00:03:28.999]  this Saturday.
[00:03:28.999 --> 00:03:32.123]  This is when the real draining of the swamp begins.
[00:03:32.883 --> 00:03:40.026]  Our fight to drain the Washington swamp and reclaim America's destiny has just begun.
[00:03:40.026 --> 00:03:43.807]  We will not bend, we will not break, we will not yield.
[00:03:43.807 --> 00:03:47.769]  We will never give in, we will never give up, and we will never back down.
[00:03:47.769 --> 00:03:50.210]  We will never, ever surrender.
[00:03:54.110 --> 00:04:01.117]  Because we are Americans and our hearts bleed red, white, and blue.
[00:04:01.117 --> 00:04:04.160]  Join together this Saturday in DC.
[00:04:04.160 --> 00:04:07.703]  Stop the steal and drain the swamp.
[00:04:07.703 --> 00:04:09.205]  Our lives depend on it.
[00:04:16.092 --> 00:04:23.017]  And it's time for humanity to stand up in the Info War and say, I don't know what's going to happen at the end of this, but you want to fight?
[00:04:23.017 --> 00:04:26.259]  You better believe you got one!
[00:04:26.259 --> 00:04:32.384]  From the front lines of the Information War, it's Alex Jones.
[00:04:45.406 --> 00:04:46.915]  Oh, no!
[00:04:58.493 --> 00:05:01.755]  The globalists have always been at war with the family and small businesses.
[00:05:01.755 --> 00:05:02.836]  They want control.
[00:05:02.836 --> 00:05:04.497]  They want domesticated slaves.
[00:05:04.497 --> 00:05:07.919]  That's the process that is taking place right now.
[00:05:07.919 --> 00:05:20.047]  And when you shop at the big box stores, and when you shop with Amazon, remember that they are creating monopolies, and they are the globalists that are pushing the lockdowns, gun control, abortion, world government, all of it.
[00:05:20.047 --> 00:05:21.688]  If you want to do that, go ahead and shop there.
[00:05:21.688 --> 00:05:27.913]  But if you'll shop at InfoWars, where we have thousands of products, made right here in America, with our warehouses and our crew,
[00:05:28.653 --> 00:05:30.875]  It's incredible and it changes the whole world.
[00:05:30.875 --> 00:05:36.440]  So do your shopping if you want to fund the InfoWar and if you want to stop the globalists at InfoWarStore.com.
[00:05:36.440 --> 00:05:39.002]  And tell others to do their shopping at InfoWarStore.com.
[00:05:39.002 --> 00:05:40.523]  We have amazing products.
[00:05:40.523 --> 00:05:44.706]  We can get everything delivered to you by Christmas if you order by the 18th.
[00:05:44.706 --> 00:05:46.308]  So again, I want to thank you all for your support.
[00:05:46.308 --> 00:05:49.851]  I want to thank you for thinking through what you do and where you spend your money.
[00:05:49.851 --> 00:05:52.473]  And do your shopping and get great products at InfoWarStore.com.
[00:06:01.857 --> 00:06:03.558]  Big Brother.
[00:06:03.558 --> 00:06:05.859]  Mainstream media.
[00:06:05.859 --> 00:06:07.680]  Government cover-ups.
[00:06:07.680 --> 00:06:09.741]  You want to stop tyranny?
[00:06:09.741 --> 00:06:11.882]  Well, so does he.
[00:06:11.882 --> 00:06:16.464]  Live from the InfoWars.com studios, it's Alex Jones.
[00:06:24.453 --> 00:06:31.140]  41 days out from the inauguration of the Chinese Communist front man that is trying to steal the election, Joe Biden.
[00:06:31.140 --> 00:06:36.104]  He will only expand the oppression and the attempt to break our economy and our will if he gets in.
[00:06:36.104 --> 00:06:42.430]  The reign of terror against free speech and the divide and conquer operations are going to be tenfold what you've seen so far.
[00:06:42.430 --> 00:06:46.394]  This will be true warfare, economic, cultural, and then physical.
[00:06:47.054 --> 00:06:52.196]  The rollout of secret police, arrest teams, contact tracers, it's all official.
[00:06:52.196 --> 00:06:55.817]  Now, everything we've warned of is now out in the open.
[00:06:55.817 --> 00:07:00.498]  Because the enemy is in the flux period between going between beta and full operational.
[00:07:00.498 --> 00:07:03.559]  Again, ladies and gentlemen, this is not a drill.
[00:07:04.946 --> 00:07:21.917]  That's why it's more important than ever that we understand that no matter what the mainstream corporate media says, no matter what the system pushes, no matter what the states do, no matter what the corporations do, we the people are declaring our second independence.
[00:07:21.917 --> 00:07:32.905]  We the people, as I said three weeks ago in Washington, D.C., are declaring the second American revolution, the second American declaration of independence.
[00:07:34.707 --> 00:07:42.021]  And here we are now in the year 2020 with only a few days left, a few weeks left.
[00:07:43.291 --> 00:07:48.614]  And you see the historic planets aligning, as in history they always do.
[00:07:48.614 --> 00:07:51.596]  And I don't just mean metaphorically the planets aligning.
[00:07:51.596 --> 00:08:02.242]  We are seeing actual planet alignments that we've not seen in 800 years, like the Christmas star coming up in just a few days, of Saturn and Jupiter aligning at night.
[00:08:02.242 --> 00:08:05.284]  And the globalists are really obsessed with these types of celestial activities.
[00:08:06.738 --> 00:08:19.746]  But when I say the planets are aligning, I mean that metaphorically in that you notice we had Dr. Steve Pucinich on two weeks ago and he said, you will see it explode in the news that Joe Biden and Hunter Biden are communist Chinese agents.
[00:08:19.746 --> 00:08:22.968]  The evidence will be damning and they will have a chance to step down.
[00:08:22.968 --> 00:08:24.629]  Well, now what did you see break last night?
[00:08:26.032 --> 00:08:37.540]  We'll see if Pchenik's going to be right or wrong, but I believe his sources in the Pentagon and at the White House did tell him that, because I've talked to high-level sources at the White House who are saying, we don't care what Bill Maher does.
[00:08:37.540 --> 00:08:38.201]  We don't care.
[00:08:38.201 --> 00:08:42.304]  We're about to remove him if need be, and this information will be released.
[00:08:43.041 --> 00:08:49.145]  The President's preparing those Oval Office speeches to release the information, to declassify the information.
[00:08:49.145 --> 00:08:54.448]  That's why they're so scared of General Flynn, who will be in D.C.
[00:08:54.448 --> 00:08:55.088]  this weekend.
[00:08:55.088 --> 00:08:57.189]  I will get on an airplane tonight.
[00:08:57.189 --> 00:08:58.250]  I will travel to D.C.
[00:08:58.250 --> 00:09:03.493]  and I will be there at rallies and events on Friday, Saturday, and Sunday.
[00:09:03.493 --> 00:09:05.534]  This is the battle for the Republic.
[00:09:06.408 --> 00:09:23.451]  You've also seen all of these different states join Texas, which is now 19 states, against the five fraudulent states that violated federal and state law, did not pass legislature laws, allowing the mailing out of 80 million ballots, but just did it by fiat as part of their mass fraud.
[00:09:23.451 --> 00:09:28.372]  That on its face overturns the election, and the Texas suit is the best.
[00:09:28.372 --> 00:09:32.713]  That's why the Supreme Court removed the other suits, because they want that main suit.
[00:09:32.713 --> 00:09:33.873]  Now, will they betray America?
[00:09:33.873 --> 00:09:35.053]  Will they betray common sense?
[00:09:36.667 --> 00:09:46.254]  Well, a lot of these justices were so persecuted by the globalists on the left that they might actually find their soul, like Darth Vader did, in Return of the Jedi.
[00:09:46.254 --> 00:09:50.438]  Again, to use another parable, or another allegory.
[00:09:50.438 --> 00:09:52.439]  Bottom line, we're all about to find out.
[00:09:52.439 --> 00:09:54.621]  But I will be demonstrating at the White House.
[00:09:54.621 --> 00:09:56.843]  We will be demonstrating in front of the Supreme Court.
[00:09:56.843 --> 00:09:58.344]  We'll be in Freedom Plaza.
[00:09:58.344 --> 00:10:04.429]  We will be at the big event on Saturday as well, there on the Lincoln Memorial.
[00:10:06.227 --> 00:10:19.742]  And I'm a speaker at a lot of these big major events, but regardless, we'll be leading marches throughout D.C., and we will be fighting as hard as we possibly can to show the world that we don't buy this giant gas lighting in this line.
[00:10:19.742 --> 00:10:21.724]  Now, continuing, we have a huge report.
[00:10:21.724 --> 00:10:25.869]  I'm going to be very disciplined at the bottom of the hour, and I'm going to cover this life and death situation.
[00:10:27.173 --> 00:10:37.013]  I remember when I had my second child, she's 16 now, and the nurses, when I refused the vaccines, called me aside and they said, you know, none of us take them too.
[00:10:38.018 --> 00:10:51.892]  The preemie area, every time we're ordered by the bioethics board here at the hospital, who aren't doctors mainly, they're just globalist operatives, to vaccinate the preemies, about a third of them stop breathing and some die.
[00:10:51.892 --> 00:10:59.981]  So we threaten them and so now they provide ventilators to try to keep them alive, so they give them the shots knowing a third of them will die.
[00:11:00.967 --> 00:11:02.728]  And then they ventilate them.
[00:11:02.728 --> 00:11:05.430]  So it's like shooting you in the head and giving you a bandage.
[00:11:05.430 --> 00:11:07.612]  But that's only because the nurses spoke up.
[00:11:07.612 --> 00:11:08.833]  This is keep the baby comfortable.
[00:11:08.833 --> 00:11:09.934]  This is kill them.
[00:11:09.934 --> 00:11:10.714]  Oh, they're a preemie.
[00:11:10.714 --> 00:11:12.075]  Let's quietly kill them.
[00:11:12.075 --> 00:11:17.019]  That's the bioethics board seeing if they can kill babies in plain view and get you to accept it.
[00:11:17.019 --> 00:11:21.843]  That's what this whole vaccine rollout situation
[00:11:23.180 --> 00:11:33.905]  is about is overblow the COVID hundreds of times what it actually does, hype it up, count all the other deaths as it, but tell us that it's super scary so we never go outside again.
[00:11:33.905 --> 00:11:48.772]  But then when it comes to the real vaccines and massive death, massive brain damage, massive neurological disorders, Guillain-Barre, narcolepsy, epilepsy, cancer, autism, it's all right here.
[00:11:48.772 --> 00:11:50.073]  It's in the inserts that it does that.
[00:11:50.503 --> 00:11:54.305]  And they're on the news saying, oh no, no, no, no connection to neurological disorders.
[00:11:54.305 --> 00:11:55.906]  And then the damn inserts say it.
[00:11:55.906 --> 00:11:59.908]  The fine print, you've got to get a magnifying glass to read.
[00:11:59.908 --> 00:12:02.449]  When my eyesight was 2015, I had to get a magnifying glass.
[00:12:02.449 --> 00:12:03.190]  Now I can't even read it.
[00:12:04.881 --> 00:12:07.322]  Think about that, and why do I raise that?
[00:12:07.322 --> 00:12:09.243]  What's coming up at the bottom of the hour?
[00:12:09.243 --> 00:12:15.225]  The British government has had so many people collapse and have convulsions one week into getting the vaccine.
[00:12:15.225 --> 00:12:19.266]  They've already had deaths, but they're trying to attribute them to, well, something else happened.
[00:12:19.266 --> 00:12:23.647]  Now, if you have a convulsion after you get in your car or get on the bus and leave, they don't count it.
[00:12:23.647 --> 00:12:33.691]  They've had so many convulsions and deaths in the clinics in the UK that they've ordered emergency nurses with defibrillators and mouth-to-mouth for resuscitation.
[00:12:35.959 --> 00:12:44.144]  Same thing the nurses told me at the North Austin Women's Medical Center.
[00:12:44.144 --> 00:12:56.512]  And the reason I raise that is, I told that story on air, and then Rob Dew and David Knight were contacted by nurses around the country saying, have you not seen the American Medical Journal?
[00:12:56.512 --> 00:12:59.754]  Admitting that giving these preemie babies is killing them.
[00:13:00.802 --> 00:13:05.024]  And so we dug up those original articles and the original David Knight report.
[00:13:05.024 --> 00:13:13.749]  So understand, it's not just this new vaccine that's killing people and causing them to literally fall over and start convulsing and stop breathing.
[00:13:13.749 --> 00:13:16.230]  That's full-grown adults.
[00:13:16.230 --> 00:13:19.432]  Imagine preemies.
[00:13:19.432 --> 00:13:25.735]  So we're going to play these nurses for you, ladies and gentlemen, that put their names on the line and came out about all this.
[00:13:26.630 --> 00:13:32.751]  And this was many years ago, but we've reposted the articles and videos, and we're fighting to keep InfoWars up.
[00:13:32.751 --> 00:13:34.251]  We're fighting to keep Mandot Video.
[00:13:34.251 --> 00:13:36.392]  All these archive videos were removed from YouTube.
[00:13:36.392 --> 00:13:37.872]  They're removed from Facebook, Twitter.
[00:13:37.872 --> 00:13:39.432]  Only place they live is at Mandot Video.
[00:13:39.432 --> 00:13:42.033]  Only place they live for you to go get it and warn people.
[00:13:42.033 --> 00:13:45.914]  And thank God they found it in our archives from, you know, eight years ago.
[00:13:45.914 --> 00:13:48.434]  Thank God they found it in the archives and put it back up.
[00:13:48.434 --> 00:13:51.755]  And that's why it's so over-the-top impressive.
[00:13:51.755 --> 00:13:52.595]  I guess it was six years ago.
[00:13:53.607 --> 00:13:56.988]  So, again, nurse confirms babies are damaged by vaccines.
[00:13:56.988 --> 00:13:59.429]  That headline's not strong enough.
[00:13:59.429 --> 00:14:02.670]  Nurses confirm vaccines killing babies.
[00:14:02.670 --> 00:14:05.711]  Nurses confirm vaccines kill babies.
[00:14:05.711 --> 00:14:07.131]  Make babies stop breathing.
[00:14:07.131 --> 00:14:09.412]  See, even us, it's never hardcore enough.
[00:14:09.412 --> 00:14:11.353]  No, the babies die.
[00:14:11.353 --> 00:14:12.693]  I have the Associated Press.
[00:14:12.693 --> 00:14:14.534]  People are dying.
[00:14:14.534 --> 00:14:16.134]  They have to be resuscitated.
[00:14:16.134 --> 00:14:17.535]  They stop breathing.
[00:14:20.171 --> 00:14:29.255]  And again, this is the giant threat that they normalize it, they tell you don't worry, and so, no one's chicken littling from the vaccine.
[00:14:29.255 --> 00:14:33.096]  No one's chicken littling from the doubling in suicides, mainly of young people.
[00:14:33.096 --> 00:14:36.738]  No one's talking about the 47% of small businesses never to reopen.
[00:14:36.738 --> 00:14:43.100]  Nobody's talking about the millions already starved to death, or the billion that are set to go into poverty that the UN admits from the lockdown.
[00:14:43.100 --> 00:14:49.383]  Or how all the globalists ignore all the laws themselves, or how the big banks admit they're doing this to consolidate power and consolidate total control.
[00:14:51.343 --> 00:14:52.565]  This is all intertwined.
[00:14:52.565 --> 00:14:54.268]  This is the globalist rollout.
[00:14:54.268 --> 00:14:55.971]  This is the globalist power grab.
[00:14:55.971 --> 00:14:58.515]  This is the new world order system.
[00:14:58.515 --> 00:15:00.518]  This is everything.
[00:15:00.518 --> 00:15:02.822]  And so, complying with it is your destruction.
[00:15:02.822 --> 00:15:05.687]  Saying no and getting educated and recognizing the threat.
[00:15:07.062 --> 00:15:15.586]  And getting state legislatures and governors and churches and good doctors and good people in Congress to say no and saying, we're not following Joe Biden.
[00:15:15.586 --> 00:15:17.026]  We're not following the globalists.
[00:15:17.026 --> 00:15:20.488]  And Trump tried to take control of the vaccine situation so he'd quote, be the hero.
[00:15:20.488 --> 00:15:21.348]  That was political.
[00:15:21.348 --> 00:15:22.869]  Trump was wrong there too.
[00:15:22.869 --> 00:15:24.650]  And that was where, you know, Trump really screwed up.
[00:15:24.650 --> 00:15:25.370]  It doesn't matter.
[00:15:25.370 --> 00:15:30.092]  He's not a CHICOM agent and he's already coming out and saying COVID's a fraud and now starting to expose the vaccine.
[00:15:31.072 --> 00:15:34.555]  He was using reverse psychology to get them to turn against the vaccines when he endorsed them.
[00:15:34.555 --> 00:15:36.256]  I get what he did, but I still disagree with it.
[00:15:36.256 --> 00:15:38.237]  Just straight shoot people.
[00:15:38.237 --> 00:15:39.538]  If he's Trump, I'm Alex Jones.
[00:15:39.538 --> 00:15:40.859]  That's where we're different.
[00:15:40.859 --> 00:15:41.580]  We'll be right back.
[00:15:41.580 --> 00:15:43.601]  I'm gonna go through all this huge breaking news.
[00:15:43.601 --> 00:15:46.363]  We've got massive guests on today.
[00:15:46.363 --> 00:15:48.365]  I'll tell you about the guests later when we come back, but...
[00:15:49.431 --> 00:15:50.451]  I forgot.
