[00:00:02.014 --> 00:00:04.659]  Waging war on corruption.
[00:00:04.659 --> 00:00:09.769]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:27.911 --> 00:00:36.417]  Ladies and gentlemen, it's June 4th on this live, Friday, worldwide broadcast.
[00:00:36.417 --> 00:00:50.707]  And the Pentagon has released its much-hyped report on UFOs and all of these hypersonic crafts that are doing 14, 15, 20 G turns and flying at 5,000 miles an hour.
[00:00:55.501 --> 00:01:01.706]  Government finds no evidence of alien spacecraft but doesn't rule it out and says they don't know what it is!
[00:01:01.706 --> 00:01:04.509]  I told you that was what was coming next.
[00:01:04.509 --> 00:01:11.094]  UFOs must be seriously investigated and Pentagon's report is just the first step.
[00:01:11.094 --> 00:01:22.044]  Senator Mark Rubio, we're going to be talking about that today in the third hour and we have a special guest joining us then as well.
[00:01:23.348 --> 00:01:34.981]  Chris Sky pops in with a report in the second hour for a segment or two with an update on the ongoing lockdowns in Canada that are so important because it's a beta test for the rest of the world in the UN's own words.
[00:01:34.981 --> 00:01:40.568]  So that's a war game going on up there with those poor tens of millions of people being captives.
[00:01:40.568 --> 00:01:42.370]  So that's coming up.
[00:01:42.370 --> 00:01:44.092]  There has been a flotilla
[00:01:46.102 --> 00:01:50.544]  Of mainstream corporate articles saying don't have children, humans are evil, get rid of all the humans.
[00:01:50.544 --> 00:01:53.945]  So they've gotten very public about their depopulation plan.
[00:01:53.945 --> 00:01:59.607]  The mask has slid almost completely off and it is truly disgusting.
[00:01:59.607 --> 00:02:08.930]  We're going to be laying all of that out today and how it integrates and dovetails in with the big story.
[00:02:08.930 --> 00:02:12.712]  The Fauci project manager who publicly ran
[00:02:14.091 --> 00:02:26.296]  The entire Wuhan operation with Gain of Function has confessed to creating Gain of Function coronavirus COVID family viruses, undoubtedly COVID-19.
[00:02:26.296 --> 00:02:29.197]  The only question is now, do they release it on purpose?
[00:02:29.197 --> 00:02:31.258]  And of course, of course they did.
[00:02:31.258 --> 00:02:34.820]  Does that mean that the doctors that developed these systems did it?
[00:02:34.820 --> 00:02:35.940]  No.
[00:02:35.940 --> 00:02:37.521]  The question is who released it?
[00:02:37.521 --> 00:02:39.281]  It was definitely done on purpose.
[00:02:39.281 --> 00:02:41.923]  You can see all the pre-programming.
[00:02:41.923 --> 00:02:42.903]  But we'll be laying that out.
[00:02:43.712 --> 00:02:47.173]  At the start of the next segment, because it's all coming out.
[00:02:47.173 --> 00:02:55.897]  The House of Cards is coming down faster than a locomotive running off the side of a cliff.
[00:02:55.897 --> 00:02:59.478]  Falling faster than a lead weight off the Empire States Building.
[00:02:59.478 --> 00:03:11.583]  And you better know that they're trying to trigger a race war, cyber attack economics, crises and more to divert us from this information coming out of China, has issued more threats.
[00:03:13.542 --> 00:03:24.086]  Of nuclear war, if the State Department and others start pointing to the fact that there's a weaponized virus out of Wuhan.
[00:03:24.086 --> 00:03:28.407]  I've cracked the code on exactly what happened from all the evidence.
[00:03:28.407 --> 00:03:36.770]  And this is a very, very sophisticated plan to bring in world government, to bring in medical tyranny, to bring in a cashless society based on a medical ID and an implantable chip.
[00:03:36.770 --> 00:03:40.651]  We know the plan from the Davos Group and others, and all the pre-programming we see, but
[00:03:41.664 --> 00:03:58.928]  The larger political football, now that it's known that it was released, undoubtedly on purpose, we have to go into the wheels within wheels, plans within plans, and understand exactly who stands to gain kibono from the old Latin, from the Roman, to get our answers.
[00:03:58.928 --> 00:04:02.969]  And yet again, it's the same culprits time and time again.
[00:04:02.969 --> 00:04:07.070]  So we have quite the broadcast lined up for you today.
[00:04:07.070 --> 00:04:11.051]  And as promised, the callers, five or six that were left on the line yesterday,
[00:04:11.932 --> 00:04:14.835]  You're going to be called back if you answer here in about 15 minutes.
[00:04:14.835 --> 00:04:21.822]  We're going to put you on air first at the bottom of the hour, and I'm also going to open the phones up for everybody else interspersed with the guests we have today.
[00:04:21.822 --> 00:04:24.205]  And then I'm returning tomorrow, 6 p.m.
[00:04:24.205 --> 00:04:25.306]  It will air.
