[00:00:10.034 --> 00:00:11.154]  Big Brother.
[00:00:11.154 --> 00:00:12.955]  Mainstream media.
[00:00:12.955 --> 00:00:14.816]  Government cover-ups.
[00:00:14.816 --> 00:00:16.557]  You want to stop tyranny?
[00:00:16.557 --> 00:00:18.218]  Well, so does he.
[00:00:18.218 --> 00:00:22.880]  Live from the InfoWars.com studios, it's Alex Jones.
[00:00:46.101 --> 00:00:48.163]  Okay, Shane, what's the kick like on this thing?
[00:00:48.163 --> 00:00:51.585]  Well, it's actually not going to be too bad because there's some features it has.
[00:00:51.585 --> 00:00:56.128]  This right here will kick back and take some of the recoil out of it.
[00:00:56.128 --> 00:00:57.089]  Also, this muzzle brake.
[00:00:57.089 --> 00:00:58.730]  You've got a muzzle brake on it, I notice.
[00:00:58.730 --> 00:01:00.171]  So it's about like a 12-gauge.
[00:01:00.171 --> 00:01:04.174]  The problem with muzzle brakes is it increases the sound coming back this way.
[00:01:04.174 --> 00:01:05.575]  That's the one thing you're going to realize.
[00:01:05.575 --> 00:01:06.996]  I know that for a fact.
[00:01:06.996 --> 00:01:07.917]  The sound is pretty powerful.
[00:01:12.410 --> 00:01:22.777]  The problem I've got here is it's been a long time since I've shot a .50 caliber, and I'm sure I'm not as good as I used to be, so if you don't mind, I'm going to imagine my target out there, and I'll tell you whether or not I hit it in the center, okay?
[00:01:22.777 --> 00:01:23.058]  Okay.
[00:01:23.058 --> 00:01:24.138]  You don't have a problem with that?
[00:01:24.138 --> 00:01:24.499]  No, no, no.
[00:01:24.499 --> 00:01:25.199]  Okay.
[00:01:25.199 --> 00:01:26.140]  Perfect.
[00:01:26.140 --> 00:01:27.801]  Obamacare is the same thing, you know, right?
[00:01:27.801 --> 00:01:33.025]  They've imagined the rollout as being successful, and therefore they've met their expectations.
[00:01:33.025 --> 00:01:33.385]  That's right.
[00:01:33.385 --> 00:01:35.686]  I'm sure every shot... I'm going to do the same thing with my target.
[00:01:35.686 --> 00:01:36.967]  I'll hit it point blank every time.
[00:01:36.967 --> 00:01:38.208]  I'm sure every shot is going to be a success.
[00:01:38.208 --> 00:01:38.749]  Perfect.
[00:01:38.749 --> 00:01:39.129]  That's right.
[00:02:03.157 --> 00:02:07.638]  Well, John, it's daytime and these armor-piercing tracers, U.S.
[00:02:07.638 --> 00:02:12.859]  Army issue, won't be as spectacular as nighttime, but you want to shoot a couple of these?
[00:02:12.859 --> 00:02:13.759]  Absolutely.
[00:02:13.759 --> 00:02:15.239]  All right, we'll do that next.
[00:02:15.239 --> 00:02:16.580]  Never shot a tracer round.
[00:02:16.580 --> 00:02:18.280]  Photon torpedoes away!
[00:03:03.122 --> 00:03:04.602]  I like these fifties.
[00:03:04.602 --> 00:03:05.242]  My type of gun.
[00:03:05.242 --> 00:03:07.883]  Well John, you just got done shooting the
[00:03:08.647 --> 00:03:09.227]  50 over there.
[00:03:09.227 --> 00:03:16.452]  We're going to put that on the TV show next week, but right now you've got that .223 M4 Scorpion.
[00:03:16.452 --> 00:03:17.993]  You ready to try it out?
[00:03:17.993 --> 00:03:20.354]  Well, I don't even know what's here compared to the .50 caliber.
[00:03:20.354 --> 00:03:21.795]  This feels like a feather.
[00:03:21.795 --> 00:03:22.956]  So this is a piece of cake.
[00:03:22.956 --> 00:03:24.697]  This is one of my favorite guns.
[00:03:24.697 --> 00:03:27.979]  The AR-15 or its equivalent.
[00:03:27.979 --> 00:03:28.859]  Some equivalent here.
[00:03:28.859 --> 00:03:30.340]  Yep, M4.
[00:03:30.340 --> 00:03:30.941]  All right, buddy.
[00:03:30.941 --> 00:03:31.521]  We'll let her rip.
[00:03:41.505 --> 00:03:43.567]  Nice!
[00:03:43.567 --> 00:03:44.308]  Check this one out.
[00:03:44.308 --> 00:03:45.689]  This has got the aim point sight?
[00:03:45.689 --> 00:04:00.743]  Yes sir.
[00:04:00.743 --> 00:04:06.148]  The last time I talked to you, you were hiding out somewhere in the Belizean jungle and you made it out.
[00:04:06.148 --> 00:04:06.789]  How did you do it?
[00:04:08.027 --> 00:04:09.989]  Uh, you know, mostly by misdirection.
[00:04:09.989 --> 00:04:18.658]  You know, the, uh, uh, telling friends that I knew were unfaithful friends that I was in one place when I wasn't, and they would then tell the government, and they would all rush there, and I'd be somewhere else.
[00:04:18.658 --> 00:04:26.005]  Uh, and I got across the border because the, um, the southern border was completely, uh, manned with guards.
[00:04:26.005 --> 00:04:28.928]  Uh, I managed to arrange to get arrested in Mexico.
[00:04:28.928 --> 00:04:30.349]  It was a double that looked like me.
[00:04:31.224 --> 00:04:39.210]  Uh, and, uh, and had that reported in the international press and everybody went north to the Mexican border and I just crossed the southern border into Guatemala.
[00:04:39.210 --> 00:04:40.551]  You sound like a James Bond character.
[00:04:40.551 --> 00:04:41.491]  We were hanging out with James Bond.
[00:04:41.491 --> 00:04:42.752]  Did you know that?
[00:04:42.752 --> 00:04:51.278]  That's amazing.
[00:04:51.278 --> 00:04:55.161]  Well, that's a blast from the past seven years ago.
[00:04:55.161 --> 00:04:56.302]  I'm Alex Jones.
[00:04:56.302 --> 00:04:56.762]  Stay with us.
[00:04:58.283 --> 00:05:05.267]  The scientific dictatorship that I've been warning you about for 27 years has now gone from beta testing to operational.
[00:05:05.831 --> 00:05:11.354]  The globalists are out in the open with their planetary depopulation takeover, their robot takeover.
[00:05:11.354 --> 00:05:19.199]  But the good news is, we've been working, and you've been working, and others have been working across the planet for decades to get ready for this, to be able to fight it off.
[00:05:19.199 --> 00:05:20.680]  Humanity is strong.
[00:05:20.680 --> 00:05:21.641]  We're incredible.
[00:05:21.641 --> 00:05:25.423]  And if we're aware of the attack that's happening, we have a real chance of defeating it.
[00:05:25.423 --> 00:05:27.884]  If we ask God for guidance, we will defeat it.
[00:05:27.884 --> 00:05:33.828]  So prayer is essential, research is essential, getting prepared is essential, and warning others is absolutely essential.
[00:05:34.208 --> 00:05:43.872]  At the same time, supporting InfoWars by buying high quality products to keep us on air is essential, because they're great products for you and your family, and they're also funding our operation.
[00:05:43.872 --> 00:05:46.193]  InfoWarsStore.com.
[00:05:46.193 --> 00:05:48.855]  InfoWarsStore.com is incredible.
[00:05:48.855 --> 00:05:54.177]  A lot of our products that have been sold out because of supply chain breakdowns are back in, like bodies, bazzo beats, and others.
[00:05:54.177 --> 00:05:58.159]  So get them today at InfoWarsStore.com, and I thank you for being part of the resistance.
[00:06:10.223 --> 00:06:16.745]  Live from the InfoWars.com studios, you're listening to The Alex Jones Show.
[00:06:44.263 --> 00:06:51.726]  Well, we've got the red emergency radar scan background up.
[00:06:51.726 --> 00:06:53.587]  And that means one thing.
[00:06:53.587 --> 00:06:56.208]  Patriots are being assassinated.
[00:06:56.208 --> 00:07:02.471]  It was just 10 days ago or so that we talked about the very famous Emmy Award winning
[00:07:04.349 --> 00:07:14.931]  It was a Grammy Award winning for TV news individual who had exposed the tarmac meeting with Bill Clinton and then Attorney General Loretta Lynch.
[00:07:14.931 --> 00:07:20.233]  They said they were death-threatening him and trying to kill him and that he would never commit suicide.
[00:07:20.233 --> 00:07:25.094]  That he would never commit suicide.
[00:07:25.094 --> 00:07:30.995]  And then he was found shot in the head inside his home alone, a happily married man with two children.
[00:07:32.034 --> 00:07:33.514]  We'll be revisiting that here in a moment.
[00:07:33.514 --> 00:07:37.695]  Well, now we have John McAfee, who I knew very well.
[00:07:37.695 --> 00:07:39.495]  I've been on the show 20 times.
[00:07:39.495 --> 00:07:45.536]  We haven't talked in the last few years because he was in a Madrid jail awaiting extradition to the U.S.
[00:07:45.536 --> 00:07:47.497]  He said last week, I'm getting threats from the U.S.
[00:07:47.497 --> 00:07:52.618]  government that they will suicide myself, they will kill me.
[00:07:52.618 --> 00:07:59.319]  And McAfee basically, as you already know, then ended up being found dead yesterday.
[00:08:00.942 --> 00:08:01.803]  Pretty amazing.
[00:08:01.803 --> 00:08:03.985]  And he said he had a dead man switch.
[00:08:03.985 --> 00:08:08.709]  We have found the dead man switch buried in a crypto wallet.
[00:08:08.709 --> 00:08:13.553]  And we're going to be talking about that coming up here on the transmission today.
[00:08:13.553 --> 00:08:23.302]  You know, it's really hard to say what the biggest news is when it's also ultra massive.
[00:08:23.302 --> 00:08:24.704]  Look at this one.
[00:08:24.704 --> 00:08:26.745]  US to add heart inflammation warning
[00:08:28.524 --> 00:08:31.125]  To COVID mRNA vaccines for teens.
[00:08:31.125 --> 00:08:35.746]  Wow, a big victory as the House of Cards collapses.
[00:08:35.746 --> 00:08:36.847]  Something just as huge.
[00:08:36.847 --> 00:08:47.990]  Inventor of mRNA vaccines, of the entire technology, says people should not be forced to take experimental COVID vaccines and that they are dangerous.
[00:08:47.990 --> 00:08:50.170]  And that children should not take them.
[00:08:50.170 --> 00:08:51.471]  Young people should not take them.
[00:08:53.377 --> 00:08:54.477]  It gets even crazier.
[00:08:54.477 --> 00:08:54.858]  U.S.
[00:08:54.858 --> 00:09:01.660]  confirms removal of Wuhan virus sequence from database by Fauci.
[00:09:01.660 --> 00:09:08.042]  So they're covering it up because it came from Chapel Hill, was transferred over to China.
[00:09:08.042 --> 00:09:09.522]  And of course, we were reporting on this yesterday.
[00:09:09.522 --> 00:09:10.903]  Now you see it in the news today.
[00:09:10.903 --> 00:09:15.004]  NIH deleted rotavirus sequences at request of Chinese scientists.
[00:09:15.004 --> 00:09:17.525]  Congress probing new lead, but it was the U.S.
[00:09:17.525 --> 00:09:18.185]  government that did it.
[00:09:19.250 --> 00:09:28.593]  And it was scientists in the United States that went back and reverse-engineered and found the Google cache of the deletion.
[00:09:28.593 --> 00:09:31.774]  And of course, it's completely man-made.
[00:09:31.774 --> 00:09:47.138]  That's all coming up, and it dovetails with the smoking gun yesterday that Fauci, one month before the COVID outbreak, told them to prepare to activate their COVID-19 vaccine program with those exact sequences.
[00:09:47.138 --> 00:09:47.598]  Understand?
[00:09:49.116 --> 00:09:53.280]  Total premeditation.
[00:09:53.280 --> 00:09:56.122]  Total, complete, open and shut case.
[00:09:56.122 --> 00:10:01.887]  Everyone involved is lucky if they end up in a Supermax prison for the rest of their lives.
[00:10:01.887 --> 00:10:04.989]  Notice, they've been the ones investigating this thing the entire time.
[00:10:04.989 --> 00:10:06.551]  But first, let's just go to this.
[00:10:06.551 --> 00:10:14.897]  Tucker Carlson knocking it out of the park again with the inventor of mRNA technology, Dr. Robert Malone.
[00:10:14.897 --> 00:10:15.298]  Here it is.
[00:10:17.589 --> 00:10:19.110]  But new numbers are coming.
[00:10:19.110 --> 00:10:25.836]  The Norwegian Medicines Agency, for example, has found that the vaccine may increase the risk of death in the elderly as well.
[00:10:25.836 --> 00:10:33.442]  The Norwegian study conducted a study of a hundred nursing home residents who died after receiving Pfizer's Corona shot.
[00:10:33.442 --> 00:10:37.505]  They found that at least ten of those deaths were, quote, likely caused by the vaccine.
[00:10:37.505 --> 00:10:40.548]  Ten percent.
[00:10:40.548 --> 00:10:45.932]  And of those in 26 other cases, they believe they were possibly caused by the vaccine.
[00:10:47.029 --> 00:10:49.231]  So, what explains those numbers?
[00:10:49.231 --> 00:10:51.113]  This appears to be happening.
[00:10:51.113 --> 00:10:53.074]  Why is it happening?
[00:10:53.074 --> 00:11:01.401]  Well, a physician called Robert Malone tried to address that question recently in a podcast that was broadcast on YouTube, but YouTube immediately took it down.
[00:11:01.401 --> 00:11:08.167]  Now, they did this even though Dr. Robert Malone may be the single most qualified person on planet Earth to discuss this subject.
[00:11:08.167 --> 00:11:08.948]  Why?
[00:11:08.948 --> 00:11:13.572]  Because he helped create the mRNA technology behind the COVID vaccines.
[00:11:15.143 --> 00:11:16.543]  We think he has a right to speak.
[00:11:16.543 --> 00:11:18.124]  Dr. Robert Malone joins us now.
[00:11:18.124 --> 00:11:21.225]  Doctor, thanks so much for coming on.
[00:11:21.225 --> 00:11:34.429]  In a way that's accessible to non-scientists, I hope you'll tell us, do you have concerns about these vaccines for people who aren't at great risk?
[00:11:34.429 --> 00:11:35.669]  Yes.
[00:11:35.669 --> 00:11:44.732]  I think that one of my concerns are that the government is not being transparent with us about what those risks are.
[00:11:46.232 --> 00:11:57.203]  And so I'm of the opinion that people have the right to decide whether to accept vaccine or not, especially since these are experimental vaccines.
[00:11:57.203 --> 00:12:02.047]  This is a fundamental right having to do with clinical research ethics.
[00:12:02.047 --> 00:12:10.195]  And so my concern is that I know that there are risks, but we don't have access to the data
[00:12:10.951 --> 00:12:25.366]  And the data haven't been captured rigorously enough so that we can accurately assess those risks and therefore for folks like your audience, you and me, we don't really have the information that we need to make a reasonable decision.
[00:12:27.986 --> 00:12:33.490]  Here's a simple formula that most people use when they're trying to think about, you know, should I take this or that?
[00:12:33.490 --> 00:12:34.811]  Pharmaceutical.
[00:12:34.811 --> 00:12:37.853]  Do the benefits likely outweigh the risks?
[00:12:37.853 --> 00:12:43.037]  So, for the specific population, the largest population in America being forced to take the vaccines right now are college students.
[00:12:43.037 --> 00:12:44.398]  Kids between 18 and 22.
[00:12:44.398 --> 00:12:48.961]  A huge number of whom have already had and recovered from COVID.
[00:12:48.961 --> 00:12:52.684]  Very few of whom, stats show, will die from COVID.
[00:12:52.684 --> 00:12:55.386]  For that population, particularly those who've already had the virus,
[00:12:56.173 --> 00:13:02.478]  Do the benefits outweigh the risks, in your view?
[00:13:02.478 --> 00:13:14.646]  So, I have a bias that the benefits probably don't outweigh the risks in that cohort, but unfortunately the risk-benefit analysis is not being done.
[00:13:14.646 --> 00:13:22.831]  So that's one of my other objections, is that we toss around these words risk-benefit analysis casually, as if it's a very deep science.
[00:13:22.831 --> 00:13:23.312]  It's not.
[00:13:24.493 --> 00:13:31.061]  Normally, at this stage, the CDC ACIP would have performed those risk-benefit analyses.
[00:13:31.061 --> 00:13:34.786]  They would be data-based and science-based.
[00:13:35.777 --> 00:13:37.978]  They're not right now.
[00:13:37.978 --> 00:13:40.520]  It's kind of a little bit of the seat of the pants.
[00:13:40.520 --> 00:13:42.721]  And that I really object to.
[00:13:42.721 --> 00:13:50.366]  So you ask me, do I think the risk-benefit ratio is appropriate for this age cohort?
[00:13:50.366 --> 00:13:52.507]  The truth is I can't really say.
[00:13:52.507 --> 00:13:59.471]  But certainly I can say that the risk-benefit ratio for those 18 and below doesn't justify vaccines.
[00:13:59.471 --> 00:14:04.234]  And there's a pretty good chance that it doesn't justify vaccination in these very young adults.
[00:14:06.467 --> 00:14:16.730]  It's hard to believe that anybody would push universal vaccination on a country of 340 million people without getting the data you say don't exist.
[00:14:16.730 --> 00:14:20.871]  How did no one think to do that?
[00:14:20.871 --> 00:14:25.932]  I think that what we have is a structural problem in how the databases were built.
[00:14:26.836 --> 00:14:28.878]  Um, and how they're being analyzed.
[00:14:28.878 --> 00:14:33.982]  My understanding from colleagues inside the FDA is that the CDC is overwhelmed.
[00:14:33.982 --> 00:14:36.804]  Uh, they aren't even processing the data they have.
[00:14:36.804 --> 00:14:47.012]  And by the CDC's own admission in their recent MMWR report on safety in pregnancy, the V-safe database, which is the one that they hold internal,
[00:14:48.312 --> 00:14:55.816]  Is so poor that they can't draw any definitive conclusions about whether or not these vaccines are safe in pregnancy.
[00:14:55.816 --> 00:15:02.019]  They believe they're generally safe, but the databases aren't sufficient to really demonstrate that.
[00:15:02.019 --> 00:15:10.064]  We're left in a position where we're waiting for data from places like Norway, Finland, Scandinavia, and hopefully from Israel.
[00:15:11.244 --> 00:15:15.266]  To back up our decisions in public health.
[00:15:15.266 --> 00:15:24.710]  Unfortunately, the Israelis that we've been relying on did not pick up these cardiotoxicity risks that we now are learning about.
[00:15:24.710 --> 00:15:31.313]  They were first picked up by FDA people looking at the VAERS database.
[00:15:31.313 --> 00:15:32.374]  Shocking.
[00:15:32.374 --> 00:15:35.195]  In an environment like this where we know so little, voices like yours
[00:15:36.053 --> 00:15:41.136]  ...are essential, and the thought that you're being censored by the tech platforms, that is a scandal.
[00:15:41.136 --> 00:15:43.238]  And I appreciate your coming on this show tonight.
[00:15:43.238 --> 00:15:44.478]  Doctor, thank you very much.
[00:15:44.478 --> 00:15:47.480]  Who is the most banned news network in the world?
[00:15:47.480 --> 00:15:48.661]  InfoWars.com.
[00:15:48.661 --> 00:15:50.622]  This radio show is hosted by Alex Jones.
[00:15:50.622 --> 00:15:53.004]  I ain't finna go Alex Jones.
[00:15:53.004 --> 00:15:55.285]  You need to listen to Alex Jones.
[00:15:55.285 --> 00:15:55.865]  InfoWars.com.
[00:15:55.865 --> 00:15:56.666]  Your voice counts.
[00:16:02.313 --> 00:16:07.376]  When you share information, be it over the internet or in person, it changes the world.
[00:16:07.376 --> 00:16:09.978]  The globalists know their agenda is unpopular.
[00:16:09.978 --> 00:16:11.459]  They know you're angry.
[00:16:11.459 --> 00:16:16.882]  And now to get around big tech, it's more important than ever to use every tool we've got.
[00:16:16.882 --> 00:16:26.088]  So ladies and gentlemen, if you sign up for our free news and show alerts, you can then take those alerts, those articles and those live feeds, both the regular shows and special reports,
[00:16:26.288 --> 00:16:27.608]  And share them with everyone you know.
[00:16:27.608 --> 00:16:34.549]  Take action now by texting the word NEWS to 833-470-0438.
[00:16:34.549 --> 00:16:39.830]  That's 833-470-0438 for InfoWars Emergency News Alerts.
[00:16:39.830 --> 00:16:46.932]  Or, text the word SHOW to 833-470-0438 and receive live show notifications.
[00:16:46.932 --> 00:16:51.412]  Take action now, create the chain reaction, and tell others to share those texts.
