[00:00:17.922 --> 00:00:20.244]  It's Tuesday, July 6th.
[00:00:20.244 --> 00:00:21.624]  The year is 2021.
[00:00:21.624 --> 00:00:34.231]  And I know that record numbers of new people who've never listened to the actual live, unedited broadcast are tuning in to find out what all the commotion is about.
[00:00:35.146 --> 00:00:42.869]  Thanks to enemies attacking us, thanks to folks defending us, we've trended number one several times last week on Twitter.
[00:00:42.869 --> 00:00:51.613]  We're constantly trending every day until they would take us out of the trending, which is a big deal because it shows that we're already one of the biggest topics in the world.
[00:00:51.613 --> 00:00:55.435]  This show, this broadcast, and what's happening.
[00:00:55.435 --> 00:01:00.837]  And they attacked Tucker Carlson, of course, saying that Tucker Carlson is the
[00:01:03.306 --> 00:01:12.753]  New Alex Jones, as if that will get the cancel culture organized to then go after Carlson and try to remove him off the air.
[00:01:12.753 --> 00:01:16.496]  All that's going to do is drive up Tucker's already top ratings.
[00:01:16.496 --> 00:01:30.227]  But it's so archetypal, it's such a great juxtaposition of the failed CNN, totally discredited, the failed MSNBC with Brian Williams, their fact checker, the guy that said he was shot down in a helicopter, lied about it.
[00:01:30.805 --> 00:01:35.006]  That'd be like having Hitler over a Nuremberg trial for, you know, punishing the Nazis.
[00:01:35.006 --> 00:01:39.588]  It's all so ridiculous that no one is buying into it.
[00:01:39.588 --> 00:01:46.530]  But there they are with no viewers, basically, trying to shut down everybody that has viewers, because freedom is popular.
[00:01:46.530 --> 00:01:58.173]  Even if they were successful in shutting us all down, even if they were successful in shutting us all down, people would still rebel against them and they would still be sacks of garbage.
[00:01:59.500 --> 00:02:16.652]  And so at the bottom of the hour, I'm going to play the Brian Stelter-Oliver Darcy attack piece and make some choice comments about both men and how the book definitely, inside, definitely matches the cover.
[00:02:16.652 --> 00:02:19.955]  And we're going to talk about some of their activities.
[00:02:19.955 --> 00:02:26.639]  And so that should be somewhat informative overall at the bottom of the hour, if not entertaining.
[00:02:26.639 --> 00:02:28.941]  But I'm going to tell you one more time, if you're a radio listener,
[00:02:29.662 --> 00:02:35.863]  You can't see this, but I'm going to have the photo posted.
[00:02:35.863 --> 00:02:40.444]  After all, we subscribe to Getty Images, pay a hefty sum every month to be able to use these.
[00:02:40.444 --> 00:02:41.404]  That's a Getty Image.
[00:02:41.404 --> 00:02:42.945]  That's official glamour shot.
[00:02:42.945 --> 00:02:51.386]  He thinks that photo of himself is something that is worthy of note and that he thinks reflects well upon him.
[00:02:51.386 --> 00:02:57.648]  Talk about being psychotic or sociopathic and having no connection to reality and being tone deaf.
[00:02:57.648 --> 00:02:59.168]  That is an extremely
[00:03:00.189 --> 00:03:02.910]  Psychotic, evil-looking person.
