[00:00:08.629 --> 00:00:10.510]  It's Sunday, August 1st.
[00:00:10.510 --> 00:00:11.831]  The year is 2021.
[00:00:11.831 --> 00:00:14.692]  I'm your host, Alex Jones, back in studio.
[00:00:14.692 --> 00:00:19.014]  Thank you so much for joining us on this special
[00:00:38.055 --> 00:00:40.396]  Sunday evening.
[00:00:40.396 --> 00:00:50.620]  If you go to the front page of Infowars.com, you will see today's headline that we have the live show feed posted in, and it's quite a shocking headline.
[00:00:50.620 --> 00:01:03.705]  The British government officially warns that 2.6 billion plus people
[00:01:11.613 --> 00:01:32.198]  That 2.6 billion people may die as a result of the mutations coming from the so-called COVID-19 vaccines that are really just genetically modified injections.
[00:01:32.198 --> 00:01:36.899]  And if you can, crew, put that headline back up there one more time.
[00:01:36.899 --> 00:01:40.220]  I want that headline to sink in because this isn't just fear porn.
[00:01:40.220 --> 00:01:41.220]  This is what they're planning.
[00:01:42.026 --> 00:01:42.887]  Emergency alert.
[00:01:42.887 --> 00:01:50.392]  British government warns COVID vaccine induced mutations may kill 2.6 billion people.
[00:01:50.392 --> 00:01:53.294]  And that's been the plan all along.
[00:01:53.294 --> 00:02:01.399]  If you just joined us, we have everybody from the Washington Post to CNN to Fox News.
[00:02:01.399 --> 00:02:08.644]  To the Wall Street Journal to Bill Maher saying the vaccines don't work.
[00:02:08.644 --> 00:02:10.045]  And the majority of people sick.
[00:02:10.999 --> 00:02:26.744]  A majority of people in hospital, a majority of people dying, have had their COVID injections, and I've got the government statistics from Israel, from Singapore, from the UK, from Canada, from the United States, from all the countries around the world.
[00:02:26.744 --> 00:02:30.145]  In fact, the only sick people in Sweden are the vaccinated.
[00:02:30.145 --> 00:02:34.406]  Zero deaths or illnesses in Sweden from unvaccinated.
[00:02:37.572 --> 00:02:48.782]  Here's the more incredible point, and I'm really wrapping my brain around this war game, but remember Crimson Contagion that we covered four or five months ago that got millions, 10 million views or so?
[00:02:48.782 --> 00:02:51.564]  General Flynn said it was the best work he'd seen on COVID.
[00:02:51.564 --> 00:03:05.736]  All we were doing was going over the war game from three and a half years ago, put out by the Rockefellers and others, saying they would inject people with this vaccine, everybody would get sick, and then out of that would collapse civilization.
[00:03:08.553 --> 00:03:13.298]  Spars Pandemic and then the Crimson Contagion.
[00:03:13.298 --> 00:03:15.159]  Emergency Saturday broadcast.
[00:03:15.159 --> 00:03:19.083]  World Shock by Spars 2025-2028 document.
[00:03:19.083 --> 00:03:25.709]  It's the Spars document, and then that's carried on into Crimson Contagion.
[00:03:25.709 --> 00:03:26.610]  And there it is.
[00:03:26.610 --> 00:03:30.073]  Again, needs 50 million views, but almost 4 million views on Band.Video.
[00:03:35.965 --> 00:03:43.827]  All right, I'm going to really try to control myself here today, and I'm really going to try to judiciously cover this as best I can.
[00:03:43.827 --> 00:03:59.532]  Chris Skye is a very smart businessman and patriot from Canada who has really been topping Twitter the last week with his prediction of the endless lockdown with total precision.
[00:03:59.532 --> 00:04:00.853]  He'll be joining us by the hour.
[00:04:00.853 --> 00:04:05.474]  And then Mike Adams, who was the first person I heard talk about
[00:04:06.548 --> 00:04:14.951]  The so-called vaccine triggering this specific type of autoimmune response that now even Fox News is having to admit is real and taking place.
[00:04:14.951 --> 00:04:17.631]  That's coming up today.
[00:04:17.631 --> 00:04:29.015]  So tonight, this is going to be an incredible transmission, and then I'm going to co-host part of the Sunday live show that Owen normally hosts with the great Harrison Smith, the host of
[00:04:30.783 --> 00:04:32.124]  American Journal, 8 a.m.
[00:04:32.124 --> 00:04:32.984]  weekdays.
[00:04:32.984 --> 00:04:41.207]  Well, from 6 to 8 tonight, he's going to be hosting, and I'm going to host part of that with him, because I've got so much on my plate, I know there's no way I'm going to get done with all of it in the first two hours.
[00:04:41.207 --> 00:04:43.768]  So Chris Sky coming up, Mike Adams coming up.
[00:04:43.768 --> 00:04:45.069]  I'm yours truly, Alex Jones.
[00:04:45.069 --> 00:04:55.553]  And just this information, I studied today like six hours, and when I almost fell down, I got dizzy when I contemplated when I stood up.
[00:04:55.553 --> 00:04:56.973]  I almost had a nervous breakdown.
[00:05:01.843 --> 00:05:12.187]  There's one central fact of criminal psychology that criminologists all agree on, and that is criminals are extremely pathological.
[00:05:12.187 --> 00:05:15.709]  Even more the general public, they do the same things over and over again.
[00:05:15.709 --> 00:05:21.311]  And criminals like to commit the same types of crimes over and over again.
[00:05:21.311 --> 00:05:22.031]  Well, guess what?
[00:05:22.031 --> 00:05:25.893]  It was Anthony Fauci and eugenicists globalists that
[00:05:27.302 --> 00:05:36.150]  ...ran the rollout of HIV and the mistreatment of it with AZT and other chemicals that actually killed more people than HIV and they were the ones involved in viral research.
[00:05:37.353 --> 00:05:42.836]  ...of viruses that would actually go attack the T-lymphocytes in the body and create autoimmune disorders.
[00:05:42.836 --> 00:05:49.220]  The problem for them was the viruses would then break down and would be non-lethal down the road.
[00:05:49.220 --> 00:05:58.525]  That's why they need to roll out the COVID-19 and the vaccine because now they admit the COVID-19 vaccine destroys your immune system, basically giving you the equivalent of HIV.
[00:05:58.525 --> 00:05:59.626]  That's right, ladies and gentlemen.
[00:06:11.503 --> 00:06:16.465]  Antibody Dependent Enhancement.
[00:06:16.465 --> 00:06:29.469]  That's a term you're going to get to know real, real well when your friends, your family and you bleed out and die in the near future.
[00:06:29.469 --> 00:06:36.551]  There are treatments that are now being developed and tested that can save some people.
[00:06:38.306 --> 00:06:50.811]  And that's why the UK government just ordered a record amount of anti-blood clotting agents, three billion pounds worth.
