[00:00:00.109 --> 00:00:00.289]  Oh, God!
[00:00:28.319 --> 00:00:29.419]  We're good to go.
[00:00:58.211 --> 00:00:58.451]  Hey!
[00:00:58.451 --> 00:00:59.932]  What are you doing?
[00:00:59.932 --> 00:01:02.153]  What are you doing?
[00:01:02.153 --> 00:01:03.574]  What are you doing?
[00:01:03.574 --> 00:01:04.474]  Stay back!
[00:01:04.474 --> 00:01:05.595]  Stay back!
[00:01:05.595 --> 00:01:06.555]  Stay back!
[00:01:06.555 --> 00:01:07.515]  Stay back!
[00:01:07.515 --> 00:01:08.696]  Stay back!
[00:01:08.696 --> 00:01:09.637]  Stay back!
[00:01:09.637 --> 00:01:10.057]  Stay back!
[00:01:38.607 --> 00:01:47.191]  Thank you for joining us on this Saturday, September 4th, 2021 emergency Saturday transmission.
[00:01:47.191 --> 00:01:52.093]  I am hoping that you will take notes and research every claim we make here.
[00:01:52.754 --> 00:02:06.599]  And see the horrifying truth for yourself that the globalists are publicly declaring a declaration of war against open, free societies, against prosperity, and against human life itself.
[00:02:06.599 --> 00:02:12.661]  And I'm going to go over that in great detail in this most important transmission I've ever done.
[00:02:12.661 --> 00:02:20.384]  And as the days and weeks and months go forward and years, if we're still on air, I would imagine those shows will become even more important than this one.
[00:02:21.562 --> 00:02:24.123]  In very, very dangerous waters right now.
[00:02:24.123 --> 00:02:30.165]  We are under directed post-human eugenics operations.
[00:02:30.165 --> 00:02:31.805]  We are in agenda 2030 right now.
[00:02:31.805 --> 00:02:46.490]  Now you just saw hundreds and hundreds, it was thousands outside of angry parents and citizens in the UK breaking into the government policy center that was setting policy to forcibly inject
[00:02:47.162 --> 00:02:47.663]  I don't know.
[00:03:06.072 --> 00:03:06.352]  Thank you.
[00:03:28.004 --> 00:03:37.832]  That are officially announced by the Council on Foreign Relations, the Davos Group, the Trilateral Commission, now by the Australian leadership, by the Canadian leadership and others.
[00:03:37.832 --> 00:03:44.977]  But let me just show you this new Council on Foreign Relations document that just came out in the last week.
[00:03:44.977 --> 00:03:57.007]  And they echo what Klaus Schwab said in the Great Reset and what the UN has said, that the world's never going back and that they're going to have carbon lockdowns now through your vaccine passport app.
[00:03:58.183 --> 00:04:03.826]  That are going to track and trace where you go and tax you to use a car, to eat meat, to have air conditioning, you name it.
[00:04:03.826 --> 00:04:11.869]  With total surveillance, no internet, privacy, internet ID, it's all being announced.
[00:04:11.869 --> 00:04:20.073]  And the beta test is the UK, Australia, Canada, and they admit it's being rolled out in Los Angeles, Chicago, New York, Miami, and other areas.
[00:04:20.649 --> 00:04:25.672]  So let's just read here at the end of this, the fight for climate after COVID-19.
[00:04:25.672 --> 00:04:31.576]  They said, oh, this is really about saving the earth and shutting down human civilization.
[00:04:31.576 --> 00:04:35.859]  COVID-19 exposed the world's failure to prepare for the worst.
[00:04:35.859 --> 00:04:38.640]  Can we learn to build back better?
[00:04:38.640 --> 00:04:45.385]  We had Nancy Pelosi here with that UN statement about build back better means tear everything down and starve you to death.
[00:04:49.308 --> 00:05:04.211]  Unapologetic and clear-eyed, the fight for climate after COVID-19 helps us understand why the time has come to prepare for the world as it will be rather than it once was.
[00:05:04.211 --> 00:05:08.992]  And I've got the actual document they're talking about right here.
[00:05:08.992 --> 00:05:10.853]  We'll be getting to it where it talks about
[00:05:11.826 --> 00:05:14.467]  The full extinction of humanity is the goal.
[00:05:14.467 --> 00:05:18.168]  That's Wall Street Journal, NBC News.
[00:05:18.168 --> 00:05:23.190]  That'll probably be about 30 minutes that we'll be getting to this stack right here.
[00:05:23.190 --> 00:05:26.171]  You can go see this or read this for yourself.
[00:05:26.171 --> 00:05:33.233]  But first, let's show humanity, as we chronicle this day to day, I'm on air seven days a week now, let's show humanity
[00:05:34.844 --> 00:05:45.508]  What we need to do as the vanguard stands up against this post-industrial takeover that the Rockefeller Foundation, the UN admitted 11 years ago they would be executing.
[00:05:45.508 --> 00:05:54.792]  They said by the year 2020, they would launch agenda 2030, which is the plan to destroy civilization as we know it and reduce population by 90%.
[00:05:54.792 --> 00:05:56.393]  So here is humanity fighting back.
[00:06:06.423 --> 00:06:07.524]  Thank you, everybody.
[00:06:07.524 --> 00:06:10.807]  My name is Alana, and I'm a licensed practical nurse.
[00:06:10.807 --> 00:06:14.671]  I moved to Canada in my teens, and I graduated from Poland.
[00:06:14.671 --> 00:06:19.075]  Growing up in Poland during Communism was a daily struggle.
[00:06:19.075 --> 00:06:23.419]  Sitting by the window and watching tanks go by, I was still thinking, wow.
[00:06:23.419 --> 00:06:25.461]  The look on my mother's face was like,
[00:06:31.687 --> 00:06:39.214]  College football is really back when a jam-packed Lane Stadium is singing along to Enter Sandman.
[00:07:30.230 --> 00:07:33.792]  ...around the Granville Street area downtown, but take a look at this time-lapse video.
[00:07:33.792 --> 00:07:38.294]  This shows thousands of people crossing the Canby Street Bridge earlier this afternoon.
[00:07:38.294 --> 00:07:40.315]  A number of roads around there were shut down.
[00:07:40.315 --> 00:07:43.936]  Some drivers say it took them an hour to get out of the Canby Street area.
[00:07:43.936 --> 00:07:49.138]  So this whole event is part of what the organizers are calling a worldwide walkout.
[00:07:49.138 --> 00:07:52.380]  The point is to reject what they say is the tyranny
[00:07:52.780 --> 00:07:53.441]  It's like a vlog.
[00:08:25.444 --> 00:08:31.967]  A crowd so loud, you could barely hear the loudspeakers.
[00:08:31.967 --> 00:08:42.232]  Close to 5,000 people rallied in front of Vancouver City Hall this afternoon, causing complete gridlock in the area around the Vancouver General Hospital.
[00:08:42.232 --> 00:08:46.233]  At one point, the crowd parted so an ambulance could slowly pass through.
[00:08:46.233 --> 00:08:49.955]  And while they stood together, they weren't all there for the same reasons.
[00:08:49.955 --> 00:08:51.856]  Some don't want vaccines for themselves.
[00:08:52.395 --> 00:08:53.516]  I don't trust what's in there.
[00:08:53.516 --> 00:08:54.956]  I don't believe that we know enough.
[00:08:54.956 --> 00:09:01.100]  I think that it was prematurely ruled out, and I'm just not comfortable with that.
[00:09:01.100 --> 00:09:03.701]  Others are frustrated by government messaging.
