[00:00.000 --> 00:18.400]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:41.000]  Crime, you've been saying that your belief is, under oath, that Dr. Anthony Fauci lied
[00:41.000 --> 00:42.000]  to Congress.
[00:42.000 --> 00:45.320]  Last time I checked, that's against the law, isn't it, Senator?
[00:45.320 --> 00:49.280]  It's a felony punishable over five years in jail.
[00:49.280 --> 00:51.280]  We've referred it to the Department of Justice.
[00:51.280 --> 00:56.120]  I don't think Biden's Department of Justice will do anything with it, but yes, it is very
[00:56.120 --> 01:01.600]  dangerous to have public officials who we need to have trust in coming in line to us,
[01:01.600 --> 01:03.920]  but he has lied dozens of times.
[01:03.920 --> 01:09.520]  Usually, he tells us that it's for our own good, but yes, he has dissembled, he has obfuscated,
[01:09.520 --> 01:13.960]  there's other nicer words, but he has definitely lied to the American public, and he should
[01:13.960 --> 01:15.040]  be held responsible.
[01:15.040 --> 01:20.760]  But not just that, the judgment that we should continue to fund this lab and that the virus
[01:20.760 --> 01:24.440]  and all like good came to the lab, I think it's such an incredibly poor judgment that
[01:24.440 --> 01:31.440]  he should be immediately removed.
[01:31.440 --> 01:41.040]  Now, Senator Tom Cotton, who was the first politician to raise the lab leak theory over
[01:41.040 --> 01:45.560]  18 months ago, Senator, your take on these new documents.
[01:45.560 --> 01:50.440]  Well, Laura, I've said for months that Tony Fauci should be fired.
[01:50.440 --> 01:55.200]  Now it's clearly lied to Congress, so he should be investigated and prosecuted to the fullest
[01:55.200 --> 01:57.080]  extent of the law.
[01:57.080 --> 02:01.920]  For 18 months, he's been saddling up his moral high horse and clucking his tongue at college
[02:01.920 --> 02:06.600]  kids who want to go celebrate a football game in an outdoor stadium on a nice full day,
[02:06.600 --> 02:11.120]  or parents who don't want their kindergartners to have to wear masks their entire lives,
[02:11.120 --> 02:15.000]  telling you you have to wear three masks, when all along he's been lying not just to
[02:15.000 --> 02:20.440]  Congress, but to the American people about his role in funding the very reckless, dangerous
[02:20.440 --> 02:26.560]  research at a Chinese Communist lab that unleashed this pandemic on the world.
[02:26.560 --> 02:30.160]  It is a disgrace and it's time for Tony Fauci to be held accountable.
[02:30.160 --> 02:53.200]  Ladies and gentlemen, thank you so much for joining us today, and I'm just going to be
[02:53.200 --> 02:56.600]  completely honest with you.
[02:56.600 --> 03:01.040]  I have been on air 28 years and I've never experienced what I'm now experiencing.
[03:01.040 --> 03:06.280]  It's not because I'm old, not because I'm physically or mentally tired.
[03:06.280 --> 03:12.640]  It's because there is hundreds of times the smoking gun information that there was out
[03:12.640 --> 03:19.040]  there about the New World Order plan 25 years ago, 26, 27, 28 years ago.
[03:19.040 --> 03:25.000]  I mean, the amount of news here is just makes me become dizzy.
[03:25.000 --> 03:29.360]  I'm just marveling at this.
[03:29.360 --> 03:32.680]  They have announced to all of the world that you must pledge allegiance to the New World
[03:32.680 --> 03:39.880]  Order and stay locked in your house forever and depopulate, and that you are non-essential.
[03:39.880 --> 03:43.880]  Biden is set to announce forced inoculations for all federal workers.
[03:43.880 --> 03:46.600]  They don't care if you already have immunity, they don't care if you have a medical condition.
[03:46.600 --> 03:52.800]  It's just total criminal subservience.
[03:52.800 --> 03:58.760]  You have two U.S. senators finally calling for Fauci's arrest and how many years they
[03:58.760 --> 04:03.520]  wanted to serve in prison, Tom Cotton and Rand Paul have got more of the interviews you just
[04:03.520 --> 04:09.760]  saw coming up, and there's even more documents in the – in fact, guys, bring in the 900
[04:09.760 --> 04:10.760]  pages.
[04:10.760 --> 04:11.760]  I have a little desk out there.
[04:11.760 --> 04:13.240]  Please, I forgot to bring that in yesterday.
[04:13.240 --> 04:14.240]  Thanks.
[04:14.240 --> 04:17.720]  I'm going to show you the 900 pages here, where I'll get it during the break.
[04:17.720 --> 04:19.440]  Try it outside that door right there.
[04:19.440 --> 04:31.920]  So this is – this is the level that we're at here now, and it's just out of the open.
[04:31.920 --> 04:32.920]  It's so bizarre.
[04:32.920 --> 04:36.360]  It's – I mean, I haven't even scratched the surface.
[04:36.360 --> 04:41.480]  We've got one, two, three, four, five, six, seven, eight, nine, 10, 11, 12, 13, 14, 15,
[04:41.480 --> 04:47.320]  16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27 stacks.
[04:47.320 --> 04:49.800]  Some of these stacks are 30, 40 articles.
[04:49.800 --> 04:55.000]  I mean, I've got 900 pages of – that says, quote, gain of function on it.
[04:55.000 --> 04:57.200]  I mean, it's just absolutely insane.
[04:57.200 --> 05:00.560]  We'll be right back.
[05:00.560 --> 05:07.480]  There is very little contemporary study in the world of the planet's ruling class,
[05:07.480 --> 05:13.080]  not in Communist China, not in Mexico, not in the United States, not anywhere.
[05:13.080 --> 05:16.720]  Is there a real study of the planet's ruling class?
[05:16.720 --> 05:18.440]  It's done by design.
[05:18.440 --> 05:24.480]  The large central banks that basically control the planet will penalize and target any academics
[05:24.480 --> 05:28.560]  that look in to, say, the Anglo-American establishment, the founder of the Bilderberg
[05:28.560 --> 05:32.360]  Group, the Trilateral Commission of the United Nations, the whole project of the Rothschilds
[05:32.360 --> 05:34.480]  and the Rockefellers.
[05:34.480 --> 05:39.400]  Until 10 years ago, the media said the control corporate media of the Bilderberg Group didn't
[05:39.400 --> 05:40.400]  exist.
[05:40.400 --> 05:43.960]  Well, now the Bilderberg Group is public and its former head, the show on the steering
[05:43.960 --> 05:49.160]  committee, is Klaus Schwab, and he has set up the great reset in global government.
[05:49.160 --> 05:54.280]  And as a liberty movement worldwide, we don't address the globalist head on about the second
[05:54.280 --> 05:56.680]  thing worldwide, authoritarian corporate takeover.
[05:56.680 --> 05:57.680]  We don't have a shot.
[05:57.680 --> 05:58.680]  We do expose them.
[05:58.680 --> 05:59.680]  We can beat them easily.
[05:59.680 --> 06:00.680]  We've got it, brother.
[06:00.680 --> 06:01.680]  That Christmas is coming to you.
