[00:00:08.604 --> 00:00:10.707]  It's Sunday, September 25th.
[00:00:10.707 --> 00:00:14.031]  It was yesterday's most important broadcast.
[00:00:14.031 --> 00:00:15.033]  Now it's September 26th.
[00:00:15.033 --> 00:00:17.516]  Tomorrow will be September 27th.
[00:01:15.262 --> 00:01:21.126]  Ladies and gentlemen of Australia, my name is Ricardo Bozzi and I am the National Leader of Australia One.
[00:01:21.126 --> 00:01:29.471]  In the coming days, weeks and months, disturbing rumours concerning the governance of our country will begin to circulate.
[00:01:29.471 --> 00:01:40.958]  These rumours will appear to be so incredible, so unlikely and even so ludicrous, that the only sensible response would appear to be to dismiss them out of hand.
[00:01:40.958 --> 00:01:44.020]  Some of these rumours will, in time, indeed prove to be false.
[00:01:45.117 --> 00:02:01.766]  Unfortunately, some will be true and be prima facie evidence of the despicable crimes of treason and sedition and some even morally worse by those at the highest levels of power in Australia.
[00:02:01.766 --> 00:02:11.191]  During this time, it is imperative you monitor closely the responses of those who comprise the polity, the judiciary, the bureaucracy,
[00:02:12.012 --> 00:02:21.702]  The military, the constabulary, the corporations, the media, academia and religious organisations.
[00:02:21.702 --> 00:02:27.808]  The case can already be made that many of these people are already attempted of treason.
[00:02:27.808 --> 00:02:35.576]  But if any remain silent in the face of an obvious attack on Australian sovereignty, they will have signed their own death warrants.
[00:02:36.790 --> 00:02:38.571]  Remember them.
[00:02:38.571 --> 00:03:01.677]  From the Governor General and State Governors, through Parliament, through all the courts including the High Court, through the Public Service, the Defence Force, the Police Forces, the Boardrooms, the Unions, the Charities, the Mainstream Media, Schools and Universities and finally even the Churches, Synagogues, Mosques, Temples and Lodges.
[00:03:01.677 --> 00:03:03.998]  Remember their names and who they are.
[00:03:05.271 --> 00:03:08.673]  Remember what they said and what they did not say.
[00:03:08.673 --> 00:03:13.377]  Remember what they did and what they did not do.
[00:03:13.377 --> 00:03:15.958]  Why and how has it come to this?
[00:03:15.958 --> 00:03:21.382]  Simply put, for decades now, we have been deceived by those whom we trusted.
[00:03:21.382 --> 00:03:29.027]  Slowly, the truth has been revealed by the tireless efforts of a few, and this has been a most difficult task.
[00:03:29.027 --> 00:03:34.251]  Some of you will have heard it said, sometimes you can't tell people, you just have to show them.
[00:03:35.316 --> 00:03:41.958]  And to put that in the Australian vernacular, some people just need to piss on the electric fence for themselves.
[00:03:41.958 --> 00:03:45.238]  Thankfully, enough of us are now awake to the lies.
[00:03:45.238 --> 00:03:48.019]  And our numbers continue to grow.
[00:03:48.019 --> 00:03:50.980]  Faster every day.
[00:03:50.980 --> 00:03:53.020]  So what should we do?
[00:03:53.020 --> 00:03:54.081]  Firstly, be calm.
[00:03:54.081 --> 00:03:58.862]  Know that we can and will win this war.
[00:03:58.862 --> 00:03:59.922]  Secondly, be united.
[00:04:00.783 --> 00:04:08.466]  No matter how many they send against us, they cannot defeat 25 million Australians who stand together as one.
[00:04:08.466 --> 00:04:18.650]  And simply say, in a clear, strong and unconquerable voice, no consent, no consent, no consent.
[00:04:18.650 --> 00:04:20.771]  Thirdly, be brave.
[00:04:20.771 --> 00:04:25.432]  Some of us might be hurt, and some of us might die.
[00:04:25.432 --> 00:04:29.834]  But if we truly seek liberty, we must win it for ourselves.
[00:04:30.820 --> 00:04:34.924]  Nothing worth winning is won cheaply.
[00:04:34.924 --> 00:04:37.126]  Fourthly, be good.
[00:04:37.126 --> 00:04:41.269]  We the people must win this war with non-violent, non-cooperation.
[00:04:41.269 --> 00:04:49.056]  Because the manner of our victory is of foundational importance to the future of Australia as a nation-state.
[00:04:49.056 --> 00:04:55.862]  We must win this war with such moral authority that we are able to win the peace that follows.
[00:04:55.862 --> 00:04:57.604]  Finally, when all is done,
[00:05:03.280 --> 00:05:11.927]  So the placebo that they have used, that the FDA has allowed them to use, has often been another vaccine.
[00:05:11.927 --> 00:05:17.731]  A vaccine with a known adverse reaction profile that's causing death and damage in its own right.
[00:05:17.731 --> 00:05:18.451]  That it's the
[00:05:19.508 --> 00:05:30.024]  Aluminum, as an adjuvant in the vaccine, a known neurotoxin, a known immunotoxin, a known poison in human beings, that is in the supposedly inert placebo.
[00:05:30.024 --> 00:05:31.486]  Totally inappropriate.
[00:05:31.486 --> 00:05:33.369]  This is not good science.
[00:05:33.369 --> 00:05:34.911]  It is not science at all.
[00:05:35.859 --> 00:05:47.868]  It is an effort to cover up the true adverse reaction rates to these vaccines so that they can get through the low barrier of constraints put there by the FDA and onto the market.
[00:05:47.868 --> 00:05:49.349]  That is the only concern.
[00:05:49.349 --> 00:05:53.993]  Dr. Wakefield is just one of many informed voices in the film COVIDland.
[00:05:53.993 --> 00:05:57.235]  Secure your copy of COVIDland today at covidland.com.
[00:05:57.235 --> 00:06:02.880]  And if you order by October 6, you get a free copy of the film, Blueprint for Global Enslavement, absolutely free.
[00:06:31.498 --> 00:06:36.122]  If you are receiving this transmission, you are the resistance.
[00:06:36.122 --> 00:06:42.227]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:06:48.260 --> 00:06:55.205]  Ladies and gentlemen, thank you for joining us as we kick off this live Sunday, September 26th, 2021 broadcast.
[00:06:55.205 --> 00:06:58.027]  We have several special guests joining us today.
[00:06:58.027 --> 00:07:08.854]  And the reason I'm focusing so much from Texas across the United States and throughout the world on Australia lately is because Australia is tomorrow's news today.
[00:07:08.854 --> 00:07:12.456]  Australia is next year's news today.
[00:07:12.456 --> 00:07:16.099]  And what the globalists are doing in Australia, what they're doing in the UK, what they're doing in Canada,
[00:07:17.551 --> 00:07:22.614]  What they're doing in the European Union is the designed plan for here, in the globalist's own words.
[00:07:22.614 --> 00:07:30.998]  So, the hellish, permanent lockdown for a, quote, carbon tax is what is being established.
[00:07:30.998 --> 00:07:34.440]  Now, John Bowne is one of our great researchers and reporters.
[00:07:34.440 --> 00:07:39.343]  He puts together a lot of really compelling, informative reports that are critical to the future of humanity.
[00:07:40.453 --> 00:07:46.736]  And he put one together over the weekend that we're going to play here in just a moment that needs to be seen and needs to be shared.
[00:07:46.736 --> 00:07:54.800]  And then I've got some special guests I'm going to tell you about from Australia who are joining us as it's the break of dawn over there right now.
[00:07:54.800 --> 00:07:57.101]  Coming up here in just a few minutes.
[00:07:57.101 --> 00:08:09.687]  But in his report, Bowne lays out the fact that the globalists admit, that's the big corporations, the big banks,
[00:08:10.595 --> 00:08:30.081]  That they are establishing and that they are setting up a corporate world government that through a chip under your skin in the future, but currently through a digital face scan, a digital hand scan, or an app on your phone, will tell you when you can leave your house, can tell you where you can go, can tell you what you can do.
[00:08:30.081 --> 00:08:34.682]  And MasterCard and all the other big credit card manufacturers and controllers
[00:08:36.030 --> 00:08:53.643]  All just came out and said, we're going to limit what you can buy and how you can sell and basically cut your card off when you buy something that's not good for the environment, unless you pay a carbon tax to the United Nations and the private banks that are setting this up.
