[00:00.000 --> 00:20.000]  Infowars, tomorrow's news, today.
[00:30.000 --> 00:56.000]  Well, I gotta say, even though I've been here for almost six years now, I've hosted the Alex Jones show plenty of times, but pretty epic thing to think about as we go live here on this Sunday evening, October 10th, 2021 from the Infowars World Headquarters in Austin, Texas.
[00:56.000 --> 01:12.000]  So we'll be hearing from Alex coming up here shortly. Owen Schroyer's gonna be sitting in. That's me for the two hour Alex Jones show Sunday evening edition live, and then Harrison Smith will be in studio hosting Sunday Night Live immediately following this transmission.
[01:12.000 --> 01:28.000]  So what I'm gonna try to do is lay out with as much current day detail as possible exactly where it is humanity is heading.
[01:28.000 --> 01:38.000]  And when you look at the signs and the symptoms and some of the clues around us right now, the picture's never been clear.
[01:38.000 --> 01:50.000]  So if you've been listening to Infowars for five years, 10 years, 20 years, you know that this has been Infowars news coverage for that period of time warning you.
[01:50.000 --> 01:57.000]  But now that it's here, I can lay it out in real time. There is no debate anymore.
[01:57.000 --> 02:09.000]  We know exactly the blueprint for the New World Order. We know exactly the blueprint for global government. And we now know exactly what that experience is going to be like. And it is, it is hellacious.
[02:09.000 --> 02:26.000]  It is a prison planet. It is global enslavement. It is the end of free will as we know it, the end of free markets as we know it, the end of free mobility as we know it, the end of cheap and easily accessible energy and communication and transportation as we know it.
[02:26.000 --> 02:37.000]  It's all done. It's all done. That rain of humans being free and humans prospering and independence and private property and all that good stuff, done, over with, kaput.
[02:37.000 --> 02:48.000]  And this is just the beginning. We really haven't even sat down at the table yet. We're just kind of being ushered to the table of the New World Order global government right now.
[02:48.000 --> 03:02.000]  So what does it look like briefly? And then Alex Jones coming up on the other side. Well, how about this stack of news where all of these flights are being canceled because of the vaccine mandates?
[03:02.000 --> 03:14.000]  People not wanting to get the deadly vaccine. So just thousands of flights being canceled almost every day now. Then you've got the hospitals having nursing and doctor shortages now. Why? Again, the vaccine mandate.
[03:14.000 --> 03:26.000]  You might say, well, why are they doing this? Why would they cripple themselves this way? That's the point. Destroy civilization. Destroy America. Destroy the free market and then bring in.
[03:26.000 --> 03:33.000]  Build back better. Oh, just like they've been telling you. So the hospitals.
[03:33.000 --> 03:45.000]  Then you've got the cargo ships waiting days, weeks, months at the ports off the coast and then what they're trying to do now to just to get these supplies inbound.
[03:45.000 --> 03:59.000]  Wild stuff there. So, so see, that's just the destruction of the economy. That's just the economic warfare. That's just the attack on our infrastructure to shut everything down, destroy it so they can build back better.
[03:59.000 --> 04:10.000]  But then over here, you have all the vaccine mandates, all the sickness, all the death from the virus made in the lab. And that was what was used to corral us.
[04:10.000 --> 04:19.000]  And you have the stories out of Lithuania and Australia and other places where they're living with this tyranny worse than anywhere else. And they're trying to warn the world how bad it is.
[04:19.000 --> 04:29.000]  We've got one of those guests coming up from Australia who'd been arrested simply for talking about a lockdown protest and he's going to be joining us in the second hour.
[04:29.000 --> 04:41.000]  And then where does it go? Because, yeah, the world's kind of waking up to this, but perhaps it's too late because the next thing they're going to hit us with is the climate tyranny.
[04:41.000 --> 04:52.000]  And they're already starting to roll that out and introduce that. And we'll still have our heads spinning from all the COVID nonsense trying to figure out that.
[04:52.000 --> 05:00.000]  And then all of a sudden there'll be wildfires and hurricanes and all this stuff and they'll say, see climate change and then the climate tyranny will be here and then it's game over.
[05:00.000 --> 05:12.000]  Back in stock, down and out, liquid sleep support. It's been out of stock for a while. It's one of three sleep aids we have at Infowarsstore.com. This one has been very popular. It's sold off the shelves.
[05:12.000 --> 05:22.000]  It's back in stock, down and out, liquid sleep support. This is probably the strongest sleep aid that we have, I would say.
[05:22.000 --> 05:30.000]  Knockout, rocket rest, both great. Comes in pill form. This is the liquid tincture and I think this is probably the most powerful one.
[05:30.000 --> 05:39.000]  Survival Shield Extrude, nascent iodine. This is, if you haven't done an iodine challenge yet, have you haven't done the iodine challenge? What are you waiting for now is the time.
[05:39.000 --> 05:51.000]  Supermale and superfemale vitality. Living Defense Plus and the organic greens fiber caps. We have a limited supply of these right now, but we want to sell them all out so we can order a new batch.
[05:51.000 --> 06:01.000]  It's very popular. The organic greens fiber caps, but we have all kinds of other great supplements that are great for so many different things. Take advantage of those.
[06:21.000 --> 06:29.000]  It's Sunday, October 10th, 2021. Alex Jones here starting the live broadcast today.
[06:29.000 --> 06:39.000]  Owen Schreuer and other guests he's going to be having on are about to take over and I am really attempting right now to be as calm as I can.
[06:39.000 --> 06:54.000]  Because I've illustrated the great tyranny that was coming in a very agitated way many times, but now that it's here, I think it's very important that we be calm and make our decisions about what we're going to do and then follow through on them.
[06:54.000 --> 06:59.000]  Yes, it's good to be emotional about what's happening and to give people out of their trances.
[06:59.000 --> 07:09.000]  But now that so many people are out of their trance, it's important to consciously realize that we've been right and that we've been vindicated.
[07:09.000 --> 07:28.000]  The globalists are just as evil and bad as Republic research on them showed them to be. In fact, they're worse and we just have to now step back and assess their attack and expose who and what they are.
[07:28.000 --> 07:43.000]  And once that's done, then all the evil they're carrying out won't be able to be blamed on some side group or some minion or puppet they control, but squarely on them, squarely on their shoulders.
[07:43.000 --> 08:00.000]  I will break down some of the latest developments here in a moment and hand the baton to Owen, but first let's just pull back to one of the more viral monologues that Tucker Carlson did a few weeks ago entitled Who is in Control?
[08:00.000 --> 08:09.000]  Who is in charge with an image of the puppet president on the screen, Joe Biden? And that really is the question, isn't it?
[08:09.000 --> 08:15.000]  But it's not just a question of the fact that he's a puppet and we know he is. We're wondering who's in control of him.
[08:15.000 --> 08:30.000]  When you ask the question who is in control, that invariably leads to the United Nations and Klaus Schwab and the private mega corporations that brag that they are establishing an authoritarian world government.
[08:30.000 --> 08:47.000]  That's why I make a big deal about it that on Klaus Schwab's own Wikipedia, with a link to the Debo's group, he says we're, quote, capturing countries and capturing, quote, democracies and removing the general public from the decision making process.
[08:47.000 --> 09:03.000]  When the public's not part of the decision making process and not in charge of it, that's an authoritarian dictatorship. So when we see the left and all these people going along with tyranny, you have to understand they're on board with the corporate takeover.
[09:03.000 --> 09:16.000]  They know full well they're bad. They know full well in Europe and Australia and the UK and Canada when they march out to people's houses and beat them up at Christmas because they've got more than two people in their home.
[09:16.000 --> 09:25.000]  Or they announce on TV that if you're not double or triple vax, you can't have Christmas or that you can't look at a sunset or talk to your neighbor.
[09:25.000 --> 09:40.000]  That's all done to rub it in and break your will and demoralize you and move the overton window of what's acceptable politically to the worst depths of oppression and classical tyranny.
[09:40.000 --> 09:45.000]  We all know the saying that is associated most with authoritarian regimes.
[09:45.000 --> 09:57.000]  Alexander Schultz and Eson wrote about it in New York Archipelago and it's the knock at the door in the middle of the night, that knock at the door that comes at 3am.
[09:57.000 --> 10:13.000]  That's the telltale sign of an authoritarian state. So as our energy prices explode and as food shortages arise and as racial conflict expands and as the police are downsized and the prisons are empty to violent offenders
