[00:00.000 --> 00:05.000]  1884 is 1776.
[00:13.000 --> 00:18.000]  Infowars has been banned, arrested,
[00:21.000 --> 00:23.000]  attacked and threatened.
[00:24.000 --> 00:26.000]  Because we are effective.
[00:26.000 --> 00:31.000]  The Great Awakening is here. Go to banned.video.
[00:32.000 --> 00:34.000]  Download the videos and share.
[00:35.000 --> 00:40.000]  Support the information war at infowarstore.com
[00:43.000 --> 00:45.000]  and never give up the fight.
[00:45.000 --> 00:47.000]  Infowars.com
[00:58.000 --> 01:02.000]  Covens in Europe, in America, in Australia and they have one right here.
[01:03.000 --> 01:06.000]  That whole bunch. The parties with the singing and the flute and the chanting.
[01:07.000 --> 01:09.000]  Those are espas, they're sabbats.
[01:10.000 --> 01:11.000]  Read what they do, guy.
[01:11.000 --> 01:15.000]  They use blood in their rituals and the blood that has the most power is baby's blood.
[01:16.000 --> 01:17.000]  And they don't just use the blood, they use the flesh too.
[01:18.000 --> 01:19.000]  Rosemary for God's sakes.
[01:20.000 --> 01:27.000]  Bloomberg, why is there at least 10 bills I've seen for implantable microchips implanted inside so-called vaccines
[01:28.000 --> 01:36.000]  and vaccine tattoos that are little microchips that are embedded in your skin, microglass that's on the patch then goes into your skin
[01:36.000 --> 01:44.000]  and global blockchain to control the human body and it's all from the UN and it's all from the Rockefeller Foundation and Bill Gates.
[01:45.000 --> 01:46.000]  I mean it's all there, you can pull up yourself.
[01:47.000 --> 01:50.000]  And then they just always call the bill numbers 666.
[01:51.000 --> 01:57.000]  A lot of people are aware of the 666 within Microsoft's pattern to use people's brainwaves to mine cryptocurrencies.
[01:57.000 --> 02:06.000]  Now, we see the number is on the H.R. point 666, COVID-19 testing, reaching and contacting everyone, trace, act.
[02:07.000 --> 02:11.000]  Why do we keep seeing the number 666 contained within all these patterns and bill numbers?
[02:14.000 --> 02:15.000]  Is this deliberate?
[02:16.000 --> 02:17.000]  Is this the true sign of the times?
[02:17.000 --> 02:28.000]  And they just fetishize that number to rub it in our face as they bring in a world cashless society that you cannot buy nor sell unless you take whatever the new thing is they're wanting to put in your body.
[02:29.000 --> 02:30.000]  They wanted to rub your nose in it.
[02:31.000 --> 02:32.000]  Here's another one.
[02:33.000 --> 02:34.000]  Again, CNBC tweets this Pfizer article.
[02:35.000 --> 02:36.000]  Pfizer wrote this for Pfizer.
[02:37.000 --> 02:43.000]  A COVID-19 vaccine may just be the beginning for the potential revolutionary promise of mRNA technology.
[02:43.000 --> 02:48.000]  That's experimental that they just foisted on us and is killing a bunch of people, but that's just the way it is.
[02:49.000 --> 02:49.000]  You're going to take it in your body.
[02:50.000 --> 02:52.000]  Now, let's ask ourselves what world we've reached here.
[02:53.000 --> 02:58.000]  This is a military globalist assault through the medical system by the central banks to collapse civilization.
[02:59.000 --> 03:03.000]  Now, let me just show you this little, this little jewel for radio listeners all narrated.
[03:04.000 --> 03:11.000]  It's got an image of Scott Gottlieb who is at the FDA and then next to him a Pfizer executive who is him.
[03:11.000 --> 03:12.000]  Scott Gottlieb.
[03:13.000 --> 03:17.000]  On the left is the former FDA commissioner in charge of regulating Pfizer.
[03:18.000 --> 03:22.000]  On the right is a current member of the board of directors of Pfizer making tens of millions a year.
[03:23.000 --> 03:24.000]  Can you see that?
[03:25.000 --> 03:26.000]  Here's another one.
[03:27.000 --> 03:28.000]  Stephen Hahn.
[03:29.000 --> 03:30.000]  Here he is at the FDA.
[03:31.000 --> 03:32.000]  Here he is at Moderna.
[03:33.000 --> 03:34.000]  That means Gates.
[03:35.000 --> 03:36.000]  Stephen Hahn.
[03:37.000 --> 03:38.000]  On the left is the former FDA commissioner in charge of regulating Moderna.
[03:38.000 --> 03:42.000]  On the left is the medical officer of flagship pioneering, the venture capital firm behind Moderna.
[03:43.000 --> 03:44.000]  That's Bill Gates.
[03:45.000 --> 03:46.000]  Oh, it's another one.
[03:47.000 --> 03:48.000]  Reuters.
[03:49.000 --> 04:02.000]  Oh, the CEO of Reuters who wrote two articles last week saying that we were making it up that, you know, Fauci cooked it up in a lab, which is all admitted, and that Fauci bragged about we need a new virus to scare everyone into accepting mRNA technology, which he said.
[04:02.000 --> 04:11.000]  Oh, look, James C. Smith on the left is the CEO of Reuters in charge of informing people about the COVID-19 vaccines.
[04:12.000 --> 04:17.000]  On the right is a current member of the board of directors of Pfizer, James C. Smith.
[04:18.000 --> 04:19.000]  Here's another one.
[04:19.000 --> 04:34.000]  Anthony Fauci on the left is the N.I.A.I.D. director under the National Institutes of Health. On the right is the funder of bio weapons research on gain of function back coronavirus is at the Wuhan Institute of virology.
[04:35.000 --> 04:36.000]  That's a fact.
[04:37.000 --> 04:39.000]  But let me guess, you know the fact checkers said this isn't true.
[04:40.000 --> 04:41.000]  It's all true.
[04:42.000 --> 04:43.000]  They're lying to you.
[04:44.000 --> 04:45.000]  You could verify this in 10 seconds.
[04:45.000 --> 04:52.000]  Then why would they do that? Because they're training you psychologically to accept their criminal line and then buying the news like they've already done.
[04:53.000 --> 04:54.000]  I mean, this is a criminal takeover.
[04:55.000 --> 04:56.000]  These men are guilty of war crimes against humanity.
[04:56.000 --> 05:21.000]  They are on the same par as Adolf A. Lewis.
[05:21.000 --> 05:29.000]  I mean, it's got a big dose of the highest quality PQQ and CoQ10 and a bunch of other key ingredients that God gave us their nature that are simply amazing.
[05:30.000 --> 05:31.000]  It's 40% off.
[05:32.000 --> 05:37.000]  This product has been sold out for six, seven months because the supply came breakdowns because we would not cut the quality of the ingredients.
[05:38.000 --> 05:40.000]  We could cut the quality all day and buy crap from China and never be sold out.
[05:41.000 --> 05:42.000]  We're not doing that.
[05:43.000 --> 05:44.000]  This is the highest rated.
[05:44.000 --> 05:51.000]  40% off the sale ends on Monday, 40% off DNA Force Plus and a limited supply of brain force ultra as well.
[05:52.000 --> 05:53.000]  It'll be sold out on Monday.
[05:54.000 --> 05:55.000]  It's 25% off.
[05:56.000 --> 05:57.000]  So support the M4 while getting great products at the same time.
[05:58.000 --> 05:59.000]  Thank you all for your support.
[05:59.000 --> 06:24.000]  My friends, we are now inside the global market.
[06:24.000 --> 06:30.000]  My friends, we are now inside the globalist trap.
[06:31.000 --> 06:36.000]  The extermination of the people of the West is now kicked into high gear.
[06:37.000 --> 06:42.000]  It is a psychological warfare operational likes of which humanity has never seen.
[06:44.000 --> 06:49.000]  It's Wednesday, October 27th, 2021.
[06:49.000 --> 07:02.000]  And if we do not break out of our trance and break others out of the trance and get out of the normality they have sunk us into like a hot poisonous bath.
[07:03.000 --> 07:15.000]  Then God will never forgive us for not standing up for the children because now they are coming for our children.
[07:15.000 --> 07:34.000]  The globalist big pharma owned and controlled FDA has basically forced two rounds of top scientists at the CDC and FDA to quit in the last three months, refusing to roll out experimental shots on five and ups.
[07:35.000 --> 07:39.000]  In fact, Europe's refused to authorize it because of the high death toll in adults.
[07:39.000 --> 07:46.000]  A lot of people draw the line at killing children, including the fictitious Tony Montana in Scarface.
[07:47.000 --> 07:55.000]  But the Joseph Mingolas of the world and other mad scientists like the New Angel of Death, Dr. Fauci enjoy it.
[07:56.000 --> 08:02.000]  They understand that once we allow this to be done to children, the final protections that God has put over the West will be removed.
[08:03.000 --> 08:07.000]  They will be green lit metaphysically to take out the majority of humanity.
[08:07.000 --> 08:13.000]  Let me as calmly as I can tell you what is in the stacks today.
[08:14.000 --> 08:23.000]  Now, a lot of this we're going to report you've already heard hundreds of times and you've heard it predicted by hundreds of experts on this show that we've either interviewed or played clips from.
[08:24.000 --> 08:29.000]  Top scientists, top urologists, epidemiologists, pathologists.
[08:31.000 --> 08:34.000]  But the first stack is unbelievable.
[08:34.000 --> 08:40.000]  It is a lengthy eight page article, a transcript of MPR.
[08:42.000 --> 08:43.000]  From yesterday.
[08:45.000 --> 08:51.000]  ERs are now swamped with seriously ill patients, but many don't even have COVID.
[08:52.000 --> 09:02.000]  And nowhere in the article does it mention that they are the double vaxed, though we found local articles saying yes, we're overwhelmed and it's mainly the double vaxed.
[09:02.000 --> 09:09.000]  And then I have the UK saying the same thing, German papers saying the same thing, even Canadian papers where it slips out.
[09:10.000 --> 09:11.000]  So here's this article.
[09:12.000 --> 09:18.000]  It says we've never seen this many sick people and they even give statistics from national statistics boards.
[09:19.000 --> 09:21.000]  They say it's happening all over the country.
[09:24.000 --> 09:27.000]  And the people do not have COVID, but wait for it, wait for it.
[09:27.000 --> 09:31.000]  You probably guessed what does it say they have?
[09:33.000 --> 09:44.000]  What does it say they have respiratory problems, blood clots, heart conditions, abdominal pain, suicide attempts amongst others.
[09:47.000 --> 09:48.000]  Heart attacks, blood clots.
[09:49.000 --> 09:55.000]  What did the CDC say in October last year that they were predicting it would cause blood clots and heart swelling and flat out heart attacks?
[09:55.000 --> 09:57.000]  Here's one out of the UK.
[09:58.000 --> 10:00.000]  Double jab Brits have worst lurchy.
[10:01.000 --> 10:06.000]  That means disease ever could actually have COVID without realizing it, even though they're testing negative.
[10:07.000 --> 10:09.000]  But it says that the people almost all are double jabbed.
[10:10.000 --> 10:13.000]  So at least in this article, they point out they're double jabbed.
[10:15.000 --> 10:19.000]  And of course, they're describing huge autoimmune responses, not being able to breathe.
[10:19.000 --> 10:27.000]  When they come in contact with a regular coronavirus, the vaccinated that have an autoimmune response, antibody dependent enhancement.
[10:29.000 --> 10:37.000]  The simple definition of ADE is quote raising antibodies that don't protect but actually make a viral infection even worse.
[10:38.000 --> 10:45.000]  And that's why they could never do vaccines for coronaviruses because they tried more than 100 times around the world, including the US government more than 20 times.
[10:45.000 --> 11:06.000]  And every time I play the congressional hearings here, it caused death, death, DEATH, death, death in a large percentage of people, including children they did trials on 15 years ago.
[11:06.000 --> 11:14.000]  So there's another headline, leaky vaccines, enhanced spread of deadlier chicken viruses, yet that's already begun here.
[11:15.000 --> 11:18.000]  Marics, disease, and humans is what they're warning of.
[11:19.000 --> 11:21.000]  These are all real things I'm talking about.
[11:24.000 --> 11:28.000]  So imagine being the MPR, globalist propaganda is at the highest level of this info.
[11:29.000 --> 11:33.000]  And they're reporting on the real fact that there's record numbers of illnesses in the hospitals.
[11:33.000 --> 11:38.000]  And it's all the side effects of the shot that was predicted, but they won't tell you that ever.
[11:39.000 --> 11:44.000]  Their answer is federalize the hospitals and have FEMA take it over, which is already happening with the military.
[11:45.000 --> 11:48.000]  It describes hellish conditions in the A-page article.
[11:49.000 --> 11:54.000]  Very hard to read, but you know what, I think I'm going to read a large portion of this on here next segment.
[11:55.000 --> 11:58.000]  Okay, let me move on from that super gigantic bombshell.
[11:58.000 --> 12:07.000]  By the way, I've got hundreds of these articles the last few months. It's all over the world from Israel to Gibraltar to Singapore to the UK to Germany to France.
[12:08.000 --> 12:14.000]  The higher the vaccinated area with these franken shots, the higher the hospitalization, the higher the death rates.
[12:15.000 --> 12:21.000]  And I even got the BBC going, well, you're twice as likely to get COVID if you've had the vaccine, but it's mild.
[12:21.000 --> 12:26.000]  I thought a vaccine makes it where you don't get something, period. You can't replicate it.
[12:27.000 --> 12:32.000]  But see, oh, this isn't a vaccine. It's a gene therapy. Oh, oh, oh, oh, you knew it was coming.
[12:33.000 --> 12:39.000]  Remember, you had all those FDA scientists, including the number one and number two quit a couple months ago,
[12:40.000 --> 12:43.000]  saying that we should not have further injections of these mRNA shots.
[12:44.000 --> 12:46.000]  They said there's already problems with it. This was never approved.
[12:46.000 --> 12:50.000]  England has the UK and yellow slipped it, saying pull it, but they didn't.
[12:51.000 --> 12:54.000]  But the main advisory group over there five months ago said we need to pull these shots.
[12:55.000 --> 12:57.000]  Remember, they started about four months before us, so they're right.
[13:00.000 --> 13:02.000]  We're three or four or five months ahead of them.
[13:03.000 --> 13:07.000]  So months and months ahead of us, they already come to the same conclusion you need to pull this.
[13:07.000 --> 13:15.000]  And in the UK, they were smart. They didn't say resign. They just said we no longer listen to that national board that's statutorily in place.
[13:16.000 --> 13:17.000]  So what did they announce?
[13:19.000 --> 13:23.000]  Well, they announced a few months ago, the head of the FDA, not her advisory board,
[13:24.000 --> 13:27.000]  the lady that legalized OxyContin and fentanyl here in the United States.
[13:28.000 --> 13:33.000]  That monster, she legalized it for children, by the way, in the case of OxyContin.
[13:33.000 --> 13:36.000]  OxyContin, that death sentence.
[13:39.000 --> 13:42.000]  What did I say they'd do in a few months? Well, they just came out and said fourth shots now.
[13:44.000 --> 13:46.000]  So the board resigned, they quit.
[13:47.000 --> 13:51.000]  The boards voted against third jab, said it's going to hurt people.
[13:52.000 --> 13:54.000]  And they just said, we'll take your resignation.
[13:54.000 --> 14:03.000]  And now the actual big pharma heads directly call the shots and go on TV and say we don't care what government advisors say.
[14:04.000 --> 14:07.000]  We don't care what the boards say. We're just going to go ahead with all of this.
[14:08.000 --> 14:10.000]  So they've now announced a fourth injection.
[14:11.000 --> 14:15.000]  CDC says EMU compromised people can get fourth COVID shot.
[14:16.000 --> 14:18.000]  Isn't that funny? Because it erases your immune system.
[14:19.000 --> 14:20.000]  So now they say you can get more of those shots.
[14:20.000 --> 14:26.000]  And remember what the head spokesman doctor of the British main ministry said is six months ago bragged.
[14:27.000 --> 14:29.000]  Oh, we already know the Pfizer shot erases your immune system.
[14:30.000 --> 14:33.000]  So people are going to need shots 10 times a year.
[14:36.000 --> 14:39.000]  They're already up to saying you're going to need five shots a year in Australia.
[14:40.000 --> 14:41.000]  Now they're up to four shots a year here.
[14:42.000 --> 14:43.000]  Israel's up to five shots.
[14:45.000 --> 14:47.000]  But that's not even the big news, ladies and gentlemen.
[14:47.000 --> 14:52.000]  You know, adults want to buy into the lie or go in and take a deadly poison.
[14:53.000 --> 14:55.000]  It's illegal. It's happening. It's criminal. It's wrong.
[14:56.000 --> 15:08.000]  But it doesn't cross the final Rubicon line in my heart and soul where this morning, I mean, I could feel the spirit of God just ordering me to do what it takes to stop this and saying you will stop it or it's on you.
[15:09.000 --> 15:11.000]  And I don't like that, that, that, that super strong conscience.
[15:12.000 --> 15:15.000]  God working through that telling me that I'm thinking, yes, sir, I'm okay. What do I do?
[15:15.000 --> 15:17.000]  And we're going to have a discussion about this. What are you going to do?
[15:18.000 --> 15:21.000]  FDA panel backs Pfizer shots for children as young as five.
[15:22.000 --> 15:26.000]  We're never going to learn about how safe this vaccine is unless we start giving it.
[15:27.000 --> 15:28.000]  Wow, even admitting it's untested.
[15:29.000 --> 15:30.000]  And then the test on children, they've now started.
[15:31.000 --> 15:32.000]  They're causing a lot of illnesses and deaths.
[15:33.000 --> 15:34.000]  Then they cover those up and suppress those.
[15:35.000 --> 15:36.000]  But there's a bigger issue here.
[15:37.000 --> 15:39.000]  This means mandatory shots for five and up for school for going anywhere.
[15:39.000 --> 15:44.000]  So they're now coming at your children with an experimental deadly shot, not just linked,
[15:45.000 --> 15:46.000]  but shown to cause heart attacks, autoimmune disorders, ADE.
[15:47.000 --> 15:48.000]  So this is like people coming with a butcher knife at your child.
[15:49.000 --> 15:50.000]  They, they want to start a fight. That's their plan.
[15:51.000 --> 15:52.000]  They're trying to force a civil war.
[15:53.000 --> 15:54.000]  If you're concerned about the.
[15:55.000 --> 16:00.000]  I am taping this update on the morning of Friday, October 22, 2021.
[16:01.000 --> 16:05.000]  Listeners who've already tried and really seen the powerful effects of autoimmune
[16:05.000 --> 16:08.000]  should be excited to know that we've got a limited supply of it in stock,
[16:09.000 --> 16:11.000]  but it'll be sold out at current sales rates by Monday morning.
[16:12.000 --> 16:16.000]  Despite that fact, we're still offering a major discount of 25% off.
[16:17.000 --> 16:18.000]  It is an amazing, new tropic.
[16:19.000 --> 16:20.000]  I went to one of the top labs in the country and I said,
[16:21.000 --> 16:25.000]  I want very powerful, quick acting, extremely clean, new tropic that wears off quick
[16:26.000 --> 16:27.000]  because I want to be able to take it.
[16:28.000 --> 16:29.000]  If I've got to work on it.
[16:29.000 --> 16:34.000]  At night, take it at seven and for it to wear off by 10.
[16:35.000 --> 16:38.000]  And that's exactly what they did with brain force ultra.
[16:39.000 --> 16:41.000]  Now we have other great products like turbo force that last for 10 hours.
[16:42.000 --> 16:43.000]  It's a different formula.
[16:44.000 --> 16:45.000]  It's over the top powerful.
[16:46.000 --> 16:47.000]  So strong.
[16:48.000 --> 16:49.000]  I can't even take it.
[16:50.000 --> 16:51.000]  By the way, it's sold out right now.
[16:52.000 --> 16:53.000]  The brain force ultra is really something special.
[16:54.000 --> 16:55.000]  It's 25% off limited supply.
[16:56.000 --> 16:57.000]  We'll sell out early next week.
[16:57.000 --> 16:58.000]  Info or store.com.
[16:59.000 --> 17:00.000]  Why do my enemies hate me so much?
[17:01.000 --> 17:02.000]  Why do the globalists take you so much?
[17:03.000 --> 17:04.000]  Why do they hate America so much?
[17:05.000 --> 17:12.000]  Because it's an idea of freedom that their tyrannical system that they're pushing cannot go exist with.
[17:13.000 --> 17:19.000]  It's very, very simple for their world government, their anti-human, post-human eugenics system to flourish.
[17:20.000 --> 17:25.000]  Freedom and liberty and due process injustice and God fearing systems must fail.
[17:25.000 --> 17:28.000]  So sure, you didn't start a fight with Bill Gates.
[17:29.000 --> 17:31.000]  You didn't start a fight with David Rockefeller.
[17:32.000 --> 17:33.000]  You didn't start a fight with the UN.
[17:34.000 --> 17:36.000]  They started a fight with you.
[17:37.000 --> 17:39.000]  And they're not going to back down and they're not going to go away.
