[00:00:15.343 --> 00:00:16.463]  InfoWars.
[00:00:16.463 --> 00:00:17.644]  Tomorrow's news.
[00:00:17.644 --> 00:00:17.984]  Today.
[00:00:20.302 --> 00:00:23.924]  Ricardo Delgado has a master's in biostatistics.
[00:00:23.924 --> 00:00:30.007]  His postgraduate studies included microbiology, epidemiology, and immunology.
[00:00:30.007 --> 00:00:32.448]  He is the founder of the Fifth Column.
[00:00:32.448 --> 00:00:45.394]  Delgado has published videos of electron microscopy taken at the University of Almeria in Spain of the Pfizer mRNA vaccine, showing what can best be described as self-organizing nanostructures.
[00:00:46.394 --> 00:00:53.642]  The videos show that as the Pfizer mRNA vaccine evaporates, nano-sized structures begin to form.
[00:00:53.642 --> 00:00:57.226]  Multiple structures that appear to be the same things.
[00:00:57.226 --> 00:01:01.191]  Things that look like microchips and electronic circuitry.
[00:01:02.193 --> 00:01:12.158]  Pfizer has reportedly made 33 different batches, which have all been cataloged in a database, some dangerous and others seemingly innocuous.
[00:01:12.158 --> 00:01:21.563]  So these things maybe aren't in every vial, but the FDA has said that they need 75 years to tell us all the details, so maybe they are.
[00:01:21.563 --> 00:01:29.907]  At a World Economic Forum 2018 conference, the Chief Executive Officer of Pfizer expressed excitement for invasive nanotech.
[00:01:30.547 --> 00:01:37.811]  Referring to the recent FDA approval of a tablet with a sensor that can notify medical authorities of compliance.
[00:01:37.811 --> 00:01:43.515]  It is basically a biological chip, but it is in the tablet.
[00:01:43.515 --> 00:01:49.678]  And once you take the tablet and it dissolves into your stomach, it sends a signal that you took the tablet.
[00:01:49.678 --> 00:01:52.000]  So imagine the applications of that.
[00:01:52.000 --> 00:01:53.841]  Compliance.
[00:01:53.841 --> 00:01:59.184]  Later that year, a nano-transistor chip is unveiled that replaces silicone with air.
[00:02:00.382 --> 00:02:06.536]  Just this week, a COVID implantable microchip developer claimed, we will be chipped whether we like it or not.
[00:02:07.745 --> 00:02:16.049]  There has been much talk about graphene oxide and nanotech in the vaccines, which the media vehemently claims is not true.
[00:02:16.049 --> 00:02:17.430]  But how would they know?
[00:02:17.430 --> 00:02:21.733]  And why would anyone trust a word that they say about any of this?
[00:02:21.733 --> 00:02:30.777]  If there are nanocircuits being created within the bodies of the vaccinated, this would explain the videos we've seen of IP addresses coming from the jabbed.
[00:02:30.777 --> 00:02:35.420]  A newly activated network of nanocircuits, unique to each individual.
[00:02:36.870 --> 00:02:56.093]  One of the leading experts of nanotechnology, Charles Lieber, has written patents describing a technology that has the potential to self-assemble into tiny computer systems capable of controlling human neurology, which is exactly what Delgado's electron microscopy of the Pfizer jab appears to be.
[00:02:56.093 --> 00:03:04.835]  Charles Lieber was just convicted on numerous crimes for working with the Communist Chinese in Wuhan, where Pfizer ran a research and development facility.
[00:03:05.955 --> 00:03:17.880]  Elon Musk expects to be implanting his Neuralink into human beings this year, and claims that they could put you fully into virtual reality, as if this is somehow important for humanity.
[00:03:17.880 --> 00:03:19.820]  For humanity, it isn't.
[00:03:19.820 --> 00:03:23.061]  But for the transhumanist, it's a necessity.
[00:03:23.061 --> 00:03:30.244]  And if you listen to the psychopaths orchestrating all of this, transhumanism is officially their stated goal.
[00:03:30.244 --> 00:03:32.385]  And they won't need Elon's implantable chip.
[00:03:33.044 --> 00:03:42.115]  With injectable nano-sized circuitry in the human brain and nervous system, non-intrusive wearable tech will do the job just fine.
[00:03:42.115 --> 00:03:50.926]  And this is rapidly being developed by Welcome Leap, a privately run umbrella corporation connecting DARPA, Silicon Valley, and the military
[00:03:51.446 --> 00:04:13.333]  Who has tripled their network in less than a year, boasting success for the deadly mRNA vaccines and pushing to accelerate new ones designed to correct every so-called flaw of the human psyche that stands in the way of productivity to an authoritarian state run by artificial intelligence that monitors and controls their neurological functions 24-7.
[00:04:15.319 --> 00:04:19.022]  This is exactly what they say they want by the year 2030.
[00:04:19.022 --> 00:04:29.069]  So either the vaccines are a way of interfacing the new transhuman with AI technology or they're lying and it's all about depopulation.
[00:04:29.069 --> 00:04:31.490]  Which is what the latest data is showing.
[00:04:31.490 --> 00:04:36.674]  Natural News recently estimated billions of deaths if it isn't stopped in the next year.
[00:04:37.523 --> 00:04:40.424]  It obviously isn't about public health.
[00:04:40.424 --> 00:04:46.967]  And whether it's about depopulation or transhumanism, it is a threat to all of humanity.
[00:04:46.967 --> 00:04:52.010]  We could ponder until the end about why anyone would want to do this.
[00:04:52.010 --> 00:04:56.152]  But the real question is why are we letting them?
[00:04:56.152 --> 00:04:58.613]  Reporting for InfoWars, this is Greg Reese.
[00:05:00.219 --> 00:05:07.362]  Everything we've witnessed in the last few decades has only been the build-up for what the globalists are doing right now.
[00:05:07.362 --> 00:05:09.083]  This is their big offensive.
[00:05:09.083 --> 00:05:10.543]  This is their takeover.
[00:05:10.543 --> 00:05:14.545]  And this is the point that they're at their very weakest because now they've revealed themselves.
[00:05:14.545 --> 00:05:19.507]  Now their world government, their permanent martial law, their medical tyranny is out in the open.
[00:05:19.507 --> 00:05:21.708]  Their depopulation agenda has been exposed.
[00:05:22.768 --> 00:05:28.374]  They're using their corporate power and trillions to go across the planet and shut down people telling the truth.
[00:05:28.374 --> 00:05:33.800]  So listen, Paul Reveres, when you spread the word about the broadcast, when you pray for the broadcast, you're the tip of the spear.
[00:05:33.800 --> 00:05:37.464]  And when you buy products at Infowarsstore.com, you keep us on air.
[00:05:37.464 --> 00:05:41.668]  Plus, we've got great products that have been sold out for months that are back in stock, 50% off, X2 and Winter Sun.
[00:05:44.531 --> 00:05:46.594]  Both of these are in our top five best sellers.
[00:05:46.594 --> 00:05:48.036]  They are so good for your body.
[00:05:48.036 --> 00:05:51.341]  And if there's two things you do for your body, it's these two products.
[00:05:51.341 --> 00:05:53.564]  They're all back in stock at m4wrestore.com.
[00:05:53.564 --> 00:05:55.968]  50% off and it keeps us on the air.
[00:05:55.968 --> 00:05:57.831]  Only way we fail is if you don't take action.
[00:06:11.010 --> 00:06:17.520]  Live from the InfoWars.com studios, you're listening to The Alex Jones Show.
[00:06:24.164 --> 00:06:35.870]  One of the terms used to define how they are programming the public to go against reality and logic and basically destroy themselves via mass mental illness that is being programmed.
[00:06:35.870 --> 00:06:45.096]  Dr. Mark McDonald, highly recommended by Dr. Peter McCullough and, of course, Dr. Robert Malone,
[00:06:46.016 --> 00:06:49.159]  We'll be with us in the third hour today.
[00:06:49.159 --> 00:07:00.407]  He's written a book on the state of fear and the mind control and he's going to be laying that out and how you can reach out to others that have been programmed.
[00:07:00.407 --> 00:07:09.935]  I really want to interview this individual but I had obviously some of the issues that came up the last week with some court things I have to deal with, with family issues.
[00:07:09.935 --> 00:07:13.237]  I have to be at a hearing today at two o'clock and so
[00:07:14.511 --> 00:07:24.436]  Owen's going to come in and do the interview, but it's a really big interview, and it's very important, and he's going to lay out the actual technicals of all of that.
[00:07:24.436 --> 00:07:25.717]  People really need to watch this.
[00:07:25.717 --> 00:07:34.421]  You really need to see this, and it's something that you need to share with everybody that you know.
