[00:00.000 --> 00:27.000]  Infowars, tomorrow's news, today.
[00:27.000 --> 00:30.000]  It's time for humanity to stand up in the Infowar and say,
[00:30.000 --> 00:32.000]  I don't know what's going to happen at the end of this,
[00:32.000 --> 00:38.000]  but you want to fight, you better believe, you got one.
[00:38.000 --> 00:52.000]  From the front lines of the Information War, it's Alex Jones.
[00:52.000 --> 01:02.000]  Recently, the central bank digital currencies have been the talking point at the global confabs
[01:02.000 --> 01:07.000]  because they lead to the creation of a global currency system.
[01:07.000 --> 01:13.000]  Good afternoon, everybody, and welcome to the session on resetting digital currencies.
[01:13.000 --> 01:19.000]  The theme of this year's forum, as you know, is a crucial year to rebuild trust.
[01:19.000 --> 01:23.000]  The digital payment system can help reduce this logistical cost,
[01:23.000 --> 01:27.000]  can help remove the dangers of holding cash.
[01:27.000 --> 01:33.000]  As the architects of multiple global crises pour on the tyranny,
[01:33.000 --> 01:40.000]  the IMF is enjoying an elevated position as the problem solver most nations turn to for help,
[01:40.000 --> 01:43.000]  racketeering on a global scale.
[01:43.000 --> 01:48.000]  With all the current issues on our agenda, we tend to forget.
[01:48.000 --> 01:52.000]  We are in the midst of the forced industrial revolution,
[01:52.000 --> 01:58.000]  which accelerates global change in much more comprehensive and faster ways
[01:58.000 --> 02:01.000]  than the previous three revolutions.
[02:01.000 --> 02:07.000]  The objective is to quickly recognize the potential of new technologies.
[02:07.000 --> 02:11.000]  History is truly at a turning point.
[02:11.000 --> 02:19.000]  We do not yet know the full extent and the systemic and structural changes which will happen.
[02:19.000 --> 02:29.000]  However, we do know that global energy systems, food systems and supply chains will be deeply affected.
[02:29.000 --> 02:34.000]  And as Bloomberg gleefully reported, key Democratic congressional allies
[02:34.000 --> 02:39.000]  are urging President Joe Biden's administration to support a new injection of resources
[02:39.000 --> 02:45.000]  for countries at the IMF to help them deal with the fallout from Russia's invasion of Ukraine.
[02:45.000 --> 02:51.000]  To the tune of at least 650 billion in additional IMF reserve assets,
[02:51.000 --> 02:57.000]  the demand is being led by Representative Pramila Jayapal and Senator Elizabeth Warren.
[02:57.000 --> 03:02.000]  Zero hedge recently put the puzzle pieces together concerning the Democrats' proposed
[03:02.000 --> 03:09.000]  650 billion dollar flooding of the IMF with special drawing right funds.
[03:09.000 --> 03:12.000]  What are special drawing right funds?
[03:12.000 --> 03:19.000]  The special drawing right, or SDR, was created by the IMF in 1969
[03:19.000 --> 03:23.000]  to supplement the official reserves of its member countries.
[03:23.000 --> 03:29.000]  The SDR is an interest bearing international reserve asset that can only be held by the IMF,
[03:29.000 --> 03:35.000]  its member countries and designated official entities known as prescribed holders.
[03:35.000 --> 03:40.000]  In addition to this role, the SDR serves as the unit of account of the IMF
[03:40.000 --> 03:43.000]  and several other international organizations.
[03:43.000 --> 03:44.000]  Zero hedge writes,
[03:44.000 --> 03:48.000]  Each new crisis brings global banks closer to their goal,
[03:48.000 --> 03:52.000]  the introduction of national digital currencies and the SDR basket
[03:52.000 --> 03:57.000]  become the de facto reserve trading tool for the world.
[03:57.000 --> 04:02.000]  Why do Democrats specifically want aid denominated in SDRs?
[04:02.000 --> 04:07.000]  Because funding allocations in the US have already hit their maximum
