[00:00.000 --> 00:27.700]  Infowars, tomorrow's news, today.
[00:27.700 --> 00:34.180]  On the eve of the U.S. elections, Kim.com published a thread of important questions
[00:34.180 --> 00:36.940]  that every American should be asking.
[00:36.940 --> 00:37.940]  He wrote,
[00:37.940 --> 00:41.860]  The U.S. proxy war in Ukraine is not going well.
[00:41.860 --> 00:46.900]  Let's ask some important questions and see if you have the answers.
[00:46.900 --> 00:48.580]  Feel free to reply.
[00:48.580 --> 00:50.060]  1.
[00:50.060 --> 00:57.000]  How long will people in the West accept sending billions to Ukraine while they have a major
[00:57.000 --> 00:59.500]  cost of living crisis?
[00:59.500 --> 01:01.000]  2.
[01:01.000 --> 01:06.820]  Now that large parts of Ukraine are without power, how many millions of additional Ukrainian
[01:06.820 --> 01:09.500]  refugees can Europe support?
[01:09.500 --> 01:11.500]  Winter is coming.
[01:11.500 --> 01:12.500]  3.
[01:12.500 --> 01:19.420]  Russia prepares a major offensive this winter, with up to 500,000 fresh troops.
[01:19.420 --> 01:23.340]  How will Ukraine stop them with their depleted army?
[01:23.340 --> 01:24.580]  4.
[01:24.580 --> 01:29.060]  The Russian economy is fine, despite Western sanctions.
[01:29.060 --> 01:34.820]  Russia now sells oil and gas to China and India, with Turkey becoming the new energy
[01:34.820 --> 01:40.980]  hub to Europe, meaning Russia can afford this war for as long as it wants.
[01:40.980 --> 01:45.820]  Are Western taxpayers prepared to spend a trillion in Ukraine?
[01:45.820 --> 01:47.300]  5.
[01:47.300 --> 01:51.620]  Russia is now mass producing $30,000 Kamikaze drones.
[01:51.620 --> 01:55.980]  They destroy NATO weapons systems that cost millions.
[01:55.980 --> 02:02.020]  While Russia is fighting a low-budget war, it preserves high-end arms for a confrontation
[02:02.020 --> 02:03.380]  with NATO.
[02:03.380 --> 02:09.180]  How long until NATO is running out of high-end arms to defend itself?
[02:09.180 --> 02:10.700]  6.
[02:10.700 --> 02:14.840]  Russia is winning because it has the clear strategic advantage.
[02:14.840 --> 02:16.900]  Time is on its side.
[02:16.900 --> 02:23.380]  The longer this conflict takes, the more likely the defeat of the West becomes, no matter
[02:23.380 --> 02:27.580]  how much money and arms they send to Ukraine.
[02:27.580 --> 02:28.580]  What then?
[02:28.580 --> 02:31.060]  NATO troops in Ukraine?
[02:31.060 --> 02:32.260]  Nuclear war?
[02:32.260 --> 02:33.580]  Or peace?
[02:33.580 --> 02:35.080]  7.
[02:35.080 --> 02:38.780]  The US-EU propaganda is failing.
[02:38.780 --> 02:42.620]  Most people can see the reality of this US proxy war.
[02:42.620 --> 02:44.980]  It's all over the Internet.
[02:44.980 --> 02:48.340]  Human flags on social media have disappeared.
[02:48.340 --> 02:55.780]  And as with past US wars built on lies, this one is also running out of steam.
[02:55.780 --> 02:58.380]  Who still supports this nonsense?
[02:58.380 --> 02:59.540]  8.
[02:59.540 --> 03:02.700]  Now ask yourself the most important question.
[03:02.700 --> 03:10.140]  The US proxy war in Ukraine only serves US interests to prevent BRICS from ending USD
[03:10.140 --> 03:11.140]  dominance.
[03:11.140 --> 03:14.140]  US Empire is bankrupt.
[03:14.140 --> 03:16.020]  Time to accept that.
[03:16.020 --> 03:18.260]  Let's go multi-polar.
[03:18.260 --> 03:24.340]  This is not the issue for which humanity must end in a nuclear war.
[03:24.340 --> 03:27.020]  Kim.com is correct.
[03:27.020 --> 03:32.340]  President Vladimir Putin's suggestion for a multi-polar world is the only reasonable
[03:32.340 --> 03:34.140]  solution.
[03:34.140 --> 03:38.100]  1776 worldwide.
[03:38.100 --> 03:45.100]  Reporting for InfoWars, this is Greg Rees.
[04:09.100 --> 04:21.100]  InfoWars has been banned, arrested, attacked, and threatened.
[04:21.100 --> 04:26.100]  Because we are effective, the Great Awakening is here.
[04:26.100 --> 04:28.100]  Go to banned.video.
[04:28.100 --> 04:32.100]  Download the videos and share.
[04:32.100 --> 04:39.100]  Support the information war at infowarstore.com.
[04:39.100 --> 04:43.100]  And never give up the fight.
[04:43.100 --> 05:07.100]  I'm Dr. Peter McCullough, and it's an absolute pleasure to introduce to you the Wellness
[05:07.100 --> 05:12.100]  Company, an alternative healthcare system for this COVID and post-COVID world.
[05:12.100 --> 05:18.100]  Where trust has been lost in doctors and healthcare systems.
[05:18.100 --> 05:28.100]  This new online virtual platform is nationwide providing uncensored content, virtual appointments,
[05:28.100 --> 05:36.100]  laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID,
[05:36.100 --> 05:42.100]  post-COVID, vaccine injury syndromes, and all the usual things that are seen in primary
[05:42.100 --> 05:43.100]  care.
[05:43.100 --> 05:51.100]  And then we have an entire array of holistic products, an online store, media, and health
[05:51.100 --> 05:52.100]  advice.
[05:52.100 --> 06:07.100]  Come see the Wellness Company and go to onlinehealthnow.com as a conduit to the Wellness Company.
[06:22.100 --> 06:24.100]  Well, they did it.
[06:24.100 --> 06:33.100]  They stole this election at a level even more naked and more brazen by orders of magnitude
[06:33.100 --> 06:36.100]  than 24 months ago.
[06:36.100 --> 06:39.100]  Thank you for joining us on this Wednesday, November 9th.
[06:39.100 --> 06:43.100]  2022 transmission, we've got a bunch of expert guests.
[06:43.100 --> 06:49.100]  Jim Hoff, Gateway Pundit, Roger Stone, obviously expert on what just happened, as well as Darren
[06:49.100 --> 06:54.100]  Beatty and more working on getting Steve Bannon and others will also open the phones up on
[06:54.100 --> 07:00.100]  what you witnessed on the critical election day yesterday and ongoing in many areas like
[07:00.100 --> 07:05.100]  Arizona, Georgia, and, of course, Nevada.
[07:05.100 --> 07:07.100]  We've got all the numbers on that.
[07:07.100 --> 07:12.100]  It looks like Georgia is going to decide whether the Republicans get a one senator majority
[07:12.100 --> 07:15.100]  in the Senate.
[07:15.100 --> 07:20.100]  Herschel Walker could save the Senate, a great guy.
[07:20.100 --> 07:22.100]  They've definitely targeted and demonized.
[07:22.100 --> 07:27.100]  But we're going to get to all of that with Jim Hoff coming up in 30 minutes.
[07:27.100 --> 07:31.100]  We're going to get to all of that with Roger Stone coming up in 55 minutes.
[07:31.100 --> 07:35.100]  We're going to get to all of that throughout the day and look at the numbers and go over
[07:35.100 --> 07:36.100]  the facts.
[07:36.100 --> 07:38.100]  But here's the big takeaway.
[07:38.100 --> 07:41.100]  I want everybody to really let's sink in here.
[07:41.100 --> 07:46.100]  The globalists are cornered rats, they've painted themselves into a corner.
[07:46.100 --> 07:49.100]  Their houses on fire were in it with them is the problem.
[07:49.100 --> 07:54.100]  And the fact that they stole the election two years ago caused a seismic shift against
[07:54.100 --> 07:56.100]  them in all the polls and studies and numbers.
[07:56.100 --> 07:57.100]  We're going to go over those.
[07:57.100 --> 08:02.100]  And then this latest theft that was completely naked and brazen when you have the smoking
[08:02.100 --> 08:10.100]  guns will go over like exit polls that showed massive, massive Republican swing
[08:10.100 --> 08:11.100]  by Democrats.
[08:11.100 --> 08:16.100]  And that's what I see on the ground, not just in Texas, but around the country as well.
[08:16.100 --> 08:22.100]  Everybody's witnessing it where Tulsi Gabbard becomes an independent Republican, Joe Rogan
[08:22.100 --> 08:23.100]  becomes a Republican.
[08:23.100 --> 08:26.100]  I mean, it's everywhere.
[08:26.100 --> 08:28.100]  It's absolutely everywhere.
[08:28.100 --> 08:29.100]  Everybody's waking up.
[08:29.100 --> 08:30.100]  It's how woke are they?
[08:30.100 --> 08:35.100]  Are they going from being a Republican to an anti-globalist like Tucker Carlson?
[08:35.100 --> 08:41.100]  There's Alex Jones on one end of the true woke that you've got the totally mind control
[08:41.100 --> 08:47.100]  that support the corporate fascist model that operates using communism on the other end.
