[00:00:08.490 --> 00:00:11.432]  Thursday, November 24th, the year 2022.
[00:00:11.432 --> 00:00:12.472]  It is Thanksgiving.
[00:00:12.472 --> 00:00:15.094]  This is our special Thanksgiving broadcast.
[00:00:15.094 --> 00:00:17.355]  And I want to thank you all for joining us today.
[00:00:17.355 --> 00:00:19.857]  I want to tell you what's coming up.
[00:00:19.857 --> 00:00:29.002]  I did a hour and a half interview with Dr. Sherry Tenpenny a few weeks ago that listeners and viewers that saw it really gave us great reviews from.
[00:00:29.002 --> 00:00:35.126]  So we're going to be airing that Dr. Sherry Tenpenny interview with me coming up in
[00:00:35.546 --> 00:00:36.286]  I think so.
[00:00:50.894 --> 00:00:56.536]  Tomorrow on the Friday edition, we're going to have that special David Icke interview, George Christensen, Mike Adams, and more.
[00:00:56.536 --> 00:01:02.197]  And I just want to wish you all an amazing Thanksgiving, and I'm just very, very thankful for all of you and what you've done.
[00:01:02.197 --> 00:01:09.719]  I wanted to hit a story that came out a few days ago on Infowars.com that I've not yet gotten to that's so important.
[00:01:09.719 --> 00:01:19.182]  High-end fashion brand ads shows young kids holding sex-bondage teddy bears with child porn court papers in the background.
[00:01:19.182 --> 00:01:19.762]  And it's literal.
[00:01:21.261 --> 00:01:29.956]  Bondage, torture, S&M dolls with what looks like three or four year olds.
[00:01:29.956 --> 00:01:32.200]  There's a whole bunch of this that's really hard to look at.
[00:01:32.200 --> 00:01:34.964]  And then on the desk in front of them are court papers.
[00:01:36.707 --> 00:01:37.007]  I don't know.
[00:01:54.216 --> 00:02:00.062]  They're a cult, and as Owen Troyer said a few days ago, you just cannot compromise with this level of evil.
[00:02:00.062 --> 00:02:03.566]  I don't even want to say the name of the company on air and give them any attention.
[00:02:03.566 --> 00:02:11.013]  It's one of the top luxury brands in the world, and they sell sunglasses and shoes and bags and clothing and jewelry.
[00:02:12.234 --> 00:02:14.236]  And it's just absolutely, truly disgusting.
[00:02:14.236 --> 00:02:17.058]  Again, the headline, high-end fashion brand.
[00:02:17.058 --> 00:02:22.862]  Ad shows young kids holding sex-bonded teddy bears with child porn court papers in the background.
[00:02:22.862 --> 00:02:24.003]  This is who we're dealing with.
[00:02:24.003 --> 00:02:32.089]  This is the type of people that are waging war on our civilization, on our children, because they know they've got to destroy the innocence of the future if they're going to win.
[00:02:33.030 --> 00:02:38.016]  Now here at InfoWars, we are not selling stuff using child porn marketing.
[00:02:38.016 --> 00:02:47.647]  We're marketing health and immune system and the fact that when you buy products at InfoWarsStore.com, it funds the InfoWar and it funds freedom and it funds the human resistance and it funds pro-life.
[00:02:48.638 --> 00:02:51.159]  And right now we have the biggest sale in our history.
[00:02:51.159 --> 00:02:57.122]  Yes, it's been going on for about a month or so, between 40 and 60% off with promo code 1776 and double Patreon points.
[00:02:57.122 --> 00:03:04.305]  But now we've added only until December 1st, because we've estimated that all the products will sell out by then that we've got set aside as free gifts.
[00:03:05.484 --> 00:03:09.806]  You will get a free gift with every single order at infowarestore.com.
[00:03:09.806 --> 00:03:20.390]  And some are inexpensive items, some are expensive items, some are InfoWars flags or American flags, some are DVD films, some are books, some are InfoWars sticker packs, some are Alex Jones Halloween masks.
[00:03:20.390 --> 00:03:26.233]  I mean, there's just hundreds of different items that are being offered that are randomly selected by the shopping cart computer.
[00:03:26.693 --> 00:03:28.334]  When you do each order.
[00:03:28.334 --> 00:03:29.894]  So that's the best that we've ever offered.
[00:03:29.894 --> 00:03:34.315]  It's a clearance sale to get the money in we need during this bankruptcy to make sure we stay on air.
[00:03:34.315 --> 00:03:41.198]  We're doing Chapter 11, Subchapter 5, which means we will stay on air as long as we can be profitable into the future.
[00:03:41.198 --> 00:03:43.438]  And the court's looking at all that right now.
[00:03:43.438 --> 00:03:45.979]  And we're right where we need to be, but just barely.
[00:03:45.979 --> 00:03:47.800]  So again, give yourself the gift of freedom.
[00:03:47.800 --> 00:03:50.120]  Give yourself the gift of liberty.
[00:03:50.120 --> 00:03:52.241]  Give yourself the gift of keeping real independent.
[00:03:53.476 --> 00:03:54.337]  Free speech on the air.
[00:04:11.334 --> 00:04:15.137]  Ultimate fish oil, ultimate curl oil, highest grade, so good for your heart, body, mind.
[00:04:15.137 --> 00:04:20.500]  It's all there for 40 to 60% off with promo code 1776.
[00:04:20.500 --> 00:04:25.284]  The lowest discount is 40% off with promo code 1776.
[00:04:25.284 --> 00:04:28.446]  The highest discount is 60% with promo code 1776.
[00:04:28.446 --> 00:04:30.948]  And then you've got the double Patriot points.
[00:04:30.948 --> 00:04:32.749]  That's 10% off on your next order.
[00:04:32.749 --> 00:04:35.591]  And then you also get a free gift with every order.
[00:04:35.591 --> 00:04:36.952]  So I want to thank you all for tuning in.
[00:04:36.952 --> 00:04:38.673]  I want to thank you all for spreading the word.
[00:04:38.673 --> 00:04:40.895]  We've got some big interviews, as I just mentioned, coming up.
[00:04:41.475 --> 00:04:45.901]  Please continue to do your amazing part, your critical part, by sharing the live feeds and links.
[00:04:45.901 --> 00:04:51.808]  We're taking clips out of these very important interviews and sharing with everybody you know because you are the reason this operation is so powerful.
[00:04:51.808 --> 00:04:55.433]  And I salute and thank you all and I'm very thankful for you all this Thanksgiving.
[00:04:55.433 --> 00:04:56.154]  So God bless you all.
[00:05:00.660 --> 00:05:12.125]  Until about 150 years ago, cultures all over the world believed that people got sick and died in many cases in the winter because of something called vapors.
[00:05:12.125 --> 00:05:16.587]  They associated these poisonous vapors with cold weather.
[00:05:16.587 --> 00:05:20.569]  Of course, it wasn't the cold weather or catching a chill that killed people.
[00:05:20.569 --> 00:05:24.051]  What was killing people was a lack of vitamin D3.
[00:05:24.051 --> 00:05:25.291]  You see, the sun
[00:05:26.792 --> 00:05:27.092]  We're good to
[00:05:50.672 --> 00:05:52.312]  Resistance to tyrants is obedience to God.
[00:05:52.312 --> 00:05:53.013]  It's Alex Jones.
[00:06:20.043 --> 00:06:23.826]  Let me introduce to you a guest that really needs no introduction.
[00:06:23.826 --> 00:06:33.474]  My longtime friend, colleague, partner in crime, partner fighting all these terrorist sort of people that are out there, all of the cabal and the globalists, Alex Jones.
[00:06:33.474 --> 00:06:38.259]  I just can't even believe that Alex said he'd come and be on my podcast this morning.
[00:06:38.259 --> 00:06:44.524]  Alex, what a pleasure and an honor it is to welcome you to our podcast this week with Dr. T this morning.
[00:06:44.784 --> 00:06:57.170]  It's amazing, hard to believe I've been interviewing you for 22 years and now I'm here on your broadcast which I know is so successful reaching people and that's why you're one of the top two people that Big Pharma and the Deep State's attacking.
[00:06:57.170 --> 00:06:59.171]  It's you and Dr. Peter McCullough.
[00:06:59.171 --> 00:07:01.392]  They're specifically singling out everywhere
[00:07:01.932 --> 00:07:02.873]  We're good to go.
[00:07:23.851 --> 00:07:25.152]  Well, thank you very much, Alex.
[00:07:25.152 --> 00:07:34.757]  You know, I've done, between March of 2020 and December of 21, I did over 600 interviews, and usually I do about 30 a year.
[00:07:34.757 --> 00:07:46.484]  And people have always asked me when I've been on their interview, what does it feel like to be labeled as the disinformation dozen and to be called out by the person who calls himself president as one of the most dangerous people in America?
[00:07:46.484 --> 00:07:49.365]  I said, I kind of wear it like a little badge of courage over here, you know?
[00:07:49.365 --> 00:07:49.866]  I just do.
[00:07:52.091 --> 00:08:00.395]  So, I wanted to start out by asking you, because I read something that InfoWars published, I think yesterday or last night, about David Icke.
[00:08:00.395 --> 00:08:06.538]  I mean, he's another one amongst us that's been doing this for decades, and now he's been banned from the EU.
[00:08:06.538 --> 00:08:09.019]  And he's been labeled a Level 3 terrorist.
[00:08:09.019 --> 00:08:15.482]  And we talked a little before we went live about what a Level... Explain to the audience what Level 1 and Level 2 is and Level 3.
[00:08:15.482 --> 00:08:18.263]  And if he's a Level 3 terrorist, what does that make us?
[00:08:19.110 --> 00:08:22.052]  They would call us Level 3 as well.
[00:08:22.052 --> 00:08:28.698]  What they do is they take a real terrorist planning to blow something up, who's got a bomb or a gun, about to go do something, and they call that a Level 1.
[00:08:28.698 --> 00:08:30.219]  That's a real terrorist.
[00:08:30.219 --> 00:08:33.662]  And then you've got Level 2 as material support.
[00:08:33.662 --> 00:08:36.584]  And then a Level 3 is not a terrorist.
[00:08:36.584 --> 00:08:42.850]  They say, well, even though you're not even talking about terrorism or pushing violence, if you criticize the government or say there's a deep state,
[00:08:43.550 --> 00:08:50.434]  Or undermine the system in any way by saying it's wrong, trying to reprove it, trying to change it, you know, a basic part of living in a free society.
[00:08:50.434 --> 00:08:53.975]  Then we're going to call you a level three terrorist and restrict your movement.
[00:08:53.975 --> 00:08:55.236]  And it's the same all over the world.
[00:08:55.236 --> 00:08:58.017]  They're trying to bring in similar systems here in the U.S.
[00:08:58.017 --> 00:09:00.679]  And it's not just David Icke saying this.
[00:09:00.679 --> 00:09:08.563]  On Infowars.com, obviously, we have a transcript translated from the Dutch letter, but it's under EU authority.
[00:09:08.563 --> 00:09:12.785]  And in the Dutch letter, it says that he's banned for two years
[00:09:13.525 --> 00:09:15.507]  Because he speaks to crowds of 50 to 100,000.
[00:09:15.507 --> 00:09:16.908]  Robert F. Kennedy Jr.
[00:09:16.908 --> 00:09:22.473]  has spoken to crowds of a million, and they're trying to ban him right now as well.
[00:09:22.473 --> 00:09:27.858]  By saying, you criticize the corporations, the power structure, so that's terrorism.
[00:09:27.858 --> 00:09:32.202]  So your free speech is now terrorism, which is really their endgame.
[00:09:32.202 --> 00:09:33.763]  And we saw in June of 2000,
[00:09:35.649 --> 00:09:36.270]  We're good to go.
[00:09:55.663 --> 00:10:11.608]  Criticizing lockdowns, forced injections, or open borders, and now it came out two weeks ago, the Intercept, more documents, or criticizing man-made global warming, saying it's not real, or even questioning, or questioning the
[00:10:12.987 --> 00:10:19.132]  Pull out a year ago out of Afghanistan that you're also a extremist and need to be censored.
[00:10:19.132 --> 00:10:27.559]  So they define you as a terrorist or a white supremacist for simply being a good citizen and being engaged and then say that you're the main terror threat.
[00:10:27.559 --> 00:10:29.241]  That is official U.S.
[00:10:29.241 --> 00:10:30.382]  government policy now.
[00:10:31.897 --> 00:10:36.181]  Alex, you know, we went to war in World War II over this sort of censorship.
[00:10:36.181 --> 00:10:43.087]  We set up Radio Free Europe after World War II, even though we know that that was a CIA PSYOP and all those other things.
[00:10:43.087 --> 00:10:51.154]  But ostensibly, I mean, on the surface, I mean, the thing was to try to get past what the propaganda message was, the over and over propaganda message was.
[00:10:51.795 --> 00:10:52.696]  And here we are.
[00:10:52.696 --> 00:10:55.657]  I mean, the United States of America, did you ever think?
[00:10:55.657 --> 00:11:00.020]  I mean, well, yes, you did, because InfoWars has been around for a long time.
[00:11:00.020 --> 00:11:06.063]  And, you know, I said to you back at the beginning of this plandemic thing, I said, congratulations, Alex.
[00:11:06.063 --> 00:11:10.646]  I mean, you've been prophetic when you said InfoWars was what was happening.
[00:11:10.646 --> 00:11:19.611]  I mean, but it's one thing to talk about it, like in hushed circles amongst friends and colleagues that are of like mind.
[00:11:20.211 --> 00:11:23.753]  Now, it's so out in the open.
[00:11:23.753 --> 00:11:34.461]  We used to talk about things like adenochrome and human trafficking and pedophilia behind closed doors, only with friends and family that you knew were on the same page as you.
[00:11:34.461 --> 00:11:39.164]  But now it is so obvious with the depopulation agenda of what they're doing and going forward.
[00:11:40.464 --> 00:11:42.705]  What do you think is the next step?
[00:11:42.705 --> 00:11:50.727]  I mean, you've been prophetically talking about this for 30 years, you know, like I've been talking about vaccine issues for 22 years.
[00:11:50.727 --> 00:11:54.308]  Where do you think they are going to go next?
[00:11:54.308 --> 00:11:55.668]  Well, that's the most important question.
[00:11:55.668 --> 00:12:02.970]  And just to be clear, I was prophetically led by God and the Holy Spirit to look into these things.
[00:12:02.970 --> 00:12:08.552]  But really, when I began to read the books by Henry Kissinger, Zbigniew Brzezinski, David Rockefeller,
