[00:00:16.315 --> 00:00:17.436]  InfoWars.
[00:00:17.436 --> 00:00:18.617]  Tomorrow's news.
[00:00:18.617 --> 00:00:18.977]  Today.
[00:00:21.343 --> 00:00:25.085]  Humanity is in a very dangerous position right now.
[00:00:25.085 --> 00:00:43.113]  Powerful corporations using military-grade psychological warfare programs are rolling out a biomedical tyranny worldwide at World ID, a cashless society, a social credit score, a universal basic income where every facet of your life is tracked, surveilled, and controlled.
[00:00:43.653 --> 00:00:53.681]  If you think the censorship and surveillance you've seen so far by the deep state and big tech was bad, that is just the opening salvo of their attack.
[00:00:53.681 --> 00:01:02.328]  Humanity and all of our hard-fought liberties and freedoms and all of our safeguards are literally on the edge of a cliff.
[00:01:02.328 --> 00:01:04.330]  But without InfoWars on the air,
[00:01:05.293 --> 00:01:09.216]  The general public is not going to be aware of the enemy operations.
[00:01:09.216 --> 00:01:15.101]  We didn't just tell you about this whole poison shot rollout first, three years ago, on record.
[00:01:15.101 --> 00:01:17.483]  We're also telling you what's coming next.
[00:01:17.483 --> 00:01:18.845]  We track the enemy.
[00:01:18.845 --> 00:01:24.129]  They're preparing new bioweapon releases and new poison mRNA frankenshots.
[00:01:24.129 --> 00:01:24.870]  Ladies and gentlemen,
[00:01:25.630 --> 00:01:29.234]  My family, your family, is at the edge of a cliff.
[00:01:29.234 --> 00:01:36.581]  Bill Gates, Klaus Schwab, the UN, the WHO is literally pushing us over into that cashless society hell grid.
[00:01:36.581 --> 00:01:43.147]  Into that biomedical tyranny that will be even worse than what you see in communist China that is the current main laboratory of this control.
[00:01:43.147 --> 00:01:45.029]  We have to first recognize there is a cliff.
[00:01:45.629 --> 00:01:50.733]  We have to recognize that millions of people have been forced into these deadly shots and pushed over the cliff and died.
[00:01:50.733 --> 00:01:55.817]  Tens of millions more are sick and dying from these poison shots.
[00:01:55.817 --> 00:02:00.540]  Every one of you watching knows someone who took the shot and died or who became deathly ill.
[00:02:00.540 --> 00:02:03.022]  And their own documents show they know this is deadly.
[00:02:03.542 --> 00:02:04.163]  And what do they do?
[00:02:04.163 --> 00:02:09.951]  They push and push and push, and say, well, it's up to you, but we'll take your rights and freedoms away if you don't take it.
