[00:00:00.000 --> 00:00:26.920]  InfoWars, tomorrow's news today.
[00:00:26.920 --> 00:00:33.000]  The official way to immigrate into the United States is very similar to most countries.
[00:00:33.000 --> 00:00:38.080]  File an immigrant petition with the government, and upon approval, apply for a visa.
[00:00:38.080 --> 00:00:43.400]  You will then have to maintain a productive status for several years if you want to consider
[00:00:43.400 --> 00:00:44.880]  citizenship.
[00:00:44.880 --> 00:00:47.880]  But there is a new system now in place.
[00:00:47.880 --> 00:00:53.440]  This new system is not official, nor is it legal, and it's being done by thousands of
[00:00:53.440 --> 00:00:59.600]  government employees who have sworn an oath to uphold the U.S. Constitution, and yet here
[00:00:59.600 --> 00:01:06.400]  they all are, submitting to the United Nations agenda and committing treason.
[00:01:06.400 --> 00:01:12.800]  On the Mexico side, Mexican immigration officers lead crowds of people to crossing points at
[00:01:12.800 --> 00:01:23.400]  the border.
[00:01:23.400 --> 00:01:28.600]  On the American side, government workers wait for the cover of darkness, and in the middle
[00:01:28.600 --> 00:01:40.440]  of the night, federal employees begin processing the large crowd with mobile devices.
[00:01:40.440 --> 00:01:44.640]  Middle schools are used as processing centers.
[00:01:44.640 --> 00:01:50.840]  Buses are backed in past the media as Border Patrol use government vehicles to try blocking
[00:01:50.840 --> 00:01:58.560]  the cameras from filming the migrants being loaded on board and brought into the country.
[00:01:58.560 --> 00:02:06.400]  The migrants are given mobile phones as a digital form of ID, bus tickets, debit cards,
[00:02:06.400 --> 00:02:10.560]  and court dates set four years from now.
[00:02:10.560 --> 00:02:16.920]  There are no checks or balances in this new de facto immigration system, and it's turning
[00:02:16.920 --> 00:02:22.560]  thousands of government workers into traitors to their own country.
[00:02:22.560 --> 00:02:39.760]  Reporting for InfoWars, this is Greg Reese.
[00:02:39.760 --> 00:02:41.920]  I'm a huge believer in information.
[00:02:41.920 --> 00:02:45.160]  I watch InfoWars every day and follow Al Shones closely.
[00:02:45.160 --> 00:02:46.160]  You know why?
[00:02:46.160 --> 00:02:47.160]  Because he's actually ahead of the curve.
[00:02:47.160 --> 00:02:51.000]  And he's been demonized as a conspiracy theorist.
[00:02:51.000 --> 00:02:54.400]  Think about how frustrated we are if you've been awake for a year or two.
[00:02:54.400 --> 00:02:59.920]  Imagine being like an Alex Jones or those guys who've been awake for like decades.
[00:02:59.920 --> 00:03:03.040]  Alex has been right on for over a decade.
[00:03:03.040 --> 00:03:04.040]  This is reality.
[00:03:04.040 --> 00:03:05.800]  It's just pancakes.
[00:03:05.800 --> 00:03:08.400]  Truth is stranger than fiction.
[00:03:08.400 --> 00:03:12.400]  A revolution of peaceful information is coming, and when it comes time, you people are going
[00:03:12.400 --> 00:03:13.400]  to be brought to punishment.
[00:03:13.400 --> 00:03:14.400]  You're lying to the public.
[00:03:14.400 --> 00:03:15.400]  It's disgusting.
[00:03:15.640 --> 00:03:18.920]  The media continues to misrepresent what I've said.
[00:03:18.920 --> 00:03:21.920]  He may be America's best-known conspiracy theorist.
[00:03:21.920 --> 00:03:27.920]  Alex Jones has the largest audience in the country, bigger than any of the networks,
[00:03:27.920 --> 00:03:29.920]  the biggest megaphone in the country.
[00:03:29.920 --> 00:03:33.920]  We're going to get fired up about the real things, the things that matter!
[00:03:37.920 --> 00:03:38.920]  Burn in hell, New World Order.
[00:03:45.920 --> 00:03:59.920]  I'm watching the midterms, and you would think our country is Mad Max Thunderdome.
[00:03:59.920 --> 00:04:03.920]  This guy is like, they're coming from Guatemala, they're coming from Mexico.
[00:04:07.920 --> 00:04:09.920]  There's a liberal mob that's coming.
[00:04:10.440 --> 00:04:12.440]  You're going to Trump!
[00:04:12.440 --> 00:04:14.440]  You're going to Trump!
[00:04:14.440 --> 00:04:15.440]  Yeah!
[00:04:23.440 --> 00:04:24.440]  You're the president.
[00:04:25.440 --> 00:04:26.440]  You didn't even support it.
[00:04:27.440 --> 00:04:28.440]  Muzzled.
[00:04:39.920 --> 00:05:01.280]  And you would think everybody in the country is just like, to the bunker.
[00:05:01.280 --> 00:05:03.880]  Please give me one minute of your time.
[00:05:03.880 --> 00:05:05.960]  Please write this down and please go look this up.
[00:05:05.960 --> 00:05:08.000]  It will change your life.
[00:05:08.000 --> 00:05:12.640]  The UN admits, and the Lancet Medical Journal admits, that upwards of 2 billion people have
[00:05:12.640 --> 00:05:16.700]  mental disabilities and declining cognitive abilities.
[00:05:16.700 --> 00:05:22.240]  The term they use is intellectual disability because of lack of iodine.
[00:05:22.240 --> 00:05:27.960]  Most iodine in the environment is bound to other elements so your body can't absorb it.
[00:05:27.960 --> 00:05:32.280]  Only pure iodine can really be absorbed right into the cells.
[00:05:32.280 --> 00:05:38.360]  And Infowarsstore.com has the only iodine out there that actually has this type of full
[00:05:38.360 --> 00:05:39.360]  effect.
[00:05:39.360 --> 00:05:42.360]  Ladies and gentlemen, X3 has been sold out for six months.
[00:05:42.360 --> 00:05:45.320]  It's very hard to produce and it's finally back in stock.
[00:05:45.320 --> 00:05:48.360]  In fact, I was just taking some before I shot this ad.
[00:05:48.360 --> 00:05:50.540]  This ladies and gentlemen is powerful.
[00:05:50.540 --> 00:05:51.840]  You and your family need it.
[00:05:51.840 --> 00:05:54.040]  It's 25% off back in stock.
[00:05:54.040 --> 00:05:55.040]  X3.
[00:05:55.040 --> 00:05:58.360]  Try iodine exclusively at Infowarsstore.com.
[00:05:58.360 --> 00:05:59.360]  Take action now.
[00:05:59.360 --> 00:06:00.760]  But regardless, research is info.
[00:06:02.280 --> 00:06:16.280]  Big Brother, mainstream media, government cover-ups.
[00:06:16.280 --> 00:06:17.600]  You want to stop tyranny?
[00:06:17.600 --> 00:06:19.520]  Well, so does he.
[00:06:19.520 --> 00:06:25.280]  Live from the Infowars.com studios, it's Alex Jones.
[00:06:25.280 --> 00:06:31.760]  Well, my friends, it's Monday, May 15th, 2023.
[00:06:31.760 --> 00:06:39.360]  I am in the incredible studios, an undisclosed location in Russia of Vladimir Putin's show.
[00:06:39.360 --> 00:06:40.360]  No, I'm sorry.
[00:06:40.360 --> 00:06:41.360]  Steven Crowder.
[00:06:41.360 --> 00:06:42.360]  I'm joking.
[00:06:42.360 --> 00:06:43.360]  We're in Texas.
