[00:00:16.110 --> 00:00:17.251]  InfoWars.
[00:00:17.251 --> 00:00:18.431]  Tomorrow's news.
[00:00:18.431 --> 00:00:18.792]  Today.
[00:00:27.580 --> 00:00:35.746]  The Cloward-Piven Strategy was developed by Richard Cloward and Francis Piven in the 1960s.
[00:00:35.746 --> 00:00:43.012]  It outlines a strategy for radical social change by way of abusing the system to the point of destruction.
[00:00:43.012 --> 00:00:51.238]  You know, we were associated with the social work tradition, which said that the programs worked as they were supposed to work.
[00:00:51.238 --> 00:00:53.800]  But they didn't work as they were supposed to work.
[00:00:54.699 --> 00:01:12.718]  And it was out of that realization, that insight, that we developed the strategy to end poverty, which called for a massive mobilization of social workers and lawyers and organizers to get people the benefits to which they were entitled.
[00:01:12.898 --> 00:01:25.727]  We were proposing a kind of movement that demanded what people were already entitled to by law, by regulation, by propaganda.
[00:01:26.468 --> 00:01:40.932]  The primary goal of the Cloward-Piven strategy is to create a political and economic crisis that would destroy capitalism and lead to the implementation of a socialist system with a guaranteed income.
[00:01:40.932 --> 00:01:46.093]  The strategy involves enrolling large numbers of people into the welfare system.
[00:01:46.733 --> 00:01:59.759]  As many people as it takes to overwhelm and strain the system until it collapses, everyone enrolled into the welfare system is also used as an army to carry out the destruction of the current system.
[00:01:59.759 --> 00:02:03.121]  They are registered to vote and instructed on how to vote.
[00:02:03.121 --> 00:02:10.625]  They are organized and mobilized and made to appear as grassroots organizations demanding more from the system.
[00:02:11.445 --> 00:02:17.187]  The ideal outcome of the Cloward-Piven strategy is to collapse the current system.
[00:02:17.187 --> 00:02:25.230]  According to their theory, this will compel the government to implement a universal basic income, which would then shift the U.S.
[00:02:25.230 --> 00:02:30.832]  towards a more socialist system with increased government control over the economy.
[00:02:31.512 --> 00:02:34.154]  Everyone is being encouraged to do it.
[00:02:34.154 --> 00:02:37.657]  Burn it down is the new sexy ring.
[00:02:37.657 --> 00:02:40.579]  In high school, they compare it to the American Revolution.
[00:02:40.579 --> 00:02:51.128]  The Cloward-Piven strategy is a political gambit designed to overwhelm the American government by placing so many demands on the bureaucratic structure that it collapses.
[00:02:51.128 --> 00:02:59.955]  It's sort of a shock and awe campaign, a surprise attack on entrenched systems meant to force major changes to the ways that things are handled by the government.
[00:03:00.595 --> 00:03:06.781]  It may be messy, but it does harken back to a fundamental ideology of the American Republic.
[00:03:06.781 --> 00:03:09.023]  If it ain't fixed, break it.
[00:03:09.023 --> 00:03:12.706]  All of this explains the likes of AOC.
[00:03:12.706 --> 00:03:20.253]  What people like AOC are doing, what the squad is doing, is really very important.
[00:03:20.253 --> 00:03:21.514]  Very important.
[00:03:21.514 --> 00:03:24.557]  But at the same time, there is this
[00:03:26.798 --> 00:03:30.300]  Movement, which is so big.
[00:03:30.300 --> 00:03:33.141]  Some people say it's the biggest movement in American history.
[00:03:33.141 --> 00:03:37.663]  It's hard to know because it's hard to measure a movement.
[00:03:37.663 --> 00:03:44.546]  But it is big and it is interracial and it penetrates into every small town.
[00:03:44.546 --> 00:03:47.687]  I now am in upstate New York.
[00:03:47.687 --> 00:03:50.428]  The town I'm closest to has maybe 2,000 people.
[00:03:52.247 --> 00:04:01.649]  You know, we have little demonstrations in front of the post office for Black Lives Matter.
[00:04:01.649 --> 00:04:03.850]  And this is Trump country.
